Date,Value,Open,Close,High,Low
15/07/15,47830.0,1.42,1.41,1.42,1.4
16/07/15,104090.0,1.41,1.47,1.48,1.41
20/07/15,10290.0,1.47,1.47,1.47,1.47
21/07/15,116490.0,1.43,1.5,1.5,1.43
22/07/15,1490.0,1.49,1.49,1.49,1.49
23/07/15,1078710.0,1.43,1.56,1.56,1.43
23/07/15,1078710.0,1.43,1.56,1.56,1.43
23/07/15,1078710.0,1.43,1.56,1.56,1.43
24/07/15,1949520.0,1.56,1.55,1.6,1.53
27/07/15,8418180.0,1.55,1.82,1.82,1.53
28/07/15,3373950.0,1.81,1.74,1.81,1.74
29/07/15,4944670.0,1.76,1.75,1.82,1.74
30/07/15,2198610.0,1.73,1.65,1.73,1.6
31/07/15,1006830.0,1.65,1.58,1.67,1.56
03/08/15,1617340.0,1.58,1.58,1.68,1.55
04/08/15,617160.0,1.6,1.52,1.6,1.51
05/08/15,808560.0,1.55,1.66,1.67,1.55
06/08/15,1139660.0,1.61,1.6,1.7,1.6
07/08/15,85850.0,1.6,1.61,1.63,1.55
10/08/15,1058360.0,1.56,1.55,1.56,1.55
11/08/15,1868470.0,1.54,1.52,1.54,1.5
12/08/15,1336490.0,1.5,1.48,1.55,1.48
13/08/15,621150.0,1.47,1.52,1.53,1.45
14/08/15,1112610.0,1.5,1.51,1.6,1.5
17/08/15,683360.0,1.5,1.5,1.5,1.45
18/08/15,11680.0,1.46,1.46,1.46,1.46
19/08/15,1589480.0,1.46,1.4,1.48,1.39
20/08/15,430640.0,1.4,1.45,1.45,1.39
24/08/15,373880.0,1.36,1.26,1.36,1.25
25/08/15,51590.0,1.24,1.23,1.24,1.15
26/08/15,1038680.0,1.23,1.23,1.27,1.2
27/08/15,109420.0,1.3,1.27,1.36,1.27
28/08/15,409150.0,1.25,1.22,1.37,1.22
01/09/15,147410.0,1.22,1.26,1.28,1.22
02/09/15,181760.0,1.22,1.29,1.3,1.22
03/09/15,17880.0,1.27,1.29,1.29,1.27
04/09/15,67950.0,1.28,1.29,1.33,1.28
07/09/15,14190.0,1.29,1.29,1.29,1.29
08/09/15,107490.0,1.29,1.28,1.32,1.24
09/09/15,39980.0,1.29,1.25,1.29,1.24
10/09/15,197830.0,1.29,1.28,1.29,1.22
11/09/15,127710.0,1.22,1.21,1.22,1.21
14/09/15,1352090.0,1.21,1.25,1.26,1.2
15/09/15,12100.0,1.21,1.21,1.21,1.21
15/09/15,12100.0,1.21,1.21,1.21,1.21
15/09/15,12100.0,1.21,1.21,1.21,1.21
16/09/15,311320.0,1.21,1.19,1.21,1.19
17/09/15,1732640.0,1.2,1.24,1.32,1.18
18/09/15,2954830.0,1.21,1.2,1.27,1.18
21/09/15,15655300.0,1.2,1.8,1.8,1.17
22/09/15,126832100.0,2.3,2.34,2.64,2.15
23/09/15,26851360.0,2.35,1.83,2.35,1.8
24/09/15,15288480.0,1.81,1.65,1.85,1.65
28/09/15,60499600.0,1.73,2.13,2.34,1.62
29/09/15,25897060.0,2.13,1.91,2.26,1.86
30/09/15,8759370.0,1.98,1.78,2.03,1.78
01/10/15,16084270.0,1.8,1.92,2.09,1.79
02/10/15,2869240.0,2.0,1.83,2.0,1.83
05/10/15,3259150.0,1.84,1.88,1.93,1.71
06/10/15,4272550.0,1.88,1.74,1.92,1.74
07/10/15,2423010.0,1.75,1.81,1.85,1.75
08/10/15,12235290.0,1.88,1.83,2.01,1.81
09/10/15,172786360.0,1.88,2.0,2.74,1.83
12/10/15,27455840.0,2.09,1.94,2.17,1.93
13/10/15,19045360.0,1.94,1.97,2.18,1.94
14/10/15,13806770.0,2.0,1.87,2.08,1.86
15/10/15,11722310.0,1.88,1.85,1.97,1.81
16/10/15,15321830.0,1.85,1.75,1.9,1.75
19/10/15,9504210.0,1.76,1.7,1.8,1.66
20/10/15,2538990.0,1.72,1.73,1.76,1.68
21/10/15,6698920.0,1.74,1.78,1.87,1.74
22/10/15,950580.0,1.79,1.76,1.81,1.73
23/10/15,806070.0,1.75,1.76,1.81,1.75
26/10/15,1042140.0,1.78,1.78,1.8,1.75
27/10/15,1634940.0,1.77,1.78,1.78,1.73
28/10/15,1067500.0,1.73,1.78,1.78,1.73
29/10/15,619370.0,1.75,1.74,1.78,1.74
30/10/15,4478200.0,1.75,1.64,1.75,1.63
02/11/15,6436810.0,1.65,1.69,1.78,1.64
03/11/15,1718450.0,1.7,1.7,1.75,1.68
04/11/15,949640.0,1.7,1.69,1.7,1.66
05/11/15,1097020.0,1.67,1.68,1.69,1.65
06/11/15,781750.0,1.68,1.64,1.68,1.63
09/11/15,1337990.0,1.63,1.62,1.67,1.62
10/11/15,2986060.0,1.62,1.59,1.62,1.58
11/11/15,848860.0,1.58,1.58,1.62,1.54
