Date,Value,Open,Close,High,Low
15/07/15,320620.0,12.2,12.06,12.2,12.02
16/07/15,1578366.0,12.04,12.28,12.3,12.02
20/07/15,4531680.0,12.28,12.5,12.5,12.28
21/07/15,224812.0,12.5,12.46,12.5,12.46
22/07/15,273404.0,12.5,12.48,12.5,12.3
23/07/15,396494.0,12.5,12.42,12.5,12.28
23/07/15,396494.0,12.5,12.42,12.5,12.28
23/07/15,396494.0,12.5,12.42,12.5,12.28
24/07/15,604416.0,12.3,12.24,12.3,12.24
27/07/15,228266.0,12.24,12.18,12.24,12.18
28/07/15,77400.0,12.18,12.1,12.18,12.04
29/07/15,695790.0,12.1,12.5,12.5,12.04
30/07/15,1445756.0,12.46,12.6,12.6,12.46
31/07/15,1337234.0,12.5,13.0,13.0,12.1
03/08/15,251520.0,12.98,12.94,12.98,12.94
04/08/15,443290.0,12.54,12.6,12.9,12.54
05/08/15,83200.0,12.62,12.58,12.64,12.58
06/08/15,147342.0,12.78,12.7,12.78,12.7
07/08/15,108922.0,12.5,12.52,12.52,12.5
10/08/15,295040.0,12.6,12.5,12.6,12.5
11/08/15,390514.0,12.2,12.38,12.4,12.2
12/08/15,183538.0,12.1,12.56,12.6,12.1
13/08/15,241026.0,12.54,12.1,12.54,12.1
14/08/15,280144.0,12.06,12.34,12.36,12.06
17/08/15,450532.0,12.48,12.0,12.5,11.68
18/08/15,454292.0,11.76,11.74,11.86,11.74
19/08/15,977822.0,11.76,11.4,11.8,11.4
20/08/15,269182.0,11.7,11.4,11.7,11.4
24/08/15,8552572.0,11.4,10.9,11.4,10.8
25/08/15,906558.0,10.78,10.78,10.78,10.64
26/08/15,485240.0,11.0,11.0,11.1,11.0
27/08/15,684206.0,11.0,10.98,11.4,10.98
28/08/15,1274604.0,10.98,10.9,11.0,10.9
01/09/15,622306.0,10.98,10.8,10.98,10.62
02/09/15,20968406.0,10.8,11.0,11.3,10.64
03/09/15,7939020.0,11.0,10.9,11.0,10.9
04/09/15,3083728.0,10.94,10.64,11.0,10.6
07/09/15,6034698.0,10.64,10.06,10.64,10.04
08/09/15,3098562.0,10.06,10.04,10.4,10.04
09/09/15,1105636.0,10.38,10.2,10.38,10.14
10/09/15,259408.0,10.2,10.08,10.2,10.08
11/09/15,389324.0,10.08,10.1,10.14,10.04
14/09/15,159678.0,10.14,10.1,10.14,10.08
15/09/15,323906.0,10.2,10.1,10.2,10.04
15/09/15,323906.0,10.2,10.1,10.2,10.04
15/09/15,323906.0,10.2,10.1,10.2,10.04
16/09/15,233310.0,10.12,10.1,10.2,10.08
17/09/15,3892062.0,10.06,10.16,10.2,10.04
18/09/15,1750714.0,10.12,10.16,10.16,10.1
21/09/15,2825576.0,10.2,10.04,10.2,10.0
22/09/15,1416946.0,10.18,10.04,10.18,10.02
23/09/15,1910905.0,10.0,10.0,10.0,9.99
24/09/15,519342.0,10.0,9.99,10.0,9.98
28/09/15,731358.0,9.99,10.0,10.0,9.99
29/09/15,900402.0,10.0,9.94,10.1,9.93
30/09/15,4034973.0,9.95,9.94,10.0,9.9
01/10/15,838468.0,9.94,9.75,9.94,9.75
02/10/15,605411.0,9.75,9.63,9.75,9.62
05/10/15,1345668.0,9.63,9.49,9.65,9.48
06/10/15,9582028.0,9.48,9.61,9.64,9.48
07/10/15,266241.0,9.61,9.7,9.7,9.61
08/10/15,43244.0,9.7,9.85,9.91,9.7
09/10/15,506538.0,9.7,10.2,10.2,9.7
12/10/15,1091194.0,10.0,10.14,10.14,9.95
13/10/15,1654366.0,10.1,10.1,10.12,10.08
14/10/15,367204.0,10.1,10.06,10.12,10.06
15/10/15,13312291.0,10.0,9.99,10.02,9.96
16/10/15,2244564.0,9.96,9.99,10.0,9.96
19/10/15,2003000.0,10.0,10.0,10.0,10.0
20/10/15,148587.0,10.06,9.79,10.06,9.76
21/10/15,9796.0,9.79,9.82,9.82,9.79
22/10/15,112316.0,9.99,9.9,9.99,9.9
23/10/15,333578.0,9.9,9.98,10.0,9.9
26/10/15,716851.0,9.98,9.97,9.98,9.85
27/10/15,225577.0,9.98,9.96,9.98,9.9
28/10/15,4772360.0,9.96,10.0,10.04,9.96
29/10/15,4244000.0,10.0,10.0,10.0,10.0
30/10/15,1272000.0,10.16,11.0,11.0,9.9
02/11/15,234342.0,10.98,10.74,10.98,10.3
03/11/15,37976.0,10.74,10.7,10.74,10.42
04/11/15,3210.0,10.7,10.7,10.7,10.7
05/11/15,9066.0,10.02,10.5,10.5,10.02
06/11/15,58812.0,10.5,10.06,10.5,10.0
09/11/15,362252.0,10.02,10.18,10.18,10.0
10/11/15,92200.0,10.2,10.18,10.2,10.0
11/11/15,190034.0,10.02,9.98,10.02,9.98
12/11/15,100122.0,9.92,10.22,10.22,9.9
13/11/15,14248.0,10.2,10.18,10.2,10.0
16/11/15,250491.0,10.0,9.9,10.0,9.8
17/11/15,990.0,9.9,9.9,9.9,9.9
20/11/15,57702.0,9.9,9.94,10.08,9.9
23/11/15,75700.0,10.2,10.0,10.2,10.0
24/11/15,104733.0,9.94,9.76,10.0,9.68
25/11/15,68423.0,9.8,9.81,10.0,9.8
26/11/15,193800.0,10.0,10.0,10.2,10.0
27/11/15,1162044.0,10.1,11.0,11.0,9.96
01/12/15,481360.0,11.0,10.58,11.0,10.0
02/12/15,132396.0,10.1,10.5,10.5,10.0
03/12/15,71660.0,10.4,10.4,10.4,10.02
04/12/15,11366.0,10.04,10.36,10.38,10.04
07/12/15,20720.0,10.36,10.36,10.36,10.36
08/12/15,49276.0,10.2,10.36,10.36,10.04
09/12/15,1926942.0,10.04,11.5,11.5,10.04
10/12/15,1694518.0,11.88,11.7,11.92,11.5
11/12/15,2679166.0,11.8,12.38,12.48,11.8
14/12/15,6695446.0,12.48,12.42,13.08,12.4
15/12/15,3199788.0,12.5,12.2,12.5,11.8
16/12/15,700228.0,12.2,12.46,12.48,11.92
17/12/15,9576336.0,12.46,12.82,12.88,12.2
18/12/15,9069908.0,12.88,12.84,13.5,12.84
21/12/15,3193464.0,12.84,12.84,13.1,12.84
22/12/15,9000596.0,12.92,13.04,13.7,12.92
23/12/15,1632994.0,13.12,13.26,13.5,13.12
28/12/15,1046898.0,13.28,13.2,13.28,13.08
29/12/15,3982646.0,13.2,13.44,13.44,12.98
04/01/16,2635036.0,13.4,12.82,13.4,12.8
05/01/16,1471652.0,12.74,12.62,12.86,12.62
06/01/16,1493464.0,12.56,12.62,12.62,12.28
07/01/16,970630.0,12.62,11.98,12.62,11.98
08/01/16,1387368.0,11.86,11.62,11.86,11.28
11/01/16,1410186.0,11.6,11.0,11.6,11.0
12/01/16,387480.0,11.0,11.92,12.0,11.0
13/01/16,2244432.0,11.82,11.82,11.9,11.52
14/01/16,944542.0,11.7,11.8,11.8,11.7
15/01/16,433088.0,11.9,11.8,12.0,11.62
18/01/16,1576960.0,11.1,11.02,11.2,11.0
19/01/16,3044314.0,11.1,11.3,11.3,11.1
20/01/16,296042.0,11.4,11.5,11.5,11.0
21/01/16,947276.0,11.08,11.0,11.44,11.0
22/01/16,273994.0,11.0,11.18,11.18,11.0
25/01/16,438746.0,11.2,11.78,11.78,11.2
26/01/16,128280.0,11.48,11.4,11.48,11.3
27/01/16,406350.0,11.36,11.7,11.7,11.36
28/01/16,386242.0,11.6,11.7,11.7,11.36
29/01/16,819912.0,11.52,11.82,11.88,11.52
01/02/16,334584.0,11.9,11.78,11.9,11.74
02/02/16,264304.0,11.9,11.86,11.9,11.8
03/02/16,278484.0,11.7,11.7,11.84,11.6
04/02/16,704838.0,11.6,11.6,11.84,11.6
05/02/16,211974.0,11.7,11.6,11.72,11.6
09/02/16,480598.0,11.82,11.5,11.82,11.5
10/02/16,365870.0,11.46,11.5,11.8,11.46
11/02/16,322462.0,11.5,11.52,11.52,11.4
12/02/16,174758.0,11.6,11.5,11.68,11.42
15/02/16,663030.0,11.7,11.68,11.7,11.5
16/02/16,1099166.0,11.72,11.4,11.72,11.4
17/02/16,1362170.0,11.42,11.28,11.44,11.2
18/02/16,373602.0,11.28,11.52,11.52,11.2
19/02/16,658434.0,11.6,11.4,11.6,11.38
22/02/16,552100.0,11.42,11.4,11.48,11.4
23/02/16,654800.0,11.42,11.4,11.5,11.22
24/02/16,316312.0,11.48,11.4,11.48,11.4
26/02/16,137400.0,11.4,11.46,11.46,11.4
29/02/16,596800.0,11.5,11.46,11.58,11.4
01/03/16,1458296.0,11.4,11.5,11.52,11.4
02/03/16,885500.0,11.8,11.86,11.86,11.58
03/03/16,1569006.0,11.82,12.0,12.2,11.7
04/03/16,354182.0,12.2,12.2,12.3,12.1
07/03/16,1556754.0,12.5,12.18,12.6,12.18
08/03/16,1283984.0,12.22,12.1,12.4,12.1
09/03/16,1027946.0,11.94,11.94,12.0,11.6
10/03/16,5581334.0,12.5,12.3,12.54,12.2
11/03/16,6678846.0,12.32,12.2,12.32,11.98
14/03/16,3155118.0,12.2,11.9,12.38,11.7
15/03/16,3042014.0,11.9,11.64,11.92,11.64
16/03/16,2351118.0,11.64,11.6,11.86,11.58
17/03/16,491678.0,11.64,11.6,11.72,11.6
18/03/16,1066348.0,11.6,11.7,11.8,11.56
21/03/16,1493122.0,11.72,11.48,11.8,11.48
22/03/16,1106854.0,11.48,11.4,11.48,11.36
23/03/16,1265684.0,11.32,11.38,11.56,11.26
28/03/16,276860.0,11.4,11.4,11.56,11.38
29/03/16,974664.0,11.4,11.46,11.64,11.4
30/03/16,1240008.0,11.46,11.9,12.32,11.46
31/03/16,848120.0,11.9,11.42,11.9,11.42
01/04/16,748216.0,11.5,11.38,11.5,11.38
04/04/16,1618536.0,11.38,11.44,11.5,11.32
05/04/16,1952672.0,11.44,11.16,11.48,11.16
06/04/16,821422.0,11.16,11.22,11.26,11.16
07/04/16,287810.0,11.36,11.2,11.5,11.0
08/04/16,27956.0,11.2,11.28,11.3,11.1
11/04/16,762988.0,11.28,11.38,11.38,11.18
12/04/16,1068408.0,11.3,11.28,11.3,11.1
13/04/16,310946.0,11.1,11.26,11.48,11.1
14/04/16,1284472.0,11.32,11.3,11.32,11.28
15/04/16,143052.0,11.3,11.24,11.3,11.24
18/04/16,1306118.0,11.22,11.12,11.24,11.12
19/04/16,127062.0,11.1,11.24,11.24,11.02
20/04/16,1838378.0,11.06,11.16,11.24,11.0
21/04/16,128924.0,11.02,11.16,11.22,11.02
22/04/16,122642.0,11.18,11.16,11.18,11.1
25/04/16,1083078.0,11.16,11.0,11.16,11.0
26/04/16,755262.0,11.0,10.92,11.06,10.92
27/04/16,118870.0,11.0,11.0,11.02,11.0
28/04/16,16590.0,11.06,11.06,11.06,11.06
29/04/16,282292.0,11.06,10.94,11.1,10.94
02/05/16,822042.0,10.94,10.8,10.94,10.8
03/05/16,991418.0,10.7,10.66,10.74,10.66
04/05/16,293312.0,10.64,10.7,10.7,10.6
05/05/16,197022.0,10.62,10.78,11.0,10.6
06/05/16,158334.0,10.78,10.7,10.78,10.6
06/05/16,158334.0,10.78,10.7,10.78,10.6
10/05/16,400660.0,10.7,10.7,10.7,10.6
11/05/16,661392.0,10.72,10.72,10.96,10.7
12/05/16,2395760.0,10.74,10.6,10.9,10.6
13/05/16,1204446.0,10.8,10.6,10.8,10.6
16/05/16,185796.0,10.62,10.74,10.74,10.62
17/05/16,872704.0,10.68,10.72,10.86,10.68
18/05/16,189476.0,10.72,10.72,10.74,10.68
19/05/16,901256.0,10.8,10.74,10.8,10.72
20/05/16,309552.0,10.76,10.76,10.8,10.72
23/05/16,254098.0,10.92,10.76,10.92,10.76
24/05/16,127736.0,10.7,10.86,10.88,10.7
25/05/16,301044.0,10.88,10.72,10.88,10.64
26/05/16,635258.0,10.72,10.72,10.96,10.62
27/05/16,258010.0,10.7,10.78,10.78,10.68
30/05/16,128466.0,10.78,10.82,10.84,10.78
31/05/16,700820.0,10.8,11.2,11.38,10.8
01/06/16,113570.0,11.02,11.06,11.08,11.0
02/06/16,191758.0,11.06,11.18,11.2,11.06
03/06/16,1698964.0,11.18,11.48,11.5,11.0
06/06/16,343286.0,11.48,11.46,11.48,11.4
07/06/16,832362.0,11.5,11.5,11.56,11.48
08/06/16,1407104.0,11.48,11.58,11.58,11.46
09/06/16,197770.0,11.5,11.64,11.7,11.5
10/06/16,225090.0,11.7,11.64,11.7,11.5
13/06/16,636898.0,11.64,11.64,11.7,11.56
14/06/16,266842.0,11.58,11.54,11.58,11.54
15/06/16,465120.0,11.5,11.22,11.5,11.2
16/06/16,140544.0,11.2,11.46,11.48,11.2
17/06/16,142212.0,11.3,11.3,11.46,11.02
20/06/16,476240.0,11.2,11.3,11.3,11.14
21/06/16,73572.0,11.46,11.32,11.46,11.3
22/06/16,264660.0,11.32,11.4,11.4,11.18
23/06/16,262312.0,11.18,11.4,11.4,11.18
24/06/16,392360.0,11.2,11.46,11.46,11.2
27/06/16,440696.0,11.2,11.42,11.42,11.0
28/06/16,69836.0,11.1,11.38,11.42,11.02
29/06/16,5976668.0,11.5,12.16,12.24,11.5
30/06/16,2187210.0,12.28,12.3,12.5,12.2
01/07/16,1377818.0,12.36,12.28,12.36,12.2
04/07/16,1070000.0,12.34,12.4,12.46,12.3
05/07/16,2033738.0,12.42,12.48,12.6,12.32
07/07/16,1055236.0,12.58,12.48,12.58,12.4
08/07/16,745026.0,12.44,12.54,12.54,12.36
11/07/16,1619514.0,12.54,12.56,12.58,12.36
12/07/16,1560168.0,12.56,12.54,12.6,12.5
13/07/16,820292.0,12.6,12.4,12.6,12.38
14/07/16,355296.0,12.4,12.46,12.5,12.36
