Date,Value,Open,Close,High,Low
22/07/15,211730.0,1.69,1.68,1.69,1.68
23/07/15,168000.0,1.68,1.68,1.68,1.68
23/07/15,168000.0,1.68,1.68,1.68,1.68
23/07/15,168000.0,1.68,1.68,1.68,1.68
27/07/15,1670.0,1.67,1.67,1.67,1.67
29/07/15,1680.0,1.68,1.68,1.68,1.68
03/08/15,49800.0,1.66,1.66,1.66,1.66
06/08/15,40000.0,1.66,1.7,1.7,1.66
11/08/15,141100.0,1.66,1.66,1.66,1.66
12/08/15,244000.0,1.64,1.62,1.64,1.62
13/08/15,161000.0,1.6,1.62,1.62,1.6
19/08/15,81000.0,1.62,1.62,1.62,1.62
20/08/15,5550.0,1.85,1.85,1.85,1.85
24/08/15,125240.0,1.84,1.84,1.84,1.6
26/08/15,85910.0,1.61,1.81,1.81,1.61
04/09/15,168470.0,1.6,1.81,1.81,1.6
14/09/15,4920.0,1.61,1.7,1.7,1.61
16/09/15,5130.0,1.76,1.61,1.76,1.61
21/09/15,37340.0,1.61,1.75,1.79,1.6
22/09/15,20870.0,1.61,1.6,1.61,1.6
24/09/15,145400.0,1.6,1.8,1.8,1.6
28/09/15,1790.0,1.79,1.79,1.79,1.79
29/09/15,117180.0,1.61,1.61,1.79,1.6
30/09/15,26850.0,1.79,1.79,1.79,1.79
01/10/15,4867160.0,1.62,1.79,1.79,1.62
15/10/15,16110.0,1.79,1.79,1.79,1.79
16/10/15,9960.0,1.66,1.66,1.66,1.66
20/10/15,202310.0,1.76,2.0,2.0,1.76
02/11/15,69540.0,1.66,1.67,1.67,1.65
03/11/15,14940.0,1.66,1.66,1.66,1.66
11/11/15,5440.0,1.89,1.66,1.89,1.66
12/11/15,27420.0,1.86,1.8,1.86,1.8
13/11/15,8300.0,1.66,1.66,1.66,1.66
23/11/15,8300.0,1.66,1.66,1.66,1.66
27/11/15,3300.0,1.65,1.65,1.65,1.65
01/12/15,131950.0,1.65,1.7,1.8,1.6
22/12/15,164190.0,1.5,1.7,1.7,1.48
05/01/16,36760.0,2.18,1.99,2.18,1.99
06/01/16,37150.0,1.99,1.84,1.99,1.51
07/01/16,3500.0,1.75,1.75,1.75,1.75
12/01/16,501100.0,1.51,1.5,1.53,1.5
13/01/16,11920.0,1.49,1.49,1.49,1.49
14/01/16,646330.0,1.6,1.49,1.6,1.49
15/01/16,171840.0,1.49,1.48,1.49,1.48
18/01/16,231830.0,1.46,1.57,1.59,1.46
19/01/16,84770.0,1.48,1.46,1.48,1.46
20/01/16,43320.0,1.46,1.44,1.46,1.44
22/01/16,3200.0,1.61,1.59,1.61,1.59
26/01/16,3000.0,1.5,1.5,1.5,1.5
27/01/16,13600.0,1.5,1.53,1.53,1.48
28/01/16,7500.0,1.5,1.5,1.5,1.5
29/01/16,780560.0,1.5,1.58,1.58,1.5
03/02/16,16100.0,1.61,1.61,1.61,1.61
04/02/16,4830.0,1.61,1.61,1.61,1.61
05/02/16,1600.0,1.6,1.6,1.6,1.6
09/02/16,4470.0,1.49,1.49,1.49,1.49
10/02/16,46300.0,1.49,1.6,1.6,1.49
11/02/16,27640.0,1.45,1.54,1.54,1.45
12/02/16,92940.0,1.51,1.47,1.53,1.47
15/02/16,21610.0,1.54,1.55,1.55,1.54
16/02/16,6180.0,1.57,1.57,1.57,1.47
19/02/16,109520.0,1.48,1.48,1.48,1.48
22/02/16,22360.0,1.5,1.49,1.5,1.49
23/02/16,2960.0,1.48,1.48,1.48,1.48
29/02/16,7450.0,1.49,1.49,1.49,1.49
02/03/16,126000.0,1.5,1.5,1.5,1.5
03/03/16,106700.0,1.55,1.6,1.61,1.55
07/03/16,161170.0,1.61,1.59,1.61,1.5
08/03/16,10570.0,1.51,1.51,1.51,1.51
09/03/16,8980.0,1.51,1.49,1.51,1.49
11/03/16,3120.0,1.56,1.56,1.56,1.56
18/03/16,7600.0,1.52,1.52,1.52,1.52
21/03/16,43400.0,1.55,1.55,1.55,1.55
22/03/16,33540.0,1.53,1.52,1.53,1.52
28/03/16,13500.0,1.53,1.49,1.53,1.49
29/03/16,29400.0,1.53,1.55,1.55,1.53
30/03/16,1550.0,1.55,1.55,1.55,1.55
01/04/16,402730.0,1.54,1.9,2.0,1.54
04/04/16,260250.0,1.89,1.61,1.89,1.57
05/04/16,9660.0,1.61,1.61,1.61,1.61
06/04/16,96150.0,1.77,1.7,1.78,1.61
07/04/16,22700.0,1.62,1.69,1.7,1.6
08/04/16,8200.0,1.64,1.64,1.64,1.64
11/04/16,249680.0,1.64,1.8,1.8,1.64
12/04/16,3600.0,1.8,1.8,1.8,1.8
13/04/16,2092840.0,1.8,1.9,2.3,1.7
14/04/16,866640.0,1.9,1.72,1.9,1.72
15/04/16,58130.0,1.74,1.7,1.8,1.7
18/04/16,48580.0,1.8,1.79,1.8,1.79
19/04/16,57800.0,1.7,1.7,1.7,1.7
20/04/16,27710.0,1.7,1.71,1.75,1.7
21/04/16,3450.0,1.72,1.73,1.73,1.72
22/04/16,32750.0,1.71,1.75,1.75,1.7
25/04/16,148680.0,1.77,1.77,1.77,1.77
27/04/16,6640.0,1.66,1.66,1.66,1.66
29/04/16,30380.0,1.66,1.76,1.76,1.66
02/05/16,23010.0,1.77,1.77,1.77,1.77
03/05/16,5120.0,1.71,1.7,1.71,1.7
04/05/16,5310.0,1.77,1.77,1.77,1.77
05/05/16,65040.0,1.77,1.74,1.77,1.74
06/05/16,13680.0,1.74,1.7,1.74,1.7
06/05/16,13680.0,1.74,1.7,1.74,1.7
10/05/16,34000.0,1.7,1.7,1.7,1.7
11/05/16,18690.0,1.69,1.7,1.7,1.69
12/05/16,44200.0,1.7,1.7,1.7,1.7
13/05/16,64650.0,1.7,1.7,1.71,1.7
16/05/16,1026480.0,1.71,2.0,2.15,1.71
17/05/16,284380.0,1.9,1.85,2.0,1.81
18/05/16,83870.0,1.85,1.81,1.85,1.81
19/05/16,21720.0,1.81,1.81,1.81,1.81
20/05/16,26390.0,1.84,1.88,1.95,1.84
23/05/16,212430.0,1.95,1.94,2.1,1.94
24/05/16,61550.0,1.79,1.81,1.82,1.79
25/05/16,5430.0,1.81,1.81,1.81,1.81
26/05/16,39630.0,1.78,1.81,1.81,1.77
27/05/16,3640.0,1.82,1.82,1.82,1.82
30/05/16,46800.0,1.8,1.8,1.8,1.8
31/05/16,305120.0,1.8,1.88,2.0,1.8
01/06/16,434970.0,1.9,1.9,2.0,1.9
02/06/16,47100.0,1.9,1.88,1.9,1.88
03/06/16,101080.0,1.97,1.97,2.0,1.97
06/06/16,11850.0,2.0,1.85,2.0,1.85
07/06/16,705900.0,1.99,1.99,1.99,1.95
08/06/16,619540.0,1.85,1.98,1.99,1.85
09/06/16,164630.0,1.99,1.98,2.1,1.98
10/06/16,71350.0,2.02,2.05,2.05,2.02
13/06/16,89480.0,2.05,2.08,2.1,1.95
14/06/16,93630.0,2.04,2.03,2.04,2.03
15/06/16,3800.0,1.9,1.9,1.9,1.9
17/06/16,96110.0,1.91,1.91,2.03,1.91
21/06/16,58920.0,2.03,2.05,2.05,2.03
22/06/16,2050.0,2.05,2.05,2.05,2.05
23/06/16,10050.0,2.01,2.01,2.01,2.01
24/06/16,40000.0,2.0,2.0,2.0,2.0
27/06/16,1890.0,1.89,1.89,1.89,1.89
28/06/16,9500.0,1.9,1.9,1.9,1.9
29/06/16,60980.0,1.9,2.04,2.05,1.9
30/06/16,7760.0,1.91,2.03,2.03,1.91
01/07/16,93480.0,2.0,2.07,2.07,2.0
04/07/16,42300.0,2.03,2.0,2.03,2.0
07/07/16,11710.0,1.91,1.96,1.96,1.91
08/07/16,57090.0,1.99,2.05,2.05,1.99
11/07/16,22120.0,2.05,1.88,2.07,1.88
12/07/16,2060.0,2.06,2.06,2.06,2.06
13/07/16,57650.0,1.86,2.05,2.05,1.85
14/07/16,49200.0,2.05,2.05,2.05,2.05
