Date,Value,Open,Close,High,Low
15/07/15,26496.0,6.6,6.72,6.82,6.52
16/07/15,22243.0,6.62,6.59,6.75,6.59
20/07/15,38885.0,6.59,6.57,6.65,6.57
21/07/15,27632.0,6.57,6.58,6.6,6.57
22/07/15,7873.0,6.58,6.55,6.58,6.5
23/07/15,36692.0,6.55,6.53,6.6,6.5
23/07/15,36692.0,6.55,6.53,6.6,6.5
23/07/15,36692.0,6.55,6.53,6.6,6.5
24/07/15,34922.0,6.5,6.65,6.96,6.5
27/07/15,3301.0,6.65,6.6,6.7,6.53
28/07/15,41219.0,6.58,6.55,6.67,6.55
29/07/15,19730.0,6.55,6.55,6.6,6.55
30/07/15,11406.0,6.56,6.65,6.76,6.56
31/07/15,55976.0,6.7,6.75,6.86,6.68
03/08/15,175419.0,6.75,6.8,6.95,6.75
04/08/15,272641.0,6.76,6.76,7.05,6.75
05/08/15,897802.0,6.8,6.9,7.3,6.76
06/08/15,59360.0,6.9,6.81,7.0,6.8
07/08/15,10227.0,6.9,6.76,6.9,6.76
10/08/15,144126.0,6.75,6.65,6.85,6.63
11/08/15,17076.0,6.65,6.57,6.8,6.55
12/08/15,28077.0,6.51,6.52,6.58,6.51
13/08/15,52768.0,6.52,6.9,6.9,6.52
14/08/15,343823.0,6.8,6.83,6.9,6.53
17/08/15,295375.0,6.68,6.7,6.83,6.5
18/08/15,118458.0,6.5,6.4,6.6,6.38
19/08/15,15982.0,6.4,6.32,6.4,6.3
20/08/15,29216.0,6.38,6.33,6.43,6.3
24/08/15,1230187.0,6.31,5.62,6.33,5.62
25/08/15,206036.0,5.54,5.8,5.8,5.28
26/08/15,26000.0,5.5,5.8,5.9,5.3
27/08/15,382045.0,5.3,5.75,6.05,5.3
28/08/15,201132.0,5.75,5.98,6.5,5.5
01/09/15,5249.0,5.98,5.76,5.98,5.7
02/09/15,43474.0,5.76,6.0,6.69,5.65
03/09/15,127334.0,5.82,5.95,6.7,5.82
04/09/15,83758.0,5.94,5.94,5.98,5.94
07/09/15,892663.0,6.0,5.91,6.0,5.91
08/09/15,889471.0,5.91,5.92,6.0,5.91
09/09/15,632838.0,5.93,5.91,5.93,5.91
10/09/15,1186.0,5.91,5.95,5.95,5.91
11/09/15,1131850.0,5.95,5.9,6.0,5.9
14/09/15,1869891.0,5.89,5.9,5.91,5.86
15/09/15,55194.0,5.9,5.88,5.9,5.87
15/09/15,55194.0,5.9,5.88,5.9,5.87
15/09/15,55194.0,5.9,5.88,5.9,5.87
16/09/15,182723.0,5.88,5.9,6.0,5.84
17/09/15,282616.0,5.85,5.96,5.96,5.83
18/09/15,204686.0,5.96,6.3,6.7,5.85
21/09/15,765338.0,6.3,7.0,7.4,6.1
22/09/15,722028.0,7.0,7.1,8.0,7.0
23/09/15,248645.0,7.1,7.0,7.5,6.85
24/09/15,1473544.0,7.1,6.5,7.15,6.28
28/09/15,226112.0,6.5,7.0,7.3,6.5
29/09/15,2539452.0,7.0,7.48,7.65,7.0
30/09/15,286640.0,7.48,7.5,7.8,7.46
01/10/15,698156.0,7.5,8.0,8.08,7.2
02/10/15,848493.0,8.0,8.0,8.22,7.88
05/10/15,568345.0,8.0,8.12,8.28,7.72
06/10/15,253273.0,8.12,8.08,8.28,8.03
07/10/15,1548763.0,8.08,8.16,8.42,8.02
08/10/15,251827.0,8.3,8.26,8.42,8.11
09/10/15,1591496.0,8.21,8.36,8.6,8.1
12/10/15,1894094.0,8.37,8.88,8.9,8.37
13/10/15,1298755.0,8.88,8.72,9.04,8.71
14/10/15,766944.0,8.9,8.5,9.0,8.31
15/10/15,171483.0,8.5,8.42,8.7,8.33
16/10/15,783790.0,8.33,9.03,9.05,8.33
19/10/15,490856.0,9.0,8.73,9.06,8.72
20/10/15,64875.0,8.73,8.68,8.76,8.51
21/10/15,176307.0,8.66,8.6,8.7,8.32
22/10/15,295689.0,8.31,8.51,9.0,8.31
23/10/15,450855.0,8.52,8.63,8.81,8.52
26/10/15,4403802.0,8.65,9.09,9.3,8.65
27/10/15,2938856.0,9.11,9.25,9.41,9.03
28/10/15,4555564.0,9.26,9.26,9.65,9.25
29/10/15,583992.0,9.25,9.2,9.47,9.06
30/10/15,703673.0,9.2,9.08,9.23,8.88
