Date,Value,Open,Close,High,Low
15/07/15,35551118.0,10.16,10.38,10.42,10.0
16/07/15,70155748.0,10.38,10.5,10.58,10.38
20/07/15,96538824.0,10.6,10.84,10.98,10.58
21/07/15,148682130.0,10.86,11.8,11.96,10.86
22/07/15,64627752.0,11.9,11.9,12.06,11.38
23/07/15,31200914.0,11.86,12.02,12.02,11.78
23/07/15,31200914.0,11.86,12.02,12.02,11.78
23/07/15,31200914.0,11.86,12.02,12.02,11.78
24/07/15,91770556.0,12.02,13.04,13.04,12.02
27/07/15,68711820.0,13.14,12.5,13.4,12.5
28/07/15,44584072.0,12.48,13.02,13.1,12.1
29/07/15,70052356.0,13.2,13.92,13.98,13.2
30/07/15,38875344.0,13.94,13.86,13.98,13.56
31/07/15,59594956.0,13.62,13.5,13.96,13.4
03/08/15,35015950.0,13.4,13.78,13.84,13.1
04/08/15,20299112.0,13.78,13.62,13.92,13.6
05/08/15,7797788.0,13.68,13.68,13.88,13.66
06/08/15,19594574.0,13.68,13.3,13.8,13.3
07/08/15,33754560.0,13.32,12.72,13.32,12.68
10/08/15,8457876.0,12.72,13.1,13.28,12.72
11/08/15,9635622.0,13.5,13.14,13.64,13.1
12/08/15,12148342.0,13.14,13.0,13.4,12.86
13/08/15,9296644.0,13.0,12.86,13.2,12.84
14/08/15,9967964.0,12.86,12.82,12.96,12.6
17/08/15,9453480.0,12.9,12.68,13.2,12.62
18/08/15,6671510.0,12.64,12.42,12.64,12.3
19/08/15,15989412.0,12.42,12.96,13.0,12.0
20/08/15,7970720.0,12.94,12.8,12.96,12.6
24/08/15,65926880.0,12.2,10.98,12.2,10.9
25/08/15,22213662.0,10.5,11.8,11.8,10.48
26/08/15,38524876.0,12.02,13.1,13.22,11.9
27/08/15,66177988.0,13.34,13.52,13.8,12.86
28/08/15,27350608.0,13.52,13.8,14.0,13.52
01/09/15,24580358.0,13.6,13.5,13.8,13.34
02/09/15,42044882.0,13.1,13.78,13.8,12.9
03/09/15,241410384.0,13.78,14.7,14.88,13.78
04/09/15,167887378.0,14.78,14.8,15.44,14.7
