Date,Value,Open,Close,High,Low
15/07/15,1159155.0,20.4,20.35,20.45,20.3
16/07/15,9409910.0,20.5,20.5,20.55,20.35
20/07/15,4969375.0,20.5,20.7,20.7,20.45
21/07/15,9879575.0,20.7,20.6,20.75,20.4
22/07/15,5101975.0,20.8,20.55,20.8,20.4
23/07/15,2014850.0,20.5,20.3,20.5,20.15
23/07/15,2014850.0,20.5,20.3,20.5,20.15
23/07/15,2014850.0,20.5,20.3,20.5,20.15
24/07/15,14557385.0,20.3,20.25,20.5,20.15
27/07/15,13351140.0,20.25,20.25,20.65,20.2
28/07/15,26050820.0,20.4,20.2,20.4,20.2
29/07/15,18590295.0,20.15,20.6,20.7,20.15
30/07/15,7553125.0,20.65,21.2,21.45,20.6
31/07/15,20441120.0,21.2,21.65,21.65,21.2
03/08/15,2945600.0,21.6,21.8,21.8,21.6
04/08/15,24515530.0,21.85,21.6,21.85,21.05
05/08/15,581855.0,21.65,21.3,21.7,21.3
06/08/15,5653740.0,21.15,21.1,21.15,20.5
07/08/15,2799075.0,20.9,20.9,20.9,20.5
10/08/15,2168100.0,20.9,20.95,21.25,20.7
11/08/15,6653705.0,21.0,20.85,21.25,20.7
12/08/15,5538695.0,20.95,20.65,20.95,20.5
13/08/15,3563075.0,20.65,20.7,20.9,20.5
14/08/15,5616465.0,20.7,20.8,20.9,20.7
17/08/15,862875.0,20.85,20.15,20.9,20.15
18/08/15,245760.0,20.2,20.2,21.1,20.1
19/08/15,5236235.0,20.2,20.1,20.5,20.1
20/08/15,17256461.0,20.1,19.8,20.1,19.8
24/08/15,10912566.0,19.4,18.54,19.4,18.5
25/08/15,3132504.0,18.46,18.04,18.5,18.02
26/08/15,8428826.0,18.1,19.4,19.4,18.1
27/08/15,7212048.0,19.5,19.98,20.0,19.5
28/08/15,2225877.0,20.0,20.8,20.8,19.98
01/09/15,1241820.0,20.75,20.1,20.75,20.0
02/09/15,4192047.0,20.0,20.0,20.4,18.5
03/09/15,2305815.0,20.1,20.2,20.25,20.1
04/09/15,1950540.0,20.0,20.2,20.2,20.0
07/09/15,2577898.0,19.72,19.8,20.2,19.72
08/09/15,1901888.0,20.05,20.05,20.1,19.9
09/09/15,3092750.0,20.4,20.3,20.4,20.15
10/09/15,1721505.0,20.3,20.15,20.3,20.0
11/09/15,315450.0,20.15,20.45,20.5,20.0
14/09/15,153695.0,20.45,20.2,20.45,20.2
15/09/15,624455.0,20.2,20.15,20.2,20.1
15/09/15,624455.0,20.2,20.15,20.2,20.1
15/09/15,624455.0,20.2,20.15,20.2,20.1
16/09/15,3148855.0,20.1,19.9,20.15,19.9
17/09/15,42230.0,20.3,20.0,20.3,20.0
18/09/15,799305.0,20.15,20.0,20.4,20.0
21/09/15,877838.0,20.2,19.8,20.2,19.8
22/09/15,556004.0,19.82,20.0,20.2,19.82
23/09/15,953945.0,20.0,19.8,20.05,19.8
24/09/15,2437902.0,19.8,19.32,19.84,19.26
28/09/15,437034.0,19.34,19.84,20.0,19.34
29/09/15,637192.0,19.84,19.24,19.9,19.22
30/09/15,1327918.0,19.22,20.0,20.0,19.22
01/10/15,683890.0,20.1,20.0,20.1,19.8
02/10/15,1296930.0,20.0,19.9,20.0,19.9
05/10/15,2012734.0,19.9,20.0,20.0,19.86
06/10/15,1854825.0,20.1,20.05,20.1,19.9
07/10/15,512071.0,20.05,19.52,20.05,19.52
08/10/15,6364276.0,19.54,19.9,19.9,19.54
09/10/15,5012784.0,20.0,19.64,20.0,19.64
12/10/15,2567738.0,19.64,19.6,19.9,19.6
13/10/15,3208616.0,19.9,19.56,19.9,19.54
14/10/15,798490.0,19.56,19.56,19.6,19.56
15/10/15,3165638.0,19.52,19.5,19.6,19.5
16/10/15,717456.0,19.88,19.88,19.88,19.5
19/10/15,1009164.0,19.88,19.5,19.88,19.5
20/10/15,168320.0,19.7,19.6,19.8,19.5
21/10/15,604182.0,19.88,19.88,19.88,19.74
22/10/15,330074.0,19.88,19.62,19.88,19.56
23/10/15,571938.0,19.6,19.82,19.86,19.6
26/10/15,3115764.0,19.88,19.98,20.0,19.86
27/10/15,251028.0,19.9,19.94,20.0,19.9
28/10/15,125612.0,19.94,19.92,19.94,19.92
29/10/15,328634.0,19.96,19.92,19.96,19.9
30/10/15,646288.0,19.9,19.82,19.9,19.8
02/11/15,300204.0,19.82,19.78,19.82,19.66
03/11/15,438204.0,19.8,19.76,19.8,19.64
04/11/15,1040848.0,19.7,19.64,19.7,19.56
05/11/15,2506988.0,19.56,19.7,19.76,19.56
06/11/15,2061776.0,19.7,19.5,19.7,19.5
09/11/15,1434626.0,19.5,19.4,19.5,19.4
10/11/15,1629674.0,19.4,19.3,19.42,19.3
11/11/15,1345584.0,19.3,19.18,19.3,19.18
12/11/15,329958.0,19.18,19.18,19.24,19.16
13/11/15,1892052.0,19.18,19.08,19.18,19.06
16/11/15,3800752.0,19.04,18.88,19.04,18.74
17/11/15,797490.0,19.0,18.88,19.0,18.88
20/11/15,438546.0,18.88,18.92,18.94,18.88
23/11/15,768578.0,18.98,18.96,19.0,18.92
24/11/15,765354.0,18.96,18.94,18.96,18.8
25/11/15,543418.0,19.2,19.1,19.2,19.0
26/11/15,771590.0,19.0,19.0,19.1,18.98
27/11/15,1962874.0,18.9,19.0,19.0,18.8
01/12/15,780280.0,18.98,18.9,18.98,18.78
02/12/15,3803822.0,18.8,18.66,18.88,18.66
03/12/15,807472.0,18.66,18.66,18.66,18.64
04/12/15,876400.0,18.66,18.56,18.66,18.5
07/12/15,2415684.0,18.56,19.0,19.0,18.56
08/12/15,1930366.0,18.7,18.5,18.7,18.5
09/12/15,376342.0,18.5,18.34,18.5,18.34
10/12/15,669864.0,18.98,18.4,18.98,18.34
11/12/15,697890.0,18.38,18.2,18.38,18.06
14/12/15,199072.0,18.2,18.04,18.2,18.04
15/12/15,2203522.0,18.04,18.06,18.1,18.0
16/12/15,562930.0,18.06,18.08,18.4,18.04
17/12/15,1702502.0,18.4,18.4,18.4,18.1
18/12/15,4058822.0,18.2,18.3,18.4,18.1
21/12/15,908514.0,18.3,18.16,18.4,18.1
22/12/15,187000.0,18.86,18.5,18.88,18.5
23/12/15,1530004.0,18.88,18.98,19.0,18.86
28/12/15,2870656.0,19.0,19.0,19.0,18.3
29/12/15,1257616.0,18.96,18.94,18.98,18.8
04/01/16,426540.0,18.94,18.22,18.94,18.1
05/01/16,314262.0,18.88,18.26,18.88,18.22
06/01/16,935542.0,18.3,18.1,18.32,18.1
07/01/16,1799252.0,18.28,18.04,18.86,18.0
08/01/16,1208124.0,18.04,18.3,18.4,17.9
