Date,Value,Open,Close,High,Low
15/07/15,2730.0,2.73,2.73,2.73,2.73
30/07/15,62260.0,3.0,3.19,3.19,3.0
02/09/15,27250.0,2.73,2.72,2.73,2.72
03/09/15,19080.0,2.73,2.72,2.73,2.72
21/09/15,12000.0,3.0,3.0,3.0,3.0
22/09/15,55350.0,3.25,3.26,3.26,3.25
27/10/15,693460.0,3.25,3.52,3.54,3.25
28/10/15,10560.0,3.52,3.52,3.52,3.52
29/10/15,66560.0,3.4,3.53,3.53,3.4
03/11/15,251610.0,3.02,3.86,3.86,3.02
12/11/15,2830.0,2.83,2.83,2.83,2.83
16/11/15,2950.0,2.95,2.95,2.95,2.95
23/11/15,10470.0,3.49,3.49,3.49,3.49
24/11/15,87540.0,3.65,3.74,3.74,3.6
25/11/15,7610.0,3.81,3.8,3.81,3.8
26/11/15,6700.0,3.4,3.3,3.4,3.3
27/11/15,3280.0,3.28,3.28,3.28,3.28
02/12/15,22320.0,3.6,3.78,3.78,3.6
12/01/16,24660.0,2.86,3.2,3.2,2.86
22/01/16,7050.0,2.35,2.35,2.35,2.35
25/01/16,3190.0,3.19,3.19,3.19,3.19
09/02/16,59230.0,2.36,2.38,2.38,2.35
10/02/16,52400.0,2.39,2.38,2.39,2.38
16/02/16,26190.0,2.38,2.39,2.39,2.38
17/02/16,60160.0,2.4,2.48,2.48,2.4
18/02/16,5300.0,2.65,2.65,2.65,2.65
19/02/16,29200.0,2.65,2.7,2.7,2.65
22/02/16,128060.0,2.65,3.19,3.19,2.64
04/03/16,6000.0,3.0,3.0,3.0,3.0
09/03/16,9590.0,3.19,3.2,3.2,3.19
10/03/16,35090.0,3.19,3.19,3.19,3.19
28/03/16,28350.0,3.12,3.18,3.18,3.12
29/03/16,16000.0,3.2,3.2,3.2,3.2
31/03/16,19770.0,3.2,3.39,3.39,3.2
05/04/16,1532300.0,3.2,4.2,4.9,3.2
06/04/16,86840.0,3.05,3.34,3.5,3.05
07/04/16,92590.0,3.21,3.12,3.21,3.12
08/04/16,6220.0,3.11,3.11,3.11,3.11
11/04/16,15380.0,3.08,3.07,3.08,3.07
12/04/16,113180.0,3.06,3.05,3.06,3.05
13/04/16,18300.0,3.05,3.05,3.05,3.05
15/04/16,5840.0,2.92,2.92,2.92,2.92
19/04/16,8760.0,2.92,2.92,2.92,2.92
21/04/16,8790.0,2.93,2.93,2.93,2.93
25/04/16,29500.0,2.95,2.95,2.95,2.95
26/04/16,5900.0,2.95,2.95,2.95,2.95
29/04/16,23400.0,2.94,2.91,2.94,2.91
02/05/16,8610.0,2.89,2.86,2.89,2.86
03/05/16,42150.0,2.81,2.81,2.81,2.81
04/05/16,83900.0,3.38,2.81,3.38,2.81
20/05/16,14030.0,2.81,2.8,2.81,2.8
27/05/16,75950.0,3.37,3.88,3.88,3.37
30/05/16,368240.0,3.88,4.42,4.6,3.88
31/05/16,138030.0,4.0,4.45,4.45,3.5
02/06/16,6470.0,3.36,3.11,3.36,3.11
03/06/16,61370.0,3.41,3.4,3.42,3.4
06/06/16,120470.0,4.0,4.0,4.2,3.82
07/06/16,4000.0,4.0,4.0,4.0,4.0
10/06/16,19520.0,3.02,3.5,3.5,3.02
14/06/16,10410.0,3.5,3.41,3.5,3.41
15/06/16,3420.0,3.42,3.42,3.42,3.42
17/06/16,3420.0,3.42,3.42,3.42,3.42
20/06/16,70000.0,3.5,3.5,3.5,3.5
29/06/16,3150.0,3.15,3.15,3.15,3.15
04/07/16,3200.0,3.2,3.2,3.2,3.2
12/07/16,3220.0,3.22,3.22,3.22,3.22
13/07/16,3220.0,3.22,3.22,3.22,3.22
14/07/16,6440.0,3.22,3.22,3.22,3.22
