Date,Value,Open,Close,High,Low
15/07/15,1523500.0,0.84,0.91,0.91,0.84
16/07/15,587870.0,0.89,0.91,0.91,0.88
20/07/15,21750.0,0.87,0.87,0.87,0.87
21/07/15,93350.0,0.87,0.89,0.89,0.87
22/07/15,1005700.0,0.89,0.89,0.89,0.89
24/07/15,11570.0,0.89,0.89,0.89,0.89
27/07/15,3480.0,0.88,0.86,0.88,0.86
28/07/15,10320.0,0.86,0.86,0.86,0.86
29/07/15,1720.0,0.86,0.86,0.86,0.86
30/07/15,860.0,0.86,0.86,0.86,0.86
31/07/15,523740.0,0.86,0.86,0.86,0.86
03/08/15,34430.0,0.86,0.86,0.87,0.86
04/08/15,2580.0,0.86,0.86,0.86,0.86
05/08/15,301020.0,0.88,0.86,0.88,0.86
07/08/15,100720.0,0.86,0.87,0.87,0.86
10/08/15,3440.0,0.86,0.86,0.86,0.86
11/08/15,6381920.0,0.86,0.84,0.86,0.83
12/08/15,42850.0,0.85,0.85,0.86,0.85
13/08/15,26810.0,0.84,0.83,0.84,0.83
14/08/15,287220.0,0.83,0.87,0.87,0.83
17/08/15,117860.0,0.83,0.83,0.83,0.83
18/08/15,74700.0,0.83,0.83,0.83,0.83
19/08/15,3320.0,0.83,0.83,0.83,0.83
20/08/15,78810.0,0.82,0.83,0.83,0.82
24/08/15,51230.0,0.82,0.79,0.82,0.79
25/08/15,15800.0,0.79,0.79,0.79,0.79
26/08/15,4740.0,0.79,0.79,0.79,0.79
27/08/15,187900.0,0.79,0.79,0.79,0.73
28/08/15,6640.0,0.83,0.83,0.83,0.83
03/09/15,750.0,0.75,0.75,0.75,0.75
04/09/15,20250.0,0.75,0.75,0.75,0.75
07/09/15,22800.0,0.76,0.76,0.76,0.76
08/09/15,770.0,0.77,0.77,0.77,0.77
10/09/15,269280.0,0.76,0.77,0.77,0.76
11/09/15,43320.0,0.76,0.76,0.76,0.76
14/09/15,11420.0,0.76,0.76,0.78,0.76
16/09/15,1613830.0,0.77,0.78,0.81,0.76
17/09/15,653920.0,0.77,0.78,0.81,0.76
18/09/15,331630.0,0.78,0.81,0.81,0.76
21/09/15,273610.0,0.81,0.8,0.81,0.8
22/09/15,57600.0,0.8,0.8,0.8,0.8
23/09/15,8910.0,0.81,0.81,0.81,0.81
24/09/15,13260.0,0.78,0.78,0.78,0.78
28/09/15,877260.0,0.78,0.76,0.78,0.76
29/09/15,2280.0,0.76,0.76,0.76,0.76
30/09/15,49540.0,0.76,0.75,0.76,0.75
01/10/15,196770.0,0.75,0.75,0.76,0.75
02/10/15,179640.0,0.75,0.74,0.75,0.74
05/10/15,1500.0,0.75,0.75,0.75,0.75
06/10/15,139060.0,0.75,0.76,0.8,0.75
07/10/15,2514980.0,0.78,0.83,0.83,0.76
08/10/15,22750340.0,0.84,0.94,0.94,0.84
09/10/15,52743990.0,0.95,0.93,1.02,0.92
12/10/15,3238800.0,0.95,0.93,0.95,0.93
13/10/15,15399160.0,0.92,0.9,0.93,0.9
14/10/15,1073930.0,0.9,0.9,0.93,0.9
15/10/15,1732090.0,0.89,0.89,0.9,0.89
16/10/15,945830.0,0.89,0.91,0.91,0.89
19/10/15,412630.0,0.92,0.9,0.92,0.89
20/10/15,927900.0,0.9,0.9,0.9,0.9
21/10/15,693900.0,0.9,0.9,0.9,0.9
22/10/15,148820.0,0.9,0.89,0.9,0.89
23/10/15,478080.0,0.89,0.89,0.9,0.89
26/10/15,443020.0,0.91,0.89,0.91,0.89
27/10/15,1679520.0,0.89,0.9,0.92,0.89
28/10/15,560720.0,0.9,0.9,0.91,0.9
29/10/15,1243800.0,0.9,0.9,0.9,0.9
30/10/15,249240.0,0.89,0.9,0.9,0.89
02/11/15,161980.0,0.89,0.89,0.89,0.89
03/11/15,697380.0,0.9,0.89,0.91,0.89
04/11/15,137370.0,0.89,0.89,0.9,0.89
05/11/15,582950.0,0.89,0.89,0.89,0.89
06/11/15,417410.0,0.89,0.89,0.89,0.89
09/11/15,55440.0,0.88,0.88,0.88,0.88
10/11/15,866800.0,0.88,0.88,0.88,0.88
11/11/15,2670.0,0.91,0.88,0.91,0.88
12/11/15,880.0,0.88,0.88,0.88,0.88
13/11/15,12750.0,0.85,0.85,0.85,0.85
16/11/15,47600.0,0.85,0.85,0.85,0.85
17/11/15,8600.0,0.86,0.86,0.86,0.86
20/11/15,119850.0,0.85,0.85,0.85,0.85
23/11/15,174200.0,0.85,0.85,0.86,0.85
