Date,Value,Open,Close,High,Low
15/07/15,40835066.0,7.52,7.5,7.55,7.41
16/07/15,109427249.0,7.45,7.45,7.57,7.28
20/07/15,23491369.0,7.5,7.5,7.55,7.42
21/07/15,49990657.0,7.5,7.5,7.56,7.47
22/07/15,99225844.0,7.5,7.6,7.6,7.45
23/07/15,108025062.0,7.61,7.7,7.74,7.61
23/07/15,108025062.0,7.61,7.7,7.74,7.61
23/07/15,108025062.0,7.61,7.7,7.74,7.61
24/07/15,48860538.0,7.66,7.7,7.72,7.6
27/07/15,72485700.0,7.7,7.5,7.72,7.46
28/07/15,64780921.0,7.45,7.35,7.5,7.31
29/07/15,179747321.0,7.36,7.1,7.5,7.1
30/07/15,128520255.0,7.2,7.11,7.34,7.09
31/07/15,110678263.0,7.28,7.17,7.28,7.13
03/08/15,197857562.0,7.12,7.15,7.17,7.07
04/08/15,58209611.0,7.22,7.33,7.33,7.18
05/08/15,112195330.0,7.32,7.26,7.41,7.22
06/08/15,143525288.0,7.25,7.07,7.34,7.07
07/08/15,41072042.0,7.07,7.18,7.18,7.06
10/08/15,49448679.0,7.22,7.13,7.22,7.12
11/08/15,116781476.0,7.13,7.1,7.19,7.07
12/08/15,92105042.0,7.07,6.96,7.08,6.93
13/08/15,101909705.0,6.92,6.65,6.94,6.63
14/08/15,149419354.0,6.65,6.65,6.77,6.6
17/08/15,80100454.0,6.66,6.55,6.75,6.45
18/08/15,85547549.0,6.54,6.42,6.54,6.4
19/08/15,102917370.0,6.4,6.5,6.56,6.32
20/08/15,105885342.0,6.55,6.32,6.55,6.3
24/08/15,181979145.0,6.05,5.7,6.05,5.65
25/08/15,89646163.0,5.5,5.7,5.83,5.45
26/08/15,154280908.0,5.8,5.82,5.84,5.7
27/08/15,172371123.0,5.99,5.9,6.05,5.79
28/08/15,138289546.0,6.0,6.0,6.15,5.93
01/09/15,122832310.0,6.0,5.99,6.24,5.9
02/09/15,65227877.0,5.89,6.19,6.19,5.8
03/09/15,62270537.0,6.15,6.0,6.15,6.0
04/09/15,59443429.0,5.95,5.89,6.02,5.86
07/09/15,30471796.0,5.85,5.64,5.85,5.63
08/09/15,89374680.0,5.64,5.62,5.75,5.45
09/09/15,69969739.0,5.69,5.51,5.78,5.51
10/09/15,129685905.0,5.53,5.25,5.58,5.25
11/09/15,111780694.0,5.34,5.2,5.5,5.14
14/09/15,69553567.0,5.25,5.49,5.7,5.22
15/09/15,109694278.0,5.55,5.7,5.85,5.48
15/09/15,109694278.0,5.55,5.7,5.85,5.48
15/09/15,109694278.0,5.55,5.7,5.85,5.48
16/09/15,117471155.0,5.9,5.9,5.95,5.83
17/09/15,235307753.0,6.0,6.15,6.22,5.94
18/09/15,235943718.0,6.1,6.09,6.41,6.05
21/09/15,104799536.0,6.09,6.05,6.16,5.99
22/09/15,96162851.0,6.1,6.13,6.19,6.08
23/09/15,141927864.0,6.1,6.0,6.12,5.98
24/09/15,112815856.0,5.98,5.89,6.0,5.8
28/09/15,99896468.0,5.9,5.65,6.14,5.65
29/09/15,148399762.0,5.7,5.67,5.83,5.5
30/09/15,175227418.0,5.68,5.5,5.72,5.45
01/10/15,262455900.0,5.55,5.65,5.9,5.55
02/10/15,176042083.0,5.66,5.89,5.99,5.66
05/10/15,131361802.0,5.9,5.84,5.93,5.74
06/10/15,143207602.0,5.9,5.94,6.05,5.9
07/10/15,107551606.0,5.71,5.97,5.97,5.71
08/10/15,115543769.0,6.0,5.99,6.05,5.93
09/10/15,100771067.0,6.0,6.1,6.19,5.99
12/10/15,111144048.0,6.19,6.39,6.4,6.1
13/10/15,51300934.0,6.4,6.25,6.4,6.21
14/10/15,69865733.0,6.24,6.14,6.24,6.08
15/10/15,92402280.0,6.13,6.3,6.35,6.06
16/10/15,357961020.0,6.35,6.65,6.65,6.35
19/10/15,68261328.0,6.65,6.82,6.86,6.64
20/10/15,193843765.0,6.83,6.8,6.95,6.75
21/10/15,105969494.0,6.8,6.81,6.9,6.7
22/10/15,47695814.0,6.85,6.75,6.87,6.72
23/10/15,153000995.0,6.88,6.97,7.0,6.88
26/10/15,111754165.0,7.0,7.0,7.02,6.93
27/10/15,60577103.0,6.99,6.93,6.99,6.82
28/10/15,73543708.0,6.93,6.9,6.94,6.82
29/10/15,49930507.0,6.9,6.71,6.91,6.63
30/10/15,67161757.0,6.7,6.64,6.71,6.5
02/11/15,54061244.0,6.65,6.6,6.65,6.51
03/11/15,35638525.0,6.6,6.52,6.65,6.5
04/11/15,150805899.0,6.58,6.52,6.7,6.43
05/11/15,37759470.0,6.52,6.52,6.55,6.43
06/11/15,78647297.0,6.44,6.44,6.51,6.37
09/11/15,195764603.0,6.41,6.26,6.41,5.88
10/11/15,87407260.0,6.1,6.21,6.36,6.1
11/11/15,97297094.0,6.18,6.05,6.24,5.94
12/11/15,115267725.0,6.05,6.05,6.18,5.88
13/11/15,39693986.0,5.9,5.95,6.01,5.88
16/11/15,99227152.0,5.91,5.7,5.91,5.55
17/11/15,73623764.0,5.77,5.82,5.89,5.75
20/11/15,71188896.0,5.82,5.85,6.2,5.82
23/11/15,66638157.0,5.95,6.12,6.16,5.95
24/11/15,121308746.0,6.14,6.1,6.16,6.07
25/11/15,74850476.0,6.16,6.28,6.3,6.16
26/11/15,92082325.0,6.3,6.24,6.3,6.16
27/11/15,173982644.0,6.25,6.2,6.27,6.1
01/12/15,135988439.0,6.21,6.28,6.41,6.2
02/12/15,72746852.0,6.28,6.26,6.35,6.24
03/12/15,28597861.0,6.27,6.23,6.28,6.2
04/12/15,121414882.0,6.1,6.18,6.22,6.05
07/12/15,93445635.0,6.19,6.17,6.19,5.99
08/12/15,78153364.0,6.12,5.91,6.12,5.91
09/12/15,82537311.0,5.92,5.9,6.03,5.9
10/12/15,55451162.0,5.9,5.9,6.0,5.88
11/12/15,118119851.0,5.91,5.7,5.97,5.7
14/12/15,72133499.0,5.7,5.8,5.8,5.47
15/12/15,43657337.0,5.8,5.84,5.88,5.75
16/12/15,90880150.0,5.9,6.04,6.04,5.78
17/12/15,43098478.0,6.09,6.21,6.24,6.09
18/12/15,130505269.0,6.16,6.2,6.21,6.01
21/12/15,35433115.0,6.14,6.12,6.3,6.06
22/12/15,27584719.0,6.12,6.05,6.2,6.05
23/12/15,56891996.0,6.21,6.07,6.21,6.04
28/12/15,19391091.0,6.09,6.2,6.2,6.06
29/12/15,64469438.0,6.08,6.2,6.21,6.08
04/01/16,38917673.0,6.21,6.06,6.23,5.98
05/01/16,48881489.0,6.0,6.0,6.1,5.9
06/01/16,53984059.0,6.05,6.1,6.14,6.05
07/01/16,33886664.0,6.1,5.65,6.1,5.65
08/01/16,73298330.0,5.65,5.7,5.85,5.53
11/01/16,79465562.0,5.7,5.54,5.7,5.51
12/01/16,48841529.0,5.54,5.55,5.7,5.52
13/01/16,71922808.0,5.57,5.68,5.76,5.56
14/01/16,49293789.0,5.6,5.64,5.7,5.51
15/01/16,42086658.0,5.67,5.6,5.75,5.58
18/01/16,53661226.0,5.51,5.44,5.52,5.4
19/01/16,14599228.0,5.43,5.8,5.8,5.42
20/01/16,54217476.0,5.59,5.5,5.76,5.48
21/01/16,78381513.0,5.45,5.4,5.5,5.37
22/01/16,57488355.0,5.38,5.38,5.5,5.29
25/01/16,47647339.0,5.55,5.54,5.56,5.47
26/01/16,34087597.0,5.52,5.48,5.55,5.43
27/01/16,60056864.0,5.5,5.37,5.56,5.37
28/01/16,102660726.0,5.4,5.48,5.5,5.37
29/01/16,141892307.0,5.5,5.48,5.54,5.42
01/02/16,59638626.0,5.52,5.43,5.57,5.43
02/02/16,122124009.0,5.46,5.43,5.5,5.35
03/02/16,54943115.0,5.45,5.15,5.45,5.15
04/02/16,129749604.0,5.17,5.26,5.33,5.16
05/02/16,85793951.0,5.33,5.23,5.36,5.2
09/02/16,58263038.0,5.19,5.2,5.27,5.17
10/02/16,47204721.0,5.2,5.21,5.26,5.19
11/02/16,30671246.0,5.22,5.21,5.25,5.2
12/02/16,45220811.0,5.2,5.19,5.21,5.16
15/02/16,119696224.0,5.22,5.3,5.37,5.21
16/02/16,241764468.0,5.35,5.61,5.7,5.35
17/02/16,130749615.0,5.73,5.68,5.75,5.66
18/02/16,231405107.0,5.7,5.7,5.76,5.67
19/02/16,92858684.0,5.71,5.82,5.94,5.7
22/02/16,33620790.0,5.88,5.82,5.9,5.77
23/02/16,78121178.0,5.82,5.8,5.83,5.77
24/02/16,72007316.0,5.8,5.65,5.8,5.55
26/02/16,27649840.0,5.69,5.6,5.73,5.5
29/02/16,146262623.0,5.6,5.7,5.73,5.6
01/03/16,110368369.0,5.7,5.7,5.76,5.67
02/03/16,163955797.0,5.72,5.78,5.89,5.72
03/03/16,190877073.0,5.88,5.98,6.04,5.88
04/03/16,121773073.0,6.0,6.03,6.04,5.93
07/03/16,119815989.0,6.04,6.04,6.09,6.01
08/03/16,77840310.0,6.04,6.1,6.15,5.98
09/03/16,118168988.0,6.15,6.18,6.22,6.1
10/03/16,150730110.0,6.18,6.25,6.35,6.15
11/03/16,91643306.0,6.25,6.34,6.45,6.25
14/03/16,107231236.0,6.36,6.17,6.43,6.14
15/03/16,54268533.0,6.28,6.25,6.28,6.19
16/03/16,99970656.0,6.25,6.08,6.25,6.02
17/03/16,54841179.0,6.08,6.17,6.24,6.08
18/03/16,193794001.0,6.17,5.96,6.22,5.96
21/03/16,123960262.0,5.91,5.93,6.1,5.91
