Date,Value,Open,Close,High,Low
20/07/15,25800.0,1.73,1.76,1.76,1.7
22/07/15,114060.0,1.7,1.72,1.72,1.7
23/07/15,3490.0,1.74,1.75,1.75,1.74
23/07/15,3490.0,1.74,1.75,1.75,1.74
23/07/15,3490.0,1.74,1.75,1.75,1.74
24/07/15,13680.0,1.7,1.78,1.78,1.7
27/07/15,1780.0,1.78,1.78,1.78,1.78
28/07/15,8550.0,1.71,1.71,1.71,1.71
29/07/15,3420.0,1.71,1.71,1.71,1.71
31/07/15,5100.0,1.7,1.7,1.7,1.7
03/08/15,32460.0,1.7,1.78,1.78,1.7
07/08/15,11900.0,1.7,1.7,1.7,1.7
10/08/15,26880.0,1.68,1.68,1.68,1.68
11/08/15,1690.0,1.69,1.69,1.69,1.69
12/08/15,7160.0,1.78,1.8,1.8,1.78
13/08/15,44520.0,1.79,1.78,1.79,1.78
17/08/15,41770.0,1.78,1.82,1.82,1.78
18/08/15,45500.0,1.82,1.82,1.82,1.82
19/08/15,1850.0,1.85,1.85,1.85,1.85
20/08/15,3700.0,1.85,1.85,1.85,1.85
24/08/15,1700.0,1.7,1.7,1.7,1.7
26/08/15,18550.0,1.7,1.69,1.7,1.68
27/08/15,1710.0,1.71,1.71,1.71,1.71
01/09/15,36800.0,1.6,1.6,1.6,1.6
02/09/15,222940.0,1.6,1.58,1.6,1.58
03/09/15,1870.0,1.87,1.87,1.87,1.87
07/09/15,1600.0,1.6,1.6,1.6,1.6
10/09/15,12800.0,1.6,1.6,1.6,1.6
14/09/15,9600.0,1.6,1.6,1.6,1.6
18/09/15,6600.0,1.7,1.6,1.7,1.6
21/09/15,142290.0,1.6,1.59,1.6,1.58
22/09/15,17670.0,1.59,1.84,1.84,1.58
23/09/15,5460.0,1.82,1.82,1.82,1.82
24/09/15,247470.0,1.75,1.97,2.05,1.75
28/09/15,29290.0,1.96,1.94,1.96,1.94
29/09/15,23900.0,1.61,1.91,1.91,1.61
30/09/15,11840.0,1.62,1.72,1.72,1.62
05/10/15,111790.0,1.91,1.88,1.92,1.87
06/10/15,400100.0,1.96,1.74,1.98,1.74
07/10/15,74900.0,1.74,1.81,1.82,1.73
08/10/15,8730.0,1.81,1.73,1.81,1.73
09/10/15,27770.0,1.73,1.82,1.82,1.73
12/10/15,19250.0,1.75,1.75,1.75,1.75
13/10/15,1750.0,1.75,1.75,1.75,1.75
14/10/15,63250.0,1.71,1.7,1.75,1.7
15/10/15,42470.0,1.69,1.7,1.7,1.69
19/10/15,1760.0,1.76,1.76,1.76,1.76
21/10/15,21970.0,1.69,1.69,1.69,1.69
22/10/15,5070.0,1.69,1.69,1.69,1.69
26/10/15,60380.0,1.7,1.66,1.7,1.66
29/10/15,43210.0,1.66,1.66,1.67,1.66
03/11/15,8350.0,1.67,1.67,1.67,1.67
04/11/15,13310.0,1.66,1.66,1.67,1.66
05/11/15,41500.0,1.66,1.66,1.66,1.66
09/11/15,1700.0,1.7,1.7,1.7,1.7
10/11/15,3400.0,1.7,1.7,1.7,1.7
11/11/15,16120.0,1.79,1.8,1.8,1.79
12/11/15,13920.0,1.79,1.69,1.79,1.69
17/11/15,8550.0,1.71,1.71,1.71,1.71
20/11/15,1710.0,1.71,1.71,1.71,1.71
23/11/15,11690.0,1.67,1.67,1.67,1.67
25/11/15,3340.0,1.67,1.67,1.67,1.67
27/11/15,3340.0,1.67,1.67,1.67,1.67
02/12/15,18520.0,1.7,1.67,1.7,1.67
04/12/15,1670.0,1.67,1.67,1.67,1.67
08/12/15,17670.0,1.77,1.74,1.77,1.74
09/12/15,15230.0,1.67,1.67,1.75,1.67
11/12/15,10020.0,1.67,1.67,1.67,1.67
28/12/15,33200.0,1.66,1.66,1.66,1.66
04/01/16,1660.0,1.66,1.66,1.66,1.66
08/01/16,73040.0,1.66,1.66,1.66,1.66
12/01/16,3320.0,1.66,1.66,1.66,1.66
13/01/16,18260.0,1.66,1.66,1.66,1.66
14/01/16,78500.0,1.7,1.6,1.7,1.6
15/01/16,16000.0,1.6,1.6,1.6,1.6
19/01/16,1600.0,1.6,1.6,1.6,1.6
21/01/16,18880.0,1.7,1.79,1.79,1.7
01/02/16,1790.0,1.79,1.79,1.79,1.79
24/02/16,135760.0,1.79,1.84,1.95,1.79
29/02/16,16410.0,1.61,1.83,1.83,1.6
01/03/16,10980.0,1.83,1.83,1.83,1.83
02/03/16,9800.0,1.75,1.61,1.75,1.61
03/03/16,691420.0,1.62,1.51,1.79,1.51
07/03/16,20800.0,1.6,1.6,1.6,1.6
10/03/16,23070.0,1.53,1.55,1.55,1.53
15/03/16,4670.0,1.57,1.55,1.57,1.55
16/03/16,31000.0,1.55,1.55,1.55,1.55
17/03/16,51930.0,1.66,1.68,1.68,1.66
21/03/16,3320.0,1.66,1.66,1.66,1.66
30/03/16,1550.0,1.55,1.55,1.55,1.55
31/03/16,3500.0,1.75,1.75,1.75,1.75
01/04/16,27870.0,1.75,1.67,1.75,1.67
04/04/16,25770.0,1.55,1.76,1.76,1.55
05/04/16,10510.0,1.76,1.75,1.76,1.75
06/04/16,6440.0,1.61,1.61,1.61,1.61
07/04/16,467350.0,1.75,1.9,1.94,1.71
08/04/16,92460.0,1.9,1.76,1.9,1.76
11/04/16,108000.0,1.8,1.8,1.8,1.8
14/04/16,9130.0,1.8,1.84,1.85,1.8
15/04/16,27040.0,1.61,1.83,1.83,1.6
20/04/16,1630.0,1.63,1.63,1.63,1.63
22/04/16,8350.0,1.67,1.67,1.67,1.67
25/04/16,33600.0,1.69,1.67,1.69,1.67
26/04/16,1660.0,1.66,1.66,1.66,1.66
27/04/16,13330.0,1.67,1.66,1.67,1.66
28/04/16,18370.0,1.67,1.67,1.67,1.67
02/05/16,10900.0,1.82,1.8,1.82,1.8
05/05/16,10020.0,1.67,1.67,1.67,1.67
06/05/16,35930.0,1.67,1.61,1.67,1.6
06/05/16,35930.0,1.67,1.61,1.67,1.6
10/05/16,10380.0,1.76,1.7,1.76,1.7
13/05/16,1700.0,1.7,1.7,1.7,1.7
16/05/16,1690.0,1.69,1.69,1.69,1.69
18/05/16,3400.0,1.7,1.7,1.7,1.7
20/05/16,3400.0,1.7,1.7,1.7,1.7
24/05/16,33550.0,1.68,1.67,1.68,1.67
25/05/16,5040.0,1.67,1.7,1.7,1.67
01/06/16,11970.0,1.71,1.71,1.71,1.71
02/06/16,73830.0,1.82,1.8,1.82,1.74
07/06/16,10040.0,1.66,1.68,1.68,1.66
08/06/16,50700.0,1.69,1.69,1.69,1.69
09/06/16,16900.0,1.69,1.69,1.69,1.69
10/06/16,19390.0,1.69,1.79,1.79,1.69
16/06/16,50490.0,1.75,1.74,1.75,1.74
17/06/16,17300.0,1.73,1.73,1.73,1.73
20/06/16,129420.0,1.68,1.72,2.3,1.67
21/06/16,1720.0,1.72,1.72,1.72,1.72
22/06/16,52430.0,1.95,1.85,1.95,1.71
23/06/16,49880.0,1.85,1.7,1.85,1.7
24/06/16,33900.0,1.7,1.8,1.8,1.7
27/06/16,3600.0,1.8,1.8,1.8,1.8
28/06/16,3480.0,1.66,1.82,1.82,1.66
29/06/16,7020.0,1.68,1.83,1.83,1.68
04/07/16,6760.0,1.69,1.69,1.69,1.69
07/07/16,47320.0,1.69,1.69,1.69,1.69
11/07/16,47880.0,1.84,1.85,1.85,1.84
12/07/16,63380.0,1.84,1.83,1.84,1.8
13/07/16,1750.0,1.75,1.75,1.75,1.75
14/07/16,5360.0,1.71,1.83,1.83,1.71
