Date,Value,Open,Close,High,Low
15/07/15,268220.0,0.18,0.187,0.187,0.18
16/07/15,124200.0,0.178,0.177,0.178,0.177
20/07/15,129060.0,0.177,0.173,0.177,0.173
21/07/15,404200.0,0.173,0.172,0.173,0.169
23/07/15,19360.0,0.175,0.177,0.177,0.175
23/07/15,19360.0,0.175,0.177,0.177,0.175
23/07/15,19360.0,0.175,0.177,0.177,0.175
24/07/15,29520.0,0.172,0.179,0.179,0.172
27/07/15,3500.0,0.175,0.175,0.175,0.175
28/07/15,7000.0,0.175,0.175,0.175,0.175
29/07/15,3469.9999999999995,0.173,0.174,0.174,0.173
30/07/15,651900.0,0.185,0.179,0.191,0.175
31/07/15,180490.0,0.181,0.181,0.181,0.172
04/08/15,67180.0,0.172,0.182,0.182,0.172
05/08/15,96320.0,0.172,0.172,0.172,0.172
07/08/15,224750.0,0.172,0.171,0.172,0.171
10/08/15,20640.0,0.172,0.172,0.172,0.172
12/08/15,362600.0,0.171,0.17,0.171,0.17
13/08/15,5100.000000000001,0.17,0.17,0.17,0.17
14/08/15,18700.0,0.17,0.17,0.17,0.17
17/08/15,105400.00000000001,0.17,0.17,0.17,0.17
18/08/15,32200.0,0.17,0.17,0.17,0.168
20/08/15,124100.0,0.17,0.17,0.17,0.17
24/08/15,45030.0,0.168,0.167,0.168,0.166
25/08/15,160600.0,0.165,0.16,0.165,0.16
26/08/15,7950.0,0.159,0.159,0.159,0.159
27/08/15,16000.0,0.16,0.16,0.16,0.16
28/08/15,5070.0,0.169,0.169,0.169,0.169
01/09/15,33810.0,0.161,0.161,0.161,0.161
02/09/15,64400.0,0.161,0.161,0.161,0.161
04/09/15,1680.0,0.168,0.168,0.168,0.168
07/09/15,1610.0,0.161,0.161,0.161,0.161
08/09/15,37260.0,0.162,0.162,0.162,0.162
09/09/15,51970.0,0.162,0.173,0.173,0.162
11/09/15,3400.0000000000005,0.17,0.17,0.17,0.17
17/09/15,116900.0,0.167,0.167,0.167,0.167
18/09/15,55800.0,0.174,0.175,0.175,0.174
22/09/15,140620.0,0.172,0.179,0.179,0.172
23/09/15,124340.0,0.171,0.17,0.171,0.17
28/09/15,34730.0,0.165,0.165,0.167,0.165
29/09/15,60680.0,0.164,0.164,0.164,0.164
30/09/15,98400.0,0.164,0.164,0.164,0.164
01/10/15,83330.0,0.164,0.163,0.164,0.163
02/10/15,55460.0,0.167,0.163,0.167,0.163
06/10/15,4890.0,0.163,0.163,0.163,0.163
08/10/15,3260.0,0.163,0.163,0.163,0.163
12/10/15,16200.0,0.162,0.162,0.162,0.162
13/10/15,10080.0,0.168,0.168,0.168,0.168
14/10/15,1719.9999999999998,0.172,0.172,0.172,0.172
16/10/15,13760.0,0.172,0.172,0.172,0.172
19/10/15,435150.0,0.16,0.168,0.168,0.159
20/10/15,17930.0,0.163,0.163,0.163,0.163
21/10/15,465840.0,0.167,0.162,0.178,0.162
23/10/15,1620.0,0.162,0.162,0.162,0.162
26/10/15,16100.0,0.161,0.161,0.161,0.161
27/10/15,4830.0,0.161,0.161,0.161,0.161
28/10/15,64400.0,0.161,0.161,0.161,0.161
30/10/15,44030.0,0.171,0.18,0.183,0.171
02/11/15,13030.0,0.164,0.162,0.164,0.162
03/11/15,267750.0,0.163,0.163,0.163,0.162
04/11/15,6560.0,0.164,0.164,0.164,0.164
06/11/15,37720.0,0.164,0.164,0.164,0.164
11/11/15,1640.0,0.164,0.164,0.164,0.164
12/11/15,65200.0,0.163,0.163,0.163,0.163
13/11/15,1640.0,0.164,0.164,0.164,0.164
20/11/15,256130.0,0.163,0.165,0.165,0.163
24/11/15,19800.0,0.165,0.165,0.165,0.165
25/11/15,17930.0,0.163,0.163,0.163,0.163
27/11/15,24600.0,0.164,0.164,0.164,0.164
03/12/15,23798000.0,0.163,0.163,0.163,0.163
09/12/15,504530.0,0.162,0.16,0.162,0.16
10/12/15,232400.0,0.173,0.16,0.173,0.16
11/12/15,294870.0,0.159,0.157,0.16,0.157
17/12/15,12480.0,0.156,0.156,0.156,0.156
18/12/15,26690.0,0.157,0.157,0.157,0.157
21/12/15,6400.0,0.16,0.16,0.16,0.16
04/01/16,30430.0,0.156,0.15,0.156,0.15
07/01/16,1520.0,0.152,0.152,0.152,0.152
08/01/16,143340.0,0.151,0.141,0.151,0.14
11/01/16,116420.0,0.144,0.139,0.144,0.139
12/01/16,5480.0,0.137,0.137,0.137,0.137
20/01/16,24680.0,0.138,0.137,0.138,0.137
21/01/16,27600.000000000004,0.138,0.138,0.138,0.138
25/01/16,1370.0,0.137,0.137,0.137,0.137
28/01/16,2780.0000000000005,0.139,0.139,0.139,0.139
29/01/16,35760.0,0.149,0.149,0.149,0.149
03/02/16,10780.0,0.154,0.154,0.154,0.154
05/02/16,1450.0,0.145,0.145,0.145,0.145
10/02/16,50750.0,0.145,0.145,0.145,0.145
15/02/16,4340.0,0.154,0.14,0.154,0.14
16/02/16,5600.000000000001,0.14,0.14,0.14,0.14
18/02/16,19890.0,0.15,0.153,0.154,0.15
22/02/16,21750.0,0.145,0.145,0.145,0.145
23/02/16,65320.0,0.157,0.16,0.161,0.157
24/02/16,11270.0,0.161,0.161,0.161,0.161
26/02/16,1550.0,0.155,0.155,0.155,0.155
29/02/16,17050.0,0.155,0.155,0.155,0.155
03/03/16,88410.0,0.155,0.155,0.156,0.155
07/03/16,16500.0,0.15,0.15,0.15,0.15
08/03/16,4950.0,0.165,0.165,0.165,0.165
09/03/16,33180.0,0.142,0.159,0.16,0.142
10/03/16,15230.0,0.146,0.155,0.155,0.146
11/03/16,171090.0,0.155,0.153,0.155,0.153
14/03/16,8170.0,0.167,0.16,0.167,0.16
16/03/16,86980.0,0.158,0.16,0.16,0.158
18/03/16,81690.0,0.151,0.154,0.159,0.151
21/03/16,91800.0,0.153,0.153,0.153,0.153
22/03/16,107100.0,0.153,0.153,0.153,0.153
29/03/16,85150.0,0.155,0.154,0.155,0.154
01/04/16,47680.0,0.154,0.153,0.16,0.153
04/04/16,19890.0,0.153,0.153,0.153,0.153
05/04/16,12400.0,0.155,0.155,0.155,0.155
06/04/16,13860.0,0.154,0.154,0.154,0.154
07/04/16,52260.0,0.159,0.158,0.159,0.158
08/04/16,51170.0,0.158,0.16,0.16,0.158
11/04/16,735920.0,0.16,0.156,0.168,0.156
12/04/16,125300.0,0.157,0.156,0.157,0.156
13/04/16,25560.0,0.153,0.161,0.161,0.153
14/04/16,8050.0,0.161,0.161,0.161,0.161
19/04/16,15840.0,0.159,0.153,0.159,0.153
22/04/16,47220.0,0.155,0.15,0.155,0.15
25/04/16,66100.0,0.151,0.15,0.151,0.15
