Date,Value,Open,Close,High,Low
15/07/15,3400.0,3.4,3.4,3.4,3.4
22/07/15,78040.0,3.15,3.1,3.15,3.1
23/07/15,24820.0,3.11,3.1,3.11,3.1
23/07/15,24820.0,3.11,3.1,3.11,3.1
23/07/15,24820.0,3.11,3.1,3.11,3.1
28/07/15,413630.0,3.11,3.11,3.11,3.11
06/08/15,32000.0,3.2,3.2,3.2,3.2
07/08/15,350900.0,2.73,3.2,3.2,2.73
10/08/15,765920.0,2.75,3.21,3.21,2.75
11/08/15,582699.9999999999,2.76,3.1,3.1,2.76
12/08/15,291200.0,3.2,3.2,3.2,3.2
13/08/15,2924100.0,3.0,3.09,3.09,2.77
14/08/15,938399.9999999999,2.76,2.76,2.76,2.76
17/08/15,266220.0,3.0,3.09,3.09,3.0
18/08/15,951999.9999999999,2.8,2.8,2.8,2.8
19/08/15,1331390.0,2.82,3.1,3.15,2.82
20/08/15,509700.0,2.81,3.2,3.2,2.81
24/08/15,507600.0,2.82,2.82,2.82,2.82
25/08/15,479400.0,2.82,2.82,2.82,2.82
26/08/15,484500.0,2.85,2.85,2.85,2.85
27/08/15,494700.0,2.91,2.91,2.91,2.91
28/08/15,599700.0,2.91,3.1,3.1,2.91
01/09/15,508210.0,2.91,2.8,2.91,2.8
02/09/15,506620.0,2.81,2.99,2.99,2.81
03/09/15,563450.0,3.05,3.15,3.2,3.05
04/09/15,524800.0,3.0,3.2,3.2,3.0
07/09/15,479400.0,2.82,2.82,2.82,2.82
08/09/15,604150.0,2.92,3.35,3.75,2.92
10/09/15,649000.0,3.03,3.35,3.49,3.03
14/09/15,34100.0,3.1,3.1,3.1,3.1
16/09/15,517700.0,3.1,3.1,3.1,3.1
17/09/15,527000.0,3.1,3.1,3.1,3.1
18/09/15,481599.99999999994,3.01,3.01,3.01,3.01
21/09/15,20150.0,3.2,3.39,3.39,3.2
22/09/15,463500.0,3.09,3.09,3.09,3.09
24/09/15,52700.0,3.1,3.1,3.1,3.1
01/10/15,30550.0,3.05,3.35,3.35,2.92
05/10/15,483200.0,3.02,3.02,3.02,3.02
06/10/15,50630.0,3.29,3.4,3.4,3.29
07/10/15,251700.0,3.39,3.39,3.45,3.39
08/10/15,205200.0,3.39,3.1,3.39,3.1
09/10/15,655160.0,3.3,3.5,3.5,3.3
12/10/15,1169310.0,3.6,4.0,5.02,3.6
13/10/15,280400.0,4.0,3.9,4.0,3.7
14/10/15,11160.0,3.72,3.72,3.72,3.72
15/10/15,55800.0,3.72,3.72,3.72,3.72
16/10/15,41560.0,3.79,3.73,3.8,3.73
20/10/15,549570.0,3.68,3.95,3.95,3.68
21/10/15,387020.0,4.0,4.06,4.1,4.0
22/10/15,209480.0,3.69,4.06,4.06,3.69
26/10/15,711690.0,4.0,4.19,4.19,4.0
27/10/15,331110.0,4.2,4.01,4.3,4.0
29/10/15,198780.0,4.0,3.8,4.0,3.8
30/10/15,30400.0,3.8,3.8,3.8,3.8
02/11/15,386950.0,4.19,4.8,5.0,3.96
03/11/15,205910.0,4.75,4.3,5.0,4.02
05/11/15,122050.0,4.21,4.22,4.22,4.2
09/11/15,21170.0,4.24,4.23,4.24,4.23
10/11/15,51460.0,4.25,4.36,4.36,4.25
11/11/15,173280.0,4.7,4.5,4.7,4.5
12/11/15,1485140.0,4.76,4.92,5.68,4.76
13/11/15,56400.0,4.7,4.7,4.7,4.7
16/11/15,9480.0,4.74,4.74,4.74,4.74
17/11/15,19240.0,4.81,4.81,4.81,4.81
20/11/15,1048620.0,5.1,5.6,5.88,5.0
23/11/15,17588683.0,5.8,6.5,7.7,5.8
24/11/15,1132654.0,6.5,5.78,6.5,5.51
25/11/15,3802048.0,5.65,6.6,6.9,5.65
26/11/15,2175738.0,6.97,6.32,6.99,6.3
27/11/15,1053469.0,6.21,6.44,6.55,6.1
01/12/15,239063.0,6.1,6.01,6.44,6.0
02/12/15,570895.0,5.95,6.15,6.15,5.78
03/12/15,1320248.0,5.81,5.5,6.1,5.5
04/12/15,1742903.0,5.5,5.06,5.65,5.0
07/12/15,1006743.0,5.24,5.45,5.5,5.11
