Date,Value,Open,Close,High,Low
16/07/15,4300.0,4.3,4.3,4.3,4.3
20/07/15,141900.0,4.3,4.3,4.3,4.3
21/07/15,60200.0,4.3,4.3,4.3,4.3
22/07/15,197800.0,4.3,4.3,4.3,4.3
23/07/15,52200.0,4.35,4.35,4.35,4.35
23/07/15,52200.0,4.35,4.35,4.35,4.35
23/07/15,52200.0,4.35,4.35,4.35,4.35
24/07/15,98900.0,4.3,4.3,4.3,4.3
27/07/15,224550.0,4.3,4.35,4.35,4.3
28/07/15,17000.0,4.25,4.25,4.25,4.25
29/07/15,84670.0,4.25,4.2,4.25,4.2
30/07/15,21020.0,4.2,4.21,4.21,4.2
31/07/15,50380.0,4.2,4.15,4.21,4.15
03/08/15,100960.0,4.22,4.2,4.22,4.2
04/08/15,59080.0,4.22,4.22,4.22,4.22
06/08/15,17030.0,4.21,4.4,4.4,4.21
07/08/15,34400.0,4.3,4.3,4.3,4.3
11/08/15,695240.0,4.3,4.16,4.3,4.16
12/08/15,71060.0,4.18,4.18,4.18,4.18
13/08/15,4190.0,4.19,4.19,4.19,4.19
14/08/15,899790.0,4.3,4.4,4.4,4.3
17/08/15,288100.0,4.3,4.3,4.3,4.3
18/08/15,38250.0,4.25,4.25,4.25,4.25
19/08/15,17100.0,4.35,4.25,4.35,4.25
20/08/15,214000.0,4.28,4.28,4.28,4.28
24/08/15,450870.0,4.28,4.19,4.28,4.19
25/08/15,50280.00000000001,4.19,4.19,4.19,4.19
26/08/15,196860.0,4.19,4.19,4.19,4.18
27/08/15,108680.0,4.18,4.18,4.18,4.18
28/08/15,442790.0,4.18,4.18,4.18,4.15
01/09/15,58200.0,4.16,4.15,4.16,4.15
02/09/15,604710.0,4.15,4.1,4.15,4.1
03/09/15,24750.0,4.2,4.11,4.2,4.11
04/09/15,45680.0,4.12,4.3,4.3,4.12
07/09/15,4300.0,4.3,4.3,4.3,4.3
08/09/15,82400.0,4.12,4.12,4.12,4.12
09/09/15,846410.0,4.13,4.13,4.13,4.1
10/09/15,49950.0,4.3,4.15,4.3,4.15
11/09/15,1461900.0,4.1,4.13,4.13,4.1
15/09/15,8160.0,4.08,4.08,4.08,4.08
15/09/15,8160.0,4.08,4.08,4.08,4.08
15/09/15,8160.0,4.08,4.08,4.08,4.08
16/09/15,58670.0,4.1,4.2,4.2,4.1
18/09/15,215200.0,4.22,4.2,4.22,4.2
21/09/15,8180.0,4.1,4.08,4.1,4.08
22/09/15,69600.0,4.2,4.06,4.2,4.06
23/09/15,64959.999999999985,4.06,4.06,4.06,4.06
29/09/15,606260.0,4.1,4.08,4.1,3.92
30/09/15,229150.0,4.05,4.0,4.05,3.82
01/10/15,59410.0,3.86,3.88,4.0,3.86
02/10/15,524040.0,4.0,3.85,4.0,3.85
05/10/15,159820.0,4.0,4.0,4.0,3.97
06/10/15,20240.0,4.04,4.05,4.05,4.04
07/10/15,4050.0,4.05,4.05,4.05,4.05
08/10/15,4080.0,4.08,4.08,4.08,4.08
12/10/15,4193850.0,3.91,4.0,4.08,3.91
13/10/15,92000.0,4.0,4.0,4.0,4.0
14/10/15,82910.0,4.0,3.9,4.0,3.9
15/10/15,94650.0,3.99,4.0,4.0,3.86
16/10/15,3990.0,3.99,3.99,3.99,3.99
19/10/15,382250.0,3.91,3.9,3.91,3.9
20/10/15,63560.0,3.97,3.97,3.99,3.97
21/10/15,351340.0,3.98,3.88,3.98,3.88
22/10/15,563440.0,3.9,3.8,3.9,3.7
26/10/15,3800.0,3.8,3.8,3.8,3.8
27/10/15,30400.0,3.8,3.8,3.8,3.8
28/10/15,27930.0,3.99,3.99,3.99,3.99
30/10/15,39000.0,3.9,3.9,3.9,3.9
02/11/15,425150.0,3.91,3.9,3.91,3.9
03/11/15,23400.0,3.9,3.9,3.9,3.9
04/11/15,19100.0,3.82,3.82,3.82,3.82
05/11/15,635020.0,3.81,3.8,3.82,3.8
06/11/15,349600.0,3.8,3.8,3.8,3.8
09/11/15,60260.0,3.77,3.76,3.77,3.76
10/11/15,437670.0,3.77,3.7,3.9,3.7
11/11/15,177820.0,3.7,3.6,3.7,3.6
12/11/15,3950.0,3.95,3.95,3.95,3.95
13/11/15,39000.0,3.9,3.9,3.9,3.9
16/11/15,1997200.0,3.9,3.9,3.9,3.8
17/11/15,120900.0,3.9,3.9,3.9,3.9
20/11/15,3043570.0,3.99,4.26,4.55,3.98
23/11/15,676790.0,4.29,4.25,4.54,4.21
24/11/15,1275000.0,4.25,4.25,4.25,4.25
25/11/15,335100.0,4.3,4.25,4.3,4.25
26/11/15,95800.0,4.25,4.1,4.25,4.1
01/12/15,85990.0,3.95,4.1,4.15,3.95
02/12/15,20500.0,4.1,4.1,4.1,4.1
03/12/15,2211350.0,4.1,4.25,4.25,4.1
04/12/15,721300.0,4.25,4.15,4.3,4.15
08/12/15,46500.0,4.15,4.25,4.25,4.1
09/12/15,315340.0,4.2,4.25,4.25,4.1
10/12/15,21250.0,4.25,4.25,4.25,4.25
15/12/15,25090.0,4.34,4.15,4.34,4.15
16/12/15,130200.0,4.35,4.35,4.37,4.25
17/12/15,163630.0,4.34,4.1,4.37,4.1
18/12/15,12450.000000000002,4.15,4.15,4.15,4.15
21/12/15,21220.0,4.14,4.16,4.39,4.14
23/12/15,8200.0,4.1,4.1,4.1,4.1
28/12/15,4100.0,4.1,4.1,4.1,4.1
29/12/15,799770.0,4.38,4.4,4.4,4.26
04/01/16,705850.0,4.2,4.4,4.4,4.1
05/01/16,707800.0,4.1,4.4,4.4,4.1
06/01/16,203150.0,4.45,4.3,4.45,4.3
07/01/16,626950.0,4.2,4.25,4.4,4.2
08/01/16,42500.0,4.25,4.25,4.25,4.25
11/01/16,2283350.0,4.1,4.2,4.2,4.1
12/01/16,1438480.0,4.2,4.2,4.2,4.14
13/01/16,1277690.0,4.2,4.4,4.4,4.2
14/01/16,55250.0,4.25,4.25,4.25,4.25
15/01/16,118460.0,4.3,4.42,4.42,4.3
18/01/16,403760.0,4.38,4.4,4.4,4.38
19/01/16,778860.0,4.4,4.43,4.43,4.2
20/01/16,3356930.0,4.44,4.52,4.54,4.25
21/01/16,621170.0,4.53,4.41,4.53,4.41
22/01/16,540430.0,4.42,4.42,4.5,4.42
25/01/16,350300.0,4.54,4.5,4.54,4.45
26/01/16,557580.0,4.5,4.5,4.5,4.43
27/01/16,458700.0,4.5,4.5,4.5,4.49
28/01/16,356080.0,4.5,4.53,4.54,4.5
29/01/16,121790.0,4.5,4.51,4.52,4.5
01/02/16,1163740.0,4.54,4.78,4.9,4.54
02/02/16,1990020.0,4.78,4.8,4.8,4.62
03/02/16,84610.0,4.67,4.72,4.72,4.67
04/02/16,813260.0,4.7,4.8,4.82,4.65
05/02/16,166010.0,4.78,4.74,4.78,4.73
09/02/16,283760.0,4.74,4.73,4.79,4.71
10/02/16,335160.0,4.74,4.71,4.75,4.7
11/02/16,70060.0,4.68,4.65,4.71,4.61
12/02/16,165850.0,4.65,4.6,4.65,4.6
15/02/16,294900.0,4.6,4.6,4.61,4.6
16/02/16,88350.0,4.65,4.65,4.65,4.65
17/02/16,133440.0,4.6,4.6,4.62,4.6
18/02/16,23200.0,4.6,4.7,4.7,4.6
19/02/16,251750.0,4.75,4.75,4.75,4.75
22/02/16,97400.0,4.76,4.6,4.76,4.6
23/02/16,109800.0,4.6,4.7,4.7,4.5
26/02/16,1486550.0,4.6,4.8,4.8,4.6
29/02/16,887000.0,4.7,4.8,4.8,4.65
01/03/16,230400.0,4.8,4.8,4.8,4.8
02/03/16,701560.0,4.81,4.82,4.82,4.7
03/03/16,119930.0,4.74,4.8,4.8,4.74
04/03/16,19000.0,4.6,4.8,4.8,4.6
07/03/16,680580.0,4.6,4.8,4.8,4.6
08/03/16,66390.0,4.8,4.71,4.8,4.71
09/03/16,2425280.0,4.71,4.9,4.9,4.71
10/03/16,2276120.0,4.89,4.96,5.02,4.89
11/03/16,1342230.0,4.94,4.96,5.0,4.93
14/03/16,389400.0,5.0,5.0,5.0,4.96
15/03/16,110671.0,5.01,5.0,5.02,5.0
16/03/16,605440.0,5.01,4.98,5.01,4.88
17/03/16,49800.0,4.98,4.98,4.98,4.98
18/03/16,261300.0,4.87,5.0,5.0,4.87
21/03/16,4060685.0,4.84,5.0,5.0,4.84
22/03/16,535528.0,4.95,5.04,5.04,4.95
23/03/16,419625.0,5.0,5.05,5.05,5.0
28/03/16,98150.0,4.95,4.9,4.95,4.9
29/03/16,215780.0,4.9,4.9,4.99,4.9
30/03/16,1010000.0,5.0,5.0,5.0,5.0
31/03/16,5022672.0,4.98,5.02,5.03,4.98
01/04/16,1170956.0,5.02,5.03,5.04,5.0
04/04/16,67850.0,5.1,5.0,5.1,4.9
05/04/16,19800.0,4.95,4.95,4.95,4.95
06/04/16,4326600.0,4.96,4.96,5.07,4.96
07/04/16,729700.0,5.0,5.0,5.0,4.94
08/04/16,957330.0,5.0,5.0,5.12,5.0
11/04/16,197928.0,5.0,5.02,5.03,5.0
12/04/16,3173653.0,5.02,5.12,5.19,5.02
13/04/16,350238.0,5.2,5.2,5.2,5.13
14/04/16,7607354.0,5.16,5.34,5.36,5.16
15/04/16,7360785.0,5.34,5.52,5.53,5.25
18/04/16,14351559.0,5.53,5.63,5.8,5.41
19/04/16,4000879.0,5.7,5.8,5.8,5.7
20/04/16,1809887.0,5.79,5.75,5.79,5.75
21/04/16,1329418.0,5.75,5.75,5.78,5.75
22/04/16,2095761.0,5.75,5.61,5.75,5.6
25/04/16,3866025.0,5.61,5.7,5.79,5.61
26/04/16,3799010.0,5.7,5.7,5.7,5.6
27/04/16,2036047.0,5.6,5.55,5.6,5.5
28/04/16,2289260.0,5.4,5.45,5.55,5.4
29/04/16,2030580.0,5.4,5.45,5.45,5.3
02/05/16,330833.0,5.4,5.45,5.45,5.35
03/05/16,578090.0,5.5,5.5,5.5,5.45
04/05/16,2544527.0,5.5,5.51,5.76,5.5
05/05/16,1860954.0,5.5,5.65,5.68,5.45
06/05/16,2629141.0,5.69,5.7,5.73,5.69
06/05/16,2629141.0,5.69,5.7,5.73,5.69
10/05/16,1128456.0,5.6,5.74,5.78,5.6
11/05/16,2702908.0,5.78,5.8,5.8,5.78
12/05/16,1490780.0,5.8,5.84,5.87,5.8
13/05/16,3596414.0,5.85,5.88,5.92,5.85
16/05/16,19349609.0,5.94,6.1,6.1,5.9
17/05/16,6237068.0,6.1,6.21,6.24,6.1
18/05/16,11764853.0,6.28,6.24,6.28,6.21
19/05/16,3711149.0,6.24,6.2,6.26,6.19
20/05/16,3171814.0,6.2,6.28,6.28,6.17
23/05/16,3324801.0,6.28,6.26,6.3,6.2
24/05/16,6858478.0,6.24,6.2,6.26,6.2
25/05/16,4371954.0,6.2,6.2,6.2,6.18
26/05/16,9982972.0,6.18,6.25,6.34,6.18
27/05/16,7129972.0,6.3,6.4,6.4,6.21
30/05/16,490835.0,6.4,6.4,6.4,6.33
31/05/16,977890.0,6.34,6.2,6.39,6.04
01/06/16,588219.0,6.39,6.21,6.39,6.2
02/06/16,193752.0,6.21,6.21,6.21,6.21
03/06/16,469065.0,6.25,6.2,6.25,6.2
06/06/16,2229433.0,6.2,6.38,6.44,6.2
07/06/16,6051326.0,6.4,6.4,6.4,6.35
08/06/16,9965035.0,6.42,6.44,6.44,6.39
09/06/16,5862051.0,6.42,6.48,6.48,6.42
10/06/16,6921509.0,6.48,6.49,6.49,6.43
13/06/16,181319.0,6.49,6.4,6.49,6.4
14/06/16,321401.0,6.49,6.4,6.49,6.4
15/06/16,133815.0,6.4,6.4,6.45,6.4
16/06/16,7462935.0,6.39,6.5,6.52,6.39
17/06/16,953454.0,6.5,6.5,6.5,6.41
20/06/16,891336.0,6.5,6.48,6.5,6.4
21/06/16,213863.0,6.48,6.4,6.48,6.4
22/06/16,1551409.0,6.4,6.4,6.45,6.35
23/06/16,324466.0,6.4,6.38,6.4,6.38
24/06/16,613827.0,6.37,6.3,6.37,6.3
27/06/16,722924.0,6.0,6.29,6.3,5.8
28/06/16,521826.0,6.29,6.25,6.3,6.25
29/06/16,270603.0,6.25,6.37,6.37,6.25
30/06/16,28082948.0,6.37,6.6,6.6,6.37
01/07/16,1381165.0,6.57,6.5,6.57,6.5
04/07/16,3253380.0,6.4,6.45,6.6,6.4
05/07/16,238348.0,6.6,6.5,6.6,6.45
07/07/16,1866868.0,6.5,6.55,6.59,6.44
11/07/16,586552.0,6.46,6.47,6.59,6.46
12/07/16,473090.0,6.58,6.55,6.58,6.47
13/07/16,20330820.0,6.58,6.75,7.11,6.58
14/07/16,12046348.0,6.9,6.9,6.9,6.8
