Date,Value,Open,Close,High,Low
15/07/15,54483870.0,1.93,1.92,1.96,1.89
16/07/15,44361270.0,1.93,1.96,1.99,1.92
20/07/15,66335560.0,1.99,2.02,2.04,1.96
21/07/15,19254670.0,2.02,1.97,2.02,1.96
22/07/15,23315420.0,1.97,2.0,2.02,1.97
23/07/15,32500810.0,2.0,1.95,2.0,1.95
23/07/15,32500810.0,2.0,1.95,2.0,1.95
23/07/15,32500810.0,2.0,1.95,2.0,1.95
24/07/15,29597560.0,1.99,1.95,2.0,1.94
27/07/15,26842580.0,1.95,1.92,1.97,1.92
28/07/15,16682140.0,1.94,1.89,1.94,1.89
29/07/15,17337820.0,1.9,1.93,1.95,1.9
30/07/15,78188190.0,1.93,1.91,1.96,1.9
31/07/15,17624650.0,1.93,1.89,1.93,1.89
03/08/15,83107020.0,1.92,1.99,2.0,1.91
04/08/15,52693440.0,2.0,1.93,2.02,1.92
05/08/15,128205490.0,1.97,2.0,2.05,1.96
06/08/15,68283150.0,2.0,1.95,2.05,1.95
07/08/15,127527820.0,1.96,1.92,1.96,1.91
10/08/15,23659260.0,1.93,1.94,1.96,1.93
11/08/15,85584500.0,1.95,1.95,2.0,1.93
12/08/15,54166170.0,1.95,1.92,1.96,1.9
13/08/15,92749170.0,1.92,1.88,1.94,1.85
14/08/15,24079380.0,1.88,1.85,1.9,1.85
17/08/15,27621510.0,1.88,1.9,1.91,1.85
18/08/15,24769630.0,1.91,1.92,1.92,1.88
19/08/15,69354960.0,1.92,1.93,1.96,1.9
20/08/15,23739060.0,1.93,1.89,1.95,1.89
24/08/15,103820220.0,1.86,1.7,1.86,1.7
25/08/15,51397090.0,1.69,1.69,1.77,1.68
26/08/15,64461910.0,1.73,1.79,1.8,1.73
27/08/15,55893790.0,1.8,1.79,1.84,1.77
28/08/15,96997190.0,1.79,1.79,1.84,1.77
01/09/15,36415820.0,1.79,1.8,1.84,1.79
02/09/15,49773190.0,1.79,1.76,1.79,1.74
03/09/15,19481400.0,1.79,1.76,1.81,1.75
04/09/15,14383280.0,1.78,1.76,1.78,1.75
07/09/15,32502830.0,1.76,1.73,1.77,1.73
08/09/15,6536010.0,1.76,1.71,1.76,1.71
09/09/15,4926950.0,1.75,1.74,1.76,1.72
10/09/15,20299720.0,1.72,1.7,1.74,1.7
11/09/15,35938920.0,1.73,1.69,1.73,1.68
14/09/15,20373540.0,1.7,1.69,1.71,1.69
15/09/15,60559860.0,1.71,1.79,1.79,1.7
15/09/15,60559860.0,1.71,1.79,1.79,1.7
15/09/15,60559860.0,1.71,1.79,1.79,1.7
16/09/15,65849450.0,1.79,1.75,1.87,1.75
17/09/15,31184950.0,1.77,1.76,1.8,1.75
18/09/15,36787910.0,1.78,1.78,1.82,1.77
21/09/15,29225020.0,1.78,1.76,1.78,1.74
22/09/15,47603740.0,1.78,1.77,1.8,1.76
23/09/15,15666650.0,1.78,1.77,1.79,1.74
24/09/15,16685350.0,1.77,1.74,1.78,1.74
28/09/15,9075680.0,1.74,1.75,1.76,1.73
29/09/15,194348390.0,1.74,1.68,1.74,1.68
30/09/15,38295660.0,1.69,1.68,1.7,1.67
01/10/15,17795910.0,1.7,1.68,1.72,1.67
02/10/15,51900770.0,1.68,1.61,1.69,1.6
05/10/15,11695210.0,1.65,1.65,1.67,1.64
06/10/15,50788580.0,1.68,1.7,1.75,1.67
07/10/15,9865610.0,1.7,1.7,1.74,1.69
08/10/15,4844210.0,1.71,1.73,1.74,1.71
09/10/15,30192750.0,1.73,1.78,1.79,1.73
12/10/15,25556980.0,1.79,1.78,1.79,1.73
13/10/15,4929870.0,1.78,1.77,1.79,1.73
14/10/15,5527360.0,1.77,1.77,1.77,1.73
15/10/15,15295720.0,1.77,1.74,1.77,1.72
16/10/15,22151050.0,1.74,1.69,1.75,1.69
19/10/15,20815840.0,1.7,1.68,1.72,1.66
20/10/15,9667520.0,1.7,1.7,1.72,1.68
21/10/15,56499790.0,1.72,1.74,1.74,1.71
22/10/15,23063970.0,1.74,1.73,1.75,1.72
23/10/15,24039520.0,1.74,1.73,1.77,1.73
26/10/15,30034010.0,1.75,1.76,1.78,1.75
27/10/15,3285310.0,1.76,1.76,1.76,1.73
28/10/15,67849230.0,1.76,1.72,1.76,1.71
