Date,Value,Open,Close,High,Low
20/07/15,6750.0,6.75,6.75,6.75,6.75
21/07/15,20156.0,6.52,6.5,6.52,6.5
23/07/15,3900.0,6.5,6.5,6.5,6.5
23/07/15,3900.0,6.5,6.5,6.5,6.5
23/07/15,3900.0,6.5,6.5,6.5,6.5
24/07/15,1950.0,6.5,6.5,6.5,6.5
27/07/15,162822.0,6.8,7.77,7.77,6.8
28/07/15,4656.0,7.76,7.76,7.76,7.76
29/07/15,36404.0,7.16,7.7,7.7,7.12
30/07/15,4290.0,7.15,7.15,7.15,7.15
31/07/15,3600.0,7.2,7.2,7.2,7.2
03/08/15,22050.0,7.65,7.2,7.65,7.2
04/08/15,7660.0,7.66,7.66,7.66,7.66
05/08/15,157080.0,7.6,7.77,7.77,7.6
06/08/15,405640.0,7.82,7.8,7.82,7.8
07/08/15,103314.0,7.71,7.71,7.71,7.71
10/08/15,1575.0,7.9,7.85,7.9,7.85
11/08/15,110233.0,7.71,7.71,7.72,7.7
12/08/15,185672.0,7.71,7.23,7.99,7.23
13/08/15,16046.0,7.79,7.27,7.79,7.27
14/08/15,8615.0,7.8,7.88,7.89,7.8
17/08/15,15175.0,7.39,7.21,7.39,7.21
19/08/15,4362.0,7.27,7.27,7.27,7.27
20/08/15,5509.0,7.87,7.87,7.87,7.87
24/08/15,40181.0,7.5,7.13,7.5,7.1
25/08/15,717.0,7.17,7.17,7.17,7.17
26/08/15,21600.0,7.2,7.2,7.2,7.2
27/08/15,50653.0,7.23,7.25,7.25,7.22
01/09/15,8602.0,7.82,7.82,7.82,7.82
04/09/15,5125.0,7.33,7.32,7.33,7.32
07/09/15,732.0,7.32,7.32,7.32,7.32
08/09/15,16836.0,7.32,7.32,7.32,7.32
10/09/15,53066.0,7.32,7.21,7.32,7.2
14/09/15,10178.0,7.27,7.27,7.27,7.27
16/09/15,5103.0,7.29,7.29,7.29,7.29
17/09/15,11726.0,7.33,7.32,7.33,7.32
18/09/15,2976.0,7.44,7.44,7.44,7.44
22/09/15,7500.0,7.5,7.5,7.5,7.5
29/09/15,12000.0,7.5,7.5,7.5,7.5
30/09/15,1500.0,7.5,7.5,7.5,7.5
01/10/15,22940.0,7.4,7.4,7.4,7.4
