Date,Value,Open,Close,High,Low
15/07/15,20400.0,0.68,0.68,0.68,0.68
16/07/15,720.0,0.72,0.72,0.72,0.72
21/07/15,8640.0,0.72,0.72,0.72,0.72
23/07/15,2479000.0,0.74,0.74,0.74,0.74
23/07/15,2479000.0,0.74,0.74,0.74,0.74
23/07/15,2479000.0,0.74,0.74,0.74,0.74
24/07/15,9520.0,0.68,0.68,0.68,0.68
28/07/15,136000.0,0.68,0.68,0.68,0.68
29/07/15,14960.000000000002,0.68,0.68,0.68,0.68
31/07/15,14600.0,0.73,0.73,0.73,0.73
20/08/15,18480.0,0.66,0.66,0.66,0.66
24/08/15,18490.0,0.67,0.66,0.67,0.66
28/08/15,63000.0,0.65,0.74,0.74,0.65
01/09/15,1350.0,0.7,0.65,0.7,0.65
04/09/15,25460.0,0.67,0.67,0.67,0.67
07/09/15,7220.0,0.69,0.65,0.69,0.65
21/09/15,2760.0,0.69,0.69,0.69,0.69
24/09/15,325110.0,0.66,0.65,0.66,0.65
28/09/15,15360.0,0.64,0.64,0.64,0.64
30/09/15,11620.0,0.64,0.65,0.65,0.64
13/10/15,32500.0,0.65,0.65,0.65,0.65
14/10/15,3250.0,0.65,0.65,0.65,0.65
29/10/15,585000.0,0.65,0.65,0.65,0.65
30/10/15,13000.0,0.65,0.65,0.65,0.65
20/11/15,13000.0,0.65,0.65,0.65,0.65
27/11/15,13000.0,0.65,0.65,0.65,0.65
29/12/15,1110000.0,0.74,0.74,0.74,0.74
04/01/16,2920.0,0.73,0.73,0.73,0.73
05/01/16,7100.0,0.71,0.71,0.71,0.71
06/01/16,7590.0,0.69,0.69,0.69,0.69
08/01/16,3150.0,0.63,0.63,0.63,0.63
14/01/16,630000.0,0.63,0.63,0.63,0.63
29/01/16,7200.0,0.72,0.72,0.72,0.72
01/02/16,720.0,0.72,0.72,0.72,0.72
11/02/16,5040.0,0.72,0.72,0.72,0.72
15/02/16,14400.0,0.72,0.72,0.72,0.72
16/02/16,5600.0,0.7,0.7,0.7,0.7
29/02/16,6390.0,0.71,0.71,0.71,0.71
15/03/16,8800.0,0.6,0.7,0.7,0.6
31/03/16,7000.0,0.7,0.7,0.7,0.7
08/04/16,4350.0,0.6,0.63,0.63,0.6
15/04/16,8400.0,0.7,0.7,0.7,0.7
29/04/16,3500.0,0.7,0.7,0.7,0.7
02/05/16,5360.0,0.67,0.67,0.67,0.67
04/05/16,6880.0,0.69,0.68,0.69,0.68
13/05/16,3500.0,0.7,0.7,0.7,0.7
19/05/16,700.0,0.7,0.7,0.7,0.7
30/05/16,730.0,0.73,0.73,0.73,0.73
10/06/16,7300.0,0.73,0.73,0.73,0.73
23/06/16,700.0,0.7,0.7,0.7,0.7
