Date,Value,Open,Close,High,Low
15/07/15,670450.0,122.8,122.9,122.9,122.6
16/07/15,1240249.0,123.0,123.8,123.9,122.9
20/07/15,883448.0,123.9,123.0,123.9,122.9
21/07/15,616586.0,123.4,124.0,124.0,123.0
22/07/15,14036486.0,124.0,124.1,124.1,123.6
23/07/15,4155954.0,124.1,124.4,124.4,123.4
23/07/15,4155954.0,124.1,124.4,124.4,123.4
23/07/15,4155954.0,124.1,124.4,124.4,123.4
24/07/15,1045964.0,124.4,124.5,124.5,123.8
27/07/15,604168.0,124.3,122.9,124.3,122.9
28/07/15,3942618.0,122.9,122.0,123.0,121.8
29/07/15,408073.0,122.1,122.0,122.4,121.9
30/07/15,290437.0,122.3,122.4,122.7,122.3
31/07/15,94420.0,122.5,123.0,123.0,122.3
03/08/15,466355.0,123.0,123.5,123.5,122.6
04/08/15,673501.0,123.5,123.5,123.5,123.0
05/08/15,836165.0,124.0,124.8,124.9,124.0
06/08/15,976187.0,125.0,123.6,125.0,123.6
07/08/15,1363219.0,124.2,122.4,124.2,122.0
10/08/15,743684.0,122.9,122.9,123.0,122.7
11/08/15,7016093.0,124.0,123.3,124.0,122.7
12/08/15,412939.0,123.3,122.2,123.3,122.0
13/08/15,914655.0,122.0,121.2,122.0,120.8
14/08/15,1223301.0,121.9,121.0,121.9,120.5
17/08/15,2242517.0,121.1,119.7,121.1,119.4
18/08/15,1236169.0,120.0,119.6,120.1,119.5
19/08/15,694686.0,119.6,119.6,119.7,119.0
20/08/15,1379784.0,119.6,118.7,119.6,118.7
24/08/15,6474762.0,118.0,111.2,118.0,110.9
25/08/15,2123470.0,111.2,111.2,111.2,107.6
26/08/15,25622201.0,117.9,113.1,117.9,111.2
27/08/15,6904925.0,114.0,115.5,116.0,114.0
28/08/15,1141362.0,116.1,116.2,116.5,116.0
01/09/15,909848.0,116.9,116.0,117.0,116.0
02/09/15,6432683.0,116.0,115.3,116.0,113.1
03/09/15,173915.0,116.9,116.5,117.0,116.2
04/09/15,3213343.0,116.5,116.0,116.5,115.9
07/09/15,1014147.0,116.0,114.1,116.0,114.1
08/09/15,2161035.0,114.0,113.4,114.2,113.0
09/09/15,152278.0,114.0,114.0,115.0,113.9
10/09/15,37248884.0,114.8,113.0,114.8,113.0
11/09/15,478690.0,113.4,113.4,113.6,113.2
14/09/15,306330.0,113.7,115.0,115.0,113.7
15/09/15,504728.0,115.2,116.0,116.0,115.2
15/09/15,504728.0,115.2,116.0,116.0,115.2
15/09/15,504728.0,115.2,116.0,116.0,115.2
16/09/15,869383.0,116.5,116.0,116.7,116.0
17/09/15,1078918.0,116.6,116.4,116.6,116.1
