Date,Value,Open,Close,High,Low
15/07/15,2958260.0,81.0,80.5,81.5,80.5
16/07/15,11970205.5,80.5,79.6,81.0,79.5
20/07/15,2741731.5,79.6,79.7,80.5,79.6
21/07/15,26179994.5,80.5,80.7,81.2,80.2
22/07/15,23073264.0,81.5,81.0,81.55,81.0
23/07/15,15485509.0,81.5,81.8,84.05,81.5
23/07/15,15485509.0,81.5,81.8,84.05,81.5
23/07/15,15485509.0,81.5,81.8,84.05,81.5
24/07/15,14925984.5,81.85,81.3,84.0,81.3
27/07/15,22623949.0,81.3,81.0,81.4,80.0
28/07/15,22527869.0,80.8,80.05,80.8,80.05
29/07/15,14979437.5,80.0,79.4,80.5,79.4
30/07/15,14057772.5,79.8,80.0,82.0,79.8
31/07/15,48711179.0,82.0,82.8,84.0,80.0
03/08/15,5676749.0,82.8,82.0,83.0,81.5
04/08/15,3730751.5,82.0,81.9,82.0,81.75
05/08/15,2819294.5,81.9,81.9,82.9,81.85
06/08/15,28516486.5,82.0,80.3,82.0,80.3
07/08/15,5657435.0,81.0,80.0,81.7,79.8
10/08/15,4262150.5,81.0,79.8,81.0,79.8
11/08/15,12212532.0,79.95,79.3,80.0,79.3
12/08/15,24581188.5,79.4,77.1,79.4,75.0
13/08/15,3880405.0,77.0,76.1,78.6,76.1
14/08/15,117135243.5,76.0,75.8,76.05,75.5
17/08/15,6704274.0,76.0,75.4,77.0,75.3
18/08/15,23941045.0,75.4,75.05,75.75,74.8
19/08/15,11578522.0,75.05,74.0,75.05,74.0
20/08/15,7465498.0,74.0,73.5,75.4,73.5
24/08/15,86959617.5,72.0,68.0,72.0,66.25
25/08/15,22221554.0,65.5,68.0,73.0,65.5
26/08/15,34268332.5,68.0,71.0,71.7,67.3
27/08/15,34851083.0,71.0,68.0,73.0,68.0
28/08/15,20552157.0,71.0,70.0,71.5,69.6
01/09/15,8458469.0,70.4,69.1,72.0,69.1
02/09/15,18279992.0,69.0,69.0,70.0,67.5
03/09/15,17457666.5,69.9,70.0,70.45,69.1
04/09/15,9416756.5,70.1,69.4,70.1,69.2
07/09/15,5610310.5,69.4,69.45,70.0,69.4
08/09/15,23747578.0,69.45,68.6,70.1,68.6
09/09/15,33176808.0,69.0,67.1,69.0,67.1
10/09/15,22646895.5,68.9,65.95,68.9,65.95
11/09/15,13769472.5,68.5,67.2,68.5,66.0
14/09/15,46880102.5,67.2,66.5,69.5,66.0
15/09/15,13643924.0,66.5,67.0,68.0,66.5
15/09/15,13643924.0,66.5,67.0,68.0,66.5
15/09/15,13643924.0,66.5,67.0,68.0,66.5
16/09/15,51705801.0,67.3,67.1,68.85,67.1
17/09/15,12303666.5,67.1,68.45,68.45,67.1
18/09/15,41294133.0,68.45,66.65,69.1,66.65
21/09/15,3584981.0,68.7,67.0,68.7,66.75
22/09/15,14092031.5,67.0,65.95,67.45,65.6
23/09/15,13140366.0,65.95,65.55,65.95,65.55
24/09/15,21281599.5,65.55,66.0,66.0,65.3
28/09/15,6103713.0,66.0,66.0,68.0,65.75
29/09/15,14378565.5,66.0,65.5,66.0,65.5
30/09/15,23064459.5,65.6,65.65,65.8,65.4
01/10/15,2838712.5,65.7,65.85,67.9,65.7
02/10/15,29914974.0,65.95,66.35,66.95,65.8
05/10/15,34113168.0,66.55,66.05,66.95,65.8
06/10/15,16469978.5,67.0,66.7,67.9,66.0
07/10/15,22965669.0,67.0,66.45,67.5,66.3
08/10/15,18446563.5,67.5,66.25,67.65,66.25
09/10/15,9980192.5,67.65,67.0,67.8,67.0
12/10/15,10663070.0,68.0,67.5,69.0,67.5
13/10/15,1401300.0,67.6,67.55,69.0,67.5
14/10/15,7131331.0,67.5,65.7,68.0,65.7
15/10/15,1556643.0,65.7,67.3,67.9,65.7
16/10/15,21300362.0,67.5,69.0,69.0,67.5
19/10/15,9786898.0,69.0,68.7,69.6,68.55
20/10/15,82778586.5,68.85,70.45,70.45,68.6
21/10/15,37975438.0,70.5,71.6,74.0,70.0
22/10/15,20285654.0,71.6,71.9,73.2,71.6
23/10/15,69841371.0,72.4,72.2,73.25,71.9
26/10/15,37761118.0,72.2,74.0,74.55,72.2
27/10/15,10027639.5,74.0,73.7,74.4,73.1
28/10/15,15352737.5,73.85,72.55,73.85,72.4
29/10/15,46449486.5,73.0,71.0,73.85,70.45
30/10/15,10649410.0,71.0,70.65,71.0,70.0
02/11/15,13713562.5,71.8,70.6,71.8,70.05
03/11/15,8323682.0,72.1,71.0,72.1,70.7
04/11/15,39296330.0,71.75,71.05,72.0,70.9
05/11/15,23221245.0,71.05,69.7,71.05,69.7
06/11/15,7009987.0,69.75,69.6,70.85,69.6
09/11/15,27228005.0,69.85,69.0,69.85,68.7
10/11/15,5440964.5,69.0,68.15,69.0,68.1
11/11/15,10715274.5,68.1,68.15,68.15,67.8
12/11/15,22638410.5,68.15,69.15,71.0,68.15
13/11/15,20962748.0,69.15,69.0,69.15,68.7
16/11/15,7591665.0,68.9,67.95,68.9,67.0
17/11/15,29151525.0,67.95,68.75,68.8,67.95
20/11/15,38126962.5,68.75,68.8,69.8,68.75
23/11/15,8733790.0,68.8,69.2,69.95,68.8
24/11/15,4714589.5,69.3,69.0,69.3,68.9
25/11/15,48289066.5,69.05,67.0,69.9,67.0
26/11/15,12196751.0,67.7,67.1,67.7,66.5
27/11/15,23808481.5,67.45,66.1,68.7,66.1
01/12/15,12448514.5,67.2,67.1,67.2,66.1
02/12/15,4239278.0,67.1,67.3,68.0,67.1
03/12/15,43401400.5,67.9,67.5,68.0,67.5
04/12/15,3665736.0,67.5,67.55,67.8,67.4
07/12/15,5938732.0,67.55,67.8,67.8,67.4
08/12/15,7140778.5,67.8,67.05,67.8,66.8
09/12/15,8775599.0,67.1,67.0,67.5,66.75
10/12/15,11508045.5,66.9,66.6,67.3,66.6
11/12/15,17825445.0,66.6,66.6,66.75,66.45
14/12/15,8002720.0,66.6,66.1,66.6,65.7
15/12/15,9158796.0,66.1,68.0,68.0,66.1
16/12/15,12216746.0,68.0,67.5,68.0,67.3
17/12/15,8361445.5,67.5,66.0,67.6,66.0
18/12/15,18701736.5,66.15,66.25,67.8,66.15
21/12/15,11068749.5,67.0,65.9,67.0,65.8
22/12/15,9375480.5,65.9,65.5,66.0,65.5
23/12/15,15321032.0,66.95,65.4,66.95,65.35
28/12/15,4724721.5,65.45,67.5,67.5,65.45
29/12/15,14665943.5,67.5,65.05,67.5,65.0
04/01/16,9184533.0,65.45,64.9,65.6,64.25
05/01/16,7691344.5,64.0,63.8,64.9,63.2
06/01/16,8620422.0,64.75,65.0,65.5,63.8
07/01/16,54494476.5,65.0,64.0,65.05,63.95
08/01/16,47495146.0,63.95,63.0,64.1,62.8
11/01/16,41022179.0,63.0,61.25,63.0,60.8
12/01/16,39872609.0,60.7,60.3,63.0,59.7
13/01/16,18793190.0,60.3,59.35,60.3,59.0
14/01/16,20819749.5,59.35,58.0,59.35,58.0
15/01/16,20352417.5,59.0,56.7,59.5,56.5
18/01/16,37528738.0,56.6,54.2,56.6,54.2
19/01/16,848793.0,54.2,54.5,56.95,54.2
20/01/16,24617023.0,55.95,53.45,55.95,53.45
21/01/16,76844941.0,55.0,50.8,55.0,50.8
22/01/16,118248406.5,52.0,52.35,53.5,51.95
25/01/16,66173369.0,53.6,54.55,54.75,53.6
26/01/16,10856967.5,54.5,54.2,54.5,53.9
27/01/16,40419482.5,54.2,54.25,54.8,54.2
28/01/16,7498910.0,54.25,54.8,55.5,54.25
29/01/16,3411542.5,55.0,55.8,56.5,54.9
01/02/16,42945440.0,55.8,56.65,56.9,55.8
02/02/16,92824999.0,56.65,56.6,56.9,56.6
03/02/16,6675220.5,56.95,56.5,56.95,56.5
04/02/16,3309133.5,56.5,56.8,56.85,56.5
05/02/16,6470461.5,56.8,56.55,56.9,56.55
09/02/16,6562482.0,56.9,55.5,56.9,55.15
10/02/16,5291187.5,55.5,56.55,56.95,55.5
11/02/16,2147963.0,56.95,56.1,56.95,56.0
12/02/16,7088355.0,56.6,56.5,56.9,56.1
15/02/16,3706111.0,56.5,56.5,56.8,56.5
16/02/16,17363847.5,56.6,57.6,57.6,56.6
17/02/16,2760414.5,57.6,57.6,58.3,57.6
18/02/16,14621066.0,58.6,58.0,58.6,58.0
19/02/16,30820780.0,58.95,59.9,60.1,58.7
22/02/16,19554729.5,60.3,60.2,60.5,60.1
