Date,Value,Open,Close,High,Low
16/07/15,78420.0,0.206,0.22,0.22,0.206
22/07/15,24850.0,0.206,0.207,0.208,0.206
23/07/15,32420.0,0.204,0.202,0.204,0.202
23/07/15,32420.0,0.204,0.202,0.204,0.202
23/07/15,32420.0,0.204,0.202,0.204,0.202
24/07/15,140180.0,0.201,0.202,0.211,0.201
27/07/15,27340.0,0.212,0.21,0.212,0.21
29/07/15,149560.0,0.21,0.199,0.213,0.198
30/07/15,86900.0,0.199,0.197,0.199,0.197
31/07/15,52640.0,0.195,0.194,0.209,0.194
03/08/15,11590.0,0.193,0.193,0.194,0.193
04/08/15,418590.0,0.209,0.203,0.218,0.2
05/08/15,14350.0,0.205,0.205,0.205,0.205
06/08/15,10380.0,0.218,0.205,0.218,0.205
07/08/15,45410.0,0.215,0.197,0.215,0.196
10/08/15,13030.0,0.218,0.217,0.218,0.217
11/08/15,78880.0,0.217,0.196,0.217,0.196
12/08/15,7980.0,0.2,0.199,0.2,0.199
14/08/15,40730.0,0.194,0.195,0.195,0.193
17/08/15,120430.0,0.193,0.188,0.193,0.188
18/08/15,101100.0,0.187,0.184,0.194,0.184
19/08/15,47850.0,0.184,0.185,0.185,0.184
20/08/15,1850.0,0.185,0.185,0.185,0.185
24/08/15,164150.0,0.185,0.179,0.185,0.179
25/08/15,5340.0,0.178,0.178,0.178,0.178
26/08/15,11170.0,0.178,0.194,0.195,0.178
28/08/15,29020.0,0.194,0.194,0.194,0.192
01/09/15,36230.0,0.178,0.185,0.185,0.178
02/09/15,16490.0,0.177,0.194,0.194,0.175
04/09/15,1910.0,0.191,0.191,0.191,0.191
07/09/15,17410.0,0.175,0.176,0.176,0.173
09/09/15,9600.0,0.192,0.192,0.192,0.192
10/09/15,12290.0,0.176,0.18,0.18,0.174
11/09/15,1930.0,0.193,0.193,0.193,0.193
14/09/15,11560.0,0.191,0.193,0.193,0.191
15/09/15,62760.0,0.194,0.19,0.194,0.19
15/09/15,62760.0,0.194,0.19,0.194,0.19
15/09/15,62760.0,0.194,0.19,0.194,0.19
16/09/15,12980.0,0.182,0.182,0.194,0.182
17/09/15,1274940.0,0.194,0.22,0.23,0.193
18/09/15,253600.0,0.22,0.219,0.231,0.201
21/09/15,122880.0,0.2,0.201,0.22,0.2
22/09/15,1743750.0,0.201,0.24,0.27,0.201
23/09/15,438920.0,0.24,0.228,0.26,0.216
24/09/15,104290.0,0.225,0.224,0.225,0.214
28/09/15,158760.0,0.22,0.217,0.226,0.215
29/09/15,3001460.0,0.22,0.25,0.285,0.22
30/09/15,2959900.0,0.26,0.28,0.295,0.25
01/10/15,880550.0,0.28,0.26,0.28,0.26
02/10/15,1442550.0,0.28,0.29,0.315,0.27
05/10/15,195600.0,0.29,0.28,0.3,0.28
06/10/15,489700.0,0.28,0.275,0.3,0.255
07/10/15,73850.0,0.28,0.27,0.285,0.27
08/10/15,283000.0,0.28,0.27,0.28,0.26
09/10/15,417750.0,0.26,0.26,0.265,0.255
12/10/15,153750.0,0.255,0.27,0.27,0.255
13/10/15,73600.0,0.26,0.27,0.27,0.26
14/10/15,2650.0,0.265,0.265,0.265,0.265
15/10/15,1189050.0,0.27,0.28,0.295,0.265
16/10/15,4489550.0,0.28,0.27,0.33,0.27
19/10/15,113750.0,0.28,0.28,0.28,0.265
20/10/15,462000.0,0.27,0.265,0.28,0.26
21/10/15,484350.0,0.26,0.255,0.27,0.25
22/10/15,260600.0,0.26,0.25,0.26,0.25
23/10/15,266950.0,0.26,0.26,0.27,0.255
26/10/15,220550.0,0.26,0.255,0.265,0.255
27/10/15,183600.0,0.255,0.255,0.255,0.255
28/10/15,103000.0,0.26,0.255,0.26,0.25
29/10/15,67800.0,0.255,0.25,0.26,0.25
30/10/15,182500.0,0.25,0.25,0.25,0.25
02/11/15,10200.0,0.255,0.255,0.255,0.255
03/11/15,15300.0,0.255,0.255,0.255,0.255
04/11/15,12500.0,0.25,0.25,0.25,0.25
05/11/15,47500.0,0.25,0.25,0.25,0.25
06/11/15,164500.0,0.245,0.25,0.25,0.245
10/11/15,96390.0,0.249,0.24,0.249,0.23
11/11/15,49930.0,0.249,0.25,0.25,0.249
12/11/15,7130.0,0.223,0.245,0.245,0.223
17/11/15,156100.0,0.25,0.26,0.26,0.25
20/11/15,41450.0,0.26,0.26,0.265,0.25
23/11/15,50000.0,0.226,0.24,0.24,0.224
24/11/15,10200.0,0.255,0.255,0.255,0.255
27/11/15,11540.0,0.231,0.23,0.231,0.23
01/12/15,20950.0,0.235,0.23,0.235,0.23
02/12/15,126000.0,0.25,0.25,0.27,0.25
03/12/15,13200.0,0.26,0.265,0.265,0.26
04/12/15,13050.0,0.26,0.265,0.265,0.26
07/12/15,246700.0,0.245,0.265,0.265,0.245
08/12/15,167100.0,0.265,0.26,0.27,0.26
09/12/15,249900.0,0.25,0.25,0.255,0.245
10/12/15,60350.0,0.25,0.255,0.255,0.245
11/12/15,157060.0,0.255,0.238,0.255,0.238
14/12/15,16720.0,0.25,0.237,0.25,0.237
15/12/15,63450.0,0.235,0.235,0.235,0.235
16/12/15,734050.0,0.23,0.22,0.23,0.22
17/12/15,225000.0,0.22,0.23,0.23,0.21
18/12/15,4580.0,0.228,0.23,0.23,0.228
22/12/15,10710.0,0.211,0.21,0.23,0.21
23/12/15,126000.0,0.21,0.21,0.21,0.21
28/12/15,4500.0,0.225,0.225,0.225,0.225
04/01/16,22000.0,0.22,0.22,0.22,0.22
07/01/16,205500.0,0.21,0.2,0.21,0.2
11/01/16,99000.0,0.198,0.198,0.198,0.198
12/01/16,8000.0,0.2,0.2,0.2,0.2
13/01/16,3890.0,0.196,0.193,0.196,0.193
18/01/16,19910.0,0.191,0.18,0.191,0.18
19/01/16,1810.0,0.181,0.181,0.181,0.181
22/01/16,7320.0,0.183,0.183,0.183,0.183
25/01/16,177710.0,0.182,0.181,0.182,0.175
26/01/16,99550.0,0.181,0.181,0.181,0.181
27/01/16,281160.0,0.197,0.194,0.205,0.194
28/01/16,185990.0,0.205,0.222,0.222,0.205
29/01/16,37320.0,0.224,0.223,0.224,0.211
01/02/16,6600.0,0.211,0.225,0.225,0.211
02/02/16,102900.0,0.203,0.22,0.22,0.201
03/02/16,22200.0,0.2,0.22,0.22,0.2
05/02/16,22800.0,0.206,0.22,0.22,0.206
09/02/16,36760.0,0.202,0.22,0.22,0.202
10/02/16,232330.0,0.205,0.2,0.205,0.2
11/02/16,33780.0,0.21,0.213,0.213,0.21
15/02/16,17060.0,0.213,0.215,0.215,0.213
16/02/16,95400.0,0.21,0.215,0.215,0.21
17/02/16,120320.0,0.214,0.217,0.217,0.214
18/02/16,628570.0,0.217,0.225,0.234,0.217
19/02/16,712780.0,0.236,0.232,0.255,0.23
22/02/16,104250.0,0.231,0.231,0.232,0.231
23/02/16,82630.0,0.23,0.231,0.231,0.228
24/02/16,113600.0,0.228,0.227,0.228,0.227
26/02/16,113380.0,0.227,0.226,0.235,0.226
29/02/16,44800.0,0.224,0.224,0.224,0.224
01/03/16,53280.0,0.222,0.222,0.222,0.222
02/03/16,11050.0,0.221,0.221,0.221,0.221
03/03/16,32550.0,0.217,0.217,0.217,0.217
04/03/16,85750.0,0.217,0.213,0.217,0.213
08/03/16,27430.0,0.211,0.211,0.211,0.211
09/03/16,37440.0,0.208,0.208,0.208,0.208
10/03/16,81560.0,0.225,0.229,0.229,0.225
11/03/16,90970.0,0.227,0.222,0.227,0.221
15/03/16,49800.0,0.22,0.227,0.227,0.22
16/03/16,22700.0,0.227,0.227,0.227,0.227
17/03/16,30440.0,0.217,0.229,0.229,0.215
21/03/16,2130.0,0.213,0.213,0.213,0.213
29/03/16,480990.0,0.227,0.234,0.245,0.227
30/03/16,167320.0,0.24,0.231,0.24,0.231
01/04/16,11550.0,0.231,0.231,0.231,0.231
05/04/16,16030.0,0.229,0.229,0.229,0.229
07/04/16,2290.0,0.229,0.229,0.229,0.229
08/04/16,2290.0,0.229,0.229,0.229,0.229
11/04/16,137400.0,0.229,0.229,0.229,0.229
12/04/16,334810.0,0.229,0.224,0.229,0.224
13/04/16,37220.0,0.22,0.218,0.22,0.218
15/04/16,6540.0,0.218,0.218,0.218,0.218
18/04/16,139740.0,0.218,0.214,0.218,0.214
19/04/16,2140.0,0.214,0.214,0.214,0.214
20/04/16,21200.0,0.212,0.212,0.212,0.212
25/04/16,2120.0,0.212,0.212,0.212,0.212
26/04/16,21200.0,0.212,0.212,0.212,0.212
27/04/16,999390.0,0.22,0.225,0.244,0.22
28/04/16,29620.0,0.234,0.234,0.234,0.224
29/04/16,15580.0,0.224,0.222,0.224,0.222
02/05/16,109370.0,0.221,0.201,0.221,0.201
03/05/16,24600.0,0.205,0.205,0.205,0.205
06/05/16,81600.0,0.204,0.204,0.204,0.204
06/05/16,81600.0,0.204,0.204,0.204,0.204
10/05/16,1712580.0,0.224,0.26,0.28,0.224
11/05/16,2815430.0,0.27,0.29,0.29,0.244
12/05/16,461000.0,0.285,0.29,0.295,0.28
13/05/16,407450.0,0.275,0.285,0.285,0.26
16/05/16,85450.0,0.29,0.285,0.29,0.265
17/05/16,331200.0,0.265,0.27,0.285,0.265
18/05/16,305900.0,0.275,0.27,0.28,0.25
19/05/16,13450.0,0.27,0.265,0.27,0.265
20/05/16,38120.0,0.25,0.265,0.27,0.248
24/05/16,257660.0,0.248,0.24,0.248,0.23
25/05/16,81300.0,0.24,0.246,0.246,0.23
26/05/16,20910.0,0.23,0.245,0.245,0.23
27/05/16,257790.0,0.23,0.231,0.245,0.23
30/05/16,35290.0,0.245,0.245,0.245,0.231
31/05/16,11400.0,0.22,0.24,0.24,0.22
01/06/16,58200.0,0.22,0.24,0.24,0.22
02/06/16,25400.0,0.23,0.24,0.24,0.23
03/06/16,7260.0,0.24,0.246,0.246,0.24
07/06/16,63120.0,0.22,0.243,0.246,0.22
08/06/16,23150.0,0.235,0.227,0.24,0.227
09/06/16,123820.0,0.227,0.235,0.235,0.22
10/06/16,7050.0,0.235,0.235,0.235,0.235
13/06/16,59980.0,0.221,0.234,0.235,0.22
14/06/16,298460.0,0.234,0.219,0.234,0.215
15/06/16,2260.0,0.226,0.226,0.226,0.226
17/06/16,55850.0,0.22,0.22,0.23,0.21
20/06/16,2250.0,0.225,0.225,0.225,0.225
21/06/16,2250.0,0.225,0.225,0.225,0.225
22/06/16,8780.0,0.224,0.215,0.224,0.215
23/06/16,2240.0,0.224,0.224,0.224,0.224
24/06/16,10830.0,0.215,0.223,0.223,0.215
27/06/16,47060.0,0.214,0.22,0.22,0.202
29/06/16,8480.0,0.222,0.202,0.222,0.202
30/06/16,190630.0,0.21,0.23,0.235,0.21
01/07/16,1211690.0,0.227,0.244,0.28,0.21
04/07/16,156600.0,0.244,0.245,0.245,0.235
07/07/16,11650.0,0.23,0.245,0.245,0.23
08/07/16,22680.0,0.23,0.222,0.23,0.222
11/07/16,4440.0,0.222,0.222,0.222,0.222
12/07/16,641250.0,0.245,0.26,0.265,0.244
13/07/16,205000.0,0.265,0.25,0.265,0.245
14/07/16,34500.0,0.25,0.245,0.25,0.245
