Date,Value,Open,Close,High,Low
15/07/15,318400.0,0.32,0.305,0.32,0.305
16/07/15,49350.0,0.32,0.31,0.32,0.305
20/07/15,76050.0,0.32,0.31,0.32,0.3
21/07/15,591950.0,0.315,0.31,0.315,0.3
22/07/15,81600.0,0.31,0.3,0.31,0.3
23/07/15,171350.0,0.31,0.3,0.31,0.3
23/07/15,171350.0,0.31,0.3,0.31,0.3
23/07/15,171350.0,0.31,0.3,0.31,0.3
24/07/15,133500.0,0.305,0.3,0.305,0.3
27/07/15,69050.0,0.305,0.3,0.305,0.3
28/07/15,21050.0,0.305,0.3,0.305,0.3
29/07/15,1048900.0,0.305,0.295,0.305,0.295
30/07/15,132450.0,0.3,0.3,0.3,0.29
31/07/15,33200.0,0.3,0.3,0.305,0.3
03/08/15,104150.0,0.3,0.295,0.305,0.295
04/08/15,24050.0,0.305,0.3,0.305,0.3
05/08/15,18050.0,0.3,0.3,0.305,0.3
06/08/15,53400.0,0.305,0.3,0.305,0.295
07/08/15,42050.0,0.3,0.3,0.305,0.3
10/08/15,30050.0,0.3,0.3,0.305,0.3
11/08/15,180100.0,0.3,0.295,0.3,0.295
12/08/15,178800.0,0.295,0.3,0.3,0.295
13/08/15,66800.0,0.305,0.3,0.31,0.3
14/08/15,57750.0,0.305,0.3,0.305,0.3
17/08/15,57050.0,0.31,0.295,0.31,0.295
18/08/15,171150.0,0.3,0.295,0.3,0.295
19/08/15,97500.0,0.3,0.3,0.3,0.29
20/08/15,72850.0,0.3,0.3,0.3,0.29
24/08/15,667350.0,0.3,0.285,0.3,0.27
25/08/15,5800.0,0.295,0.285,0.295,0.285
26/08/15,57100.0,0.28,0.285,0.285,0.27
27/08/15,353500.0,0.285,0.29,0.3,0.28
28/08/15,8850.0,0.29,0.295,0.3,0.29
01/09/15,83950.0,0.295,0.295,0.31,0.29
02/09/15,5850.0,0.29,0.295,0.295,0.29
03/09/15,177450.0,0.295,0.295,0.3,0.285
04/09/15,400450.0,0.295,0.3,0.305,0.295
07/09/15,92000.0,0.3,0.295,0.3,0.295
08/09/15,81550.0,0.295,0.29,0.295,0.29
09/09/15,34850.0,0.29,0.29,0.295,0.29
10/09/15,5850.0,0.29,0.295,0.295,0.29
11/09/15,107900.0,0.295,0.295,0.295,0.28
14/09/15,91100.0,0.295,0.29,0.295,0.28
15/09/15,5750.0,0.29,0.285,0.29,0.285
15/09/15,5750.0,0.29,0.285,0.29,0.285
15/09/15,5750.0,0.29,0.285,0.29,0.285
16/09/15,98900.0,0.285,0.285,0.295,0.285
17/09/15,170150.0,0.285,0.285,0.3,0.28
18/09/15,65800.0,0.285,0.295,0.3,0.285
21/09/15,252050.0,0.295,0.295,0.305,0.285
22/09/15,310000.0,0.295,0.305,0.31,0.29
23/09/15,50850.0,0.305,0.295,0.305,0.295
24/09/15,78650.0,0.295,0.3,0.3,0.29
28/09/15,243200.0,0.3,0.3,0.305,0.295
29/09/15,213550.0,0.3,0.3,0.305,0.29
30/09/15,67100.0,0.3,0.295,0.3,0.29
01/10/15,14750.0,0.295,0.295,0.3,0.29
02/10/15,269800.0,0.295,0.29,0.295,0.29
05/10/15,71550.0,0.29,0.295,0.3,0.29
06/10/15,87450.0,0.295,0.295,0.3,0.29
07/10/15,89550.0,0.29,0.29,0.295,0.285
08/10/15,31700.0,0.29,0.29,0.29,0.285
09/10/15,107050.0,0.29,0.29,0.29,0.285
12/10/15,163700.0,0.29,0.295,0.295,0.285
13/10/15,1485800.0,0.295,0.305,0.33,0.295
14/10/15,181700.0,0.31,0.305,0.31,0.305
15/10/15,223050.0,0.305,0.3,0.31,0.3
16/10/15,4150850.0,0.3,0.295,0.325,0.29
19/10/15,250750.0,0.3,0.305,0.315,0.3
20/10/15,251700.0,0.31,0.31,0.325,0.305
21/10/15,106450.0,0.31,0.3,0.315,0.3
22/10/15,876900.0,0.3,0.315,0.32,0.3
23/10/15,544400.0,0.31,0.32,0.335,0.31
26/10/15,3461900.0,0.32,0.34,0.36,0.315
27/10/15,1856450.0,0.34,0.32,0.365,0.32
28/10/15,206700.0,0.32,0.32,0.335,0.32
29/10/15,326850.0,0.32,0.325,0.345,0.32
30/10/15,600750.0,0.315,0.315,0.335,0.31
02/11/15,387100.0,0.315,0.31,0.315,0.3
03/11/15,52150.0,0.31,0.31,0.315,0.305
04/11/15,156000.0,0.31,0.305,0.315,0.305
05/11/15,12350.0,0.305,0.315,0.315,0.305
06/11/15,27600.0,0.315,0.305,0.315,0.305
09/11/15,168500.0,0.31,0.31,0.31,0.3
10/11/15,227600.0,0.31,0.3,0.31,0.295
11/11/15,35600.0,0.3,0.3,0.3,0.295
12/11/15,147550.0,0.3,0.295,0.3,0.29
13/11/15,14650.0,0.295,0.295,0.295,0.29
16/11/15,17550.0,0.295,0.295,0.295,0.29
17/11/15,11800.0,0.29,0.295,0.3,0.29
20/11/15,8900.0,0.295,0.295,0.3,0.295
23/11/15,36150.0,0.295,0.295,0.305,0.29
24/11/15,851550.0,0.295,0.29,0.3,0.275
25/11/15,116850.0,0.29,0.295,0.295,0.275
26/11/15,50350.0,0.295,0.3,0.3,0.28
27/11/15,35900.0,0.295,0.3,0.3,0.295
01/12/15,100400.0,0.3,0.29,0.305,0.29
02/12/15,33050.0,0.305,0.295,0.305,0.29
03/12/15,45400.0,0.275,0.295,0.295,0.275
04/12/15,61800.0,0.29,0.295,0.3,0.285
07/12/15,14400.0,0.295,0.29,0.295,0.285
08/12/15,81450.0,0.295,0.29,0.295,0.29
09/12/15,148350.0,0.295,0.285,0.295,0.285
10/12/15,5750.0,0.29,0.285,0.29,0.285
11/12/15,118200.0,0.285,0.28,0.29,0.28
14/12/15,110350.0,0.29,0.28,0.29,0.275
15/12/15,5750.0,0.295,0.28,0.295,0.28
16/12/15,110600.0,0.28,0.275,0.285,0.275
17/12/15,5650.0,0.28,0.285,0.285,0.28
18/12/15,5650.0,0.285,0.28,0.285,0.28
21/12/15,193150.0,0.28,0.275,0.28,0.275
22/12/15,35850.0,0.275,0.28,0.28,0.275
23/12/15,59750.0,0.28,0.275,0.28,0.27
28/12/15,19300.0,0.28,0.28,0.28,0.27
29/12/15,24800.0,0.28,0.275,0.28,0.275
04/01/16,54700.0,0.275,0.275,0.28,0.27
05/01/16,97250.0,0.28,0.28,0.28,0.27
06/01/16,5550.0,0.275,0.28,0.28,0.275
07/01/16,207700.0,0.28,0.275,0.28,0.265
08/01/16,631050.0,0.275,0.27,0.275,0.26
11/01/16,91600.0,0.275,0.265,0.275,0.255
12/01/16,18500.0,0.265,0.26,0.265,0.26
13/01/16,156150.0,0.27,0.255,0.27,0.245
14/01/16,110850.0,0.255,0.245,0.255,0.245
15/01/16,33950.0,0.25,0.245,0.25,0.225
18/01/16,462450.0,0.23,0.245,0.245,0.23
19/01/16,12150.0,0.245,0.245,0.245,0.24
20/01/16,4850.0,0.245,0.24,0.245,0.24
21/01/16,4700.0,0.23,0.24,0.24,0.23
22/01/16,4700.0,0.23,0.24,0.24,0.23
25/01/16,14050.0,0.23,0.24,0.245,0.225
26/01/16,7150.0,0.24,0.235,0.24,0.235
27/01/16,550300.0,0.235,0.245,0.245,0.225
28/01/16,57430.0,0.265,0.25,0.265,0.235
29/01/16,186500.0,0.26,0.25,0.27,0.25
01/02/16,20300.0,0.275,0.255,0.275,0.25
02/02/16,21100.0,0.255,0.265,0.265,0.255
03/02/16,20600.0,0.255,0.255,0.265,0.255
04/02/16,5250.0,0.26,0.265,0.265,0.26
05/02/16,7900.0,0.265,0.26,0.265,0.26
09/02/16,95950.0,0.275,0.28,0.28,0.26
10/02/16,224800.0,0.285,0.265,0.29,0.265
11/02/16,51200.0,0.28,0.28,0.285,0.265
12/02/16,58850.00000000001,0.285,0.28,0.285,0.28
15/02/16,1710600.0,0.285,0.285,0.295,0.275
16/02/16,28900.0,0.29,0.29,0.29,0.28
17/02/16,20400.0,0.295,0.29,0.295,0.275
18/02/16,127900.0,0.295,0.285,0.3,0.285
19/02/16,64850.0,0.295,0.295,0.295,0.29
22/02/16,1745850.0,0.295,0.29,0.295,0.29
23/02/16,49650.0,0.29,0.29,0.3,0.28
24/02/16,25950.0,0.3,0.285,0.3,0.28
26/02/16,11600.0,0.29,0.285,0.295,0.285
29/02/16,133300.0,0.29,0.28,0.3,0.28
01/03/16,5800.0,0.295,0.285,0.295,0.285
02/03/16,76200.0,0.3,0.285,0.3,0.28
03/03/16,5650.0,0.285,0.28,0.285,0.28
04/03/16,33650.0,0.28,0.285,0.285,0.28
07/03/16,11600.0,0.29,0.285,0.295,0.285
08/03/16,5800.0,0.285,0.295,0.295,0.285
09/03/16,40750.0,0.285,0.295,0.3,0.285
10/03/16,58050.0,0.29,0.29,0.295,0.29
11/03/16,5782150.0,0.29,0.31,0.31,0.28
14/03/16,425900.0,0.315,0.3,0.315,0.3
15/03/16,140000.0,0.3,0.3,0.315,0.285
16/03/16,53300.0,0.31,0.3,0.31,0.29
17/03/16,60000.0,0.305,0.295,0.305,0.295
18/03/16,360000.0,0.3,0.295,0.3,0.295
21/03/16,204100.0,0.295,0.285,0.295,0.285
22/03/16,151100.0,0.285,0.285,0.29,0.285
23/03/16,114450.0,0.295,0.285,0.295,0.285
28/03/16,88550.0,0.285,0.285,0.29,0.285
29/03/16,123350.0,0.295,0.29,0.3,0.29
30/03/16,471350.0,0.29,0.28,0.295,0.28
31/03/16,230450.0,0.28,0.285,0.295,0.28
01/04/16,55050.0,0.28,0.29,0.295,0.28
04/04/16,157350.0,0.28,0.28,0.285,0.28
05/04/16,116150.0,0.285,0.285,0.29,0.28
06/04/16,5750.0,0.29,0.285,0.29,0.285
07/04/16,67500.0,0.29,0.28,0.29,0.28
08/04/16,417300.0,0.275,0.285,0.295,0.275
11/04/16,187800.0,0.28,0.285,0.285,0.28
12/04/16,258350.0,0.29,0.28,0.29,0.28
13/04/16,53250.0,0.28,0.28,0.285,0.28
14/04/16,2069700.0,0.28,0.3,0.315,0.275
15/04/16,294200.0,0.305,0.29,0.31,0.29
18/04/16,142150.0,0.305,0.295,0.31,0.295
19/04/16,253800.0,0.3,0.295,0.31,0.295
20/04/16,96950.0,0.295,0.295,0.305,0.29
21/04/16,143000.0,0.295,0.29,0.305,0.29
22/04/16,52600.0,0.3,0.29,0.3,0.29
25/04/16,2007950.0,0.29,0.305,0.33,0.29
26/04/16,99350.0,0.31,0.305,0.31,0.295
27/04/16,320100.0,0.305,0.29,0.305,0.29
28/04/16,327400.0,0.295,0.295,0.295,0.29
29/04/16,89950.0,0.29,0.295,0.295,0.29
02/05/16,69650.0,0.29,0.29,0.295,0.29
03/05/16,813250.0,0.29,0.285,0.29,0.285
04/05/16,14300.0,0.285,0.29,0.29,0.285
05/05/16,126050.0,0.28,0.285,0.285,0.28
06/05/16,56700.0,0.28,0.29,0.29,0.28
06/05/16,56700.0,0.28,0.29,0.29,0.28
10/05/16,359850.0,0.28,0.29,0.29,0.28
11/05/16,158150.0,0.29,0.295,0.295,0.285
12/05/16,888900.0,0.285,0.315,0.32,0.285
13/05/16,133350.0,0.295,0.305,0.315,0.295
16/05/16,88950.0,0.295,0.3,0.305,0.295
17/05/16,479100.0,0.295,0.3,0.31,0.295
18/05/16,456800.0,0.3,0.3,0.31,0.295
19/05/16,3599350.0,0.305,0.3,0.335,0.3
20/05/16,732100.0,0.32,0.295,0.32,0.295
23/05/16,174500.0,0.295,0.295,0.305,0.29
24/05/16,174100.0,0.295,0.305,0.32,0.29
25/05/16,164250.0,0.295,0.3,0.31,0.295
26/05/16,151200.0,0.3,0.3,0.31,0.29
27/05/16,8950.0,0.3,0.3,0.3,0.295
30/05/16,20700.0,0.295,0.3,0.3,0.295
31/05/16,65000.0,0.295,0.3,0.3,0.295
01/06/16,38000.0,0.29,0.295,0.295,0.29
03/06/16,26650.0,0.3,0.3,0.3,0.29
06/06/16,380200.0,0.29,0.29,0.3,0.29
07/06/16,424150.0,0.295,0.295,0.3,0.29
08/06/16,1676950.0,0.29,0.305,0.305,0.29
09/06/16,216150.0,0.31,0.3,0.315,0.295
10/06/16,253350.0,0.305,0.31,0.315,0.305
13/06/16,6250.0,0.315,0.31,0.315,0.31
14/06/16,45050.0,0.295,0.305,0.315,0.295
15/06/16,248500.0,0.305,0.3,0.305,0.295
16/06/16,68000.0,0.305,0.295,0.305,0.295
17/06/16,65000.0,0.3,0.295,0.3,0.295
20/06/16,113650.0,0.305,0.305,0.305,0.295
21/06/16,85750.0,0.305,0.295,0.305,0.295
22/06/16,2142100.0,0.295,0.29,0.295,0.28
23/06/16,161200.0,0.295,0.29,0.305,0.28
24/06/16,182700.0,0.3,0.29,0.3,0.28
27/06/16,375800.0,0.295,0.28,0.295,0.28
28/06/16,73800.0,0.29,0.28,0.29,0.28
29/06/16,49250.0,0.29,0.29,0.29,0.285
30/06/16,43150.0,0.295,0.285,0.295,0.285
01/07/16,96350.0,0.29,0.29,0.295,0.28
04/07/16,69150.0,0.295,0.295,0.295,0.285
05/07/16,11800.0,0.29,0.295,0.3,0.29
07/07/16,23150.0,0.295,0.295,0.295,0.285
08/07/16,33627350.0,0.295,0.285,0.295,0.285
11/07/16,246900.0,0.29,0.29,0.3,0.29
12/07/16,173950.0,0.295,0.29,0.3,0.285
13/07/16,31850.0,0.29,0.29,0.29,0.285
14/07/16,327750.0,0.295,0.29,0.295,0.29
