Date,Value,Open,Close,High,Low
15/07/15,3442950.0,6.3,6.3,6.3,6.3
16/07/15,327025.0,6.3,6.35,6.35,6.3
20/07/15,369364.0,6.35,6.25,6.35,6.1
21/07/15,2077085.0,6.35,6.35,6.35,6.35
23/07/15,152760.0,6.35,6.39,6.39,6.35
23/07/15,152760.0,6.35,6.39,6.39,6.35
23/07/15,152760.0,6.35,6.39,6.39,6.35
27/07/15,4097277.0,6.5,6.4,6.5,6.4
28/07/15,512000.0,6.4,6.4,6.4,6.4
30/07/15,25140480.0,6.4,6.4,6.4,6.4
31/07/15,134350.0,6.35,6.4,6.4,6.35
03/08/15,55040.0,6.4,6.4,6.4,6.4
04/08/15,170914.0,6.35,6.49,6.49,6.32
05/08/15,826880.0,6.4,6.4,6.4,6.4
06/08/15,64000.0,6.4,6.4,6.4,6.4
07/08/15,676435.0,6.4,6.4,6.45,6.4
10/08/15,1220580.0,6.4,6.4,6.45,6.4
11/08/15,1122360.0,6.4,6.6,6.6,6.4
13/08/15,930560.0,6.4,6.4,6.4,6.4
14/08/15,415900.0,6.4,6.38,6.4,6.38
17/08/15,6751200.0,6.55,6.6,6.65,6.55
18/08/15,4612188.0,6.6,6.61,6.61,6.45
19/08/15,1336778.0,6.57,6.59,6.59,6.55
20/08/15,1344750.0,6.5,6.57,6.57,6.5
24/08/15,6071400.0,6.32,6.0,6.32,6.0
25/08/15,3000600.0,6.0,6.0,6.0,6.0
26/08/15,12601880.0,6.0,6.0,6.1,6.0
27/08/15,15617800.0,6.0,6.01,6.3,6.0
28/08/15,581239.0,6.01,5.95,6.01,5.95
01/09/15,1695600.0,6.0,6.0,6.0,6.0
02/09/15,845400.0,6.0,6.0,6.0,6.0
03/09/15,732020.0,6.0,6.01,6.01,6.0
04/09/15,434960.0,6.05,5.99,6.05,5.99
07/09/15,12000.0,6.0,6.0,6.0,6.0
08/09/15,1225.0,6.0,6.25,6.25,6.0
09/09/15,20119090.0,6.1,6.0,6.1,6.0
10/09/15,51549.0,6.0,6.0,6.0,5.95
11/09/15,9289200.0,6.0,6.0,6.0,6.0
14/09/15,646622.0,6.0,6.11,6.11,6.0
15/09/15,265279.0,6.23,6.25,6.25,6.23
15/09/15,265279.0,6.23,6.25,6.25,6.23
15/09/15,265279.0,6.23,6.25,6.25,6.23
16/09/15,312000.0,6.24,6.24,6.24,6.24
17/09/15,125200.0,6.3,6.24,6.3,6.2
18/09/15,314000.0,6.28,6.28,6.28,6.28
21/09/15,326146.0,6.26,6.26,6.26,6.26
22/09/15,420669.0,6.4,6.49,6.49,6.35
23/09/15,3888.0,6.48,6.48,6.48,6.48
24/09/15,119665.0,6.49,6.45,6.49,6.45
28/09/15,1299983.0,6.5,6.5,6.5,6.49
29/09/15,620.0,6.2,6.2,6.2,6.2
30/09/15,6210.0,6.21,6.21,6.21,6.21
01/10/15,541120.0,6.21,6.22,6.22,6.21
02/10/15,2440.0,6.1,6.1,6.1,6.1
05/10/15,1090532.0,6.49,6.3,6.5,6.28
06/10/15,1094310.0,6.3,6.3,6.3,6.3
07/10/15,786404.0,6.45,6.26,6.45,6.25
08/10/15,1171250.0,6.3,6.4,6.4,6.3
09/10/15,13233880.0,6.3,6.4,6.4,6.3
12/10/15,2120210.0,6.4,6.4,6.4,6.3
13/10/15,19848000.0,6.4,6.4,6.4,6.36
14/10/15,1021333.0,6.4,6.3,6.4,6.3
15/10/15,640000.0,6.4,6.4,6.4,6.4
16/10/15,321140.0,6.4,6.4,6.54,6.4
19/10/15,256200.0,6.42,6.4,6.42,6.4
20/10/15,183389.0,6.45,6.5,6.5,6.43
21/10/15,294770.0,6.53,6.55,6.56,6.53
22/10/15,13020.0,6.51,6.51,6.51,6.51
23/10/15,314900.0,6.7,6.75,6.75,6.7
26/10/15,1531733.0,6.78,7.02,7.09,6.78
27/10/15,493500.0,7.05,7.05,7.05,7.05
29/10/15,388095.0,7.0,7.11,7.15,7.0
30/10/15,315315.0,7.15,7.15,7.15,7.15
02/11/15,1003333.0,7.29,7.4,7.45,7.17
03/11/15,117000.0,7.4,7.39,7.4,7.2
04/11/15,117509.0,7.01,7.3,7.37,7.01
05/11/15,122325.0,7.2,7.2,7.2,7.15
06/11/15,2182691.0,7.3,7.15,7.3,7.15
09/11/15,230712.0,7.2,7.12,7.2,7.12
10/11/15,413941.0,7.24,7.25,7.25,7.24
12/11/15,700073.0,7.23,7.1,7.23,7.1
13/11/15,21874.0,7.05,7.24,7.24,7.05
16/11/15,140718.0,7.0,7.18,7.18,7.0
17/11/15,616113.0,7.24,7.25,7.25,7.24
23/11/15,4344.0,7.24,7.24,7.24,7.24
25/11/15,55300.0,7.0,7.0,7.0,7.0
26/11/15,64920.0,6.91,7.1,7.1,6.91
27/11/15,30035.0,7.0,6.95,7.0,6.95
01/12/15,20790.0,6.93,6.93,6.93,6.93
02/12/15,42280.0,7.0,6.93,7.0,6.93
03/12/15,34550.0,6.91,6.91,6.91,6.91
07/12/15,278810.0,6.81,6.8,6.81,6.8
08/12/15,7290.0,7.0,6.59,7.0,6.59
14/12/15,992810.0,6.59,6.5,6.59,6.45
15/12/15,137536.0,6.9,6.45,6.9,6.45
16/12/15,77531.0,6.47,6.46,6.47,6.46
17/12/15,7160.0,6.46,7.0,7.0,6.46
18/12/15,6460.0,6.46,6.46,6.46,6.46
21/12/15,58500.0,6.5,6.5,6.5,6.5
22/12/15,381443.0,6.5,6.4,6.5,6.4
23/12/15,680000.0,6.8,6.8,6.8,6.8
28/12/15,5440.0,6.8,6.8,6.8,6.8
29/12/15,361000.0,7.22,7.22,7.22,7.22
04/01/16,2162.0,7.21,7.2,7.21,7.2
05/01/16,2100.0,7.0,7.0,7.0,7.0
06/01/16,3499.0,7.0,6.99,7.0,6.99
08/01/16,57850.0,6.5,6.5,6.5,6.5
11/01/16,115160.0,6.5,6.4,6.5,6.35
12/01/16,7850886.0,6.39,6.4,6.5,6.39
13/01/16,28800.0,6.4,6.4,6.4,6.4
14/01/16,1340420.0,6.31,6.3,6.5,6.3
19/01/16,640.0,6.4,6.4,6.4,6.4
21/01/16,4152280.0,6.45,6.0,6.45,6.0
22/01/16,3696759.0,6.02,6.0,6.02,6.0
25/01/16,308671.0,6.01,6.02,6.02,6.01
26/01/16,6820.0,6.2,6.2,6.2,6.2
01/02/16,600.0,6.0,6.0,6.0,6.0
02/02/16,600005.0,6.01,6.0,6.01,6.0
03/02/16,76230.0,6.05,6.05,6.05,6.05
04/02/16,602.0,6.02,6.02,6.02,6.02
09/02/16,61798.0,6.04,6.49,6.49,6.04
10/02/16,17343.0,6.48,6.39,6.48,6.39
12/02/16,1157910.0,6.49,6.52,6.52,6.49
15/02/16,1536295.0,6.52,6.75,6.75,6.5
16/02/16,81675.0,6.75,6.75,6.75,6.75
18/02/16,277097.0,6.85,6.52,6.85,6.52
22/02/16,3390.0,6.78,6.78,6.78,6.78
26/02/16,677.0,6.77,6.77,6.77,6.77
03/03/16,75632.0,6.52,6.52,6.52,6.52
04/03/16,652.0,6.52,6.52,6.52,6.52
07/03/16,148791.0,6.5,6.48,6.5,6.48
08/03/16,49324.0,6.49,6.49,6.49,6.49
09/03/16,45500.0,6.5,6.5,6.5,6.5
10/03/16,11286786.0,6.49,6.76,6.76,6.49
