Date,Value,Open,Close,High,Low
15/07/15,1654794.0,6.36,6.3,6.36,6.26
16/07/15,133976.0,6.33,6.38,6.39,6.33
20/07/15,439013.0,6.39,6.38,6.39,6.38
21/07/15,304991.0,6.39,6.32,6.39,6.3
22/07/15,522148.0,6.38,6.38,6.39,6.3
23/07/15,768741.0,6.38,6.45,6.45,6.38
23/07/15,768741.0,6.38,6.45,6.45,6.38
23/07/15,768741.0,6.38,6.45,6.45,6.38
24/07/15,94094.0,6.45,6.44,6.5,6.41
27/07/15,5219312.0,6.44,6.49,6.49,6.4
28/07/15,247617.0,6.48,6.48,6.49,6.48
29/07/15,2041262.0,6.48,6.4,6.48,6.4
30/07/15,772930.0,6.44,6.48,6.48,6.4
31/07/15,391060.0,6.48,6.45,6.48,6.4
03/08/15,595252.0,6.5,6.52,6.55,6.5
04/08/15,1184967.0,6.54,6.35,6.54,6.33
05/08/15,1005511.0,6.37,6.36,6.49,6.35
06/08/15,430078.0,6.4,6.49,6.49,6.4
07/08/15,1397233.0,6.49,6.54,6.57,6.49
10/08/15,832911.0,6.55,6.52,6.55,6.51
11/08/15,821199.0,6.55,6.5,6.58,6.4
12/08/15,358381.0,6.51,6.46,6.55,6.44
13/08/15,2463734.0,6.47,6.47,6.6,6.47
14/08/15,4349933.0,6.57,6.47,6.57,6.46
17/08/15,816794.0,6.5,6.54,6.57,6.46
18/08/15,1085774.0,6.51,6.51,6.55,6.5
19/08/15,366605.0,6.51,6.48,6.56,6.48
20/08/15,425615.0,6.49,6.45,6.49,6.4
24/08/15,11003861.0,6.4,6.0,6.4,6.0
25/08/15,185010.0,6.0,6.25,6.25,5.96
26/08/15,568593.0,6.25,6.35,6.48,6.25
27/08/15,944883.0,6.45,6.3,6.45,6.25
28/08/15,216457.0,6.44,6.29,6.44,6.25
01/09/15,1188560.0,6.29,6.28,6.3,6.15
02/09/15,204331.0,6.28,6.28,6.4,6.15
03/09/15,616153.0,6.33,6.2,6.34,6.2
04/09/15,574713.0,6.4,6.15,6.4,6.15
07/09/15,872896.0,6.15,6.15,6.15,6.1
08/09/15,317843.0,6.15,6.19,6.2,6.15
09/09/15,21715.0,6.2,6.25,6.25,6.2
10/09/15,394360.0,6.25,6.29,6.3,6.25
11/09/15,621125.0,6.3,6.15,6.3,6.1
14/09/15,416467.0,6.15,6.25,6.25,6.15
15/09/15,219231.0,6.25,6.29,6.4,6.25
15/09/15,219231.0,6.25,6.29,6.4,6.25
15/09/15,219231.0,6.25,6.29,6.4,6.25
16/09/15,4928386.0,6.35,6.3,6.35,6.25
17/09/15,420434.0,6.3,6.35,6.38,6.27
18/09/15,453723.0,6.4,6.42,6.42,6.3
21/09/15,390460.0,6.42,6.4,6.45,6.4
22/09/15,245077.0,6.4,6.29,6.4,6.16
23/09/15,3915269.0,6.39,6.28,6.39,6.22
24/09/15,6480296.0,6.28,6.3,6.38,6.26
28/09/15,112792.0,6.3,6.35,6.35,6.28
29/09/15,115842.0,6.3,6.39,6.39,6.3
30/09/15,608766.0,6.4,6.4,6.5,6.39
01/10/15,47960.0,6.4,6.46,6.5,6.4
02/10/15,124864.0,6.45,6.4,6.45,6.4
05/10/15,288196.0,6.45,6.48,6.48,6.41
06/10/15,648746.0,6.5,6.51,6.54,6.47
07/10/15,2182975.0,6.53,6.55,6.58,6.51
08/10/15,1490978.0,6.56,6.53,6.58,6.52
09/10/15,341472.0,6.58,6.56,6.58,6.56
12/10/15,972402.0,6.56,6.62,6.64,6.55
13/10/15,838562.0,6.63,6.55,6.64,6.55
14/10/15,785841.0,6.64,6.61,6.66,6.56
15/10/15,349185.0,6.61,6.58,6.65,6.58
16/10/15,243772.0,6.58,6.63,6.65,6.55
19/10/15,446083.0,6.65,6.68,6.7,6.63
20/10/15,949526.0,6.7,6.7,6.7,6.68
21/10/15,2743722.0,6.72,6.76,6.76,6.7
22/10/15,697206.0,6.76,6.76,6.76,6.75
23/10/15,3909160.0,6.78,6.86,6.86,6.78
26/10/15,7418215.0,6.86,7.02,7.17,6.86
27/10/15,3201227.0,7.04,7.12,7.13,7.03
28/10/15,2168784.0,7.1,7.12,7.18,7.04
29/10/15,3648544.0,7.15,7.37,7.4,7.15
30/10/15,5901144.0,7.4,7.4,7.42,7.3
02/11/15,5396111.0,7.42,7.56,7.6,7.42
03/11/15,3999735.0,7.57,7.52,7.57,7.48
04/11/15,1983438.0,7.52,7.57,7.57,7.52
05/11/15,2942957.0,7.57,7.42,7.57,7.2
06/11/15,4495825.0,7.5,7.42,7.6,7.4
09/11/15,2193414.0,7.31,7.22,7.32,7.21
10/11/15,1987249.0,7.25,7.35,7.4,7.22
11/11/15,1702287.0,7.4,7.34,7.4,7.22
12/11/15,867496.0,7.35,7.3,7.38,7.3
13/11/15,1123710.0,7.28,7.12,7.28,7.0
16/11/15,748321.0,7.12,7.3,7.3,7.06
17/11/15,3766825.0,7.35,7.43,7.45,7.3
20/11/15,843879.0,7.44,7.39,7.46,7.38
23/11/15,661037.0,7.39,7.39,7.39,7.3
24/11/15,324248.0,7.4,7.38,7.4,7.21
25/11/15,97968.0,7.38,7.36,7.38,7.36
26/11/15,591023.0,7.36,7.25,7.36,7.2
27/11/15,333820.0,7.2,7.19,7.25,7.18
01/12/15,1479921.0,7.19,7.0,7.19,7.0
02/12/15,1603408.0,7.23,7.05,7.23,7.0
03/12/15,255893.0,7.05,7.03,7.19,7.01
04/12/15,1260167.0,7.04,6.91,7.06,6.88
07/12/15,481383.0,6.91,6.82,6.92,6.82
08/12/15,1836247.0,6.82,6.82,6.82,6.75
09/12/15,285437.0,7.0,7.1,7.16,7.0
10/12/15,496295.0,7.1,7.0,7.1,6.8
11/12/15,219615.0,7.0,7.0,7.1,6.9
14/12/15,1280318.0,7.0,6.67,7.0,6.67
15/12/15,262888.0,6.68,6.8,7.0,6.68
16/12/15,796886.0,6.8,6.8,6.99,6.8
17/12/15,313338.0,6.81,6.97,6.99,6.81
18/12/15,354033.0,7.0,6.84,7.0,6.8
21/12/15,165423.0,6.84,6.8,6.84,6.71
22/12/15,324176.0,7.0,6.8,7.0,6.8
23/12/15,89676.0,6.81,6.88,6.88,6.81
28/12/15,236279.0,6.89,6.86,6.9,6.86
29/12/15,458441.0,6.9,6.9,6.9,6.82
04/01/16,477114.0,6.9,6.75,6.95,6.75
05/01/16,147835.0,6.75,6.86,6.9,6.75
06/01/16,166180.0,6.86,6.86,6.9,6.85
07/01/16,680692.0,6.91,6.68,6.92,6.68
08/01/16,1106752.0,6.67,6.6,6.67,6.5
11/01/16,1560021.0,6.6,6.46,6.6,6.4
12/01/16,277844.0,6.46,6.47,6.55,6.45
13/01/16,253687.0,6.48,6.51,6.51,6.45
14/01/16,220678.0,6.45,6.57,6.6,6.4
15/01/16,139386.0,6.55,6.5,6.6,6.5
18/01/16,649903.0,6.48,6.4,6.48,6.4
19/01/16,186602.0,6.4,6.5,6.5,6.37
20/01/16,462268.0,6.6,6.33,6.6,6.33
21/01/16,403218.0,6.3,6.44,6.5,6.3
22/01/16,428885.0,6.46,6.35,6.47,6.28
25/01/16,386784.0,6.46,6.49,6.49,6.3
26/01/16,197476.0,6.49,6.43,6.49,6.43
27/01/16,256588.0,6.43,6.5,6.5,6.43
28/01/16,502531.0,6.5,6.54,6.54,6.5
29/01/16,653882.0,6.54,6.55,6.57,6.5
01/02/16,208351.0,6.56,6.53,6.58,6.51
02/02/16,739866.0,6.52,6.5,6.54,6.48
03/02/16,374422.0,6.5,6.5,6.5,6.44
04/02/16,409371.0,6.48,6.6,6.6,6.44
05/02/16,103571.0,6.6,6.51,6.6,6.51
09/02/16,823742.0,6.51,6.46,6.54,6.45
10/02/16,126340.0,6.52,6.52,6.53,6.46
11/02/16,169275.0,6.48,6.52,6.52,6.48
12/02/16,1829719.0,6.53,6.72,6.72,6.53
15/02/16,1708631.0,6.73,6.82,6.84,6.72
16/02/16,393225.0,6.83,6.77,6.83,6.76
17/02/16,868390.0,6.77,6.75,6.87,6.74
18/02/16,408442.0,6.77,6.81,6.82,6.74
19/02/16,588446.0,6.8,6.68,6.83,6.68
