Date,Value,Open,Close,High,Low
15/07/15,117131415.0,1359.0,1370.0,1370.0,1358.0
16/07/15,184258025.0,1370.0,1380.0,1384.0,1365.0
20/07/15,243246580.0,1380.0,1375.0,1392.0,1370.0
21/07/15,93252075.0,1374.0,1380.0,1386.0,1374.0
22/07/15,392163880.0,1378.0,1414.0,1414.0,1378.0
23/07/15,156702885.0,1404.0,1406.0,1409.0,1386.0
23/07/15,156702885.0,1404.0,1406.0,1409.0,1386.0
23/07/15,156702885.0,1404.0,1406.0,1409.0,1386.0
24/07/15,243523655.0,1406.0,1410.0,1420.0,1401.0
27/07/15,111915540.0,1396.0,1400.0,1402.0,1393.0
28/07/15,432088485.0,1390.0,1381.0,1390.0,1378.0
29/07/15,162433215.0,1373.0,1390.0,1398.0,1371.0
30/07/15,215696880.0,1356.0,1385.0,1388.0,1356.0
31/07/15,355292820.0,1410.0,1400.0,1410.0,1375.0
03/08/15,488162770.0,1409.0,1404.0,1409.0,1372.0
04/08/15,48502100.0,1376.0,1410.0,1419.0,1376.0
05/08/15,282768605.0,1400.0,1429.0,1439.0,1394.0
06/08/15,207995800.0,1440.0,1430.0,1449.0,1427.0
07/08/15,232873785.0,1430.0,1388.0,1430.0,1376.0
10/08/15,337266110.0,1388.0,1387.0,1391.0,1375.0
11/08/15,533127180.0,1375.0,1370.0,1379.0,1360.0
12/08/15,239276715.0,1360.0,1352.0,1360.0,1346.0
13/08/15,690617245.0,1343.0,1318.0,1343.0,1301.0
14/08/15,176996580.0,1318.0,1312.0,1325.0,1312.0
17/08/15,220176795.0,1314.0,1310.0,1321.0,1305.0
18/08/15,271261615.0,1304.0,1294.0,1305.0,1289.0
19/08/15,457341740.0,1288.0,1290.0,1295.0,1283.0
20/08/15,449284780.0,1289.0,1264.0,1289.0,1255.0
24/08/15,773982115.0,1205.0,1136.0,1205.0,1120.0
25/08/15,425152665.0,1130.0,1180.0,1200.0,1120.0
26/08/15,980072715.0,1200.0,1190.0,1210.0,1166.0
27/08/15,685745635.0,1200.0,1230.0,1243.0,1190.0
28/08/15,521824270.0,1240.0,1270.0,1270.0,1225.0
01/09/15,819229385.0,1268.0,1270.0,1276.0,1265.0
02/09/15,453330195.0,1240.0,1250.0,1255.0,1230.0
03/09/15,603436700.0,1251.0,1260.0,1265.0,1251.0
04/09/15,192183695.0,1259.0,1258.0,1260.0,1255.0
07/09/15,112917860.0,1242.0,1237.0,1243.0,1225.0
08/09/15,93876420.0,1237.0,1238.0,1250.0,1234.0
09/09/15,409979410.0,1250.0,1249.0,1260.0,1238.0
10/09/15,489389405.0,1249.0,1255.0,1265.0,1241.0
11/09/15,235399665.0,1242.0,1257.0,1265.0,1242.0
14/09/15,181939940.0,1256.0,1257.0,1262.0,1256.0
15/09/15,243135670.0,1265.0,1268.0,1270.0,1256.0
15/09/15,243135670.0,1265.0,1268.0,1270.0,1256.0
15/09/15,243135670.0,1265.0,1268.0,1270.0,1256.0
16/09/15,238087535.0,1269.0,1273.0,1280.0,1265.0
17/09/15,275530130.0,1274.0,1288.0,1299.0,1274.0
18/09/15,488911330.0,1288.0,1300.0,1315.0,1281.0
21/09/15,147905790.0,1300.0,1270.0,1300.0,1257.0
22/09/15,107264565.0,1285.0,1256.0,1290.0,1255.0
23/09/15,386317920.0,1252.0,1225.0,1255.0,1225.0
24/09/15,241286340.0,1234.0,1235.0,1245.0,1220.0
28/09/15,166083020.0,1259.0,1260.0,1280.0,1251.0
29/09/15,177809855.0,1260.0,1249.0,1265.0,1227.0
30/09/15,178693540.0,1250.0,1265.0,1265.0,1249.0
01/10/15,290637060.0,1288.0,1300.0,1301.0,1286.0
02/10/15,258716040.0,1300.0,1298.0,1301.0,1295.0
05/10/15,558618415.0,1300.0,1330.0,1346.0,1300.0
06/10/15,252372150.0,1340.0,1349.0,1352.0,1340.0
07/10/15,284772025.0,1338.0,1342.0,1350.0,1337.0
08/10/15,411267875.0,1348.0,1359.0,1370.0,1348.0
09/10/15,199634980.0,1363.0,1371.0,1377.0,1351.0
12/10/15,233877210.0,1375.0,1350.0,1376.0,1322.0
13/10/15,124538060.0,1350.0,1330.0,1350.0,1327.0
14/10/15,22554525.0,1365.0,1337.0,1365.0,1331.0
15/10/15,217971325.0,1335.0,1320.0,1335.0,1318.0
16/10/15,569367135.0,1320.0,1296.0,1339.0,1280.0
19/10/15,115366050.0,1296.0,1294.0,1303.0,1290.0
20/10/15,99174600.0,1294.0,1325.0,1325.0,1290.0
21/10/15,172067010.0,1325.0,1325.0,1346.0,1320.0
22/10/15,171196030.0,1295.0,1321.0,1327.0,1295.0
23/10/15,157336330.0,1326.0,1322.0,1346.0,1322.0
26/10/15,256513655.0,1346.0,1360.0,1369.0,1321.0
27/10/15,51633960.0,1360.0,1375.0,1375.0,1355.0
28/10/15,92815900.0,1374.0,1356.0,1374.0,1340.0
29/10/15,134130180.0,1352.0,1344.0,1356.0,1331.0
30/10/15,189618635.0,1343.0,1314.0,1343.0,1314.0
02/11/15,65980940.0,1330.0,1340.0,1350.0,1310.0
03/11/15,252192540.0,1340.0,1350.0,1365.0,1340.0
04/11/15,246603065.0,1368.0,1359.0,1368.0,1347.0
05/11/15,259270800.0,1360.0,1362.0,1369.0,1354.0
06/11/15,182816340.0,1363.0,1360.0,1365.0,1358.0
09/11/15,122199070.0,1340.0,1325.0,1360.0,1312.0
10/11/15,81632960.0,1311.0,1330.0,1332.0,1311.0
11/11/15,197954835.0,1318.0,1323.0,1331.0,1316.0
12/11/15,186871910.0,1360.0,1323.0,1360.0,1323.0
13/11/15,114546275.0,1326.0,1326.0,1326.0,1309.0
16/11/15,162371745.0,1307.0,1298.0,1307.0,1285.0
17/11/15,136791730.0,1302.0,1285.0,1303.0,1285.0
20/11/15,296905760.0,1300.0,1286.0,1300.0,1285.0
23/11/15,142263115.0,1286.0,1291.0,1295.0,1285.0
24/11/15,188412330.0,1285.0,1288.0,1290.0,1285.0
25/11/15,138962105.0,1295.0,1295.0,1296.0,1288.0
26/11/15,159073370.0,1290.0,1290.0,1298.0,1285.0
27/11/15,285737770.0,1291.0,1265.0,1291.0,1265.0
01/12/15,333498625.0,1290.0,1290.0,1299.0,1277.0
02/12/15,67017555.0,1290.0,1290.0,1295.0,1290.0
03/12/15,98879375.0,1290.0,1285.0,1292.0,1277.0
04/12/15,233612350.0,1284.0,1265.0,1284.0,1255.0
07/12/15,57720915.0,1280.0,1268.0,1280.0,1267.0
08/12/15,115168845.0,1265.0,1246.0,1265.0,1242.0
09/12/15,192929955.0,1242.0,1220.0,1242.0,1219.0
10/12/15,69542230.0,1250.0,1224.0,1250.0,1224.0
11/12/15,85136870.0,1225.0,1223.0,1244.0,1220.0
14/12/15,94124985.0,1225.0,1299.0,1299.0,1215.0
15/12/15,120433925.0,1289.0,1251.0,1289.0,1250.0
16/12/15,254397995.0,1255.0,1258.0,1279.0,1255.0
17/12/15,88970070.0,1277.0,1261.0,1295.0,1260.0
18/12/15,196351345.0,1240.0,1262.0,1262.0,1220.0
21/12/15,168818905.0,1288.0,1285.0,1303.0,1260.0
22/12/15,193151180.0,1260.0,1330.0,1335.0,1260.0
23/12/15,118712045.0,1337.0,1345.0,1351.0,1336.0
28/12/15,78388175.0,1326.0,1359.0,1359.0,1326.0
29/12/15,97163060.0,1360.0,1320.0,1360.0,1318.0
04/01/16,105019985.0,1350.0,1320.0,1360.0,1320.0
05/01/16,222615075.0,1316.0,1342.0,1351.0,1314.0
06/01/16,236048490.0,1341.0,1350.0,1353.0,1341.0
07/01/16,290437150.0,1341.0,1350.0,1351.0,1336.0
08/01/16,193358465.0,1350.0,1340.0,1350.0,1311.0
11/01/16,427345990.0,1315.0,1292.0,1328.0,1290.0
12/01/16,75838110.0,1292.0,1287.0,1325.0,1287.0
13/01/16,130542820.0,1292.0,1299.0,1312.0,1292.0
14/01/16,169817695.0,1284.0,1290.0,1294.0,1280.0
15/01/16,113246985.0,1315.0,1300.0,1315.0,1296.0
18/01/16,79942790.0,1275.0,1286.0,1295.0,1274.0
19/01/16,86064595.0,1286.0,1286.0,1300.0,1286.0
20/01/16,350097155.0,1270.0,1265.0,1290.0,1260.0
21/01/16,360362735.0,1265.0,1235.0,1265.0,1230.0
22/01/16,304257875.0,1235.0,1225.0,1235.0,1215.0
25/01/16,250137050.0,1239.0,1233.0,1240.0,1214.0
26/01/16,303363755.0,1227.0,1236.0,1270.0,1210.0
27/01/16,230844995.0,1240.0,1248.0,1250.0,1236.0
28/01/16,253545060.0,1250.0,1250.0,1254.0,1245.0
29/01/16,334187075.0,1250.0,1290.0,1290.0,1250.0
01/02/16,1079695830.0,1292.0,1299.0,1300.0,1281.0
02/02/16,407344565.0,1260.0,1260.0,1279.0,1254.0
03/02/16,168475570.0,1250.0,1243.0,1258.0,1242.0
