Date,Value,Open,Close,High,Low
16/07/15,2700.0,13.5,13.5,13.5,13.5
23/07/15,612720.0,13.32,13.32,13.32,13.32
23/07/15,612720.0,13.32,13.32,13.32,13.32
23/07/15,612720.0,13.32,13.32,13.32,13.32
24/07/15,26686.0,13.3,13.32,13.98,13.3
28/07/15,30322.0,13.3,13.36,13.88,13.3
29/07/15,18044.0,13.88,13.88,13.88,13.88
07/08/15,127692.0,13.3,13.3,13.32,13.3
10/08/15,146202.0,13.88,13.3,13.88,13.3
12/08/15,18620.0,13.3,13.3,13.3,13.3
13/08/15,1348.0,13.48,13.48,13.48,13.48
14/08/15,1386.0,13.86,13.86,13.86,13.86
18/08/15,27930.0,13.3,13.3,13.3,13.3
19/08/15,37240.0,13.3,13.3,13.3,13.3
24/08/15,418950.0,13.3,13.3,13.3,13.3
25/08/15,606700.0,13.02,12.5,13.02,12.5
26/08/15,49324.0,12.98,12.98,12.98,12.98
28/08/15,5480.0,13.8,13.6,13.8,13.6
03/09/15,1360.0,13.6,13.6,13.6,13.6
07/09/15,1350.0,13.5,13.5,13.5,13.5
10/09/15,6500.0,13.0,13.0,13.0,13.0
17/09/15,18752.0,12.52,12.5,12.52,12.5
18/09/15,1250.0,12.5,12.5,12.5,12.5
22/09/15,6250.0,12.5,12.5,12.5,12.5
24/09/15,38750.0,12.5,12.5,12.5,12.5
28/09/15,65000.0,12.5,12.5,12.5,12.5
30/09/15,138652.0,12.4,12.0,12.4,12.0
01/10/15,210894.0,12.0,10.52,12.0,9.52
05/10/15,1140.0,11.4,11.4,11.4,11.4
06/10/15,10270.0,11.42,11.4,11.42,11.4
07/10/15,4560.0,11.4,11.4,11.4,11.4
09/10/15,15796.0,11.3,11.7,11.98,10.64
15/10/15,551192.0,11.0,11.92,11.92,11.0
16/10/15,19550.0,11.5,11.5,11.5,11.5
19/10/15,17832.0,11.12,11.88,11.88,11.04
23/10/15,58800.0,11.76,11.76,11.76,11.76
26/10/15,47040.0,11.76,11.76,11.76,11.76
27/10/15,2348.0,11.74,11.74,11.74,11.74
28/10/15,62206.0,11.74,12.0,12.0,11.74
30/10/15,179816.0,11.92,11.7,11.92,11.7
02/11/15,139464.0,11.92,11.92,11.92,11.92
03/11/15,93406.0,11.8,11.98,11.98,11.8
05/11/15,184490.0,11.8,11.8,11.8,11.7
06/11/15,32960.0,11.8,11.7,11.8,11.7
09/11/15,2350.0,11.7,11.8,11.8,11.7
13/11/15,1180.0,11.8,11.8,11.8,11.8
17/11/15,424800.0,11.8,11.8,11.8,11.8
20/11/15,2378.0,11.9,11.88,11.9,11.88
26/11/15,1198.0,11.98,11.98,11.98,11.98
07/12/15,152400.0,12.0,12.0,12.0,12.0
08/12/15,169650.0,11.7,11.7,11.7,11.7
14/12/15,19037568.0,12.0,12.48,12.5,12.0
16/12/15,17340.0,11.56,11.56,11.56,11.56
17/12/15,109508.0,11.54,11.52,12.28,11.5
18/12/15,3698.0,12.38,12.3,12.38,12.3
21/12/15,3684.0,12.28,12.28,12.28,12.28
05/01/16,4680.0,11.7,11.7,11.7,11.7
07/01/16,124592.0,11.98,11.98,11.98,11.98
08/01/16,1196.0,11.96,11.96,11.96,11.96
11/01/16,54058.0,11.54,11.5,11.54,11.5
12/01/16,1180.0,11.8,11.8,11.8,11.8
13/01/16,2320.0,11.6,11.6,11.6,11.6
15/01/16,49380.0,11.74,11.8,11.8,11.74
18/01/16,1188.0,11.88,11.88,11.88,11.88
19/01/16,5894.0,11.8,11.78,11.8,11.78
20/01/16,65550.0,11.5,11.5,11.5,11.5
21/01/16,21850.0,11.5,11.5,11.5,11.5
