Date,Value,Open,Close,High,Low
15/07/15,41726010.0,1.43,1.48,1.48,1.43
16/07/15,7606150.0,1.49,1.51,1.54,1.49
20/07/15,9793000.0,1.52,1.46,1.52,1.41
21/07/15,3840440.0,1.44,1.44,1.46,1.42
22/07/15,10925110.0,1.44,1.43,1.48,1.43
23/07/15,4851560.0,1.43,1.45,1.46,1.41
23/07/15,4851560.0,1.43,1.45,1.46,1.41
23/07/15,4851560.0,1.43,1.45,1.46,1.41
24/07/15,13671480.0,1.45,1.4,1.45,1.39
27/07/15,2857210.0,1.42,1.39,1.42,1.39
28/07/15,8685150.0,1.4,1.39,1.41,1.37
29/07/15,3111910.0,1.4,1.38,1.42,1.38
30/07/15,16724900.0,1.38,1.34,1.4,1.34
31/07/15,19300710.0,1.34,1.3,1.37,1.29
03/08/15,4878170.0,1.31,1.3,1.34,1.3
04/08/15,13483290.0,1.31,1.27,1.34,1.26
05/08/15,53390980.0,1.27,1.27,1.33,1.27
06/08/15,12964630.0,1.28,1.25,1.29,1.24
07/08/15,30194400.0,1.26,1.41,1.42,1.26
10/08/15,22987030.0,1.4,1.35,1.44,1.34
11/08/15,415166830.0,1.37,1.33,1.38,1.3
12/08/15,8893540.0,1.33,1.31,1.33,1.28
13/08/15,6140320.0,1.29,1.3,1.32,1.28
14/08/15,6391000.0,1.33,1.27,1.33,1.25
17/08/15,8980660.0,1.27,1.22,1.29,1.21
18/08/15,3433780.0,1.21,1.21,1.25,1.2
19/08/15,11147640.0,1.22,1.26,1.26,1.21
20/08/15,5135850.0,1.26,1.24,1.26,1.22
24/08/15,18697970.0,1.2,1.07,1.2,1.03
25/08/15,3302530.0,1.04,1.11,1.11,1.03
26/08/15,7090440.0,1.12,1.09,1.13,1.07
27/08/15,11129280.0,1.09,1.11,1.15,1.09
28/08/15,19427660.0,1.14,1.16,1.2,1.13
01/09/15,4728420.0,1.14,1.11,1.14,1.1
02/09/15,9956730.0,1.09,1.15,1.16,1.06
03/09/15,1987700.0,1.16,1.12,1.16,1.12
04/09/15,2461440.0,1.12,1.12,1.14,1.11
07/09/15,6548020.0,1.13,1.1,1.13,1.07
08/09/15,1861700.0,1.11,1.1,1.11,1.08
09/09/15,2624610.0,1.11,1.1,1.12,1.09
10/09/15,3271500.0,1.08,1.11,1.11,1.08
11/09/15,143403310.00000003,1.13,1.14,1.17,1.12
14/09/15,3539950.0,1.14,1.13,1.15,1.11
15/09/15,6158590.0,1.14,1.09,1.14,1.08
15/09/15,6158590.0,1.14,1.09,1.14,1.08
15/09/15,6158590.0,1.14,1.09,1.14,1.08
16/09/15,7146780.0,1.09,1.12,1.12,1.09
17/09/15,7850370.0,1.11,1.08,1.12,1.07
18/09/15,6757980.0,1.09,1.07,1.11,1.07
21/09/15,26947460.0,1.07,1.01,1.07,0.99
22/09/15,11227550.0,1.0,1.02,1.03,0.99
23/09/15,5508520.0,1.01,1.0,1.01,0.99
24/09/15,19351480.0,1.01,1.01,1.07,0.98
28/09/15,6948990.0,1.01,1.01,1.04,1.01
29/09/15,6899780.0,1.01,0.97,1.01,0.97
30/09/15,9422940.0,0.97,0.93,0.99,0.92
01/10/15,6755660.0,0.95,0.95,0.98,0.94
02/10/15,14635690.0,0.96,0.9,0.96,0.87
05/10/15,6225030.0,0.89,0.87,0.9,0.84
06/10/15,3505730.0,0.88,0.87,0.89,0.85
07/10/15,9173990.0,0.88,0.93,0.95,0.88
08/10/15,9109960.0,0.94,0.91,0.96,0.91
09/10/15,4704090.0,0.92,0.93,0.94,0.91
12/10/15,123122890.0,0.97,1.3,1.3,0.97
13/10/15,56615270.0,1.31,1.17,1.34,1.14
14/10/15,30382940.0,1.17,1.08,1.17,1.07
15/10/15,29785220.0,1.06,1.14,1.19,1.05
16/10/15,25510800.0,1.18,1.12,1.22,1.07
19/10/15,49223300.0,1.12,1.01,1.14,1.0
20/10/15,40124230.0,1.02,0.97,1.04,0.94
21/10/15,16972310.0,0.96,0.99,1.02,0.96
22/10/15,31574840.0,0.99,1.04,1.07,0.99
23/10/15,22118410.0,1.05,1.03,1.07,1.02
26/10/15,14017150.0,1.05,1.03,1.05,1.01
27/10/15,205546210.0,0.99,0.93,1.02,0.85
28/10/15,19863100.0,0.95,0.92,0.97,0.92
29/10/15,7381320.0,0.93,0.92,0.94,0.9
30/10/15,8109440.0,0.93,0.9,0.93,0.89
02/11/15,4178930.0,0.91,0.91,0.92,0.89
03/11/15,4903010.0,0.91,0.92,0.93,0.9
04/11/15,121940200.0,0.92,0.86,0.93,0.84
05/11/15,21869530.0,0.87,0.87,0.87,0.84
06/11/15,44511230.0,0.87,0.83,0.88,0.82
09/11/15,8469440.0,0.82,0.81,0.84,0.8
10/11/15,6129390.0,0.81,0.8,0.83,0.8
11/11/15,2941860.0,0.8,0.83,0.83,0.8
12/11/15,4206030.0,0.83,0.83,0.86,0.83
13/11/15,6415850.0,0.83,0.81,0.83,0.8
16/11/15,6119600.0,0.81,0.79,0.81,0.78
17/11/15,2991690.0,0.79,0.8,0.81,0.79
20/11/15,3195920.0,0.8,0.79,0.8,0.77
23/11/15,7199970.0,0.79,0.76,0.79,0.76
24/11/15,36052600.0,0.76,0.74,0.78,0.73
25/11/15,15262950.0,0.76,0.74,0.84,0.74
26/11/15,7579800.0,0.76,0.75,0.79,0.75
27/11/15,4921280.0,0.78,0.76,0.8,0.76
01/12/15,1201370.0,0.77,0.76,0.78,0.76
02/12/15,2048790.0,0.77,0.76,0.78,0.76
03/12/15,3457520.0,0.76,0.75,0.77,0.75
04/12/15,11366360.0,0.76,0.77,0.78,0.75
07/12/15,4861940.0,0.78,0.75,0.79,0.75
08/12/15,1690890.0,0.76,0.75,0.76,0.74
09/12/15,1550550.0,0.75,0.74,0.75,0.74
10/12/15,2973610.0,0.74,0.75,0.75,0.73
11/12/15,3196400.0,0.74,0.72,0.75,0.71
14/12/15,12650430.0,0.71,0.7,0.72,0.69
15/12/15,2053560.0,0.7,0.68,0.7,0.68
16/12/15,1404720.0,0.68,0.7,0.7,0.68
17/12/15,1341660.0,0.71,0.7,0.72,0.69
18/12/15,50867160.0,0.7,0.69,0.72,0.69
21/12/15,1864780.0,0.69,0.67,0.7,0.67
22/12/15,56901600.00000001,0.68,0.7,0.71,0.68
23/12/15,888870.0,0.7,0.69,0.7,0.68
28/12/15,1022010.0,0.68,0.69,0.7,0.67
29/12/15,884310.0,0.69,0.69,0.7,0.68
04/01/16,3256890.0,0.69,0.66,0.69,0.65
05/01/16,1621280.0,0.66,0.66,0.67,0.65
06/01/16,2490040.0,0.65,0.62,0.66,0.61
07/01/16,6348860.0,0.62,0.55,0.62,0.55
08/01/16,5113630.0,0.55,0.51,0.55,0.51
11/01/16,2775810.0,0.51,0.48,0.51,0.46
12/01/16,2594150.0,0.48,0.5,0.5,0.46
13/01/16,1517560.0,0.5,0.49,0.52,0.49
14/01/16,891950.0,0.47,0.47,0.485,0.47
15/01/16,860300.0,0.49,0.475,0.495,0.475
18/01/16,1402800.0,0.475,0.46,0.475,0.455
19/01/16,1107300.0,0.46,0.48,0.485,0.46
20/01/16,1034300.0,0.485,0.465,0.49,0.46
21/01/16,1405850.0,0.47,0.46,0.47,0.455
22/01/16,2080800.0,0.465,0.49,0.49,0.46
25/01/16,7923200.0,0.495,0.53,0.54,0.495
26/01/16,4005765.0,0.53,0.5,0.53,0.49
27/01/16,34162130.0,0.51,0.66,0.66,0.51
28/01/16,41427040.0,0.65,0.62,0.72,0.61
29/01/16,10106300.0,0.62,0.6,0.63,0.59
01/02/16,10536130.0,0.61,0.6,0.64,0.59
02/02/16,8417820.0,0.6,0.63,0.63,0.57
03/02/16,5675990.0,0.62,0.61,0.63,0.59
04/02/16,124743930.0,0.64,0.73,0.78,0.64
05/02/16,41088730.0,0.76,0.67,0.78,0.67
