Date,Value,Open,Close,High,Low
29/06/16,491378516.0,11.0,15.74,15.74,10.82
30/06/16,581365895.0,20.0,20.3,23.1,17.5
01/07/16,210061977.0,19.5,19.2,21.85,18.1
04/07/16,71977814.0,19.1,17.72,19.12,17.22
05/07/16,96036230.0,17.5,18.62,18.9,16.2
07/07/16,48255328.0,19.04,17.9,19.5,17.9
08/07/16,10081886.0,18.3,18.0,18.38,17.8
11/07/16,16361724.0,18.0,17.48,18.1,17.4
12/07/16,22249936.0,17.7,17.98,18.2,16.8
13/07/16,12073648.0,18.0,17.7,18.3,17.52
14/07/16,8380310.0,17.9,17.88,18.0,17.58
