Date,Value,Open,Close,High,Low
24/07/15,1704.0,17.04,17.04,17.04,17.04
17/08/15,3408.0,17.04,17.04,17.04,17.04
20/08/15,1720.0,17.2,17.2,17.2,17.2
28/08/15,6840.000000000001,17.1,17.1,17.1,17.1
01/09/15,15480.0,17.2,17.2,17.2,17.2
10/09/15,3960.0,19.8,19.8,19.8,19.8
05/10/15,25350.0,16.9,16.9,16.9,16.9
16/10/15,2100.0,21.0,21.0,21.0,21.0
20/10/15,4300.0,21.5,21.5,21.5,21.5
02/11/15,2150.0,21.5,21.5,21.5,21.5
26/11/15,3788300.0,21.5,21.5,21.5,21.5
07/12/15,2900350.0,21.5,21.5,21.5,21.5
09/12/15,2809950.0,21.45,21.45,21.45,21.45
23/12/15,1364250.0,21.0,17.8,21.0,17.8
29/12/15,923820.0,17.8,17.8,17.8,17.8
07/01/16,3560.0,17.8,17.8,17.8,17.8
08/01/16,8580.0,21.45,21.45,21.45,21.45
11/01/16,663600.0,21.0,21.0,21.0,21.0
25/01/16,3507000.0,21.0,21.0,21.0,21.0
03/02/16,1757.9999999999998,17.58,17.58,17.58,17.58
04/02/16,3515.9999999999995,17.58,17.58,17.58,17.58
05/02/16,1074672.0,17.56,17.56,17.56,17.56
01/03/16,14905.0,21.4,21.25,21.4,21.25
02/03/16,8540.0,21.35,21.35,21.35,21.35
08/03/16,5478.0,18.26,18.26,18.26,18.26
09/03/16,1826.0,18.26,18.26,18.26,18.26
15/03/16,9070.0,18.14,18.14,18.14,18.14
18/03/16,3628.0,18.14,18.14,18.14,18.14
23/03/16,985900.0,20.75,20.8,20.8,20.75
28/03/16,6950.0,22.5,23.5,23.5,22.5
29/03/16,252455.0,28.95,35.25,35.25,28.95
30/03/16,1350230.0,38.0,28.45,52.0,21.0
31/03/16,63875.0,28.45,26.5,28.45,26.5
01/04/16,18230.0,20.0,20.55,20.55,20.0
04/04/16,1591630.0,29.0,27.5,29.0,25.0
05/04/16,12750.0,27.5,25.0,27.5,25.0
06/04/16,12025.0,24.05,24.05,24.05,24.05
07/04/16,114215.0,27.25,24.0,27.25,24.0
12/04/16,158660.0,26.8,29.0,29.0,26.8
13/04/16,19600.0,28.0,28.0,28.0,28.0
15/04/16,9620.0,24.05,24.05,24.05,24.05
18/04/16,101370.0,24.35,24.05,24.35,24.05
20/04/16,16835.0,24.05,24.05,24.05,24.05
22/04/16,7215.0,24.05,24.05,24.05,24.05
26/04/16,2898025.0,24.05,24.05,24.05,24.05
29/04/16,536315.0,24.05,24.05,24.05,24.05
02/05/16,9600.0,24.0,24.0,24.0,24.0
03/05/16,2400.0,24.0,24.0,24.0,24.0
04/05/16,4800.0,24.0,24.0,24.0,24.0
10/05/16,2355.0,23.55,23.55,23.55,23.55
13/05/16,70720.0,23.65,23.5,23.65,23.5
16/05/16,65250.0,22.5,21.0,22.5,21.0
18/05/16,4230.0,21.15,21.15,21.15,21.15
20/05/16,2120.0,21.2,21.2,21.2,21.2
25/05/16,2211150.0,21.1,21.2,21.2,21.1
26/05/16,3033720.0,21.2,21.2,21.2,21.2
31/05/16,606320.0,21.2,21.2,21.2,21.2
02/06/16,2961440.0,21.2,23.3,23.3,21.2
03/06/16,2400.0,24.0,24.0,24.0,24.0
06/06/16,6315.0,21.05,21.05,21.05,21.05
07/06/16,6480.0,21.6,21.6,21.6,21.6
08/06/16,1429920.0,21.6,21.6,21.6,21.6
09/06/16,8620.0,21.55,21.55,21.55,21.55
17/06/16,1803735.0,21.55,21.55,21.55,21.55
20/06/16,82170.0,23.9,26.0,27.0,23.0
23/06/16,19085.0,21.15,21.25,21.25,21.15
28/06/16,153000.0,21.25,21.25,21.25,21.25
30/06/16,1094375.0,21.25,21.25,21.25,21.25
05/07/16,2133095.0,21.25,24.05,24.35,21.25
11/07/16,8410.0,21.1,21.0,21.1,21.0
12/07/16,1196550.0,21.1,21.1,22.0,21.1
13/07/16,50500.0,21.1,21.0,21.1,21.0
14/07/16,764400.0,21.0,21.0,21.0,21.0
