Date,Value,Open,Close,High,Low
15/07/15,336260.0,1.3,1.27,1.31,1.26
16/07/15,95280.0,1.27,1.27,1.3,1.27
20/07/15,631220.0,1.27,1.26,1.27,1.23
21/07/15,624330.0,1.23,1.28,1.28,1.23
22/07/15,91850.0,1.25,1.26,1.29,1.25
23/07/15,864430.0,1.29,1.34,1.35,1.26
23/07/15,864430.0,1.29,1.34,1.35,1.26
23/07/15,864430.0,1.29,1.34,1.35,1.26
24/07/15,1432900.0,1.36,1.31,1.43,1.31
27/07/15,212490.0,1.37,1.33,1.37,1.32
28/07/15,105430.0,1.33,1.29,1.33,1.29
29/07/15,628070.0,1.32,1.3,1.32,1.27
30/07/15,109100.0,1.31,1.31,1.32,1.31
31/07/15,51390.0,1.33,1.31,1.33,1.31
03/08/15,245030.0,1.27,1.29,1.29,1.26
04/08/15,599620.0,1.31,1.28,1.32,1.26
05/08/15,444830.0,1.26,1.28,1.28,1.25
06/08/15,449800.0,1.32,1.26,1.32,1.26
07/08/15,168580.0,1.27,1.27,1.33,1.26
10/08/15,2107470.0,1.31,1.4,1.42,1.27
11/08/15,544110.0,1.37,1.31,1.37,1.3
12/08/15,106600.0,1.3,1.3,1.3,1.3
13/08/15,869970.0,1.29,1.32,1.36,1.29
14/08/15,685010.0,1.36,1.29,1.36,1.29
17/08/15,961490.0,1.29,1.25,1.36,1.25
18/08/15,589050.0,1.26,1.24,1.26,1.23
19/08/15,442940.0,1.25,1.22,1.25,1.22
20/08/15,165940.0,1.22,1.22,1.23,1.22
24/08/15,801440.0,1.22,1.15,1.22,1.15
25/08/15,5750.0,1.15,1.15,1.15,1.15
26/08/15,60190.0,1.15,1.15,1.15,1.1
27/08/15,422300.0,1.15,1.26,1.28,1.1
28/08/15,64100.0,1.25,1.2,1.25,1.15
01/09/15,229000.0,1.21,1.16,1.21,1.16
02/09/15,60090.0,1.15,1.15,1.18,1.15
03/09/15,44120.0,1.2,1.16,1.2,1.16
04/09/15,25620.0,1.22,1.2,1.22,1.16
07/09/15,64090.0,1.19,1.16,1.19,1.16
09/09/15,24990.0,1.19,1.19,1.19,1.19
10/09/15,1190.0,1.19,1.19,1.19,1.19
11/09/15,57500.0,1.15,1.15,1.15,1.15
14/09/15,282540.0,1.16,1.23,1.23,1.15
15/09/15,82980.0,1.22,1.22,1.22,1.2
15/09/15,82980.0,1.22,1.22,1.22,1.2
15/09/15,82980.0,1.22,1.22,1.22,1.2
16/09/15,31000.0,1.25,1.2,1.25,1.2
17/09/15,19360.0,1.21,1.21,1.21,1.21
18/09/15,117660.0,1.2,1.28,1.33,1.2
21/09/15,414660.0,1.21,1.21,1.21,1.2
22/09/15,144090.0,1.21,1.23,1.29,1.21
23/09/15,28710.0,1.23,1.25,1.25,1.23
24/09/15,333220.0,1.29,1.26,1.35,1.25
28/09/15,129590.0,1.31,1.22,1.31,1.22
29/09/15,20360.0,1.28,1.22,1.28,1.22
30/09/15,299470.0,1.24,1.25,1.25,1.21
01/10/15,203520.0,1.22,1.22,1.22,1.21
02/10/15,155050.0,1.22,1.27,1.27,1.22
06/10/15,134490.0,1.28,1.27,1.28,1.26
07/10/15,72420.0,1.26,1.24,1.26,1.24
09/10/15,2420.0,1.21,1.21,1.21,1.21
12/10/15,195810.0,1.23,1.22,1.23,1.2
13/10/15,63340.0,1.27,1.25,1.27,1.25
14/10/15,133970.0,1.21,1.2,1.22,1.2
15/10/15,48400.0,1.2,1.22,1.22,1.2
16/10/15,167080.0,1.24,1.25,1.25,1.24
19/10/15,5040.0,1.26,1.26,1.26,1.26
20/10/15,179730.0,1.23,1.22,1.23,1.18
21/10/15,204370.0,1.19,1.21,1.25,1.18
22/10/15,70250.0,1.21,1.22,1.22,1.2
23/10/15,122110.0,1.2,1.2,1.2,1.19
26/10/15,26490.0,1.23,1.23,1.23,1.2
27/10/15,6150.0,1.23,1.23,1.23,1.23
28/10/15,8710.0,1.23,1.25,1.25,1.23
29/10/15,75820.0,1.25,1.25,1.25,1.22
02/11/15,34030.0,1.22,1.21,1.22,1.21
03/11/15,30150.0,1.21,1.2,1.21,1.2
05/11/15,19200.0,1.2,1.2,1.2,1.2
06/11/15,20230.0,1.19,1.19,1.19,1.19
10/11/15,89710.0,1.2,1.24,1.25,1.2
11/11/15,42300.0,1.2,1.22,1.22,1.2
12/11/15,122890.0,1.23,1.24,1.25,1.23
13/11/15,103620.0,1.24,1.25,1.25,1.2
16/11/15,94050.0,1.2,1.23,1.23,1.2
17/11/15,22500.0,1.25,1.25,1.25,1.25
20/11/15,227130.0,1.25,1.26,1.27,1.21
23/11/15,1195910.0,1.27,1.25,1.36,1.25
24/11/15,91010.0,1.22,1.3,1.3,1.22
25/11/15,16070.0,1.3,1.23,1.3,1.23
26/11/15,51240.0,1.22,1.22,1.22,1.22
27/11/15,37930.0,1.22,1.26,1.26,1.22
01/12/15,684690.0,1.29,1.27,1.36,1.23
02/12/15,246370.0,1.3,1.3,1.32,1.26
03/12/15,313130.0,1.3,1.27,1.35,1.27
04/12/15,140950.0,1.28,1.29,1.29,1.27
07/12/15,78100.0,1.3,1.28,1.3,1.28
09/12/15,634950.0,1.25,1.23,1.25,1.2
10/12/15,67100.0,1.22,1.22,1.22,1.22
11/12/15,19680.0,1.23,1.23,1.23,1.23
14/12/15,254400.0,1.2,1.18,1.2,1.18
15/12/15,39930.0,1.17,1.26,1.26,1.15
16/12/15,190860.0,1.26,1.26,1.28,1.26
17/12/15,208490.0,1.26,1.21,1.29,1.21
18/12/15,122750.0,1.22,1.22,1.25,1.22
23/12/15,182330.0,1.2,1.17,1.21,1.15
28/12/15,59770.0,1.17,1.18,1.18,1.17
29/12/15,1170.0,1.17,1.17,1.17,1.17
04/01/16,46220.0,1.16,1.16,1.16,1.15
05/01/16,38280.0,1.16,1.16,1.16,1.16
06/01/16,9530.0,1.19,1.2,1.2,1.18
07/01/16,64350.0,1.17,1.17,1.17,1.17
08/01/16,165800.0,1.17,1.17,1.2,1.17
11/01/16,149650.0,1.17,1.14,1.17,1.14
12/01/16,114300.0,1.15,1.14,1.15,1.14
14/01/16,378640.0,1.12,1.13,1.13,1.12
15/01/16,33900.0,1.13,1.13,1.13,1.13
18/01/16,233660.0,1.13,1.1,1.13,1.1
19/01/16,142400.0,1.11,1.1,1.11,1.1
20/01/16,143000.0,1.1,1.1,1.1,1.1
21/01/16,1100.0,1.1,1.1,1.1,1.1
22/01/16,1080.0,1.08,1.08,1.08,1.08
25/01/16,31920.000000000004,1.1,1.11,1.11,1.1
26/01/16,1100.0,1.1,1.1,1.1,1.1
27/01/16,204710.0,1.1,1.11,1.11,1.1
28/01/16,12100.0,1.1,1.1,1.1,1.1
29/01/16,90480.0,1.16,1.16,1.16,1.16
01/02/16,36730.0,1.16,1.22,1.22,1.16
02/02/16,52650.0,1.17,1.17,1.17,1.17
03/02/16,92800.0,1.16,1.16,1.16,1.16
04/02/16,1180.0,1.18,1.18,1.18,1.18
05/02/16,272400.0,1.18,1.18,1.19,1.18
09/02/16,73160.0,1.18,1.18,1.18,1.18
10/02/16,75240.0,1.14,1.14,1.14,1.14
11/02/16,102090.0,1.14,1.15,1.15,1.14
15/02/16,19550.0,1.15,1.15,1.15,1.15
16/02/16,25380.0,1.19,1.15,1.19,1.15
17/02/16,154549.99999999997,1.13,1.15,1.15,1.13
18/02/16,122530.0,1.14,1.14,1.15,1.14
19/02/16,83960.0,1.17,1.19,1.19,1.17
22/02/16,376130.0,1.18,1.19,1.24,1.18
23/02/16,144000.0,1.2,1.2,1.2,1.2
24/02/16,3630.0,1.21,1.21,1.21,1.21
26/02/16,66690.0,1.17,1.17,1.17,1.17
29/02/16,14040.0,1.17,1.17,1.17,1.17
01/03/16,80730.0,1.17,1.17,1.17,1.17
02/03/16,47200.0,1.18,1.18,1.18,1.18
03/03/16,343120.0,1.24,1.2,1.28,1.19
04/03/16,131820.0,1.2,1.19,1.2,1.19
07/03/16,659240.0,1.26,1.25,1.26,1.19
08/03/16,1200.0,1.2,1.2,1.2,1.2
09/03/16,95790.0,1.25,1.25,1.28,1.25
10/03/16,2305270.0,1.26,1.32,1.35,1.24
11/03/16,441610.0,1.32,1.33,1.37,1.31
14/03/16,379800.0,1.33,1.3,1.33,1.3
15/03/16,525410.0,1.3,1.28,1.3,1.28
16/03/16,23040.0,1.28,1.28,1.28,1.28
17/03/16,53900.0,1.28,1.25,1.28,1.25
18/03/16,64050.0,1.25,1.25,1.28,1.25
21/03/16,277280.0,1.24,1.26,1.26,1.22
22/03/16,194480.0,1.25,1.25,1.25,1.2
23/03/16,131100.0,1.23,1.22,1.24,1.22
28/03/16,163720.0,1.24,1.23,1.24,1.22
29/03/16,68880.0,1.23,1.23,1.23,1.23
30/03/16,145800.0,1.26,1.2,1.26,1.2
01/04/16,77020.0,1.2,1.21,1.21,1.2
04/04/16,106040.0,1.23,1.27,1.27,1.22
05/04/16,8540.0,1.22,1.22,1.22,1.22
06/04/16,11410.0,1.27,1.26,1.27,1.26
07/04/16,331340.0,1.27,1.27,1.32,1.26
08/04/16,126480.0,1.24,1.24,1.24,1.24
11/04/16,105200.0,1.24,1.22,1.24,1.22
12/04/16,51700.0,1.26,1.22,1.26,1.22
13/04/16,60500.0,1.21,1.21,1.21,1.21
14/04/16,12300.0,1.23,1.23,1.23,1.23
15/04/16,1003430.0,1.23,1.2,1.23,1.19
18/04/16,71830.0,1.2,1.2,1.2,1.19
19/04/16,325440.0,1.2,1.18,1.2,1.18
20/04/16,18880.0,1.18,1.18,1.18,1.18
21/04/16,57500.0,1.2,1.2,1.2,1.18
22/04/16,108260.0,1.17,1.18,1.18,1.17
25/04/16,2006750.0,1.18,1.13,1.23,1.12
26/04/16,3608570.0,1.14,1.2,1.23,1.13
27/04/16,611340.0,1.21,1.17,1.23,1.13
28/04/16,271520.0,1.14,1.16,1.21,1.14
29/04/16,1913710.0,1.15,1.15,1.17,1.13
02/05/16,19770.0,1.19,1.15,1.19,1.15
03/05/16,36890.0,1.19,1.19,1.19,1.19
04/05/16,26530.0,1.16,1.15,1.16,1.15
05/05/16,67450.0,1.18,1.18,1.19,1.18
10/05/16,64760.0,1.15,1.16,1.16,1.15
11/05/16,135630.0,1.17,1.19,1.19,1.17
13/05/16,41900.0,1.19,1.2,1.2,1.19
16/05/16,189300.0,1.19,1.2,1.2,1.19
17/05/16,44930.0,1.19,1.18,1.22,1.18
18/05/16,269360.0,1.2,1.18,1.22,1.18
19/05/16,64650.0,1.21,1.18,1.21,1.18
20/05/16,180000.0,1.18,1.18,1.18,1.12
24/05/16,98080.0,1.16,1.19,1.19,1.16
25/05/16,4730.0,1.19,1.18,1.19,1.18
26/05/16,109450.0,1.16,1.18,1.18,1.13
27/05/16,11800.0,1.18,1.18,1.18,1.18
30/05/16,304970.0,1.17,1.13,1.2,1.13
31/05/16,315250.0,1.14,1.14,1.18,1.12
