Date,Value,Open,Close,High,Low
15/07/15,8664292.0,13.9,13.94,13.98,13.9
16/07/15,36066.0,13.08,14.0,14.0,13.08
20/07/15,1363500.0,13.5,13.5,13.5,13.5
21/07/15,216760.0,13.16,13.8,13.8,13.12
22/07/15,17420.0,13.4,13.4,13.4,13.4
23/07/15,9572530.0,13.4,13.4,13.4,13.3
23/07/15,9572530.0,13.4,13.4,13.4,13.3
23/07/15,9572530.0,13.4,13.4,13.4,13.3
24/07/15,104250.0,13.9,13.9,13.9,13.9
27/07/15,1457174.0,13.5,13.3,13.5,13.16
28/07/15,934312.0,13.5,13.14,13.5,13.12
29/07/15,80252.0,13.6,13.14,13.6,13.14
30/07/15,329814.0,13.14,13.14,13.14,13.14
31/07/15,2632.0,13.16,13.16,13.16,13.16
05/08/15,309430.0,13.5,13.88,13.9,13.5
06/08/15,751280.0,13.52,13.6,13.6,13.52
07/08/15,313870.0,13.6,13.56,13.6,13.5
10/08/15,981330.0,13.56,13.4,13.78,13.38
11/08/15,358640.0,13.4,13.4,13.4,13.38
12/08/15,41230.0,13.3,13.3,13.3,13.3
13/08/15,7980.0,13.3,13.3,13.3,13.3
14/08/15,955110.0,13.3,13.3,13.38,13.3
17/08/15,769402.0,13.5,13.26,13.5,13.26
18/08/15,440718.0,13.26,13.22,13.26,13.22
19/08/15,2299090.0,13.2,13.1,13.2,13.02
20/08/15,681190.0,13.0,13.1,13.1,13.0
24/08/15,10080800.0,13.0,12.6,13.02,12.6
25/08/15,110950.0,12.5,12.0,12.5,12.0
26/08/15,75824.0,13.0,12.98,13.0,12.7
27/08/15,839750.0,12.8,13.0,13.0,12.8
28/08/15,287000.0,13.0,13.1,13.1,13.0
01/09/15,502196.0,13.1,13.4,13.4,13.1
02/09/15,942022.0,13.4,13.4,13.42,13.4
03/09/15,187890.0,13.4,13.48,13.48,13.4
04/09/15,120780.0,13.42,13.42,13.42,13.42
07/09/15,173376.0,13.44,13.44,13.44,13.44
08/09/15,211152.0,13.46,13.48,13.48,13.44
09/09/15,17550.0,13.5,13.5,13.5,13.5
10/09/15,28770.0,13.5,13.8,13.8,13.5
11/09/15,13780.0,13.78,13.78,13.78,13.78
14/09/15,39962.0,13.78,13.78,13.78,13.78
16/09/15,572594.0,13.78,13.8,13.8,13.72
17/09/15,298300.0,13.8,13.72,13.82,13.72
18/09/15,17980.0,13.84,13.8,13.84,13.8
21/09/15,14718.0,13.38,13.38,13.38,13.38
22/09/15,13000.0,13.0,13.0,13.0,13.0
23/09/15,473784.0,13.02,13.0,13.02,13.0
24/09/15,130000.0,13.0,13.0,13.0,13.0
28/09/15,338102.0,13.0,12.9,13.0,12.1
30/09/15,129166.0,12.9,12.9,13.74,12.9
01/10/15,656610.0,12.9,12.9,12.9,12.9
02/10/15,2389080.0,12.9,12.9,12.9,12.9
05/10/15,163730.0,12.9,12.8,12.9,12.8
06/10/15,84340.0,13.0,13.0,13.0,12.5
07/10/15,1320800.0,13.0,13.0,13.0,13.0
08/10/15,2810590.0,13.7,13.0,13.7,12.12
09/10/15,317200.0,13.0,13.0,13.0,13.0
12/10/15,154700.0,13.0,13.0,13.0,13.0
13/10/15,197908.0,13.0,13.0,13.0,12.14
14/10/15,193820.0,13.0,13.6,13.6,13.0
15/10/15,2540.0,12.7,12.7,12.7,12.7
16/10/15,5260.0,13.02,13.58,13.58,13.0
19/10/15,11840450.0,13.4,13.0,13.4,13.0
20/10/15,130000.0,13.0,13.0,13.0,13.0
21/10/15,49400.0,13.0,13.0,13.0,13.0
22/10/15,13580.0,13.58,13.58,13.58,13.58
23/10/15,53380.0,13.0,13.02,13.02,13.0
26/10/15,28820.0,13.1,13.1,13.1,13.1
27/10/15,1310.0,13.1,13.1,13.1,13.1
28/10/15,20960.0,13.1,13.1,13.1,13.1
29/10/15,301086.0,13.5,13.64,13.64,13.5
30/10/15,1173940.0,13.9,14.2,14.2,13.9
02/11/15,288270.0,14.5,14.6,14.6,14.0
03/11/15,169300.0,14.6,14.0,14.6,14.0
04/11/15,294000.0,14.0,14.0,14.0,14.0
05/11/15,5600.0,14.0,14.0,14.0,14.0
06/11/15,78588.0,13.32,13.32,13.32,13.32
10/11/15,458152.0,13.4,13.4,13.4,13.38
11/11/15,964936.0,13.98,14.4,14.5,13.98
12/11/15,1072610.0,14.3,14.46,14.46,14.2
13/11/15,2398386.0,14.3,14.62,14.62,14.0
16/11/15,1674834.0,14.1,14.6,14.6,14.1
17/11/15,152150.0,14.3,14.5,14.5,14.3
20/11/15,1395610.0,14.6,14.62,14.62,14.5
23/11/15,1905950.0,14.64,14.8,14.8,14.64
24/11/15,1208706.0,14.72,14.9,14.9,14.72
25/11/15,54334.0,14.9,14.9,14.9,14.52
26/11/15,74300.0,14.9,14.8,14.9,14.8
27/11/15,52386.0,14.9,14.52,14.9,14.52
01/12/15,139510.0,14.52,14.8,14.8,14.5
02/12/15,48840.0,14.8,14.8,14.8,14.8
03/12/15,29510.0,14.5,14.8,14.8,14.5
04/12/15,175450.0,14.5,14.5,14.5,14.5
07/12/15,61822.0,14.02,14.22,14.22,14.02
08/12/15,62656.0,14.24,14.24,14.24,14.24
09/12/15,1639900.0,14.48,14.5,14.5,14.48
10/12/15,2917400.0,14.5,14.5,14.5,14.5
11/12/15,476180.0,14.48,14.4,14.5,14.4
14/12/15,1427848.0,14.48,14.26,14.48,14.26
15/12/15,785722.0,14.22,14.26,14.26,14.22
16/12/15,7960362.0,14.26,14.5,14.5,14.26
17/12/15,1276660.0,14.3,14.5,14.5,14.3
18/12/15,572700.0,14.5,14.2,14.5,14.2
21/12/15,554902.0,14.26,14.26,14.28,14.26
22/12/15,427200.0,14.24,14.24,14.24,14.24
29/12/15,14240.0,14.24,14.24,14.24,14.24
04/01/16,1926834.0,14.1,14.26,14.26,14.1
