Date,Value,Open,Close,High,Low
15/07/15,665.0,6.65,6.65,6.65,6.65
16/07/15,49041.0,6.45,6.66,6.66,6.45
20/07/15,11232.0,6.66,6.6,6.66,6.6
21/07/15,61323.0,6.41,6.6,6.6,6.41
22/07/15,225256.0,6.44,6.44,6.44,6.43
23/07/15,172890.0,6.47,6.45,6.47,6.45
23/07/15,172890.0,6.47,6.45,6.47,6.45
23/07/15,172890.0,6.47,6.45,6.47,6.45
24/07/15,47952.0,6.48,6.48,6.48,6.48
28/07/15,5796.0,6.44,6.44,6.44,6.44
29/07/15,54096.0,6.44,6.44,6.44,6.44
30/07/15,186760.0,6.44,6.44,6.44,6.44
31/07/15,55404.0,6.45,6.44,6.45,6.44
03/08/15,1932.0000000000002,6.44,6.44,6.44,6.44
04/08/15,1973035.0,6.5,6.49,6.5,6.49
05/08/15,3908.0,6.58,6.5,6.58,6.5
06/08/15,27262.0,6.47,6.48,6.55,6.47
07/08/15,7145.0,6.45,6.5,6.5,6.45
10/08/15,11095.0,6.46,6.54,6.55,6.46
11/08/15,445694.0,6.44,6.45,6.71,6.42
12/08/15,185279.0,6.42,6.4,6.73,6.4
13/08/15,650.0,6.5,6.5,6.5,6.5
17/08/15,649336.0,6.4,6.46,6.46,6.35
18/08/15,1344.0,6.74,6.7,6.74,6.7
19/08/15,669.0,6.69,6.69,6.69,6.69
20/08/15,162500.0,6.5,6.5,6.5,6.5
24/08/15,621940.0,6.33,6.0,6.33,6.0
26/08/15,52800.0,6.0,6.0,6.0,6.0
27/08/15,259346.0,6.05,6.0,6.05,6.0
01/09/15,327250.0,5.95,5.95,5.95,5.95
02/09/15,5064450.0,5.95,5.95,6.0,5.95
03/09/15,575410.0,5.95,5.95,6.0,5.95
04/09/15,672500.0,5.96,5.95,5.96,5.95
07/09/15,658665.0,5.95,5.95,5.95,5.95
08/09/15,5297720.0,5.95,5.95,6.0,5.95
09/09/15,518785.0,5.95,5.95,5.95,5.94
10/09/15,141015.0,5.95,5.95,5.95,5.95
11/09/15,246925.0,5.95,5.95,5.95,5.95
14/09/15,6811.0,6.2,6.19,6.2,6.19
15/09/15,59600.0,5.96,5.96,5.96,5.96
15/09/15,59600.0,5.96,5.96,5.96,5.96
15/09/15,59600.0,5.96,5.96,5.96,5.96
17/09/15,39000.0,6.0,6.0,6.0,6.0
18/09/15,600.0,6.0,6.0,6.0,6.0
21/09/15,15496.0,5.96,5.96,5.96,5.96
22/09/15,964632.0,5.97,5.97,5.97,5.96
23/09/15,1552200.0,5.97,5.97,5.97,5.97
24/09/15,288735.0,5.96,5.95,5.97,5.95
28/09/15,259422.0,5.97,5.95,5.97,5.95
29/09/15,1203.0,5.93,6.1,6.1,5.93
30/09/15,180292.0,5.97,5.97,5.97,5.95
01/10/15,155100.0,5.97,5.95,5.97,5.95
02/10/15,31000.0,6.2,6.0,6.2,6.0
05/10/15,599630.0,6.0,5.93,6.0,5.93
06/10/15,1580437.0,5.95,5.93,5.96,5.93
07/10/15,1545951.0,5.93,5.93,5.93,5.93
08/10/15,4989533.0,5.93,5.89,5.93,5.89
09/10/15,7498770.0,5.89,5.78,5.93,5.78
12/10/15,94968.0,5.79,5.8,5.8,5.79
14/10/15,1384125.0,5.8,5.79,5.8,5.79
15/10/15,928000.0,5.8,5.8,5.8,5.8
16/10/15,3235925.0,5.85,5.8,5.85,5.8
19/10/15,2894200.0,5.8,5.8,5.8,5.8
20/10/15,89349.0,5.84,5.81,5.84,5.81
23/10/15,8715.0,5.81,5.81,5.81,5.81
27/10/15,603630.0,5.81,5.84,5.84,5.79
06/11/15,2583220.0,5.81,5.75,5.81,5.75
09/11/15,1974813.0,5.73,5.61,5.73,5.61
10/11/15,1120000.0,5.6,5.6,5.6,5.6
