Date,Value,Open,Close,High,Low
15/07/15,22980.0,1.61,1.8,1.8,1.6
16/07/15,59390.0,1.79,1.83,1.83,1.79
20/07/15,43970.0,1.8,1.8,1.85,1.65
21/07/15,9000.0,1.8,1.8,1.8,1.8
22/07/15,3600.0,1.8,1.8,1.8,1.8
24/07/15,91790.0,1.79,1.8,1.8,1.79
28/07/15,72870.0,1.64,1.79,1.79,1.63
30/07/15,99640.0,1.78,1.78,1.78,1.77
31/07/15,5360.0,1.78,1.79,1.79,1.78
03/08/15,8290.0,1.65,1.69,1.69,1.65
04/08/15,84180.0,1.69,1.68,1.69,1.68
05/08/15,1740.0,1.74,1.74,1.74,1.74
06/08/15,22630.0,1.74,1.75,1.75,1.74
07/08/15,3390.0,1.65,1.74,1.74,1.65
10/08/15,3400.0,1.7,1.7,1.7,1.7
11/08/15,138260.0,1.03,1.8,1.8,1.03
12/08/15,698950.0,1.8,1.79,1.8,1.65
13/08/15,55490.0,1.79,1.79,1.79,1.79
18/08/15,63940.0,1.63,1.78,1.78,1.63
19/08/15,494260.0,1.7,1.75,1.75,1.62
24/08/15,7000.0,1.75,1.75,1.75,1.75
25/08/15,1690.0,1.69,1.69,1.69,1.69
26/08/15,88050.0,1.7,1.69,1.7,1.69
27/08/15,8000.0,1.6,1.6,1.6,1.6
28/08/15,1630.0,1.63,1.63,1.63,1.63
03/09/15,1630.0,1.63,1.63,1.63,1.63
09/09/15,4890.0,1.63,1.63,1.63,1.63
15/09/15,37040.0,1.41,1.63,1.63,1.41
15/09/15,37040.0,1.41,1.63,1.63,1.41
15/09/15,37040.0,1.41,1.63,1.63,1.41
16/09/15,1630.0,1.63,1.63,1.63,1.63
22/09/15,16000.0,1.6,1.6,1.6,1.6
23/09/15,41080.0,1.75,1.7,1.78,1.49
24/09/15,10170.0,1.7,1.69,1.7,1.69
29/09/15,855530.0,1.51,1.51,1.79,1.41
30/09/15,343120.0,1.59,1.68,1.69,1.45
01/10/15,6497990.0,1.77,2.33,2.44,1.77
02/10/15,7871490.0,2.4,2.34,2.95,2.21
05/10/15,1342760.0,2.3,2.16,2.34,2.05
06/10/15,470700.0,2.35,2.14,2.35,2.05
07/10/15,348090.0,2.26,2.07,2.27,2.06
08/10/15,913090.0,2.07,1.9,2.07,1.8
09/10/15,703960.0,1.8,1.84,1.85,1.69
12/10/15,88200.0,1.9,1.72,1.9,1.72
13/10/15,313680.0,1.87,1.72,1.89,1.72
14/10/15,19280.0,1.79,1.73,1.79,1.72
15/10/15,62680.0,1.73,1.74,1.75,1.73
16/10/15,163580.0,1.81,1.76,1.88,1.73
19/10/15,446030.0,1.84,1.77,1.9,1.77
20/10/15,202460.0,1.77,1.74,1.77,1.74
21/10/15,12180.0,1.74,1.74,1.74,1.74
22/10/15,3460.0,1.73,1.73,1.73,1.73
23/10/15,45050.0,1.8,1.73,1.8,1.73
27/10/15,56830.0,1.72,1.73,1.73,1.72
28/10/15,5190.0,1.73,1.73,1.73,1.73
29/10/15,17850.0,1.73,1.79,1.82,1.73
30/10/15,70860.0,1.78,1.83,1.84,1.78
02/11/15,10920.0,1.82,1.82,1.82,1.82
03/11/15,28980.0,1.72,1.7,1.72,1.7
04/11/15,93670.0,1.72,1.69,1.72,1.69
05/11/15,40850.0,1.7,1.75,1.75,1.7
06/11/15,54400.0,1.7,1.7,1.7,1.7
09/11/15,27200.0,1.7,1.7,1.7,1.7
10/11/15,42130.0,1.7,1.61,1.7,1.61
11/11/15,121710.0,1.63,1.63,1.65,1.62
12/11/15,16320.0,1.62,1.63,1.65,1.62
13/11/15,39120.0,1.63,1.63,1.63,1.63
16/11/15,128860.0,1.62,1.61,1.62,1.6
17/11/15,19230.0,1.6,1.61,1.61,1.6
20/11/15,6420.0,1.62,1.6,1.62,1.6
23/11/15,55090.0,1.6,1.77,1.81,1.6
24/11/15,30180.0,1.77,1.65,1.77,1.65
25/11/15,63300.0,1.65,1.75,1.81,1.65
26/11/15,9000.0,1.8,1.8,1.8,1.8
27/11/15,16180.0,1.8,1.8,1.8,1.79
01/12/15,18000.0,1.8,1.8,1.8,1.8
02/12/15,1790.0,1.79,1.79,1.79,1.79
04/12/15,88960.0,1.79,1.87,1.88,1.79
07/12/15,111750.0,1.85,1.7,1.88,1.68
09/12/15,72100.0,1.84,1.71,1.84,1.71
10/12/15,3400.0,1.7,1.7,1.7,1.7
11/12/15,17890.0,1.78,1.8,1.8,1.78
14/12/15,15600.0,1.65,1.8,1.8,1.65
15/12/15,3320.0,1.66,1.66,1.66,1.66
16/12/15,43360.0,1.74,1.7,1.75,1.7
17/12/15,73170.0,1.79,1.8,1.8,1.75
18/12/15,42780.0,1.79,1.7,1.79,1.7
21/12/15,5370.0,1.79,1.79,1.79,1.79
22/12/15,8770.0,1.7,1.79,1.79,1.7
28/12/15,5370.0,1.79,1.79,1.79,1.79
29/12/15,213200.0,1.8,1.85,1.85,1.8
05/01/16,27750.0,1.85,1.85,1.85,1.85
06/01/16,1860.0,1.86,1.86,1.86,1.86
07/01/16,16510.0,1.66,1.65,1.66,1.65
08/01/16,34410.0,1.83,1.63,1.83,1.62
13/01/16,18020.0,1.82,1.81,1.84,1.61
18/01/16,9600.0,1.6,1.6,1.6,1.6
19/01/16,51900.0,1.77,1.82,1.82,1.77
25/01/16,3260.0,1.63,1.63,1.63,1.63
27/01/16,16490.0,1.64,1.65,1.65,1.64
28/01/16,19670.0,1.68,1.81,1.81,1.68
