Date,Value,Open,Close,High,Low
15/07/15,95700.0,0.011,0.011,0.011,0.011
16/07/15,48800.0,0.012,0.011,0.012,0.011
20/07/15,48000.0,0.012,0.012,0.012,0.012
22/07/15,339100.0,0.011,0.012,0.012,0.011
23/07/15,67200.0,0.011,0.012,0.012,0.011
23/07/15,67200.0,0.011,0.012,0.012,0.011
23/07/15,67200.0,0.011,0.012,0.012,0.011
24/07/15,3300.0,0.011,0.011,0.011,0.011
27/07/15,126200.0,0.011,0.012,0.012,0.01
28/07/15,21600.0,0.012,0.012,0.012,0.012
29/07/15,48400.0,0.011,0.011,0.011,0.011
30/07/15,49300.0,0.011,0.011,0.011,0.01
31/07/15,19800.0,0.011,0.011,0.011,0.011
03/08/15,84000.0,0.011,0.012,0.012,0.011
04/08/15,19900.0,0.011,0.012,0.012,0.011
05/08/15,6600.0,0.011,0.011,0.011,0.011
06/08/15,74500.0,0.012,0.011,0.012,0.011
07/08/15,70400.0,0.011,0.011,0.011,0.011
10/08/15,105600.0,0.011,0.011,0.011,0.011
11/08/15,60500.0,0.011,0.011,0.011,0.011
13/08/15,1464500.0,0.01,0.012,0.013,0.01
14/08/15,88100.0,0.012,0.012,0.012,0.011
17/08/15,20000.0,0.012,0.012,0.012,0.011
18/08/15,220000.0,0.011,0.011,0.011,0.011
19/08/15,111100.0,0.011,0.011,0.011,0.011
20/08/15,18700.0,0.011,0.011,0.011,0.011
24/08/15,121200.0,0.011,0.01,0.011,0.01
25/08/15,21000.0,0.01,0.01,0.01,0.01
26/08/15,105800.0,0.011,0.011,0.012,0.011
27/08/15,98300.0,0.012,0.011,0.012,0.011
28/08/15,1200.0,0.012,0.012,0.012,0.012
01/09/15,26700.0,0.012,0.012,0.012,0.011
02/09/15,111200.0,0.012,0.011,0.012,0.011
03/09/15,11000.0,0.011,0.011,0.011,0.011
04/09/15,4400.0,0.011,0.011,0.011,0.011
07/09/15,476700.0,0.011,0.011,0.012,0.01
08/09/15,4200.0,0.01,0.011,0.011,0.01
09/09/15,46300.0,0.011,0.012,0.012,0.011
10/09/15,42400.0,0.011,0.01,0.011,0.01
11/09/15,49500.0,0.011,0.01,0.011,0.01
14/09/15,82300.0,0.011,0.011,0.011,0.01
15/09/15,10000.0,0.01,0.01,0.01,0.01
15/09/15,10000.0,0.01,0.01,0.01,0.01
15/09/15,10000.0,0.01,0.01,0.01,0.01
16/09/15,10000.0,0.01,0.01,0.01,0.01
17/09/15,27200.0,0.01,0.011,0.011,0.01
18/09/15,288300.0,0.01,0.011,0.011,0.01
21/09/15,22000.0,0.011,0.011,0.011,0.011
22/09/15,181600.0,0.011,0.011,0.011,0.01
28/09/15,116000.0,0.01,0.01,0.01,0.01
29/09/15,201800.0,0.011,0.01,0.011,0.01
30/09/15,78300.0,0.01,0.011,0.011,0.01
01/10/15,81200.0,0.011,0.011,0.011,0.01
