Date,Value,Open,Close,High,Low
15/07/15,2727420.0,7.28,7.29,7.3,7.23
16/07/15,8340848.0,7.31,7.6,7.6,7.3
20/07/15,4190815.0,7.6,7.6,7.61,7.35
21/07/15,6987100.0,7.61,7.81,7.81,7.61
22/07/15,4909906.0,7.81,7.79,7.82,7.73
23/07/15,5603051.0,7.77,7.83,7.83,7.77
23/07/15,5603051.0,7.77,7.83,7.83,7.77
23/07/15,5603051.0,7.77,7.83,7.83,7.77
24/07/15,2760859.0,7.82,7.8,7.82,7.76
27/07/15,2721710.0,7.8,7.5,7.8,7.37
28/07/15,3611426.0,7.5,7.5,7.5,7.4
29/07/15,1753099.0,7.4,7.48,7.5,7.4
30/07/15,2207825.0,7.45,7.75,7.75,7.3
31/07/15,4316953.0,7.75,7.5,7.75,7.4
03/08/15,2213604.0,7.75,7.5,7.75,7.5
04/08/15,3773831.0,7.4,7.5,7.6,7.33
05/08/15,4557065.0,7.4,7.5,7.5,7.39
06/08/15,6053497.0,7.6,7.68,7.68,7.5
07/08/15,6028111.0,7.57,7.72,7.72,7.57
10/08/15,5560383.0,7.73,7.79,7.8,7.73
11/08/15,9438640.0,7.79,7.94,7.94,7.35
12/08/15,12817738.0,7.95,8.0,8.0,7.95
13/08/15,8347539.0,8.0,8.02,8.11,7.99
14/08/15,11525364.0,8.05,8.1,8.1,8.05
17/08/15,11544287.0,8.11,7.9,8.12,7.8
18/08/15,5198838.0,7.85,8.01,8.01,7.82
19/08/15,5868159.0,8.02,8.0,8.02,7.95
20/08/15,4878901.0,7.82,7.93,8.0,7.82
24/08/15,1330261.0,7.7,7.1,7.7,6.9
25/08/15,1298920.0,6.9,7.0,7.0,6.76
26/08/15,5112536.0,7.19,7.24,7.3,7.0
27/08/15,12941076.0,7.25,7.28,7.45,7.2
28/08/15,3204081.0,7.29,7.28,7.42,7.01
01/09/15,2604217.0,7.28,7.27,7.35,7.2
02/09/15,213114.0,6.9,7.0,7.0,6.88
03/09/15,2755755.0,7.01,7.29,7.33,7.01
04/09/15,3648748.0,7.31,6.91,7.31,6.91
07/09/15,2877438.0,7.28,7.29,7.29,6.91
08/09/15,2248257.0,7.0,7.08,7.28,7.0
09/09/15,5208017.0,7.24,7.31,7.31,7.07
10/09/15,10707788.0,7.29,7.49,7.49,7.28
11/09/15,8472149.0,7.49,7.55,7.55,7.4
14/09/15,6659409.0,7.56,7.79,7.79,7.56
15/09/15,24250966.0,7.8,7.95,7.95,7.8
15/09/15,24250966.0,7.8,7.95,7.95,7.8
15/09/15,24250966.0,7.8,7.95,7.95,7.8
16/09/15,20527158.0,7.95,8.0,8.02,7.95
17/09/15,14989625.0,8.02,8.12,8.15,8.01
18/09/15,18242013.0,8.12,8.14,8.16,8.1
21/09/15,22421174.0,8.14,8.3,8.43,8.14
22/09/15,13376267.0,8.3,8.35,8.36,8.27
23/09/15,11255435.0,8.35,8.29,8.37,8.29
24/09/15,9048342.0,8.28,8.2,8.29,7.5
28/09/15,12368316.0,8.12,8.2,8.2,7.81
29/09/15,8745901.0,8.0,8.09,8.15,8.0
30/09/15,21170615.0,8.0,8.42,8.42,8.0
01/10/15,19738283.0,8.45,8.45,8.46,8.41
02/10/15,11820628.0,8.46,8.47,8.47,8.1
05/10/15,9719806.0,8.47,8.45,8.47,8.35
06/10/15,8489487.0,8.43,8.46,8.47,8.43
07/10/15,24737493.0,8.45,8.51,8.52,8.4
08/10/15,18268704.0,8.53,8.59,8.59,8.53
09/10/15,10564317.0,8.6,8.65,8.65,8.59
12/10/15,13483601.0,8.64,8.49,8.64,8.42
13/10/15,3864531.0,8.41,8.39,8.41,8.28
14/10/15,13650107.0,8.28,8.49,8.49,8.28
15/10/15,3604338.0,8.5,8.44,8.5,8.41
16/10/15,14389081.0,8.44,8.58,8.58,8.44
19/10/15,15998068.0,8.45,8.58,8.58,8.4
20/10/15,11184053.0,8.5,8.6,8.6,8.49
21/10/15,11507834.0,8.5,8.65,8.65,8.5
22/10/15,5456791.0,8.65,8.69,8.69,8.59
23/10/15,20312979.0,8.69,8.8,8.8,8.69
26/10/15,20818985.0,8.81,8.89,8.89,8.79
27/10/15,13109867.0,8.89,9.0,9.02,8.89
28/10/15,14652232.0,9.01,8.99,9.01,8.97
29/10/15,34047192.0,9.01,9.32,9.5,8.99
30/10/15,20335595.0,9.4,9.44,9.47,9.32
02/11/15,26942506.0,9.41,9.49,9.49,9.39
03/11/15,23659017.0,9.49,9.55,9.55,9.49
04/11/15,25653717.0,9.55,9.55,9.55,9.5
05/11/15,36596225.0,9.51,9.59,9.59,9.47
06/11/15,19692865.0,9.59,9.64,9.64,9.5
