Date,Value,Open,Close,High,Low
15/07/15,225030.0,1.28,1.28,1.28,1.27
16/07/15,116730.0,1.29,1.32,1.32,1.29
20/07/15,100880.0,1.3,1.29,1.31,1.29
21/07/15,198360.0,1.26,1.3,1.3,1.26
22/07/15,191700.0,1.28,1.3,1.3,1.28
23/07/15,27320.0,1.3,1.32,1.32,1.3
23/07/15,27320.0,1.3,1.32,1.32,1.3
23/07/15,27320.0,1.3,1.32,1.32,1.3
27/07/15,45170.0,1.29,1.3,1.3,1.29
28/07/15,205400.0,1.3,1.3,1.3,1.3
29/07/15,150870.0,1.3,1.3,1.32,1.3
30/07/15,35030.0,1.3,1.29,1.3,1.29
31/07/15,50800.0,1.27,1.27,1.27,1.27
03/08/15,80330.0,1.27,1.29,1.31,1.27
04/08/15,350900.0,1.31,1.29,1.31,1.29
05/08/15,220100.0,1.28,1.3,1.3,1.28
06/08/15,36690.0,1.31,1.32,1.32,1.31
07/08/15,946710.0,1.3,1.3,1.31,1.29
10/08/15,36320.0,1.29,1.3,1.3,1.29
11/08/15,681100.0,1.3,1.31,1.32,1.26
12/08/15,94820.0,1.32,1.31,1.32,1.31
14/08/15,144480.0,1.29,1.29,1.29,1.29
17/08/15,932960.0,1.27,1.32,1.32,1.27
18/08/15,6350.0,1.27,1.27,1.27,1.27
19/08/15,1864600.0,1.27,1.29,1.3,1.27
20/08/15,1559400.0,1.28,1.3,1.3,1.26
24/08/15,1278550.0,1.27,1.26,1.29,1.24
25/08/15,24800.0,1.24,1.24,1.24,1.24
26/08/15,405860.0,1.21,1.27,1.29,1.21
27/08/15,2190600.0,1.25,1.34,1.36,1.25
28/08/15,3800730.0,1.35,1.4,1.44,1.32
01/09/15,4298090.0,1.43,1.46,1.46,1.41
02/09/15,2471210.0,1.4,1.44,1.45,1.39
03/09/15,5323250.0,1.45,1.51,1.51,1.44
04/09/15,816820.0,1.51,1.42,1.51,1.42
07/09/15,1000620.0,1.45,1.48,1.48,1.43
08/09/15,1588880.0,1.44,1.38,1.45,1.38
09/09/15,262300.0,1.45,1.42,1.45,1.38
10/09/15,801950.0,1.39,1.43,1.43,1.39
11/09/15,563330.0,1.44,1.4,1.44,1.4
14/09/15,1113000.0,1.4,1.42,1.43,1.4
15/09/15,421970.0,1.44,1.43,1.44,1.42
15/09/15,421970.0,1.44,1.43,1.44,1.42
15/09/15,421970.0,1.44,1.43,1.44,1.42
16/09/15,230270.0,1.42,1.41,1.42,1.41
17/09/15,775580.0,1.4,1.43,1.43,1.4
18/09/15,49210.0,1.42,1.4,1.42,1.4
21/09/15,715430.0,1.4,1.37,1.4,1.37
22/09/15,403920.0,1.36,1.36,1.36,1.36
23/09/15,243020.0,1.35,1.35,1.38,1.35
24/09/15,859900.0,1.31,1.33,1.38,1.28
28/09/15,4029540.0,1.38,1.35,1.38,1.24
29/09/15,144540.0,1.28,1.3,1.3,1.26
30/09/15,261300.0,1.3,1.3,1.34,1.3
01/10/15,133960.0,1.32,1.3,1.32,1.3
02/10/15,78000.0,1.3,1.3,1.3,1.3
05/10/15,256000.0,1.28,1.28,1.28,1.28
06/10/15,184310.0,1.29,1.3,1.3,1.27
07/10/15,260000.0,1.3,1.3,1.3,1.3
08/10/15,820460.0,1.27,1.3,1.3,1.27
09/10/15,145720.0,1.29,1.28,1.29,1.28
12/10/15,840830.0,1.28,1.34,1.35,1.28
13/10/15,122070.0,1.27,1.3,1.3,1.27
14/10/15,488460.0,1.3,1.27,1.3,1.27
15/10/15,866890.0,1.3,1.32,1.35,1.29
16/10/15,583500.0,1.32,1.32,1.32,1.27
19/10/15,33540.0,1.29,1.29,1.29,1.29
20/10/15,561480.0,1.28,1.3,1.3,1.27
21/10/15,682260.0,1.3,1.29,1.3,1.27
22/10/15,371710.0,1.3,1.28,1.31,1.28
23/10/15,699310.0,1.31,1.31,1.31,1.29
26/10/15,89230.0,1.31,1.29,1.31,1.29
27/10/15,6430.0,1.29,1.28,1.29,1.28
28/10/15,75090.0,1.31,1.29,1.31,1.29
29/10/15,451500.0,1.29,1.29,1.29,1.29
30/10/15,165380.0,1.28,1.3,1.3,1.28
03/11/15,283800.0,1.29,1.29,1.29,1.29
05/11/15,71890.0,1.29,1.29,1.29,1.28
06/11/15,145920.0,1.28,1.28,1.28,1.28
09/11/15,499200.0,1.28,1.28,1.28,1.28
10/11/15,279400.0,1.27,1.27,1.27,1.27
11/11/15,161630.0,1.28,1.27,1.28,1.27
12/11/15,1132380.0,1.26,1.22,1.26,1.22
13/11/15,2264490.0,1.23,1.2,1.23,1.12
16/11/15,102120.0,1.19,1.23,1.23,1.19
17/11/15,49600.0,1.24,1.24,1.24,1.24
20/11/15,80060.0,1.21,1.22,1.22,1.21
23/11/15,97200.0,1.21,1.22,1.22,1.21
24/11/15,182750.0,1.21,1.23,1.23,1.19
26/11/15,222300.0,1.2,1.2,1.2,1.16
27/11/15,37760.0,1.18,1.18,1.18,1.18
01/12/15,25200.0,1.2,1.2,1.2,1.2
02/12/15,63570.0,1.2,1.19,1.2,1.19
03/12/15,266800.0,1.18,1.2,1.2,1.17
04/12/15,3570.0,1.19,1.19,1.19,1.19
07/12/15,58750.0,1.18,1.17,1.18,1.17
08/12/15,286970.0,1.17,1.2,1.2,1.16
09/12/15,510960.0,1.16,1.13,1.17,1.1
10/12/15,52020.0,1.14,1.19,1.19,1.13
11/12/15,149120.0,1.17,1.18,1.18,1.13
21/12/15,93920.0,1.15,1.17,1.17,1.12
23/12/15,40650.0,1.16,1.17,1.17,1.16
28/12/15,68000.0,1.14,1.16,1.16,1.14
29/12/15,18160.0,1.16,1.13,1.16,1.13
04/01/16,49790.0,1.15,1.12,1.15,1.12
06/01/16,63120.00000000001,1.12,1.16,1.17,1.11
07/01/16,22300.000000000004,1.12,1.11,1.12,1.11
08/01/16,5800.0,1.16,1.16,1.16,1.16
11/01/16,360180.0,1.12,1.12,1.12,1.09
12/01/16,16660.0,1.11,1.13,1.13,1.1
15/01/16,5750.0,1.15,1.15,1.15,1.15
18/01/16,266470.0,1.23,1.2,1.23,1.2
19/01/16,50410.0,1.2,1.21,1.21,1.2
20/01/16,260850.0,1.2,1.13,1.21,1.13
21/01/16,195460.0,1.13,1.19,1.19,1.13
22/01/16,119750.0,1.18,1.1,1.18,1.1
25/01/16,192800.0,1.13,1.19,1.2,1.13
28/01/16,95450.00000000001,1.12,1.17,1.17,1.12
29/01/16,134210.0,1.13,1.16,1.16,1.09
01/02/16,1074600.0,1.17,1.22,1.28,1.17
02/02/16,4761850.0,1.23,1.3,1.4,1.23
03/02/16,1881920.0,1.27,1.26,1.29,1.25
04/02/16,704500.0,1.27,1.25,1.27,1.25
05/02/16,1330600.0,1.31,1.25,1.33,1.25
09/02/16,362340.0,1.24,1.23,1.28,1.23
10/02/16,153790.0,1.27,1.24,1.27,1.24
11/02/16,328290.0,1.24,1.25,1.25,1.23
12/02/16,244430.0,1.23,1.24,1.25,1.23
15/02/16,909750.0,1.22,1.21,1.25,1.21
16/02/16,143610.0,1.21,1.22,1.22,1.2
17/02/16,35680.0,1.23,1.24,1.24,1.23
18/02/16,75640.0,1.24,1.24,1.24,1.24
19/02/16,235600.0,1.24,1.24,1.24,1.24
22/02/16,96990.0,1.26,1.26,1.29,1.26
23/02/16,312740.0,1.26,1.25,1.26,1.25
24/02/16,122500.0,1.25,1.25,1.25,1.25
26/02/16,759440.0,1.27,1.28,1.28,1.22
29/02/16,333220.0,1.28,1.26,1.28,1.26
01/03/16,58870.0,1.28,1.27,1.28,1.27
02/03/16,276230.0,1.28,1.26,1.28,1.26
03/03/16,191560.0,1.27,1.28,1.28,1.26
04/03/16,81240.0,1.27,1.27,1.27,1.26
07/03/16,500440.0,1.26,1.28,1.28,1.26
08/03/16,235500.0,1.27,1.25,1.27,1.25
09/03/16,123260.0,1.25,1.27,1.27,1.25
10/03/16,1132810.0,1.25,1.26,1.26,1.25
11/03/16,66780.0,1.26,1.26,1.26,1.26
14/03/16,417060.0,1.26,1.26,1.26,1.26
15/03/16,41220.0,1.28,1.29,1.29,1.28
16/03/16,725400.0,1.29,1.3,1.3,1.27
17/03/16,388070.0,1.28,1.32,1.33,1.28
18/03/16,386820.0,1.32,1.34,1.34,1.32
21/03/16,66840.0,1.34,1.31,1.34,1.31
22/03/16,1437500.0,1.32,1.34,1.35,1.32
23/03/16,722370.0,1.35,1.35,1.37,1.35
28/03/16,2709130.0,1.36,1.39,1.39,1.34
29/03/16,2806910.0,1.39,1.4,1.41,1.38
30/03/16,2096770.0,1.4,1.43,1.43,1.4
31/03/16,603460.0,1.43,1.43,1.45,1.4
01/04/16,543900.0,1.4,1.42,1.42,1.35
04/04/16,452610.0,1.35,1.41,1.41,1.34
05/04/16,49980.0,1.38,1.39,1.39,1.38
06/04/16,83400.0,1.39,1.39,1.39,1.39
07/04/16,1390.0,1.39,1.39,1.39,1.39
08/04/16,391530.0,1.35,1.35,1.39,1.35
11/04/16,138000.0,1.38,1.38,1.38,1.38
12/04/16,462240.0,1.35,1.38,1.38,1.35
13/04/16,67500.0,1.35,1.35,1.35,1.35
14/04/16,73840.0,1.33,1.32,1.33,1.31
18/04/16,289490.0,1.31,1.29,1.31,1.29
19/04/16,309410.0,1.29,1.28,1.29,1.28
20/04/16,13000.0,1.3,1.3,1.3,1.3
22/04/16,78080.0,1.28,1.28,1.28,1.28
25/04/16,237840.0,1.28,1.3,1.3,1.28
26/04/16,178700.0,1.29,1.29,1.29,1.26
27/04/16,254760.0,1.3,1.3,1.3,1.26
28/04/16,12600.0,1.26,1.26,1.26,1.26
29/04/16,521280.0,1.28,1.33,1.34,1.26
02/05/16,50000.0,1.25,1.25,1.25,1.25
03/05/16,326820.0,1.25,1.33,1.34,1.25
05/05/16,240730.0,1.26,1.33,1.33,1.26
11/05/16,123690.0,1.33,1.33,1.33,1.33
12/05/16,20400.0,1.3,1.26,1.3,1.26
13/05/16,27990.0,1.33,1.32,1.35,1.26
17/05/16,39110.0,1.26,1.31,1.31,1.26
18/05/16,85820.0,1.34,1.32,1.34,1.32
19/05/16,13040.0,1.3,1.3,1.34,1.3
20/05/16,192000.0,1.28,1.28,1.28,1.28
23/05/16,39200.0,1.25,1.27,1.33,1.25
24/05/16,462890.0,1.25,1.27,1.27,1.25
25/05/16,173710.0,1.27,1.25,1.27,1.25
26/05/16,96330.0,1.25,1.23,1.25,1.23
27/05/16,336000.0,1.26,1.27,1.27,1.26
30/05/16,506630.0,1.27,1.28,1.29,1.27
31/05/16,5080.0,1.25,1.29,1.29,1.25
