Date,Value,Open,Close,High,Low
15/07/15,3728770.0,1.41,1.4,1.46,1.35
16/07/15,2519140.0,1.41,1.39,1.43,1.36
20/07/15,3383660.0,1.39,1.45,1.47,1.39
21/07/15,1711680.0,1.45,1.43,1.47,1.42
22/07/15,5443710.0,1.46,1.48,1.53,1.46
23/07/15,1610790.0,1.52,1.47,1.52,1.47
23/07/15,1610790.0,1.52,1.47,1.52,1.47
23/07/15,1610790.0,1.52,1.47,1.52,1.47
24/07/15,3873310.0,1.45,1.44,1.46,1.43
27/07/15,1165640.0,1.45,1.43,1.46,1.43
28/07/15,1905420.0,1.45,1.4,1.47,1.4
29/07/15,356280.0,1.4,1.43,1.44,1.4
30/07/15,1599570.0,1.44,1.43,1.46,1.41
31/07/15,1558000.0,1.41,1.39,1.44,1.39
03/08/15,4840920.0,1.39,1.31,1.43,1.29
04/08/15,2180790.0,1.31,1.31,1.33,1.28
05/08/15,1577730.0,1.3,1.32,1.34,1.3
06/08/15,1991730.0,1.31,1.32,1.32,1.3
07/08/15,585290.0,1.3,1.3,1.33,1.3
10/08/15,1431860.0,1.31,1.3,1.33,1.3
11/08/15,561390.0,1.3,1.33,1.34,1.3
12/08/15,324020.0,1.3,1.3,1.31,1.3
13/08/15,494600.0,1.31,1.3,1.33,1.3
14/08/15,923140.0,1.3,1.31,1.31,1.3
17/08/15,1246390.0,1.3,1.3,1.32,1.3
18/08/15,3951270.0,1.3,1.41,1.41,1.3
19/08/15,415230.0,1.39,1.33,1.41,1.33
20/08/15,471360.0,1.32,1.33,1.38,1.31
24/08/15,2696330.0,1.32,1.32,1.33,1.3
25/08/15,138080.0,1.3,1.31,1.31,1.3
26/08/15,515550.0,1.34,1.35,1.36,1.33
27/08/15,149350.0,1.33,1.34,1.35,1.33
28/08/15,333970.0,1.34,1.35,1.35,1.32
01/09/15,68000.00000000001,1.36,1.36,1.36,1.36
02/09/15,299740.0,1.32,1.37,1.39,1.32
03/09/15,2098790.0,1.39,1.36,1.46,1.35
04/09/15,268030.0,1.39,1.34,1.42,1.34
07/09/15,80900.0,1.36,1.34,1.36,1.34
08/09/15,2575030.0,1.36,1.4,1.46,1.35
09/09/15,569470.0,1.35,1.39,1.45,1.35
10/09/15,1153560.0,1.4,1.43,1.45,1.35
11/09/15,262910.0,1.43,1.43,1.45,1.41
14/09/15,972030.0,1.43,1.44,1.44,1.39
15/09/15,2129540.0,1.45,1.41,1.49,1.4
15/09/15,2129540.0,1.45,1.41,1.49,1.4
15/09/15,2129540.0,1.45,1.41,1.49,1.4
16/09/15,861580.0,1.41,1.44,1.47,1.4
17/09/15,1100540.0,1.47,1.45,1.48,1.41
18/09/15,54588350.0,1.47,1.67,1.88,1.47
21/09/15,22925730.0,1.67,1.47,1.67,1.47
22/09/15,7234390.0,1.49,1.45,1.56,1.44
23/09/15,4686080.0,1.46,1.4,1.46,1.38
24/09/15,1200940.0,1.42,1.42,1.45,1.4
28/09/15,1810660.0,1.42,1.42,1.45,1.39
29/09/15,756650.0,1.4,1.42,1.42,1.39
30/09/15,12007620.0,1.43,1.44,1.65,1.41
01/10/15,1180120.0,1.45,1.45,1.49,1.41
02/10/15,651740.0,1.45,1.44,1.46,1.42
05/10/15,688770.0,1.42,1.42,1.44,1.42
06/10/15,1510250.0,1.44,1.49,1.51,1.43
07/10/15,2471050.0,1.54,1.46,1.55,1.46
08/10/15,2048560.0,1.46,1.44,1.49,1.44
09/10/15,1651810.0,1.45,1.44,1.48,1.43
12/10/15,904740.0,1.44,1.45,1.47,1.43
13/10/15,668670.0,1.49,1.47,1.52,1.45
14/10/15,654170.0,1.47,1.45,1.48,1.45
15/10/15,1911360.0,1.46,1.45,1.49,1.41
16/10/15,808720.0,1.45,1.42,1.45,1.41
19/10/15,814500.0,1.42,1.42,1.43,1.41
20/10/15,582720.0,1.41,1.41,1.42,1.41
21/10/15,461060.0,1.42,1.41,1.42,1.4
22/10/15,671550.0,1.4,1.42,1.42,1.4
23/10/15,183040.0,1.42,1.42,1.45,1.4
26/10/15,1326760.0,1.41,1.44,1.45,1.4
27/10/15,270260.0,1.44,1.42,1.44,1.4
28/10/15,424410.0,1.4,1.42,1.43,1.4
29/10/15,3583920.0,1.41,1.39,1.42,1.38
30/10/15,785080.0,1.39,1.4,1.4,1.38
02/11/15,86570.0,1.38,1.4,1.4,1.38
03/11/15,207200.0,1.4,1.42,1.42,1.39
04/11/15,107530.0,1.39,1.41,1.41,1.39
05/11/15,1774500.0,1.39,1.48,1.48,1.38
06/11/15,36018370.0,1.49,1.45,1.73,1.45
09/11/15,2197480.0,1.43,1.41,1.5,1.41
10/11/15,1142080.0,1.4,1.4,1.42,1.4
11/11/15,373560.0,1.4,1.39,1.4,1.39
12/11/15,1818420.0,1.39,1.38,1.4,1.38
13/11/15,1208480.0,1.38,1.37,1.4,1.37
16/11/15,387890.0,1.36,1.37,1.37,1.36
17/11/15,133070.0,1.37,1.37,1.4,1.37
20/11/15,1003530.0,1.37,1.41,1.41,1.35
23/11/15,101130.0,1.37,1.4,1.4,1.36
24/11/15,208850.0,1.38,1.39,1.4,1.38
25/11/15,217100.0,1.4,1.4,1.41,1.4
26/11/15,187930.0,1.4,1.39,1.4,1.39
27/11/15,447860.0,1.39,1.4,1.41,1.39
01/12/15,279900.0,1.4,1.39,1.4,1.39
02/12/15,95740.0,1.43,1.4,1.43,1.4
03/12/15,108570.0,1.4,1.44,1.44,1.39
04/12/15,1748400.0,1.44,1.44,1.44,1.38
07/12/15,456470.0,1.44,1.43,1.44,1.38
08/12/15,226400.0,1.39,1.38,1.43,1.38
09/12/15,184950.0,1.41,1.39,1.43,1.39
10/12/15,1420.0,1.42,1.42,1.42,1.42
11/12/15,936340.0,1.39,1.38,1.39,1.38
14/12/15,131700.0,1.38,1.4,1.4,1.38
15/12/15,55600.0,1.39,1.39,1.39,1.39
16/12/15,1158340.0,1.39,1.38,1.39,1.38
17/12/15,191800.0,1.37,1.37,1.37,1.37
18/12/15,59400.0,1.38,1.38,1.39,1.38
21/12/15,26160.0,1.38,1.41,1.41,1.37
22/12/15,28800.000000000004,1.37,1.4,1.4,1.37
23/12/15,259650.0,1.4,1.4,1.4,1.37
28/12/15,27450.0,1.37,1.4,1.4,1.35
29/12/15,195800.0,1.36,1.4,1.4,1.36
05/01/16,75680.0,1.4,1.4,1.4,1.37
06/01/16,549270.0,1.4,1.42,1.46,1.4
07/01/16,143470.0,1.43,1.42,1.43,1.4
08/01/16,1115720.0,1.4,1.38,1.4,1.36
11/01/16,1761230.0,1.38,1.34,1.38,1.3
12/01/16,941480.0,1.3,1.31,1.34,1.3
13/01/16,453320.0,1.31,1.3,1.32,1.3
14/01/16,193300.0,1.32,1.34,1.35,1.31
15/01/16,361010.0,1.31,1.29,1.34,1.29
18/01/16,620680.0,1.29,1.28,1.29,1.27
19/01/16,249890.0,1.27,1.38,1.38,1.27
20/01/16,37700.0,1.3,1.3,1.3,1.3
21/01/16,6500.0,1.3,1.3,1.3,1.3
22/01/16,49240.0,1.29,1.35,1.35,1.29
26/01/16,1286740.0,1.36,1.43,1.45,1.35
27/01/16,5411360.0,1.45,1.39,1.51,1.38
28/01/16,586720.0,1.36,1.35,1.37,1.35
29/01/16,1312220.0,1.34,1.35,1.35,1.29
01/02/16,1181590.0,1.32,1.4,1.41,1.32
02/02/16,5939790.0,1.3,1.26,1.32,1.24
03/02/16,7576150.0,1.19,1.16,1.21,1.14
04/02/16,1561120.0,1.16,1.18,1.2,1.15
05/02/16,696150.0,1.18,1.17,1.21,1.16
09/02/16,1960570.0,1.16,1.14,1.18,1.14
10/02/16,2409430.0,1.17,1.15,1.17,1.12
11/02/16,1285550.0,1.17,1.15,1.17,1.13
12/02/16,1479600.0,1.13,1.12,1.13,1.12
15/02/16,2743560.0,1.11,1.15,1.17,1.11
16/02/16,2634520.0,1.14,1.14,1.14,1.13
17/02/16,1624650.0,1.14,1.14,1.15,1.13
18/02/16,6313300.0,1.14,1.22,1.24,1.14
19/02/16,4958890.0,1.23,1.2,1.27,1.18
22/02/16,1806520.0,1.18,1.19,1.23,1.15
23/02/16,1556750.0,1.16,1.18,1.19,1.16
24/02/16,1869980.0,1.18,1.18,1.18,1.15
26/02/16,1212190.0,1.18,1.19,1.2,1.16
29/02/16,1227340.0,1.2,1.18,1.24,1.18
01/03/16,941910.0,1.18,1.18,1.2,1.16
02/03/16,448330.0,1.17,1.2,1.2,1.17
03/03/16,627500.0,1.17,1.2,1.2,1.17
04/03/16,1006820.0,1.2,1.2,1.21,1.18
07/03/16,1433500.0,1.19,1.24,1.25,1.19
08/03/16,2910770.0,1.25,1.27,1.28,1.21
09/03/16,23376900.0,1.27,1.38,1.45,1.25
10/03/16,6510620.0,1.42,1.33,1.45,1.29
11/03/16,2358070.0,1.36,1.33,1.36,1.3
14/03/16,2410940.0,1.32,1.33,1.33,1.28
15/03/16,1431390.0,1.33,1.28,1.33,1.28
16/03/16,749230.0,1.29,1.3,1.34,1.28
17/03/16,1402760.0,1.3,1.34,1.34,1.27
18/03/16,4991970.0,1.35,1.37,1.41,1.35
21/03/16,1001400.0,1.37,1.37,1.4,1.32
22/03/16,4718470.0,1.35,1.31,1.35,1.29
23/03/16,1227350.0,1.31,1.29,1.32,1.29
28/03/16,3023640.0,1.32,1.27,1.32,1.26
29/03/16,4284050.0,1.26,1.28,1.31,1.25
30/03/16,2889150.0,1.27,1.3,1.31,1.26
31/03/16,7388840.0,1.3,1.36,1.37,1.28
01/04/16,3523830.0,1.36,1.34,1.37,1.33
04/04/16,1895350.0,1.34,1.36,1.36,1.3
05/04/16,57901630.0,1.35,1.47,1.62,1.34
06/04/16,39279390.0,1.54,1.43,1.58,1.43
07/04/16,10664210.0,1.45,1.43,1.52,1.41
