Date,Value,Open,Close,High,Low
24/07/15,3310.0,3.31,3.31,3.31,3.31
14/08/15,7000.0,3.5,3.5,3.5,3.5
18/08/15,3750.0,3.75,3.75,3.75,3.75
19/08/15,3900.0,3.9,3.9,3.9,3.9
20/08/15,56700.0,4.5,5.4,5.7,4.5
24/08/15,3170.0,6.0,6.4,6.5,6.0
25/08/15,6000.0,6.0,6.0,6.0,6.0
02/09/15,4200.0,5.0,5.5,5.5,5.0
07/09/15,12364.0,4.5,4.1,4.6,4.06
14/09/15,4310.0,4.31,4.31,4.31,4.31
22/09/15,12930.0,4.31,4.31,4.31,4.31
05/10/15,18020.0,4.51,4.5,4.51,4.5
06/10/15,23020.0,4.61,4.6,4.61,4.6
07/10/15,27210.0,4.62,5.79,5.8,4.62
12/10/15,1804.0,4.51,4.51,4.51,4.51
13/10/15,42300.0,4.7,4.7,4.7,4.7
30/10/15,4700.0,4.7,4.7,4.7,4.7
03/11/15,5000.0,5.0,5.0,5.0,5.0
04/11/15,10820.0,4.7,4.72,4.72,4.7
13/11/15,3800.0,3.8,3.8,3.8,3.8
23/11/15,4210.0,4.21,4.21,4.21,4.21
25/11/15,4220.0,4.22,4.22,4.22,4.22
02/12/15,4200.0,4.2,4.2,4.2,4.2
15/03/16,358550.0,5.0,5.5,6.2,5.0
16/03/16,68130.0,5.5,5.2,5.8,5.1
17/03/16,13200.0,5.5,5.5,5.5,5.5
18/03/16,256787.0,5.7,5.99,6.19,5.31
21/03/16,129530.0,6.19,6.99,7.0,6.1
22/03/16,824358.0,6.98,10.0,10.0,6.3
23/03/16,7145588.0,9.6,15.0,15.0,9.6
28/03/16,9330655.0,22.0,22.5,22.5,19.0
29/03/16,14096165.0,27.0,33.75,33.75,27.0
30/03/16,45578490.0,46.0,33.5,47.0,25.05
31/03/16,13484970.0,33.4,27.05,33.4,27.0
01/04/16,14584485.0,24.0,21.7,26.9,20.5
04/04/16,9889020.0,21.7,22.0,25.9,21.7
05/04/16,5369753.0,23.8,18.32,23.8,18.22
06/04/16,6693537.0,18.32,19.0,20.9,17.0
07/04/16,2496824.0,19.02,17.52,20.1,17.5
08/04/16,861282.0,17.02,16.68,18.0,16.26
11/04/16,2602400.0,16.68,18.0,19.0,15.8
12/04/16,618868.0,18.5,17.0,18.5,17.0
13/04/16,959686.0,16.6,16.48,17.8,15.8
14/04/16,1479284.0,15.6,16.5,17.56,15.6
15/04/16,395088.0,16.5,16.48,17.3,16.1
18/04/16,467690.0,16.8,16.34,16.8,16.0
19/04/16,1083716.0,16.0,15.58,16.0,15.28
20/04/16,686684.0,15.28,15.1,15.28,15.1
21/04/16,157132.0,15.06,15.56,15.58,15.06
22/04/16,894632.0,15.3,15.26,15.58,15.0
25/04/16,1018964.0,15.26,14.02,15.26,14.02
26/04/16,747306.0,14.02,12.2,14.02,12.18
27/04/16,5695002.0,12.02,16.16,17.5,11.6
28/04/16,30891610.0,16.26,24.2,24.2,16.26
29/04/16,34452160.0,25.9,20.0,27.9,19.2
02/05/16,10855908.0,20.0,17.7,20.5,17.0
03/05/16,4896018.0,18.0,19.4,19.8,17.7
04/05/16,3665078.0,20.0,18.5,20.5,17.8
05/05/16,1463068.0,17.74,17.76,19.16,17.74
06/05/16,983922.0,17.5,17.28,17.68,17.0
06/05/16,983922.0,17.5,17.28,17.68,17.0
10/05/16,2145592.0,17.9,16.54,17.9,15.6
11/05/16,2288552.0,17.0,16.5,18.3,16.0
12/05/16,709642.0,16.52,16.5,17.38,16.2
13/05/16,1324290.0,16.4,16.1,16.68,16.02
16/05/16,568168.0,16.0,16.2,16.7,16.0
17/05/16,891868.0,16.22,16.0,16.22,15.7
18/05/16,9578962.0,16.0,17.1,18.8,15.08
19/05/16,1802878.0,17.5,17.4,18.0,17.0
20/05/16,1656608.0,17.9,16.7,18.88,16.1
23/05/16,383416.0,16.1,16.5,16.7,16.0
24/05/16,1359732.0,16.0,15.48,16.5,15.48
25/05/16,563674.0,15.48,15.5,15.96,15.0
26/05/16,244838.0,15.5,15.5,15.8,14.6
27/05/16,235652.0,15.02,15.04,15.48,15.0
30/05/16,678640.0,15.0,15.3,15.8,14.8
31/05/16,633450.0,15.3,14.5,15.3,14.1
01/06/16,241522.0,14.5,14.5,15.3,14.5
02/06/16,760392.0,14.04,15.4,15.5,14.04
03/06/16,596048.0,15.66,14.3,15.66,14.3
06/06/16,702670.0,14.3,14.2,14.9,14.0
07/06/16,2356486.0,14.04,13.98,14.5,13.3
08/06/16,949046.0,13.32,13.36,13.98,13.32
09/06/16,1154544.0,13.68,13.2,13.68,13.0
10/06/16,222514.0,13.38,13.2,13.38,13.0
13/06/16,276470.0,13.38,13.1,13.38,13.1
14/06/16,147788.0,13.0,12.8,13.6,12.8
15/06/16,398738.0,12.8,12.86,13.28,12.3
16/06/16,651606.0,12.86,13.0,13.9,12.32
17/06/16,310180.0,13.4,13.06,13.8,13.02
20/06/16,140458.0,13.08,13.44,13.46,13.04
21/06/16,275402.0,13.48,13.34,13.48,12.52
22/06/16,97544.0,13.3,13.0,13.3,12.72
23/06/16,197970.0,13.0,12.9,13.3,12.9
24/06/16,130652.0,13.4,12.72,13.4,12.72
27/06/16,179332.0,12.5,12.9,12.9,12.46
28/06/16,4895272.0,13.0,14.38,15.2,12.9
29/06/16,5241286.0,14.6,14.16,15.48,14.16
30/06/16,2279584.0,14.02,13.1,14.02,13.02
01/07/16,954094.0,13.04,12.92,13.48,12.9
04/07/16,520666.0,12.86,13.1,13.1,12.86
05/07/16,479002.0,13.0,13.2,13.2,12.86
07/07/16,213480.0,13.22,13.1,13.6,12.9
08/07/16,109226.0,13.28,12.92,13.28,12.92
11/07/16,1036836.0,12.92,13.48,13.9,12.9
12/07/16,3737834.0,13.72,14.48,15.0,13.5
13/07/16,1221800.0,14.1,13.8,14.5,13.8
14/07/16,818630.0,13.8,13.88,14.3,13.72
