Date,Value,Open,Close,High,Low
15/07/15,936775.0,5.8,5.78,5.8,5.75
16/07/15,4203490.0,5.78,5.9,5.99,5.78
20/07/15,3023004.0,5.93,6.06,6.07,5.88
21/07/15,2883142.0,6.07,6.0,6.15,6.0
22/07/15,1159682.0,5.99,5.94,5.99,5.9
23/07/15,1530829.0,6.09,6.0,6.1,6.0
23/07/15,1530829.0,6.09,6.0,6.1,6.0
23/07/15,1530829.0,6.09,6.0,6.1,6.0
24/07/15,2624117.0,6.05,6.14,6.14,6.0
27/07/15,4997854.0,6.14,6.14,6.18,6.0
28/07/15,6161975.0,6.13,6.08,6.16,6.08
29/07/15,3131315.0,6.05,6.06,6.11,6.02
30/07/15,1287577.0,6.06,6.1,6.13,6.06
31/07/15,1684013.0,6.1,6.1,6.15,6.09
03/08/15,822681.0,6.08,6.09,6.11,6.08
04/08/15,1406644.0,6.08,6.09,6.1,6.0
05/08/15,986576.0,6.1,6.04,6.1,6.0
06/08/15,1351998.0,5.95,5.97,5.99,5.9
07/08/15,1661092.0,5.97,5.91,5.97,5.81
10/08/15,819181.0,5.91,5.95,5.95,5.88
11/08/15,4002339.0,5.95,5.78,5.95,5.78
12/08/15,5183463.0,5.81,5.97,6.06,5.81
13/08/15,2097912.0,6.0,5.95,6.04,5.95
14/08/15,971071.0,5.97,5.98,6.05,5.94
17/08/15,1340540.0,5.97,5.88,5.97,5.85
18/08/15,700545.0,5.9,5.85,5.91,5.85
19/08/15,1287007.0,5.87,5.8,5.87,5.76
20/08/15,9604951.0,5.83,5.73,5.86,5.7
24/08/15,13231978.0,5.61,5.26,5.61,5.11
25/08/15,2120312.0,5.11,5.16,5.16,5.01
26/08/15,3094396.0,5.25,5.6,5.65,5.25
27/08/15,1537994.0,5.63,5.76,5.8,5.6
28/08/15,2015471.0,5.77,5.77,5.96,5.77
01/09/15,614547.0,5.77,5.68,5.77,5.65
02/09/15,1152083.0,5.6,5.67,5.7,5.5
03/09/15,793519.0,5.61,5.75,5.85,5.56
04/09/15,719904.0,5.74,5.65,5.74,5.63
07/09/15,685506.0,5.65,5.62,5.65,5.59
08/09/15,217224.0,5.79,5.67,5.79,5.59
09/09/15,490189.0,5.67,5.67,5.74,5.65
10/09/15,672206.0,5.67,5.64,5.67,5.62
11/09/15,202780.0,5.6,5.67,5.67,5.52
14/09/15,196935.0,5.65,5.69,5.7,5.6
15/09/15,1387666.0,5.72,5.7,5.79,5.69
15/09/15,1387666.0,5.72,5.7,5.79,5.69
15/09/15,1387666.0,5.72,5.7,5.79,5.69
16/09/15,687492.0,5.84,5.8,5.84,5.6
17/09/15,282777.0,5.71,5.8,5.8,5.71
18/09/15,710547.0,5.84,5.84,5.84,5.8
21/09/15,1140841.0,5.84,5.8,5.84,5.72
22/09/15,421636.0,5.8,5.72,5.8,5.7
23/09/15,720206.0,5.7,5.72,5.85,5.7
24/09/15,295330.0,5.8,5.72,5.82,5.72
28/09/15,2512385.0,5.72,5.65,5.73,5.65
29/09/15,449873.0,5.65,5.68,5.7,5.6
30/09/15,706347.0,5.75,5.7,5.75,5.6
01/10/15,379537.0,5.65,5.7,5.71,5.65
02/10/15,824400.0,5.79,5.7,5.79,5.68
05/10/15,730987.0,5.7,5.73,5.73,5.7
06/10/15,561836.0,5.73,5.71,5.74,5.65
07/10/15,792270.0,5.7,5.66,5.73,5.66
08/10/15,659883.0,5.67,5.72,5.72,5.66
09/10/15,19433229.0,5.72,5.98,6.15,5.66
12/10/15,3274919.0,6.16,6.1,6.21,6.02
13/10/15,1620554.0,6.13,6.04,6.13,6.0
14/10/15,1529226.0,6.03,6.07,6.09,6.0
15/10/15,412618.0,6.07,6.03,6.07,6.01
16/10/15,1046537.0,6.0,5.89,6.01,5.89
19/10/15,444854.0,5.97,6.01,6.01,5.89
20/10/15,352204.0,6.01,6.0,6.01,5.88
21/10/15,686480.0,6.0,5.87,6.01,5.87
