Date,Value,Open,Close,High,Low
15/07/15,29872815.0,111.0,111.1,111.8,110.6
16/07/15,234603059.0,111.0,112.0,112.0,110.9
20/07/15,36023898.0,112.0,110.3,112.1,110.0
21/07/15,67397356.0,110.3,110.6,111.0,109.5
22/07/15,118069477.0,111.9,109.9,111.9,109.0
23/07/15,68808354.0,109.1,110.0,111.4,109.1
23/07/15,68808354.0,109.1,110.0,111.4,109.1
23/07/15,68808354.0,109.1,110.0,111.4,109.1
24/07/15,60958678.0,110.0,110.1,110.6,110.0
27/07/15,36424354.0,109.1,109.4,109.7,109.1
28/07/15,173905910.0,109.2,109.0,109.2,107.5
29/07/15,141582249.0,109.0,108.9,109.3,108.0
30/07/15,114535540.0,108.9,110.0,110.4,108.9
31/07/15,130243827.0,109.0,109.9,110.4,109.0
03/08/15,67181580.0,108.0,109.1,109.9,107.5
04/08/15,150264791.0,109.5,110.0,110.1,109.5
05/08/15,89557360.0,109.0,110.0,110.0,109.0
06/08/15,200343837.0,109.6,110.0,110.1,109.6
07/08/15,99509335.0,110.0,108.5,110.0,108.5
10/08/15,43267547.0,108.5,108.5,110.0,108.5
11/08/15,65191561.0,107.8,108.0,108.1,107.5
12/08/15,198246927.0,107.1,105.9,107.4,104.5
13/08/15,164305558.0,105.8,103.6,105.8,102.1
14/08/15,142870466.0,103.6,103.7,103.9,103.0
17/08/15,153075250.0,103.7,105.0,105.0,102.1
18/08/15,62146990.0,104.8,102.0,104.8,101.6
19/08/15,41942241.0,101.2,102.6,103.0,101.1
20/08/15,41518691.0,102.6,101.5,102.6,101.2
24/08/15,215565121.0,98.0,93.65,98.0,93.0
25/08/15,78236140.5,90.0,94.0,94.0,90.0
26/08/15,244640458.5,94.0,94.7,96.0,92.0
27/08/15,319388509.5,94.5,94.0,95.05,93.0
28/08/15,190020908.5,94.0,92.95,94.0,92.8
01/09/15,436716342.0,93.0,90.0,94.6,87.0
02/09/15,183627612.5,88.05,89.0,89.0,86.0
03/09/15,212674031.5,91.2,92.0,94.0,89.05
04/09/15,35627471.0,91.0,90.85,92.0,90.8
07/09/15,156701236.5,90.0,89.0,90.8,88.0
08/09/15,98230931.5,89.0,88.05,90.0,87.0
09/09/15,58830414.0,89.0,88.0,89.0,87.9
10/09/15,98332809.5,88.0,89.0,89.6,88.0
11/09/15,39046653.0,89.0,87.4,89.0,87.1
14/09/15,102812084.5,88.0,87.9,88.95,87.8
15/09/15,76860910.5,89.9,87.8,89.9,87.55
15/09/15,76860910.5,89.9,87.8,89.9,87.55
15/09/15,76860910.5,89.9,87.8,89.9,87.55
16/09/15,97219295.5,88.35,88.25,89.8,88.2
17/09/15,47440592.5,88.25,87.5,89.5,87.35
18/09/15,153759681.0,89.45,84.9,89.45,84.9
21/09/15,57425019.0,87.3,86.4,87.3,85.0
22/09/15,77963315.0,86.4,85.0,86.4,84.9
23/09/15,236783774.0,84.8,79.0,84.95,78.05
24/09/15,208570097.5,79.0,77.0,79.0,75.1
28/09/15,154138545.5,77.8,76.7,78.5,76.15
29/09/15,105374649.5,76.25,76.0,76.35,75.15
30/09/15,211221353.5,76.4,75.05,76.4,75.05
01/10/15,193111829.5,75.0,75.5,78.5,75.0
02/10/15,70650331.0,75.55,74.0,75.55,73.8
05/10/15,208299414.0,73.5,75.15,77.0,73.25
06/10/15,525552880.0,75.7,77.75,78.45,75.7
07/10/15,262517822.5,77.5,76.85,77.5,76.0
08/10/15,72150460.0,78.95,77.3,79.0,77.2
09/10/15,152416556.0,77.5,77.7,78.0,76.95
12/10/15,135100587.0,78.0,79.4,80.0,78.0
13/10/15,65506691.5,79.85,78.9,80.0,78.9
14/10/15,267545143.5,79.0,77.0,79.0,76.7
15/10/15,44064449.0,77.0,77.7,77.95,77.0
16/10/15,79110353.0,78.8,78.0,78.9,77.6
19/10/15,145170418.0,78.0,77.0,78.05,76.85
20/10/15,36880769.0,77.0,77.7,78.0,77.0
21/10/15,43819761.5,77.7,77.8,78.0,77.7
22/10/15,120220403.0,77.9,77.2,77.9,76.8
23/10/15,252599198.0,77.25,81.3,82.0,77.25
26/10/15,234927217.0,82.0,87.0,88.5,82.0
27/10/15,123410020.0,87.0,85.5,88.0,85.4
28/10/15,28190832.0,85.5,85.3,86.0,85.0
29/10/15,59499493.0,85.5,84.3,86.2,83.05
30/10/15,88900579.5,83.9,82.5,83.9,81.0
02/11/15,27523765.0,81.95,81.5,83.0,81.0
03/11/15,149097681.5,81.75,75.9,83.5,75.9
04/11/15,193843492.5,76.7,73.0,76.7,72.0
05/11/15,174928326.5,73.0,71.9,74.0,71.6
06/11/15,69034075.5,72.0,71.2,73.0,71.05
09/11/15,133543783.5,71.2,69.9,71.2,69.65
10/11/15,67166986.5,69.3,68.0,69.3,67.1
11/11/15,186241939.0,67.8,68.0,69.35,67.2
12/11/15,87779202.5,69.5,69.7,70.2,69.0
13/11/15,57743355.0,69.7,68.25,69.7,67.6
16/11/15,131211738.5,68.25,66.95,69.25,66.95
17/11/15,80096591.5,67.4,67.2,68.55,67.0
20/11/15,86305151.5,67.2,71.0,71.0,67.2
23/11/15,111910314.5,70.95,72.85,73.7,70.0
24/11/15,76229789.5,72.9,72.95,73.0,71.5
25/11/15,98083481.0,72.95,73.05,73.25,72.25
26/11/15,122136914.0,73.5,74.8,75.0,71.8
27/11/15,219417391.5,74.8,73.5,74.8,72.6
01/12/15,154963568.5,73.5,74.6,74.75,73.3
02/12/15,74854012.0,74.75,75.0,75.2,74.0
03/12/15,206762435.0,74.95,73.25,74.95,71.05
04/12/15,70866396.0,72.15,71.9,73.25,71.5
07/12/15,40374519.5,71.9,72.0,72.95,71.6
08/12/15,32412653.0,72.2,70.95,72.2,70.5
09/12/15,157636574.0,70.95,71.0,71.95,70.95
10/12/15,294681936.5,71.0,71.4,71.4,70.05
11/12/15,62527800.0,71.4,70.05,71.4,69.0
14/12/15,102631706.5,70.0,67.95,70.0,67.7
15/12/15,11545349.0,68.0,68.15,69.45,68.0
16/12/15,89452639.0,68.35,68.4,69.0,67.9
17/12/15,88604270.0,68.75,68.95,70.35,68.4
18/12/15,102657561.5,69.85,68.95,69.85,68.05
21/12/15,38501385.0,68.0,69.0,69.3,68.0
22/12/15,53878455.5,68.5,69.35,69.35,68.5
23/12/15,50866010.0,69.7,69.75,70.35,69.5
28/12/15,54224224.0,70.5,70.0,70.5,69.4
29/12/15,110895471.0,70.0,70.3,70.3,68.5
04/01/16,28393569.5,69.9,67.6,70.1,67.6
05/01/16,14871459.0,67.5,67.4,69.0,67.4
06/01/16,48050065.5,67.4,67.4,67.85,67.4
07/01/16,48090593.0,67.4,65.1,67.4,64.65
08/01/16,55191074.5,65.0,63.7,65.0,63.55
11/01/16,148335563.5,63.1,58.0,63.55,57.8
12/01/16,143783563.0,58.1,58.8,60.0,58.1
13/01/16,32537339.5,58.8,59.1,60.4,58.55
14/01/16,32337061.0,58.2,58.4,59.0,57.2
15/01/16,164442583.0,58.5,59.0,61.0,58.5
18/01/16,82984194.0,57.55,57.55,58.15,56.0
19/01/16,40101789.5,57.0,57.5,58.5,57.0
20/01/16,85733121.0,57.8,57.85,60.0,57.55
21/01/16,124542849.0,57.0,55.0,57.35,55.0
22/01/16,37172030.0,57.4,58.0,58.0,55.2
25/01/16,117995932.0,59.0,60.0,60.2,58.9
26/01/16,24714848.0,59.7,58.4,59.7,57.25
27/01/16,49755580.0,58.4,59.6,60.0,58.4
28/01/16,106890599.5,59.6,60.75,62.0,59.6
29/01/16,74303144.0,61.5,60.8,62.4,60.5
01/02/16,51691636.5,61.0,59.9,62.1,59.0
02/02/16,68292385.0,58.15,56.85,58.2,56.5
03/02/16,52461127.0,56.8,56.0,56.8,55.2
04/02/16,59741190.5,56.1,56.3,57.0,56.1
05/02/16,268042069.5,57.0,58.7,59.25,56.3
09/02/16,17541846.0,58.5,57.8,58.5,57.45
10/02/16,53924252.5,58.0,56.45,58.0,56.3
11/02/16,99669047.5,56.7,57.9,57.9,56.7
12/02/16,48947086.5,56.8,56.5,56.9,56.2
15/02/16,94259104.5,57.0,57.45,57.75,56.9
16/02/16,147630056.5,57.55,59.0,60.2,57.55
17/02/16,52455176.0,59.1,57.8,59.35,57.35
18/02/16,67671962.0,57.85,58.9,59.1,57.85
19/02/16,170925130.0,59.9,59.35,59.9,58.85
22/02/16,138899420.0,59.35,60.0,60.4,59.35
23/02/16,158007160.5,60.3,62.0,62.5,60.3
24/02/16,59161648.0,62.0,60.95,62.0,60.0
26/02/16,71126409.0,61.0,62.0,62.75,60.9
29/02/16,180713987.5,62.45,62.0,64.15,60.5
01/03/16,48620445.5,62.0,61.1,62.5,61.05
02/03/16,131679275.5,62.3,64.0,64.0,62.3
03/03/16,56786795.0,64.1,64.4,64.9,64.0
04/03/16,118066444.5,64.5,61.05,64.75,61.0
07/03/16,61308888.5,62.0,61.75,62.0,61.5
08/03/16,47727550.5,61.7,61.0,62.1,60.7
09/03/16,67647477.0,61.0,61.0,62.5,59.55
10/03/16,15244603.5,61.5,63.85,63.85,61.05
11/03/16,149109062.5,63.5,66.3,66.3,63.2
14/03/16,35148085.5,67.0,65.0,67.15,65.0
15/03/16,72574981.5,65.95,65.0,67.0,65.0
