Date,Value,Open,Close,High,Low
22/07/15,25500.0,0.5,0.5,0.5,0.5
29/07/15,2600.0,0.52,0.52,0.52,0.52
30/07/15,500.0,0.5,0.5,0.5,0.5
03/08/15,1000.0,0.5,0.5,0.5,0.5
04/08/15,1470.0,0.49,0.49,0.49,0.49
07/08/15,15000.0,0.5,0.5,0.5,0.5
11/08/15,52420.0,0.58,0.48,0.58,0.48
17/08/15,344100.0,0.52,0.43,0.52,0.43
19/08/15,4600.0,0.46,0.46,0.46,0.46
24/08/15,47400.0,0.47,0.475,0.475,0.47
27/08/15,23750.0,0.475,0.475,0.475,0.475
28/08/15,65000.0,0.5,0.5,0.5,0.5
01/09/15,48500.0,0.485,0.485,0.485,0.48
04/09/15,2216700.0,0.58,0.55,0.67,0.54
07/09/15,41800.00000000001,0.55,0.55,0.55,0.55
08/09/15,1926310.0,0.55,0.64,0.65,0.55
09/09/15,20873110.0,0.65,0.81,0.82,0.64
10/09/15,21706000.0,0.82,0.74,0.87,0.74
11/09/15,11850830.0,0.74,0.74,0.76,0.69
14/09/15,41773810.0,0.74,1.0,1.01,0.73
15/09/15,35653290.0,1.0,0.97,1.05,0.94
15/09/15,35653290.0,1.0,0.97,1.05,0.94
15/09/15,35653290.0,1.0,0.97,1.05,0.94
16/09/15,104306330.0,0.98,1.45,1.45,0.97
17/09/15,119943040.0,1.77,1.55,1.87,1.46
18/09/15,205977370.0,1.6,2.32,2.32,1.55
21/09/15,454627650.0,2.32,3.0,3.46,2.01
22/09/15,239989630.0,2.7,2.81,3.25,2.6
23/09/15,181171400.0,2.9,2.99,3.2,2.65
24/09/15,219069290.0,3.09,3.12,3.27,2.88
28/09/15,326930280.0,3.3,3.78,4.18,3.19
29/09/15,180849240.0,3.8,3.82,4.1,3.61
30/09/15,140665640.0,3.92,3.35,3.94,3.18
01/10/15,234233930.0,3.34,3.53,3.73,2.88
02/10/15,178880580.0,3.78,3.14,3.84,3.14
05/10/15,69973740.0,3.15,2.8,3.24,2.78
06/10/15,77812430.0,2.87,2.9,3.05,2.68
07/10/15,31502450.0,2.95,2.9,3.05,2.85
