Date,Value,Open,Close,High,Low
15/07/15,6651090.0,0.207,0.215,0.218,0.207
16/07/15,11161470.0,0.22,0.228,0.23,0.219
20/07/15,3865410.0,0.228,0.215,0.23,0.215
21/07/15,6375890.0,0.215,0.206,0.215,0.205
22/07/15,2340250.0,0.21,0.207,0.21,0.206
23/07/15,857880.0,0.206,0.21,0.21,0.205
23/07/15,857880.0,0.206,0.21,0.21,0.205
23/07/15,857880.0,0.206,0.21,0.21,0.205
24/07/15,719100.0,0.208,0.213,0.214,0.208
27/07/15,727260.0,0.214,0.208,0.214,0.206
28/07/15,867260.0,0.208,0.205,0.209,0.205
29/07/15,691110.0,0.206,0.206,0.208,0.206
30/07/15,321270.0,0.206,0.206,0.206,0.205
31/07/15,290770.0,0.205,0.208,0.208,0.205
03/08/15,455340.0,0.205,0.207,0.21,0.204
04/08/15,319620.0,0.208,0.206,0.21,0.204
05/08/15,2948630.0,0.209,0.205,0.209,0.2
06/08/15,271130.0,0.206,0.204,0.206,0.203
07/08/15,1458540.0,0.205,0.202,0.206,0.201
10/08/15,720290.0,0.202,0.201,0.202,0.2
11/08/15,1729510.0,0.201,0.2,0.201,0.199
12/08/15,1973870.0,0.199,0.199,0.199,0.194
13/08/15,1533440.0,0.199,0.193,0.199,0.185
14/08/15,1569070.0,0.185,0.183,0.189,0.181
17/08/15,1804960.0,0.183,0.17,0.183,0.161
18/08/15,1139280.0,0.17,0.18,0.183,0.17
19/08/15,647380.0,0.185,0.179,0.19,0.179
20/08/15,406980.0,0.18,0.177,0.186,0.175
24/08/15,402340.0,0.177,0.162,0.177,0.161
25/08/15,874080.0,0.159,0.151,0.159,0.149
26/08/15,402200.0,0.151,0.168,0.172,0.151
27/08/15,207090.0,0.168,0.166,0.168,0.16
28/08/15,248210.0,0.167,0.171,0.179,0.166
01/09/15,34740.0,0.174,0.173,0.175,0.171
02/09/15,114540.0,0.167,0.169,0.17,0.162
03/09/15,237800.0,0.164,0.165,0.165,0.16
04/09/15,110340.0,0.162,0.166,0.168,0.161
07/09/15,334070.0,0.162,0.163,0.165,0.155
08/09/15,343330.0,0.156,0.158,0.16,0.155
09/09/15,1585870.0,0.163,0.164,0.17,0.16
10/09/15,282470.0,0.163,0.16,0.164,0.16
11/09/15,194680.0,0.159,0.156,0.159,0.154
14/09/15,212370.0,0.156,0.157,0.161,0.156
15/09/15,1067500.0,0.156,0.164,0.169,0.156
15/09/15,1067500.0,0.156,0.164,0.169,0.156
15/09/15,1067500.0,0.156,0.164,0.169,0.156
16/09/15,304530.0,0.164,0.164,0.164,0.16
17/09/15,18172780.0,0.164,0.196,0.215,0.159
18/09/15,7332640.0,0.21,0.196,0.214,0.196
21/09/15,2668670.0,0.196,0.18,0.196,0.176
22/09/15,8815830.0,0.181,0.198,0.21,0.181
23/09/15,4478880.0,0.2,0.191,0.214,0.191
24/09/15,1048470.0,0.191,0.191,0.197,0.189
28/09/15,2181180.0,0.192,0.186,0.192,0.182
29/09/15,405940.0,0.19,0.188,0.191,0.181
30/09/15,588950.0,0.18,0.18,0.188,0.18
01/10/15,383430.0,0.185,0.18,0.186,0.178
02/10/15,250560.0,0.178,0.18,0.18,0.177
05/10/15,572210.0,0.181,0.181,0.181,0.176
06/10/15,525550.0,0.181,0.181,0.182,0.178
07/10/15,1067870.0,0.178,0.183,0.184,0.178
08/10/15,417950.0,0.18,0.18,0.183,0.179
09/10/15,624340.0,0.18,0.18,0.18,0.178
12/10/15,403290.0,0.18,0.181,0.182,0.178
13/10/15,244430.0,0.181,0.18,0.181,0.178
14/10/15,5827290.0,0.18,0.184,0.194,0.18
15/10/15,512620.0,0.184,0.183,0.188,0.183
16/10/15,1741190.0,0.182,0.181,0.19,0.181
19/10/15,201440.0,0.182,0.185,0.185,0.182
20/10/15,581320.0,0.186,0.181,0.186,0.181
21/10/15,768910.0,0.181,0.185,0.187,0.181
22/10/15,182600.0,0.186,0.186,0.188,0.183
23/10/15,115530.0,0.183,0.184,0.184,0.183
26/10/15,191200.0,0.182,0.183,0.185,0.182
27/10/15,433990.0,0.183,0.182,0.184,0.182
28/10/15,291670.0,0.182,0.181,0.182,0.181
29/10/15,779520.0,0.184,0.183,0.185,0.18
30/10/15,180550.0,0.183,0.183,0.184,0.181
02/11/15,547330.0,0.183,0.182,0.183,0.18
03/11/15,422890.0,0.183,0.185,0.185,0.182
04/11/15,326570.0,0.183,0.18,0.183,0.18
05/11/15,108280.0,0.182,0.18,0.182,0.18
06/11/15,843140.0,0.18,0.177,0.18,0.177
09/11/15,1035910.0,0.177,0.176,0.181,0.175
10/11/15,158040.0,0.176,0.178,0.18,0.173
11/11/15,148820.0,0.172,0.174,0.177,0.172
12/11/15,177110.0,0.177,0.177,0.177,0.172
13/11/15,94920.0,0.174,0.172,0.174,0.172
16/11/15,281660.0,0.172,0.172,0.174,0.169
17/11/15,116630.0,0.173,0.174,0.175,0.173
20/11/15,13920.0,0.174,0.174,0.174,0.174
23/11/15,78630.0,0.172,0.171,0.172,0.17
24/11/15,38570.0,0.177,0.175,0.177,0.17
25/11/15,26120.0,0.175,0.175,0.175,0.17
26/11/15,17230.0,0.175,0.17,0.175,0.17
27/11/15,29270.0,0.175,0.17,0.175,0.17
01/12/15,196200.0,0.174,0.173,0.174,0.17
02/12/15,80560.0,0.171,0.173,0.173,0.17
03/12/15,157410.0,0.173,0.172,0.173,0.17
04/12/15,6860.0,0.17,0.173,0.173,0.17
07/12/15,206870.0,0.171,0.17,0.171,0.169
08/12/15,276240.0,0.173,0.167,0.173,0.167
09/12/15,389720.0,0.167,0.167,0.169,0.165
10/12/15,3340.0,0.167,0.167,0.167,0.167
11/12/15,151460.0,0.167,0.164,0.167,0.16
14/12/15,41440.0,0.161,0.162,0.168,0.157
15/12/15,424000.0,0.157,0.157,0.158,0.157
16/12/15,339260.0,0.155,0.155,0.158,0.155
17/12/15,123480.0,0.158,0.156,0.158,0.156
18/12/15,82000.0,0.155,0.154,0.155,0.154
21/12/15,141390.0,0.153,0.156,0.156,0.148
22/12/15,110160.0,0.159,0.148,0.159,0.148
23/12/15,53360.0,0.158,0.152,0.158,0.152
28/12/15,77420.0,0.15,0.152,0.152,0.15
29/12/15,960950.0,0.157,0.155,0.165,0.155
04/01/16,134970.0,0.155,0.151,0.155,0.151
05/01/16,100330.0,0.154,0.152,0.154,0.15
06/01/16,189470.0,0.152,0.15,0.153,0.15
07/01/16,198600.0,0.153,0.145,0.153,0.145
08/01/16,600310.0,0.145,0.136,0.146,0.126
11/01/16,374560.0,0.129,0.122,0.129,0.122
12/01/16,69300.0,0.125,0.125,0.13,0.125
13/01/16,191510.0,0.125,0.128,0.128,0.124
14/01/16,313700.0,0.125,0.122,0.125,0.121
15/01/16,30770.0,0.122,0.123,0.125,0.122
18/01/16,412510.0,0.122,0.12,0.122,0.109
19/01/16,207040.0,0.11,0.12,0.12,0.107
20/01/16,86130.0,0.12,0.118,0.12,0.111
21/01/16,61950.0,0.118,0.112,0.118,0.112
22/01/16,175640.0,0.118,0.119,0.119,0.116
25/01/16,2177660.0,0.116,0.133,0.134,0.116
26/01/16,438610.0,0.133,0.128,0.133,0.128
27/01/16,332370.0,0.129,0.13,0.13,0.126
28/01/16,3502770.0,0.131,0.14,0.148,0.131
29/01/16,2653360.0,0.14,0.147,0.151,0.14
01/02/16,682630.0,0.147,0.142,0.15,0.142
02/02/16,270789.99999999994,0.141,0.144,0.144,0.14
03/02/16,59850.0,0.141,0.143,0.144,0.141
04/02/16,5725490.0,0.141,0.154,0.165,0.14
05/02/16,1541300.0,0.155,0.144,0.162,0.141
09/02/16,916389.9999999999,0.144,0.145,0.146,0.141
10/02/16,2323370.0,0.142,0.151,0.153,0.142
11/02/16,7258960.0,0.153,0.16,0.171,0.15
12/02/16,1163780.0,0.165,0.157,0.165,0.157
15/02/16,1613100.0,0.156,0.159,0.164,0.153
16/02/16,591420.0,0.157,0.156,0.158,0.155
17/02/16,4647970.0,0.156,0.166,0.171,0.156
18/02/16,572390.0,0.164,0.165,0.165,0.161
19/02/16,784260.0,0.165,0.165,0.167,0.161
22/02/16,6530740.0,0.161,0.174,0.178,0.16
23/02/16,15881720.0,0.178,0.186,0.196,0.178
24/02/16,17838780.0,0.189,0.206,0.208,0.186
26/02/16,33808230.0,0.209,0.237,0.24,0.207
29/02/16,57529600.0,0.241,0.205,0.255,0.2
01/03/16,20276770.0,0.203,0.202,0.219,0.194
02/03/16,6522120.0,0.209,0.2,0.209,0.195
03/03/16,29114350.0,0.2,0.218,0.232,0.195
04/03/16,19595360.0,0.226,0.214,0.231,0.21
07/03/16,12691810.0,0.217,0.205,0.22,0.205
08/03/16,3826610.0,0.205,0.207,0.213,0.2
09/03/16,16896510.0,0.21,0.211,0.228,0.205
10/03/16,3461740.0,0.215,0.214,0.22,0.211
11/03/16,9504490.0,0.215,0.217,0.227,0.21
14/03/16,12126850.0,0.22,0.227,0.235,0.213
15/03/16,112434920.0,0.23,0.28,0.295,0.23
16/03/16,93722150.0,0.29,0.27,0.31,0.27
17/03/16,25584500.0,0.275,0.27,0.29,0.26
18/03/16,9357100.0,0.27,0.27,0.285,0.27
21/03/16,10184800.0,0.275,0.28,0.28,0.27
22/03/16,25372000.0,0.29,0.29,0.3,0.28
23/03/16,47754350.0,0.295,0.31,0.32,0.285
28/03/16,20595600.0,0.31,0.285,0.315,0.28
29/03/16,29108350.0,0.29,0.28,0.295,0.275
30/03/16,11784150.0,0.28,0.275,0.285,0.27
31/03/16,5640300.0,0.275,0.28,0.29,0.275
01/04/16,13949950.0,0.285,0.28,0.29,0.275
04/04/16,73583850.0,0.285,0.335,0.335,0.28
05/04/16,96597550.0,0.34,0.295,0.355,0.29
06/04/16,14239350.0,0.295,0.3,0.31,0.29
07/04/16,14302350.0,0.305,0.315,0.32,0.3
08/04/16,10675350.0,0.315,0.32,0.325,0.31
11/04/16,9736550.0,0.32,0.31,0.32,0.3
12/04/16,9696500.0,0.31,0.3,0.31,0.295
13/04/16,6235650.0,0.3,0.305,0.305,0.29
14/04/16,5836600.0,0.305,0.295,0.31,0.29
15/04/16,3660900.0,0.295,0.295,0.3,0.29
18/04/16,9814800.0,0.295,0.305,0.305,0.285
19/04/16,35090800.0,0.31,0.315,0.33,0.3
20/04/16,18953600.0,0.32,0.315,0.33,0.31
21/04/16,17345700.0,0.315,0.3,0.315,0.295
22/04/16,58973250.0,0.3,0.32,0.335,0.295
25/04/16,48486750.0,0.33,0.335,0.335,0.31
26/04/16,251626550.0,0.34,0.425,0.425,0.335
27/04/16,188437800.0,0.425,0.35,0.43,0.35
28/04/16,198582550.0,0.36,0.395,0.415,0.36
29/04/16,55966650.0,0.395,0.37,0.405,0.365
02/05/16,28227200.0,0.375,0.355,0.39,0.35
03/05/16,26095800.0,0.36,0.35,0.375,0.35
04/05/16,28676650.0,0.35,0.34,0.35,0.325
05/05/16,41471850.0,0.34,0.37,0.38,0.33
06/05/16,36891250.0,0.365,0.355,0.38,0.355
06/05/16,36891250.0,0.365,0.355,0.38,0.355
10/05/16,11957300.0,0.355,0.355,0.365,0.35
11/05/16,61745200.0,0.36,0.37,0.39,0.36
12/05/16,23346950.0,0.37,0.38,0.385,0.36
13/05/16,33863650.0,0.38,0.365,0.39,0.365
16/05/16,10751850.0,0.37,0.365,0.375,0.36
17/05/16,20872750.0,0.37,0.355,0.37,0.35
18/05/16,23848100.0,0.35,0.335,0.355,0.325
19/05/16,38212050.0,0.335,0.365,0.37,0.32
20/05/16,10956550.0,0.36,0.34,0.365,0.335
23/05/16,4878600.0,0.345,0.335,0.35,0.335
24/05/16,10789450.0,0.335,0.35,0.35,0.33
25/05/16,5583200.0,0.345,0.335,0.35,0.335
