Date,Value,Open,Close,High,Low
15/07/15,92704841.0,71.9,71.7,71.9,70.85
16/07/15,137476102.5,72.0,72.0,72.0,71.05
20/07/15,151473517.0,72.0,72.05,72.25,71.4
21/07/15,196281909.0,72.0,74.0,74.0,71.95
22/07/15,268282276.5,74.0,73.95,74.0,72.05
23/07/15,121943872.0,73.5,73.5,73.75,73.05
23/07/15,121943872.0,73.5,73.5,73.75,73.05
23/07/15,121943872.0,73.5,73.5,73.75,73.05
24/07/15,93659229.0,73.45,73.0,73.45,72.95
27/07/15,65014345.5,72.3,72.15,73.0,72.1
28/07/15,369239364.0,72.0,71.6,72.75,71.6
29/07/15,192585826.0,71.65,72.3,72.9,71.65
30/07/15,108724846.0,72.3,72.0,72.5,72.0
31/07/15,263749581.0,72.0,72.5,72.5,71.9
03/08/15,134296376.0,72.5,72.5,73.0,71.7
04/08/15,228468863.5,72.05,72.45,72.6,72.05
05/08/15,194470494.0,72.05,73.0,74.9,72.05
06/08/15,120855151.5,73.0,73.2,74.9,73.0
07/08/15,60951113.5,73.2,72.85,73.2,72.8
10/08/15,127509341.0,72.95,73.0,73.5,72.85
11/08/15,130256931.5,72.4,72.4,73.3,72.0
12/08/15,117562571.0,72.35,71.65,72.4,71.1
13/08/15,131847115.0,72.1,70.0,72.1,69.5
14/08/15,95574289.0,70.2,69.3,70.9,69.0
17/08/15,66121753.0,69.35,68.6,69.8,68.0
18/08/15,144453417.5,68.2,68.4,68.75,68.15
19/08/15,222857820.5,68.0,68.85,69.0,67.0
20/08/15,111146395.5,68.85,69.3,69.5,67.35
24/08/15,299328617.5,69.2,64.95,69.2,61.0
25/08/15,111164090.0,62.0,65.45,65.95,62.0
26/08/15,144255534.0,65.5,67.85,67.95,65.5
27/08/15,207850822.5,69.0,69.0,69.9,67.85
28/08/15,282972794.0,70.15,71.0,72.9,70.0
01/09/15,270022513.0,69.75,70.7,71.4,69.75
02/09/15,197263903.5,70.0,70.5,71.05,69.0
03/09/15,110618808.0,70.55,70.55,71.0,69.35
04/09/15,105332980.0,69.2,70.7,71.0,69.2
07/09/15,92365466.0,69.1,67.3,70.0,67.05
08/09/15,118184551.0,67.2,67.5,68.95,67.2
09/09/15,114675881.5,68.9,67.6,68.9,66.8
10/09/15,85460055.5,67.0,67.4,67.85,67.0
11/09/15,73157255.0,67.65,69.0,69.0,67.0
14/09/15,49518976.0,68.05,71.0,71.0,68.0
15/09/15,117559972.0,71.0,70.95,71.0,69.85
15/09/15,117559972.0,71.0,70.95,71.0,69.85
15/09/15,117559972.0,71.0,70.95,71.0,69.85
16/09/15,288866125.5,71.0,71.75,73.5,70.95
17/09/15,165881511.0,71.95,71.0,71.95,69.25
18/09/15,190482131.5,70.7,70.85,72.5,70.7
21/09/15,54435660.5,70.85,70.15,70.85,69.9
22/09/15,122435863.5,69.4,69.95,70.15,69.4
23/09/15,126379266.5,69.7,68.95,69.7,68.6
24/09/15,145795627.0,68.9,68.7,68.9,67.25
28/09/15,92935435.0,68.85,69.75,70.15,68.85
29/09/15,143077258.0,69.75,70.8,71.0,67.7
30/09/15,225185257.0,71.0,70.85,71.0,70.6
01/10/15,98132730.5,70.05,69.95,70.85,68.1
02/10/15,144151037.5,69.95,69.9,70.2,68.85
05/10/15,147473689.0,69.9,70.35,70.5,69.9
06/10/15,249522223.0,70.5,71.1,71.5,70.35
07/10/15,157416617.0,71.0,70.9,71.0,70.3
08/10/15,221001079.0,70.9,71.2,71.55,70.9
09/10/15,147851871.0,71.75,70.5,72.15,70.5
