Date,Value,Open,Close,High,Low
15/07/15,102350.0,2.21,2.35,2.48,2.21
21/07/15,286340.0,2.4,2.44,2.44,2.23
22/07/15,7200.0,2.4,2.4,2.4,2.4
23/07/15,24000.0,2.4,2.4,2.4,2.4
23/07/15,24000.0,2.4,2.4,2.4,2.4
23/07/15,24000.0,2.4,2.4,2.4,2.4
27/07/15,48530.0,2.26,2.34,2.34,2.25
28/07/15,18050.0,2.26,2.25,2.26,2.25
29/07/15,11340.0,2.27,2.26,2.27,2.26
30/07/15,239550.0,2.3,2.35,2.35,2.3
31/07/15,26870.0,2.35,2.21,2.35,2.21
04/08/15,6900.0,2.34,2.22,2.34,2.22
05/08/15,2220.0,2.22,2.22,2.22,2.22
06/08/15,29100.0,2.22,2.25,2.25,2.22
12/08/15,15870.0,2.23,2.33,2.33,2.23
13/08/15,23400.0,2.34,2.34,2.34,2.34
17/08/15,101890.0,2.23,2.2,2.31,2.2
18/08/15,81460.0,2.2,2.26,2.26,2.2
19/08/15,9000.0,2.25,2.25,2.25,2.25
20/08/15,22500.0,2.25,2.25,2.25,2.25
24/08/15,67160.0,2.1,2.05,2.11,2.05
28/08/15,40780.0,2.0,2.18,2.18,1.99
03/09/15,10250.0,2.01,2.21,2.21,2.01
08/09/15,2210.0,2.21,2.21,2.21,2.21
10/09/15,6630.0,2.21,2.21,2.21,2.21
17/09/15,52500.0,2.1,2.1,2.1,2.1
18/09/15,32250.0,2.15,2.15,2.15,2.15
21/09/15,48950.0,2.11,2.03,2.11,1.98
22/09/15,56290.0,2.18,2.18,2.19,2.1
23/09/15,8690.0,2.19,2.15,2.19,2.15
24/09/15,6810.0,2.33,2.15,2.33,2.15
28/09/15,43310.0,2.31,2.05,2.31,2.05
29/09/15,441210.0,2.15,2.07,2.2,2.07
01/10/15,17440.0,2.27,2.15,2.27,2.15
02/10/15,2150.0,2.15,2.15,2.15,2.15
06/10/15,12970.0,2.18,2.13,2.2,2.13
08/10/15,6600.000000000001,2.2,2.2,2.2,2.2
09/10/15,61350.0,2.11,2.15,2.15,2.11
12/10/15,28280.0,2.16,2.25,2.25,2.15
14/10/15,39200.0,2.25,2.33,2.33,2.25
15/10/15,43060.0,2.5,2.25,2.5,2.24
20/10/15,13500.0,2.25,2.25,2.25,2.25
21/10/15,15670.0,2.3,2.25,2.3,2.2
23/10/15,24160.0,2.2,2.16,2.2,2.16
