Date,Value,Open,Close,High,Low
15/07/15,226967356.0,192.0,193.0,193.5,191.9
16/07/15,129059030.0,192.8,192.6,193.0,191.9
20/07/15,206226316.0,192.4,189.0,192.4,189.0
21/07/15,81043852.0,189.7,192.0,192.0,189.5
22/07/15,187463648.0,192.0,188.1,192.0,187.7
23/07/15,222571921.0,188.1,190.3,191.9,188.0
23/07/15,222571921.0,188.1,190.3,191.9,188.0
23/07/15,222571921.0,188.1,190.3,191.9,188.0
24/07/15,164458102.0,192.0,192.0,192.8,191.0
27/07/15,45824093.0,192.0,190.0,192.1,188.6
28/07/15,167796090.0,190.0,189.5,190.0,187.8
29/07/15,124413846.0,190.0,189.0,190.0,187.7
30/07/15,143497359.0,189.0,188.7,189.9,188.5
31/07/15,114998261.0,189.0,190.0,190.0,188.5
03/08/15,126224065.0,190.0,195.0,195.0,190.0
04/08/15,86345668.0,194.0,194.1,194.1,191.5
05/08/15,162199353.0,194.1,192.0,195.9,190.0
06/08/15,123899526.0,191.0,188.1,191.0,188.1
07/08/15,205217459.0,188.1,188.3,189.0,187.9
10/08/15,68417023.0,189.0,192.0,192.2,188.8
11/08/15,58754097.0,191.8,191.2,191.9,188.8
12/08/15,119047256.0,191.2,192.2,192.5,187.6
13/08/15,84996351.0,192.0,188.1,192.0,187.0
14/08/15,33618750.0,188.3,188.4,190.0,188.3
17/08/15,64828660.0,188.4,190.0,190.0,188.0
18/08/15,85750432.0,190.0,190.0,190.0,188.7
19/08/15,85370485.0,190.0,189.7,190.0,189.0
20/08/15,91474764.0,189.7,185.9,189.8,182.1
24/08/15,188429802.0,183.0,180.0,183.0,176.0
25/08/15,90629949.0,178.0,180.0,183.0,175.5
26/08/15,102616344.0,181.0,182.2,182.9,180.0
27/08/15,214528613.0,182.3,191.3,191.4,182.3
28/08/15,172777755.0,191.3,191.5,193.6,188.0
01/09/15,110886009.0,191.5,188.1,194.0,187.8
02/09/15,158883059.0,186.0,192.3,192.3,182.0
03/09/15,66998916.0,191.0,191.0,191.8,189.0
04/09/15,65201346.0,192.0,191.3,192.0,188.0
07/09/15,48513441.0,189.5,185.0,189.5,185.0
08/09/15,89806510.0,185.2,185.9,188.1,184.1
09/09/15,59115247.0,186.2,191.0,191.0,184.8
10/09/15,42880103.0,188.0,187.1,188.4,186.5
11/09/15,29373072.0,189.9,183.1,189.9,183.1
14/09/15,19687329.0,184.0,188.2,189.0,184.0
15/09/15,29652143.0,188.0,187.8,188.8,187.0
15/09/15,29652143.0,188.0,187.8,188.8,187.0
15/09/15,29652143.0,188.0,187.8,188.8,187.0
16/09/15,28746578.0,188.5,187.7,190.0,187.0
17/09/15,85295356.0,187.6,188.0,189.9,186.5
18/09/15,113725720.0,190.0,184.0,191.0,184.0
21/09/15,63815617.0,187.0,190.5,190.5,186.0
22/09/15,46788409.0,190.5,190.9,191.2,189.0
23/09/15,44263066.0,190.0,189.0,190.0,185.5
24/09/15,193546733.0,189.0,187.0,189.4,185.5
28/09/15,60681474.0,187.0,188.0,188.3,186.1
29/09/15,113266783.0,188.0,191.2,192.0,186.8
30/09/15,172242246.0,192.0,192.8,192.8,191.7
01/10/15,111016055.0,192.8,192.0,193.1,192.0
02/10/15,96849350.0,192.0,192.8,193.1,192.0
05/10/15,139040845.0,192.7,195.5,199.9,192.7
06/10/15,147739575.0,197.5,196.7,199.5,196.5
07/10/15,96765370.0,197.2,198.0,198.0,196.0
08/10/15,147803513.0,197.5,195.0,197.8,194.5
09/10/15,22792485.0,198.0,197.4,198.0,195.5
12/10/15,87536176.0,197.4,200.0,200.0,197.4
13/10/15,282749772.0,200.4,202.0,206.2,200.0
14/10/15,188487176.0,203.0,203.0,207.6,203.0
15/10/15,175845478.0,202.0,204.0,205.0,202.0
16/10/15,146659386.0,205.2,205.4,206.8,204.6
19/10/15,184976522.0,205.4,205.0,206.4,204.6
20/10/15,406553566.0,206.0,206.0,208.0,205.0
21/10/15,99076972.0,206.0,207.0,209.0,205.4
22/10/15,91934760.0,207.0,207.0,207.6,206.4
23/10/15,172415484.0,207.6,207.6,208.8,207.2
26/10/15,105886302.0,207.8,207.0,208.2,207.0
27/10/15,71710292.0,207.0,208.0,208.0,205.4
28/10/15,45049760.0,207.8,208.2,208.2,205.6
29/10/15,152462858.0,209.0,207.0,209.0,205.6
30/10/15,206095206.0,207.0,206.0,207.4,206.0
02/11/15,81270274.0,206.0,207.0,207.4,205.8
03/11/15,208131286.0,207.0,207.0,209.0,206.6
04/11/15,125067968.0,207.0,207.0,208.0,206.6
05/11/15,31313484.0,206.4,205.8,206.8,205.4
06/11/15,117595350.0,205.6,207.4,208.6,205.0
09/11/15,129921306.0,207.4,206.8,207.4,205.2
10/11/15,244995846.0,206.0,205.8,207.2,205.0
11/11/15,260673146.0,204.0,204.0,204.4,200.0
12/11/15,108060844.0,204.0,204.0,204.6,203.2
13/11/15,50442342.0,203.8,200.0,203.8,199.9
16/11/15,83455095.0,199.9,194.0,199.9,191.0
17/11/15,89686848.0,195.0,195.5,199.8,194.0
20/11/15,101861178.0,196.0,200.0,203.8,194.5
23/11/15,49129411.0,200.0,202.0,203.0,199.4
24/11/15,90898764.0,204.0,203.0,204.8,203.0
