Date,Value,Open,Close,High,Low
15/07/15,3850.0,3.85,3.85,3.85,3.85
21/07/15,7620.0,3.64,3.98,3.98,3.64
29/07/15,11830.0,3.94,3.95,3.95,3.94
07/08/15,15200.0,3.8,3.8,3.8,3.8
10/08/15,19000.0,3.8,3.8,3.8,3.8
11/08/15,3800.0,3.8,3.8,3.8,3.8
12/08/15,7300.0,3.65,3.65,3.65,3.65
17/08/15,7300.0,3.65,3.65,3.65,3.65
24/08/15,156000.0,3.9,3.9,3.9,3.9
25/08/15,7220.0,3.61,3.61,3.61,3.61
04/09/15,47100.0,3.6,3.7,3.7,3.6
07/09/15,14430.0,2.89,2.88,2.89,2.88
11/09/15,24440.0,3.49,3.5,3.5,3.49
14/09/15,3500.0,3.5,3.5,3.5,3.5
16/09/15,14760.0,3.69,3.69,3.69,3.69
12/10/15,47680.0,3.7,4.2,4.55,3.7
13/10/15,4200.0,4.2,4.2,4.2,4.2
16/10/15,6280.0,3.14,3.14,3.14,3.14
19/10/15,309020.0,3.61,4.6,4.7,3.61
20/10/15,510690.0,4.98,5.05,6.2,4.9
21/10/15,112430.0,5.18,4.8,5.18,4.8
23/10/15,22970.0,3.62,4.02,4.02,3.62
26/10/15,63360.0,3.91,4.01,4.01,3.91
27/10/15,15620.0,3.92,3.9,3.92,3.9
28/10/15,70560.0,3.92,3.92,3.92,3.92
30/10/15,66300.0,3.9,3.9,3.9,3.9
05/11/15,11400.0,3.8,3.8,3.8,3.8
10/11/15,7600.0,3.8,3.8,3.8,3.8
16/11/15,14800.0,3.7,3.7,3.7,3.7
01/12/15,3700.0,3.7,3.7,3.7,3.7
22/01/16,43580.0,3.36,3.35,3.36,3.35
28/01/16,6720.0,3.36,3.36,3.36,3.36
15/03/16,6720.0,3.36,3.36,3.36,3.36
18/03/16,103650.0,3.84,3.9,4.4,3.84
21/03/16,36460.0,4.2,4.18,4.48,3.6
22/03/16,22500.0,4.2,4.5,4.8,4.2
23/03/16,22500.0,4.5,4.5,4.5,4.5
28/03/16,1516390.0,4.98,6.2,6.53,4.98
29/03/16,376385.0,6.45,5.4,6.45,5.4
30/03/16,488359.0,5.5,5.5,5.99,5.28
31/03/16,128753.0,5.5,5.0,5.5,4.98
01/04/16,11499.0,4.99,5.0,5.0,4.99
04/04/16,2685.0,5.37,5.37,5.37,5.37
05/04/16,22880.0,4.98,4.94,4.98,4.94
08/04/16,24800.0,4.96,4.96,4.96,4.96
12/04/16,54340.0,4.94,4.94,4.94,4.94
13/04/16,49400.0,4.94,4.94,4.94,4.94
18/04/16,4900.0,4.9,4.9,4.9,4.9
20/04/16,4900.0,4.9,4.9,4.9,4.9
29/04/16,39200.0,4.9,4.9,4.9,4.9
02/05/16,38900.0,4.9,4.8,4.9,4.8
11/05/16,8000.0,4.0,4.0,4.0,4.0
12/05/16,13500.0,4.5,4.5,4.5,4.5
24/05/16,458920.0,4.01,4.25,4.25,3.6
25/05/16,103620.0,4.0,4.0,4.35,4.0
30/05/16,44500.0,4.45,4.45,4.45,4.45
31/05/16,43800.0,4.38,4.38,4.38,4.38
02/06/16,43400.0,4.34,4.34,4.34,4.34
27/06/16,8540.0,4.27,4.27,4.27,4.27
12/07/16,18340.0,3.65,3.69,3.7,3.65
14/07/16,37400.0,3.74,3.74,3.74,3.74
