Date,Value,Open,Close,High,Low
15/07/15,10000.0,5.0,5.0,5.0,5.0
23/07/15,5000.0,5.0,5.0,5.0,5.0
23/07/15,5000.0,5.0,5.0,5.0,5.0
23/07/15,5000.0,5.0,5.0,5.0,5.0
29/07/15,2968.0,4.24,4.24,4.24,4.24
11/08/15,21400.0,5.35,5.35,5.35,5.35
12/08/15,85676.0,5.75,5.6,5.8,5.5
13/08/15,560.0,5.6,5.6,5.6,5.6
20/08/15,480.99999999999994,4.81,4.81,4.81,4.81
14/09/15,431060.0,3.6,4.68,4.7,3.6
22/09/15,161290.0,5.89,6.78,6.78,5.89
23/09/15,6700.0,6.7,6.7,6.7,6.7
29/09/15,16840.0,6.77,6.6,6.77,6.6
30/09/15,659.0,6.59,6.59,6.59,6.59
02/10/15,369580.0,4.62,4.0,6.5,3.7
27/10/15,21688.0,4.68,4.76,4.76,4.68
16/11/15,4530.0,4.53,4.53,4.53,4.53
02/12/15,21000.0,5.0,5.5,5.5,5.0
08/12/15,550.0,5.5,5.5,5.5,5.5
14/12/15,5990.0,5.99,5.99,5.99,5.99
11/01/16,4010.0,4.01,4.01,4.01,4.01
15/01/16,4500.0,4.5,4.5,4.5,4.5
20/01/16,4150.0,4.15,4.15,4.15,4.15
22/01/16,5000.0,5.0,5.0,5.0,5.0
12/02/16,2028.0,5.48,4.66,5.48,4.66
22/03/16,5890.0,5.89,5.89,5.89,5.89
23/03/16,589.0,5.89,5.89,5.89,5.89
28/03/16,599.0,5.99,5.99,5.99,5.99
29/03/16,10782.0,5.99,5.99,5.99,5.99
30/03/16,4792.0,5.99,5.99,5.99,5.99
31/03/16,809105.0,5.5,8.49,8.98,5.5
01/04/16,368434.0,8.2,5.8,8.2,5.7
04/04/16,96454.0,6.78,6.0,6.78,6.0
05/04/16,60080.0,5.5,5.35,6.25,5.35
06/04/16,4305.0,5.35,5.4,5.4,5.35
07/04/16,5415.0,5.35,6.0,6.0,5.35
08/04/16,26840.0,6.0,6.2,6.2,5.55
11/04/16,13635.0,6.15,6.2,6.2,6.15
12/04/16,64959.0,6.2,6.14,6.2,5.36
13/04/16,8556.0,6.14,6.1,6.14,6.1
15/04/16,1857.0,6.19,6.19,6.19,6.19
19/04/16,24312.0,5.36,5.99,5.99,5.3
21/04/16,63666.0,5.41,5.5,5.5,5.41
22/04/16,12202.0,5.55,5.51,5.55,5.51
26/04/16,20760.0,5.41,5.4,5.55,5.3
27/04/16,54375.0,5.5,5.5,5.64,5.5
29/04/16,10790.0,5.6,5.3,5.7,5.3
02/05/16,108120.0,5.3,5.3,5.3,5.3
05/05/16,107000.0,5.35,5.35,5.35,5.35
06/05/16,1064.0,5.31,5.33,5.33,5.31
06/05/16,1064.0,5.31,5.33,5.33,5.31
11/05/16,588.0,5.88,5.88,5.88,5.88
12/05/16,3838.0,5.88,5.88,5.88,5.32
13/05/16,8528.0,5.33,5.33,5.33,5.33
16/05/16,1608.0,5.36,5.36,5.36,5.36
17/05/16,1072.0,5.36,5.36,5.36,5.36
18/05/16,57888.0,5.36,5.36,5.36,5.36
20/05/16,25250.0,5.34,5.2,5.34,5.2
23/05/16,46802.0,5.21,5.2,5.21,5.2
25/05/16,13000.0,5.2,5.2,5.2,5.2
30/05/16,48880.0,5.2,5.2,5.2,5.2
31/05/16,20680.0,5.99,5.99,5.99,5.8
01/06/16,12857.0,5.59,5.59,5.59,5.59
03/06/16,27000.0,5.4,5.4,5.4,5.4
07/06/16,540.0,5.4,5.4,5.4,5.4
09/06/16,579.0,5.79,5.79,5.79,5.79
10/06/16,5040.0,5.04,5.04,5.04,5.04
15/06/16,607858.0,6.19,6.19,6.19,6.19
20/06/16,527023.0,6.19,5.6,6.19,5.1
21/06/16,32225.0,5.81,5.23,5.81,5.23
22/06/16,3206.0,5.8,5.3,5.8,5.24
23/06/16,11154.0,5.79,5.31,5.79,5.22
24/06/16,579243.0,5.76,5.8,6.98,5.75
27/06/16,88160.0,5.8,5.8,5.8,5.8
28/06/16,77697.0,6.5,5.69,6.5,5.35
29/06/16,26119.0,5.69,5.41,5.69,5.41
30/06/16,10455.0,5.6,5.5,5.6,5.41
04/07/16,2246.0,5.7,5.36,5.7,5.36
05/07/16,27822.0,5.36,5.35,5.36,5.35
07/07/16,7490.0,5.35,5.35,5.35,5.35
08/07/16,2000.0,5.0,5.0,5.0,5.0
11/07/16,8072.0,5.04,5.05,5.05,5.04
12/07/16,505.0,5.05,5.05,5.05,5.05
13/07/16,58542.0,5.06,5.3,5.3,5.06
