Date,Value,Open,Close,High,Low
23/07/15,16500.0,3.3,3.3,3.3,3.3
23/07/15,16500.0,3.3,3.3,3.3,3.3
23/07/15,16500.0,3.3,3.3,3.3,3.3
04/08/15,24380.0,4.85,4.88,4.9,4.85
07/08/15,41050.0,6.0,5.75,6.0,5.7
10/08/15,73528.0,6.37,5.14,6.37,5.0
11/08/15,70933.0,5.14,5.01,5.14,5.0
12/08/15,4509.0,5.01,5.01,5.01,5.01
24/08/15,7040.0,3.2,3.2,3.2,3.2
07/09/15,28800.0,4.8,4.8,4.8,4.8
11/09/15,4800.0,4.8,4.8,4.8,4.8
18/09/15,9000.0,3.0,3.0,3.0,3.0
21/09/15,25320.0,3.16,3.2,3.2,3.16
22/09/15,67200.0,4.8,4.8,4.8,4.8
23/09/15,14400.0,4.8,4.8,4.8,4.8
28/09/15,10120.0,3.26,3.6,3.6,3.26
29/09/15,62270.0,4.79,4.79,4.79,4.79
30/09/15,18540.0,3.71,3.7,3.71,3.7
01/10/15,66910.0,3.72,3.72,3.72,3.71
06/10/15,103510.0,3.9,4.0,4.06,3.9
07/10/15,23950.0,4.79,4.79,4.79,4.79
29/10/15,45560.0,4.3,4.5,4.79,4.3
23/11/15,4500.0,4.5,4.5,4.5,4.5
24/11/15,4500.0,4.5,4.5,4.5,4.5
25/11/15,22440.0,3.68,4.0,4.0,3.68
26/11/15,4000.0,4.0,4.0,4.0,4.0
27/11/15,28040.0,4.02,4.0,4.02,4.0
03/12/15,16040.0,4.01,4.01,4.01,4.01
09/12/15,15500.0,4.0,3.75,4.0,3.75
01/02/16,4490.0,4.49,4.49,4.49,4.49
04/03/16,17840.0,4.46,4.46,4.46,4.46
08/03/16,18500.0,3.68,3.73,3.73,3.68
09/03/16,41070.0,3.74,3.74,3.74,3.73
10/03/16,3740.0,3.74,3.74,3.74,3.74
15/03/16,18700.0,3.74,3.74,3.74,3.74
22/03/16,3500.0,3.5,3.5,3.5,3.5
28/03/16,7300.0,3.65,3.65,3.65,3.65
29/03/16,232510.0,4.19,4.49,4.49,4.19
30/03/16,147920.0,4.49,4.5,4.8,4.49
31/03/16,2142230.0,3.83,6.75,6.75,3.83
01/04/16,937794.0,6.75,5.0,6.75,4.9
04/04/16,34089.0,5.0,4.9,5.0,4.9
05/04/16,241740.0,4.2,4.2,4.5,4.2
06/04/16,29400.0,4.2,4.2,4.2,4.2
07/04/16,16800.0,4.2,4.2,4.2,4.2
08/04/16,63340.0,4.01,4.3,4.3,4.01
11/04/16,94490.0,4.3,4.29,4.3,4.28
12/04/16,4210.0,4.21,4.21,4.21,4.21
13/04/16,55120.0,4.22,4.4,4.4,4.22
14/04/16,52200.0,4.99,4.67,4.99,4.66
15/04/16,32690.0,4.67,4.67,4.67,4.67
18/04/16,33400.0,4.15,4.2,4.2,4.15
19/04/16,29220.0,4.19,4.2,4.2,4.12
20/04/16,66080.0,4.13,4.13,4.13,4.13
22/04/16,361230.0,4.2,5.0,5.2,4.2
25/04/16,43876.0,5.01,4.98,5.01,4.98
26/04/16,54000.0,4.5,4.5,4.5,4.5
27/04/16,58500.0,4.5,4.5,4.5,4.5
28/04/16,9000.0,4.5,4.5,4.5,4.5
29/04/16,81000.0,4.5,4.5,4.5,4.5
02/05/16,27100.0,4.4,4.6,4.6,4.4
03/05/16,26700.0,4.5,4.4,4.5,4.4
04/05/16,4300.0,4.3,4.3,4.3,4.3
06/05/16,59800.0,4.6,4.6,4.6,4.6
06/05/16,59800.0,4.6,4.6,4.6,4.6
10/05/16,12900.0,4.3,4.3,4.3,4.3
11/05/16,25800.0,4.3,4.3,4.3,4.3
12/05/16,77280.0,4.9,5.2,5.2,4.9
13/05/16,110978.0,5.1,4.9,5.1,4.89
17/05/16,20400.0,5.1,5.1,5.1,5.1
18/05/16,46900.0,4.31,4.6,4.95,4.31
19/05/16,46880.0,4.6,4.7,4.79,4.6
20/05/16,9400.0,4.7,4.7,4.7,4.7
27/05/16,13800.0,4.6,4.6,4.6,4.6
01/06/16,4230.0,4.23,4.23,4.23,4.23
02/06/16,25220.0,4.21,4.2,4.21,4.2
03/06/16,4210.0,4.21,4.21,4.21,4.21
21/06/16,4210.0,4.21,4.21,4.21,4.21
23/06/16,385230.0,4.21,5.3,5.7,4.21
24/06/16,356706.0,5.0,4.71,5.3,4.55
27/06/16,284550.0,6.7,5.1,6.7,5.0
28/06/16,18500.0,5.0,5.0,5.0,5.0
29/06/16,2500.0,5.0,5.0,5.0,5.0
30/06/16,2500.0,5.0,5.0,5.0,5.0
07/07/16,189824.0,4.45,5.0,5.01,4.45
11/07/16,19800.0,4.6,5.0,5.0,4.6
12/07/16,2080.0,5.2,5.2,5.2,5.2
13/07/16,40366.0,5.0,5.1,5.16,4.5
