Date,Value,Open,Close,High,Low
15/07/15,40020.0,13.8,13.8,13.8,13.8
16/07/15,33322.0,13.8,13.78,13.8,13.2
20/07/15,45918.0,13.18,13.1,13.18,13.1
21/07/15,183546.0,13.1,13.74,13.76,13.1
22/07/15,9298.0,13.18,13.24,13.74,13.18
23/07/15,1453826.0,13.72,13.9,14.8,13.72
23/07/15,1453826.0,13.72,13.9,14.8,13.72
23/07/15,1453826.0,13.72,13.9,14.8,13.72
24/07/15,1383928.0,14.38,14.56,14.6,13.9
27/07/15,1171782.0,14.58,15.0,15.5,14.58
28/07/15,260998.0,15.1,14.7,15.1,14.0
29/07/15,26394.0,14.5,14.86,14.88,14.5
07/08/15,4812460.0,15.98,12.84,16.98,12.7
10/08/15,963590.0,13.6,13.02,13.6,12.86
11/08/15,736814.0,12.82,13.9,14.5,12.82
12/08/15,1195468.0,14.46,14.8,14.8,13.74
13/08/15,574604.0,14.8,14.58,14.88,14.34
14/08/15,629582.0,14.32,14.1,14.8,14.1
17/08/15,631536.0,14.1,13.74,14.1,13.74
18/08/15,879386.0,13.62,13.2,13.62,13.0
20/08/15,831414.0,12.56,12.98,12.98,12.56
24/08/15,1135944.0,12.48,11.76,12.48,11.76
26/08/15,543056.0,12.0,12.98,13.22,12.0
27/08/15,116224.0,12.1,12.8,12.8,12.1
28/08/15,213406.0,12.8,13.22,13.22,12.8
01/09/15,96070.0,13.2,12.76,13.2,12.76
02/09/15,31962.0,12.74,12.9,12.9,12.68
03/09/15,1812422.0,12.9,13.8,14.0,12.9
04/09/15,502396.0,14.0,14.1,14.9,14.0
07/09/15,520276.0,13.96,13.8,14.74,13.8
08/09/15,274220.0,14.0,13.9,14.4,13.7
09/09/15,696740.0,14.5,13.76,14.5,13.76
10/09/15,46950.0,13.74,14.2,14.2,13.72
11/09/15,110522.0,14.0,13.98,14.0,13.98
14/09/15,177106.0,14.48,14.08,14.48,14.02
15/09/15,2734026.0,14.4,14.0,14.4,13.8
15/09/15,2734026.0,14.4,14.0,14.4,13.8
15/09/15,2734026.0,14.4,14.0,14.4,13.8
16/09/15,43870.0,13.7,14.0,14.0,13.7
17/09/15,83676.0,13.8,14.0,14.2,13.34
18/09/15,90306.0,13.0,14.2,14.2,13.0
21/09/15,15246.0,14.0,14.18,14.2,13.04
22/09/15,359824.0,13.04,13.88,14.2,13.04
23/09/15,96750.0,13.04,13.06,13.88,13.04
24/09/15,59446.0,13.0,13.48,13.48,12.8
28/09/15,364858.0,12.8,12.98,12.98,12.2
29/09/15,136600.0,12.4,12.42,12.42,12.4
30/09/15,1194622.0,12.2,12.0,12.42,12.0
01/10/15,42830.0,11.9,12.0,12.0,11.88
02/10/15,93352.0,11.92,12.5,12.6,11.9
05/10/15,421164.0,12.52,12.02,12.6,12.0
06/10/15,12402704.0,12.02,11.7,14.0,11.7
07/10/15,834942.0,12.8,12.6,12.8,12.3
08/10/15,665736.0,12.5,12.32,12.5,11.78
09/10/15,297770.0,11.8,12.0,12.4,11.78
12/10/15,32988.0,12.0,12.28,12.28,12.0
13/10/15,241108.0,12.0,12.0,12.28,11.9
14/10/15,226760.0,11.9,11.8,12.0,11.8
15/10/15,145140.0,11.8,11.8,11.8,11.8
16/10/15,738980.0,11.76,11.8,11.94,11.7
19/10/15,102030.0,11.8,12.2,12.3,11.8
20/10/15,97220.0,12.0,12.1,12.1,11.76
21/10/15,571164.0,11.7,11.74,11.74,11.7
22/10/15,16750.0,11.98,11.96,11.98,11.96
23/10/15,286548.0,11.96,12.46,12.46,11.96
26/10/15,38372.0,11.8,12.0,12.0,11.8
27/10/15,207370.0,12.4,12.0,12.4,11.8
28/10/15,141622.0,11.8,11.8,11.82,11.8
29/10/15,43640.0,11.8,11.78,11.8,11.78
30/10/15,324678.0,14.5,12.9,14.5,12.5
02/11/15,86136.0,12.5,12.48,12.5,12.4
03/11/15,61308.0,12.48,11.8,12.48,11.8
04/11/15,25756.0,12.0,12.3,12.38,12.0
05/11/15,267318.0,12.3,11.8,12.3,11.74
06/11/15,227782.0,11.76,11.72,11.8,11.72
09/11/15,219200.0,12.0,11.5,12.0,11.5
10/11/15,324062.0,11.96,12.06,12.06,11.96
11/11/15,938620.0,12.2,12.5,12.8,12.0
12/11/15,327500.0,12.5,12.5,12.5,12.5
13/11/15,333052.0,12.5,12.5,12.5,11.74
16/11/15,255974.0,11.76,12.5,12.7,11.76
17/11/15,208950.0,12.0,12.5,12.5,12.0
20/11/15,134562.0,12.5,12.66,12.7,12.14
23/11/15,137720.0,12.5,12.5,12.8,12.5
24/11/15,137672.0,12.02,12.5,12.52,12.02
25/11/15,90000.0,12.5,12.5,12.5,12.5
26/11/15,724902.0,12.5,12.5,12.78,12.22
27/11/15,243642.0,12.2,12.5,12.5,12.2
01/12/15,373236.0,12.5,12.5,12.5,12.2
02/12/15,188750.0,12.5,12.5,12.5,12.5
03/12/15,280784.0,12.2,12.5,12.5,12.2
04/12/15,1710680.0,12.48,12.48,12.5,12.48
07/12/15,537670.0,12.7,12.7,12.7,12.1
08/12/15,292886.0,12.12,12.5,12.88,12.02
09/12/15,616204.0,12.5,12.5,12.5,12.04
10/12/15,964586.0,12.48,12.46,12.5,12.46
11/12/15,95982.0,12.48,12.46,12.48,12.46
16/12/15,1354804.0,12.38,12.3,12.42,12.3
17/12/15,1171360.0,12.28,12.2,12.3,12.04
18/12/15,1263128.0,12.2,12.1,12.2,12.1
21/12/15,374700.0,12.1,12.1,12.1,12.06
22/12/15,875760.0,12.08,12.1,12.1,12.02
23/12/15,961090.0,12.1,12.0,12.1,12.0
