Date,Value,Open,Close,High,Low
16/07/15,2160.0,2.16,2.16,2.16,2.16
21/07/15,14500.0,2.1,2.06,2.1,2.06
23/07/15,10300.0,2.06,2.06,2.06,2.06
23/07/15,10300.0,2.06,2.06,2.06,2.06
23/07/15,10300.0,2.06,2.06,2.06,2.06
28/07/15,4140.0,2.07,2.07,2.07,2.07
31/07/15,300990.0,2.06,2.0,2.06,2.0
03/08/15,114000.0,2.0,2.0,2.0,2.0
04/08/15,2160.0,2.16,2.16,2.16,2.16
06/08/15,34020.0,2.02,2.0,2.02,2.0
07/08/15,4000.0,2.0,2.0,2.0,2.0
10/08/15,60000.0,2.0,2.0,2.0,2.0
11/08/15,10000.0,2.0,2.0,2.0,2.0
12/08/15,12000.0,2.0,2.0,2.0,2.0
14/08/15,40350.0,2.02,2.02,2.02,2.01
17/08/15,28220.0,2.02,2.02,2.02,2.0
18/08/15,217430.0,2.03,1.92,2.04,1.92
19/08/15,6000.0,2.0,2.0,2.0,2.0
01/09/15,10000.0,2.0,2.0,2.0,2.0
04/09/15,119880.0,1.92,1.98,1.98,1.9
09/09/15,41580.0,1.98,1.98,1.98,1.98
10/09/15,26900.0,1.92,1.92,1.93,1.92
14/09/15,47100.0,1.91,1.86,1.91,1.86
15/09/15,9300.0,1.86,1.86,1.86,1.86
15/09/15,9300.0,1.86,1.86,1.86,1.86
15/09/15,9300.0,1.86,1.86,1.86,1.86
16/09/15,22020.0,1.85,1.83,1.85,1.83
17/09/15,1950.0,1.95,1.95,1.95,1.95
18/09/15,9300.0,1.86,1.86,1.86,1.86
23/09/15,1211540.0,1.95,2.28,2.6,1.95
24/09/15,343360.0,2.28,2.2,2.55,2.2
28/09/15,125660.0,2.2,2.1,2.3,2.08
30/09/15,123200.0,2.05,2.05,2.06,2.05
01/10/15,18580.0,2.05,2.07,2.07,2.05
05/10/15,11000.0,2.2,2.2,2.2,2.2
06/10/15,32060.0,2.2,2.11,2.2,2.1
07/10/15,10500.0,2.1,2.1,2.1,2.1
08/10/15,21000.0,2.1,2.1,2.1,2.1
09/10/15,178400.0,2.1,2.1,2.1,2.09
12/10/15,42900.0,2.25,2.0,2.25,2.0
13/10/15,82100.0,2.01,2.0,2.01,2.0
14/10/15,64560.0,1.96,1.95,1.97,1.95
16/10/15,11950.0,1.95,2.0,2.0,1.95
19/10/15,138840.0,2.0,2.4,2.4,2.0
20/10/15,98500.0,2.38,2.14,2.38,2.14
21/10/15,47100.0,2.3,2.15,2.35,2.15
22/10/15,36050.0,2.13,2.13,2.13,2.1
26/10/15,72480.0,2.1,2.0,2.1,2.0
27/10/15,164160.0,2.0,1.98,2.02,1.98
05/11/15,10750.0,2.15,2.15,2.15,2.15
06/11/15,10049.999999999998,2.01,2.01,2.01,2.01
09/11/15,40080.0,2.02,2.0,2.02,2.0
10/11/15,49890.0,2.0,1.99,2.0,1.99
13/11/15,31200.0,1.95,1.95,1.95,1.95
16/11/15,9750.0,1.95,1.95,1.95,1.95
20/11/15,81199.99999999999,2.03,2.03,2.03,2.03
23/11/15,40000.0,2.0,2.0,2.0,2.0
26/11/15,5970.0,1.99,1.99,1.99,1.99
27/11/15,93530.0,1.96,1.9,1.96,1.9
01/12/15,220770.0,1.88,1.87,1.88,1.87
03/12/15,41240.0,1.88,1.87,1.88,1.87
07/12/15,61460.0,1.87,1.86,1.87,1.86
08/12/15,18500.0,1.85,1.85,1.85,1.85
09/12/15,55120.0,1.85,1.83,1.85,1.83
16/12/15,21640.0,1.81,1.8,1.81,1.8
17/12/15,1800.0,1.8,1.8,1.8,1.8
18/12/15,27000.0,1.8,1.8,1.8,1.8
29/12/15,272310.0,1.77,1.77,1.8,1.77
04/01/16,353640.0,1.76,1.76,1.8,1.75
06/01/16,19470.0,1.77,1.77,1.77,1.77
07/01/16,38580.0,1.77,1.75,1.77,1.74
08/01/16,154000.0,1.75,1.75,1.75,1.75
11/01/16,26250.0,1.75,1.75,1.75,1.75
14/01/16,13920.0,1.74,1.74,1.74,1.74
15/01/16,3460.0,1.73,1.73,1.73,1.73
18/01/16,27200.0,1.7,1.7,1.7,1.7
19/01/16,39100.0,1.7,1.7,1.7,1.7
20/01/16,34100.0,1.7,1.71,1.71,1.7
21/01/16,51100.0,1.7,1.7,1.71,1.7
22/01/16,183320.0,1.69,1.86,1.86,1.69
25/01/16,12040.0,1.72,1.72,1.72,1.72
28/01/16,39960.0,1.74,1.73,1.74,1.73
29/01/16,42950.0,1.74,1.7,1.74,1.7
01/02/16,36000.0,1.8,1.8,1.8,1.8
04/02/16,288900.0,1.8,1.81,1.81,1.8
05/02/16,318360.0,1.8,1.81,1.81,1.8
10/02/16,9250.0,1.85,1.85,1.85,1.85
11/02/16,53650.0,1.85,1.85,1.85,1.85
12/02/16,36800.0,1.81,1.85,1.85,1.81
15/02/16,77370.0,1.84,1.81,1.85,1.81
16/02/16,16600.0,1.84,1.85,1.85,1.84
17/02/16,1850.0,1.85,1.85,1.85,1.85
18/02/16,36000.0,1.8,1.8,1.8,1.8
19/02/16,22550.0,1.85,1.9,1.9,1.85
23/02/16,84750.0,1.85,1.95,1.95,1.85
02/03/16,11700.0,1.95,1.95,1.95,1.95
07/03/16,15880.0,1.95,1.99,1.99,1.95
08/03/16,9750.0,1.95,1.95,1.95,1.95
09/03/16,9550.0,1.91,1.91,1.91,1.91
16/03/16,34820.0,1.8,1.89,1.89,1.8
17/03/16,53810.0,1.89,1.85,1.89,1.85
21/03/16,33300.0,1.85,1.85,1.85,1.85
28/03/16,63700.0,1.85,1.9,1.9,1.85
29/03/16,656410.0,1.92,2.2,2.5,1.92
