Date,Value,Open,Close,High,Low
15/07/15,46118034.0,12.74,12.8,12.8,12.7
16/07/15,23279910.0,12.82,13.34,13.38,12.8
20/07/15,44653946.0,13.4,13.28,13.4,13.1
21/07/15,122558284.0,13.38,14.26,14.46,13.2
22/07/15,183746906.0,14.0,14.68,14.92,14.0
23/07/15,50147564.0,14.6,14.98,15.1,14.6
23/07/15,50147564.0,14.6,14.98,15.1,14.6
23/07/15,50147564.0,14.6,14.98,15.1,14.6
24/07/15,64241778.0,15.0,14.98,15.0,14.64
27/07/15,58521492.0,14.98,15.26,15.5,14.7
28/07/15,44448254.0,15.02,15.0,15.04,14.76
29/07/15,38000364.0,14.92,14.8,15.02,14.7
30/07/15,21035264.0,14.8,14.82,15.0,14.8
31/07/15,98692558.0,14.82,14.86,15.22,14.82
03/08/15,63749150.0,14.82,15.0,15.1,14.78
04/08/15,130004690.0,15.08,15.14,15.2,15.04
05/08/15,180104268.0,15.18,15.6,15.9,15.18
06/08/15,55985034.0,15.6,15.48,15.96,15.4
07/08/15,75117180.0,15.54,15.16,15.54,14.96
10/08/15,46600396.0,15.0,14.88,15.1,14.76
11/08/15,57973468.0,14.8,15.0,15.2,14.76
12/08/15,43594648.0,15.08,15.0,15.08,14.74
13/08/15,5029194.0,14.8,15.12,15.12,14.78
14/08/15,59390536.0,15.1,15.0,15.1,14.8
17/08/15,16174334.0,15.0,14.6,15.04,14.5
18/08/15,17114954.0,14.58,14.44,14.58,14.32
19/08/15,33160522.0,14.42,14.16,14.42,14.08
20/08/15,54305676.0,14.04,13.72,14.04,13.52
24/08/15,98607606.0,13.2,12.7,13.2,12.54
25/08/15,32123544.0,12.6,12.4,12.68,12.0
26/08/15,902894190.0,12.7,12.66,13.04,12.4
27/08/15,162634192.0,12.74,13.0,13.3,12.7
28/08/15,63673354.0,13.2,13.0,13.2,13.0
01/09/15,67347706.0,12.98,12.66,13.2,12.62
02/09/15,28269138.0,12.6,12.8,12.96,12.4
03/09/15,47202766.0,12.94,12.96,13.18,12.8
04/09/15,51476046.0,12.84,12.72,12.9,12.64
07/09/15,162422726.0,12.78,12.68,12.78,12.6
08/09/15,184608346.0,12.68,12.28,12.68,12.26
09/09/15,279126640.0,12.32,12.5,12.78,12.32
10/09/15,24840624.0,12.5,12.5,12.56,12.46
11/09/15,31076590.0,12.42,12.5,12.56,12.4
14/09/15,25294310.0,12.5,12.46,12.52,12.42
15/09/15,81348870.0,12.42,12.5,12.7,12.42
15/09/15,81348870.0,12.42,12.5,12.7,12.42
15/09/15,81348870.0,12.42,12.5,12.7,12.42
16/09/15,18636538.0,12.6,12.62,12.84,12.58
17/09/15,28672622.0,12.56,12.38,12.62,12.32
18/09/15,30665648.0,12.5,12.36,12.6,12.36
21/09/15,24769366.0,12.36,12.28,12.36,12.22
22/09/15,130978294.0,12.28,11.86,12.36,11.84
23/09/15,69638224.0,11.86,11.7,12.04,11.58
24/09/15,22728578.0,11.74,11.6,11.74,11.5
28/09/15,60534822.0,11.6,10.86,11.6,10.78
29/09/15,65977406.0,10.9,10.42,11.0,10.4
30/09/15,34885336.0,10.44,10.08,10.46,10.0
01/10/15,86354882.0,10.5,10.16,10.5,10.12
02/10/15,121337906.0,10.16,9.89,10.16,9.79
05/10/15,273419367.0,9.89,10.28,10.48,9.89
06/10/15,88309730.0,10.44,11.0,11.12,10.44
07/10/15,130108888.0,11.1,11.5,11.7,11.1
08/10/15,165205964.0,11.5,11.78,11.9,11.22
09/10/15,37848012.0,11.94,11.58,11.98,11.52
12/10/15,52480004.0,11.6,11.46,11.6,11.32
13/10/15,12601118.0,11.46,11.3,11.46,11.24
14/10/15,10798506.0,11.24,11.14,11.52,11.1
15/10/15,47198688.0,11.14,11.14,11.54,11.1
16/10/15,39275952.0,11.14,11.32,11.4,11.14
19/10/15,479949958.0,11.32,11.6,11.7,11.32
20/10/15,195788110.0,11.62,11.98,12.1,11.62
21/10/15,29885624.0,11.98,12.18,12.36,11.78
