Date,Value,Open,Close,High,Low
15/07/15,7378572.0,9.4,9.6,9.62,9.31
16/07/15,3654298.0,9.61,9.6,9.65,9.6
20/07/15,1151938.0,9.65,9.6,9.66,9.6
21/07/15,1556672.0,9.6,9.65,9.66,9.56
22/07/15,30303843.0,9.67,9.82,9.94,9.67
23/07/15,20651490.0,9.8,9.91,9.91,9.8
23/07/15,20651490.0,9.8,9.91,9.91,9.8
23/07/15,20651490.0,9.8,9.91,9.91,9.8
24/07/15,37788424.0,9.95,10.38,10.44,9.95
27/07/15,52125462.0,10.44,10.32,10.82,10.3
28/07/15,6064752.0,10.32,10.48,10.58,10.14
29/07/15,25343938.0,10.52,10.22,10.6,10.22
30/07/15,9517288.0,10.26,10.46,10.5,10.22
31/07/15,14239756.0,10.4,10.38,10.42,10.3
03/08/15,33703042.0,10.38,10.38,10.6,10.36
04/08/15,31566761.0,10.38,9.99,10.38,9.98
05/08/15,10331920.0,9.99,9.95,10.2,9.92
06/08/15,4027904.0,9.95,9.8,10.0,9.78
07/08/15,11935047.0,9.8,9.64,9.9,9.5
10/08/15,3190055.0,9.96,9.59,9.96,9.59
11/08/15,5052464.0,9.41,9.4,9.59,9.4
12/08/15,3041718.0,9.4,9.4,9.43,9.35
13/08/15,1970709.0,9.42,9.34,9.42,9.31
14/08/15,8785986.0,9.3,9.2,9.38,9.2
17/08/15,13526050.0,9.06,8.2,9.2,8.2
18/08/15,19052602.0,8.2,8.28,8.29,7.79
19/08/15,7792559.0,8.78,8.46,8.78,8.13
20/08/15,1455108.0,8.46,8.3,8.6,8.3
24/08/15,46646462.0,8.1,7.1,8.1,7.1
25/08/15,5697889.0,7.1,7.15,7.9,7.1
26/08/15,2128956.0,7.15,7.35,7.7,7.15
27/08/15,5394721.0,7.64,7.45,7.65,7.2
28/08/15,2046707.0,7.69,7.69,7.69,7.45
01/09/15,3134898.0,7.69,7.7,7.76,7.67
02/09/15,2651292.0,7.6,7.77,7.79,7.38
03/09/15,4594798.0,7.75,8.0,8.38,7.75
04/09/15,1165400.0,8.18,8.01,8.2,8.01
07/09/15,1353659.0,8.0,8.0,8.15,7.9
08/09/15,1302979.0,8.01,8.12,8.15,7.9
09/09/15,1262995.0,8.13,8.22,8.22,8.13
10/09/15,7537962.0,8.2,8.2,8.22,8.19
11/09/15,4199983.0,8.2,8.23,8.27,8.2
14/09/15,3249459.0,8.2,8.26,8.28,8.19
15/09/15,10952440.0,8.1,8.5,8.5,8.1
15/09/15,10952440.0,8.1,8.5,8.5,8.1
15/09/15,10952440.0,8.1,8.5,8.5,8.1
16/09/15,6755281.0,8.5,8.69,8.69,8.5
17/09/15,3211241.0,8.69,8.75,8.81,8.5
18/09/15,4839279.0,8.8,8.8,8.9,8.5
21/09/15,3945510.0,8.8,8.81,8.82,8.8
22/09/15,1697938.0,8.8,8.65,8.82,8.65
23/09/15,1334600.0,8.64,8.6,8.64,8.48
24/09/15,2487980.0,8.6,8.6,8.6,8.6
28/09/15,1721622.0,8.6,8.35,8.6,8.3
29/09/15,1458408.0,8.3,8.2,8.3,8.15
30/09/15,5789939.0,8.59,8.1,8.59,8.0
01/10/15,2651400.0,8.2,8.0,8.45,8.0
