Date,Value,Open,Close,High,Low
15/07/15,653860.0,0.217,0.216,0.219,0.216
16/07/15,172060.0,0.216,0.218,0.219,0.216
20/07/15,442630.0,0.216,0.217,0.217,0.216
21/07/15,306050.0,0.217,0.217,0.218,0.216
22/07/15,597370.0,0.217,0.218,0.218,0.216
23/07/15,2091290.0,0.217,0.215,0.217,0.215
23/07/15,2091290.0,0.217,0.215,0.217,0.215
23/07/15,2091290.0,0.217,0.215,0.217,0.215
24/07/15,1809500.0,0.215,0.212,0.215,0.211
27/07/15,236670.0,0.212,0.214,0.214,0.211
28/07/15,2460930.0,0.213,0.212,0.213,0.21
29/07/15,1826810.0,0.212,0.202,0.212,0.2
30/07/15,2070040.0,0.202,0.2,0.209,0.2
31/07/15,71360.0,0.208,0.202,0.208,0.201
03/08/15,2023030.0,0.201,0.2,0.206,0.2
04/08/15,831580.0,0.2,0.202,0.204,0.199
05/08/15,1055610.0,0.202,0.201,0.203,0.201
06/08/15,78730.0,0.201,0.202,0.202,0.201
07/08/15,1315810.0,0.202,0.205,0.208,0.202
10/08/15,1493100.0,0.208,0.205,0.209,0.204
11/08/15,662290.0,0.208,0.206,0.208,0.204
12/08/15,619480.0,0.203,0.202,0.206,0.202
13/08/15,910380.0,0.203,0.205,0.207,0.203
14/08/15,123290.0,0.203,0.204,0.204,0.202
17/08/15,1250770.0,0.202,0.198,0.204,0.193
18/08/15,973450.0,0.199,0.189,0.199,0.183
19/08/15,1215930.0,0.19,0.185,0.192,0.185
20/08/15,372350.0,0.185,0.192,0.198,0.185
24/08/15,4303580.0,0.189,0.187,0.2,0.182
25/08/15,945970.0,0.181,0.181,0.182,0.18
26/08/15,3698630.0,0.183,0.18,0.184,0.177
27/08/15,370920.0,0.183,0.182,0.184,0.18
28/08/15,662260.0,0.184,0.182,0.187,0.182
01/09/15,1116850.0,0.186,0.185,0.187,0.182
02/09/15,771550.0,0.185,0.185,0.185,0.182
03/09/15,7104490.0,0.186,0.184,0.189,0.184
04/09/15,599830.0,0.185,0.187,0.187,0.185
07/09/15,1592850.0,0.189,0.18,0.189,0.18
08/09/15,1042650.0,0.18,0.183,0.184,0.178
09/09/15,848060.0,0.183,0.182,0.183,0.18
10/09/15,1072320.0,0.183,0.183,0.183,0.18
11/09/15,715380.0,0.183,0.184,0.184,0.183
14/09/15,613050.0,0.184,0.184,0.184,0.181
15/09/15,607990.0,0.184,0.184,0.184,0.181
15/09/15,607990.0,0.184,0.184,0.184,0.181
15/09/15,607990.0,0.184,0.184,0.184,0.181
16/09/15,497890.0,0.185,0.183,0.185,0.182
17/09/15,730250.0,0.184,0.183,0.184,0.181
18/09/15,449740.0,0.183,0.181,0.183,0.181
21/09/15,621450.0,0.184,0.183,0.184,0.18
22/09/15,1895780.0,0.183,0.18,0.183,0.179
23/09/15,1841360.0,0.179,0.18,0.181,0.179
24/09/15,1452630.0,0.181,0.181,0.182,0.18
28/09/15,1196080.0,0.182,0.18,0.182,0.18
29/09/15,831810.0,0.18,0.181,0.181,0.18
30/09/15,657210.0,0.18,0.179,0.18,0.179
01/10/15,144620.0,0.179,0.178,0.18,0.178
02/10/15,633780.0,0.18,0.181,0.181,0.177
05/10/15,124720.0,0.178,0.178,0.18,0.178
06/10/15,321510.0,0.177,0.18,0.181,0.177
07/10/15,1403650.0,0.18,0.179,0.18,0.178
08/10/15,1065570.0,0.18,0.181,0.181,0.18
09/10/15,2305050.0,0.18,0.183,0.187,0.18
12/10/15,3258820.0,0.186,0.194,0.195,0.185
13/10/15,1839900.0,0.196,0.187,0.196,0.183
14/10/15,1997340.0,0.188,0.189,0.191,0.183
15/10/15,4672290.0,0.192,0.198,0.2,0.192
