Date,Value,Open,Close,High,Low
20/07/15,9000.0,30.0,30.0,30.0,30.0
23/07/15,9000.0,30.0,30.0,30.0,30.0
23/07/15,9000.0,30.0,30.0,30.0,30.0
23/07/15,9000.0,30.0,30.0,30.0,30.0
30/07/15,180000.0,30.0,30.0,30.0,30.0
31/07/15,51000.0,30.0,30.0,30.0,30.0
04/08/15,8415.0,28.05,28.05,28.05,28.05
06/08/15,5610.0,28.05,28.05,28.05,28.05
07/08/15,9000.0,30.0,30.0,30.0,30.0
19/08/15,12000.0,30.0,30.0,30.0,30.0
20/08/15,15000.0,30.0,30.0,30.0,30.0
24/08/15,336000.0,28.0,28.0,28.0,28.0
26/08/15,19600.0,28.0,28.0,28.0,28.0
27/08/15,36400.0,28.0,28.0,28.0,28.0
01/09/15,5600.0,28.0,28.0,28.0,28.0
03/09/15,1170400.0,28.0,28.0,28.0,28.0
14/09/15,535500.0,30.0,31.0,31.0,30.0
15/09/15,3100.0,31.0,31.0,31.0,31.0
15/09/15,3100.0,31.0,31.0,31.0,31.0
15/09/15,3100.0,31.0,31.0,31.0,31.0
29/09/15,16830.0,28.05,28.05,28.05,28.05
30/09/15,240600.0,30.0,31.1,31.1,30.0
01/10/15,198700.0,31.0,31.1,31.1,31.0
02/10/15,561310.0,31.1,31.25,31.25,31.1
07/10/15,3125.0,31.25,31.25,31.25,31.25
12/10/15,9600.0,32.0,32.0,32.0,32.0
13/10/15,42385.0,32.0,33.0,33.0,32.0
14/10/15,9885.0,32.95,32.95,32.95,32.95
15/10/15,13690.0,32.95,34.65,34.65,32.95
16/10/15,6930.0,34.65,34.65,34.65,34.65
19/10/15,6800.0,34.0,34.0,34.0,34.0
26/10/15,20520.0,49.35,35.5,49.35,35.5
27/10/15,3550.0,35.5,35.5,35.5,35.5
28/10/15,73160.0,40.0,35.1,41.0,35.1
30/10/15,75485.0,39.35,35.55,39.35,35.55
02/11/15,35500.0,35.5,35.5,35.5,35.5
03/11/15,93940.0,35.5,39.0,39.0,35.5
04/11/15,138540.0,38.0,37.9,39.0,37.9
09/11/15,232200.0,43.0,43.0,43.0,43.0
10/11/15,4200.0,42.0,42.0,42.0,42.0
11/11/15,4200.0,42.0,42.0,42.0,42.0
13/11/15,4200.0,42.0,42.0,42.0,42.0
16/11/15,13600.0,34.0,34.0,34.0,34.0
20/11/15,63000.0,42.0,42.0,42.0,42.0
24/11/15,25200.0,42.0,42.0,42.0,42.0
25/11/15,8400.0,42.0,42.0,42.0,42.0
26/11/15,12600.0,42.0,42.0,42.0,42.0
27/11/15,160500.0,42.0,42.0,45.0,42.0
01/12/15,29500.0,43.0,42.0,43.0,42.0
02/12/15,204685.0,43.0,46.0,48.0,43.0
03/12/15,132400.0,28.0,34.0,35.0,28.0
04/12/15,36500.0,31.0,31.0,31.0,30.0
07/12/15,65090.0,28.3,28.3,28.3,28.3
09/12/15,36710.0,28.3,28.1,28.3,28.1
10/12/15,69545.0,30.5,30.0,30.5,29.95
11/12/15,27825.0,28.05,27.0,28.05,27.0
17/12/15,149990.0,30.0,30.0,30.0,29.9
18/12/15,29040.0,31.0,26.35,31.0,26.35
21/12/15,128020.0,26.35,27.0,27.0,26.35
22/12/15,46995.0,26.5,26.05,26.5,26.0
23/12/15,80060.0,27.9,26.0,27.9,26.0
29/12/15,76650.0,26.0,26.0,26.5,26.0
04/01/16,60825.0,26.5,25.75,26.55,25.75
05/01/16,2580.0,25.8,25.8,25.8,25.8
11/01/16,10760.0,26.9,26.9,26.9,26.9
12/01/16,5380.0,26.9,26.9,26.9,26.9
14/01/16,57525.0,27.2,27.45,27.5,27.2
20/01/16,5525.0,27.8,27.45,27.8,27.45
21/01/16,5480.0,27.4,27.4,27.4,27.4
22/01/16,27185.0,27.25,27.2,27.25,27.05
25/01/16,29700.0,27.0,27.0,27.0,27.0
26/01/16,226690.0,26.9,23.6,26.9,23.6
27/01/16,5000.0,25.0,25.0,25.0,25.0
28/01/16,5000.0,25.0,25.0,25.0,25.0
01/02/16,12500.0,25.0,25.0,25.0,25.0
03/02/16,17500.0,25.0,25.0,25.0,25.0
05/02/16,17500.0,25.0,25.0,25.0,25.0
09/02/16,12500.0,25.0,25.0,25.0,25.0
10/02/16,5000.0,25.0,25.0,25.0,25.0
17/02/16,5430.0,27.15,27.15,27.15,27.15
18/02/16,8145.0,27.15,27.15,27.15,27.15
19/02/16,35295.0,27.15,27.15,27.15,27.15
22/02/16,53395.0,27.8,25.15,27.8,24.55
23/02/16,35060.0,27.0,27.0,27.0,26.95
26/02/16,272640.0,27.45,29.5,29.5,27.0
29/02/16,143560.0,29.5,29.5,29.5,28.8
01/03/16,43370.0,31.0,31.0,31.0,30.9
02/03/16,317700.0,30.0,32.5,32.5,30.0
03/03/16,10400.0,26.0,26.0,26.0,26.0
04/03/16,264450.0,29.0,32.5,32.5,29.0
07/03/16,592480.0,33.5,34.2,34.2,32.5
08/03/16,3400.0,34.0,34.0,34.0,34.0
11/03/16,34300.0,27.5,32.0,33.0,27.5
14/03/16,6290.0,32.0,30.9,32.0,30.9
15/03/16,18200.0,34.0,29.5,34.0,29.5
16/03/16,14750.0,29.5,29.5,29.5,29.5
21/03/16,23220.0,29.05,29.0,29.05,29.0
22/03/16,98100.0,29.0,31.9,32.0,29.0
23/03/16,78630.0,31.9,33.0,35.0,31.9
28/03/16,183475.0,34.0,35.0,35.0,34.0
29/03/16,84090.0,34.9,35.5,35.5,34.9
30/03/16,3560.0,35.6,35.6,35.6,35.6
31/03/16,24280.0,30.8,34.0,36.0,30.8
01/04/16,87500.0,35.0,35.0,35.0,35.0
05/04/16,10480.0,34.9,35.0,35.0,34.9
06/04/16,6980.0,34.9,34.9,34.9,34.9
07/04/16,27920.0,34.9,34.9,34.9,34.9
12/04/16,17450.0,34.9,34.9,34.9,34.9
13/04/16,31410.0,34.9,34.9,34.9,34.9
15/04/16,101310.0,34.9,35.0,35.0,34.9
21/04/16,20000.0,33.0,35.0,35.0,33.0
03/05/16,410280.0,33.0,31.8,33.0,28.55
04/05/16,342325.0,32.95,34.5,35.0,32.9
05/05/16,6900.0,34.5,34.5,34.5,34.5
06/05/16,31380.0,34.8,35.0,35.0,34.8
06/05/16,31380.0,34.8,35.0,35.0,34.8
10/05/16,3500.0,35.0,35.0,35.0,35.0
12/05/16,7000.0,35.0,35.0,35.0,35.0
17/05/16,193095.0,36.0,40.95,40.95,36.0
19/05/16,84305.0,43.9,39.95,43.9,35.0
25/05/16,89985.0,40.95,44.0,45.0,40.95
26/05/16,4300.0,43.0,43.0,43.0,43.0
30/05/16,4390.0,43.9,43.9,43.9,43.9
31/05/16,8600.0,43.0,43.0,43.0,43.0
02/06/16,8000.0,40.0,40.0,40.0,40.0
06/06/16,304100.0,36.0,34.95,36.0,34.0
07/06/16,464435.0,34.95,34.9,34.95,34.9
09/06/16,31000.0,34.8,34.0,34.8,34.0
10/06/16,54420.0,34.0,34.0,34.05,34.0
14/06/16,174900.0,33.0,33.0,33.0,33.0
20/06/16,1656600.0,33.0,33.0,33.0,33.0
21/06/16,1627500.0,32.55,32.55,32.55,32.55
22/06/16,1630800.0,32.55,33.0,33.0,32.55
23/06/16,1650000.0,33.0,33.0,33.0,33.0
24/06/16,178770.0,32.55,32.5,32.55,32.5
27/06/16,1675035.0,32.15,32.1,32.25,32.1
28/06/16,1633890.0,32.1,32.1,32.1,32.1
29/06/16,19320.0,32.2,32.2,32.2,32.2
30/06/16,6440.0,32.2,32.2,32.2,32.2
05/07/16,275570.0,32.3,36.0,38.45,32.3
07/07/16,36760.0,35.95,38.0,38.0,35.95
08/07/16,38000.0,38.0,38.0,38.0,38.0
11/07/16,73445.0,38.45,42.0,42.0,38.45
12/07/16,27090.0,37.4,41.95,41.95,37.4
14/07/16,16400.0,41.0,41.0,41.0,41.0
