Date,Value,Open,Close,High,Low
15/07/15,20186620.0,2.7,2.9,3.27,2.7
16/07/15,2899180.0,2.99,2.88,3.08,2.85
20/07/15,1388010.0,2.88,2.8,2.88,2.71
21/07/15,1056870.0,2.8,2.7,2.8,2.64
22/07/15,3921940.0,2.7,2.65,2.7,2.5
23/07/15,4368540.0,2.65,2.48,2.65,2.48
23/07/15,4368540.0,2.65,2.48,2.65,2.48
23/07/15,4368540.0,2.65,2.48,2.65,2.48
24/07/15,7998640.0,2.44,2.33,2.44,2.25
27/07/15,9006740.0,2.32,2.22,2.32,2.15
28/07/15,4706800.0,2.25,2.2,2.35,2.2
29/07/15,2622440.0,2.21,2.2,2.21,2.17
30/07/15,3684760.0,2.19,2.15,2.19,2.15
31/07/15,1803900.0,2.16,2.17,2.19,2.15
03/08/15,1158470.0,2.17,2.16,2.18,2.15
04/08/15,1541260.0,2.16,2.15,2.17,2.14
05/08/15,1060070.0,2.15,2.15,2.16,2.15
06/08/15,681070.0,2.15,2.16,2.17,2.15
07/08/15,1785970.0,2.16,2.16,2.17,2.15
10/08/15,1224790.0,2.16,2.18,2.19,2.16
11/08/15,1339750.0,2.18,2.16,2.18,2.16
12/08/15,1805160.0,2.17,2.17,2.17,2.16
13/08/15,763550.0,2.16,2.17,2.18,2.16
14/08/15,818520.0,2.17,2.17,2.18,2.16
17/08/15,532390.0,2.17,2.1,2.17,2.1
18/08/15,181050.0,2.15,2.1,2.15,2.1
19/08/15,755260.0,2.15,2.17,2.2,2.15
20/08/15,6547930.0,2.15,2.18,2.64,2.15
24/08/15,988570.0,2.18,2.07,2.18,2.03
25/08/15,337390.0,2.05,2.03,2.05,2.01
26/08/15,180720.0,2.05,2.08,2.15,2.03
27/08/15,106230.0,2.08,2.2,2.2,2.08
28/08/15,5219320.0,2.18,2.5,2.62,2.16
01/09/15,3546520.0,2.56,2.61,2.72,2.55
02/09/15,2251490.0,2.56,2.65,2.71,2.41
03/09/15,1765910.0,2.66,2.74,2.84,2.66
04/09/15,1289040.0,2.76,2.65,2.79,2.6
07/09/15,704620.0,2.64,2.49,2.64,2.49
08/09/15,539440.0,2.49,2.52,2.55,2.44
09/09/15,429710.0,2.53,2.55,2.63,2.47
10/09/15,326050.0,2.54,2.56,2.62,2.42
11/09/15,359830.0,2.56,2.56,2.56,2.47
14/09/15,592540.0,2.49,2.68,2.68,2.48
15/09/15,1101950.0,2.69,2.6,2.8,2.6
15/09/15,1101950.0,2.69,2.6,2.8,2.6
15/09/15,1101950.0,2.69,2.6,2.8,2.6
16/09/15,230720.0,2.68,2.6,2.7,2.58
17/09/15,1721250.0,2.6,2.56,2.6,2.45
18/09/15,2037100.0,2.56,2.62,2.67,2.45
21/09/15,1009330.0,2.62,2.62,2.63,2.47
22/09/15,2393930.0,2.53,2.8,2.93,2.53
23/09/15,8000130.0,2.8,2.87,3.04,2.71
24/09/15,1766180.0,2.87,2.87,2.97,2.78
28/09/15,1559640.0,2.81,2.82,2.96,2.8
29/09/15,4101150.0,2.93,3.0,3.0,2.81
30/09/15,111437210.0,3.28,4.2,4.5,3.28
01/10/15,90449530.0,4.5,4.2,5.0,4.19
02/10/15,17599240.0,4.2,3.89,4.29,3.86
05/10/15,19837020.0,3.85,3.96,4.4,3.6
06/10/15,12257210.0,4.0,3.85,4.01,3.81
07/10/15,9159960.0,3.88,3.85,4.15,3.85
