Date,Value,Open,Close,High,Low
15/07/15,23910.0,0.65,0.68,0.69,0.65
16/07/15,3330.0,0.66,0.68,0.68,0.65
20/07/15,2000.0,0.66,0.68,0.68,0.66
21/07/15,1340.0,0.66,0.68,0.68,0.66
22/07/15,2010.0,0.66,0.67,0.68,0.66
23/07/15,7270.0,0.65,0.67,0.67,0.65
23/07/15,7270.0,0.65,0.67,0.67,0.65
23/07/15,7270.0,0.65,0.67,0.67,0.65
24/07/15,62580.0,0.65,0.67,0.67,0.65
27/07/15,71480.0,0.65,0.67,0.68,0.65
28/07/15,1330.0,0.66,0.67,0.67,0.66
29/07/15,51800.0,0.65,0.66,0.67,0.65
30/07/15,571280.0,0.66,0.66,0.68,0.66
31/07/15,106150.0,0.65,0.65,0.66,0.65
03/08/15,92440.0,0.65,0.66,0.66,0.64
04/08/15,271900.0,0.64,0.65,0.66,0.64
05/08/15,15590.0,0.64,0.65,0.65,0.64
06/08/15,1290.0,0.64,0.65,0.65,0.64
07/08/15,511190.0,0.64,0.63,0.66,0.63
10/08/15,366280.0,0.68,0.64,0.7,0.64
11/08/15,259000.0,0.63,0.63,0.66,0.63
12/08/15,12780.0,0.64,0.63,0.64,0.63
13/08/15,452900.0,0.64,0.62,0.69,0.62
14/08/15,32120.0,0.63,0.63,0.63,0.62
17/08/15,1250.0,0.62,0.63,0.63,0.62
18/08/15,148560.0,0.63,0.62,0.67,0.6
19/08/15,67840.0,0.6,0.61,0.64,0.6
20/08/15,1820.0,0.61,0.61,0.61,0.6
24/08/15,123200.0,0.59,0.61,0.61,0.59
25/08/15,1190.0,0.58,0.61,0.61,0.58
26/08/15,816140.0,0.58,0.59,0.61,0.55
27/08/15,271000.0,0.55,0.57,0.61,0.55
28/08/15,15740.0,0.56,0.57,0.59,0.56
01/09/15,1690.0,0.56,0.57,0.57,0.56
02/09/15,28790.0,0.55,0.57,0.59,0.55
03/09/15,33560.0,0.56,0.57,0.59,0.56
04/09/15,1120.0,0.55,0.57,0.57,0.55
07/09/15,2210.0,0.56,0.55,0.57,0.53
08/09/15,108820.0,0.53,0.54,0.56,0.53
09/09/15,36610.0,0.54,0.54,0.57,0.53
10/09/15,62610.0,0.54,0.55,0.58,0.54
11/09/15,57200.0,0.55,0.55,0.56,0.54
14/09/15,14250.0,0.55,0.56,0.59,0.55
15/09/15,4940.0,0.55,0.55,0.56,0.54
15/09/15,4940.0,0.55,0.55,0.56,0.54
15/09/15,4940.0,0.55,0.55,0.56,0.54
