Date,Value,Open,Close,High,Low
15/07/15,5429884.0,7.15,7.2,7.2,7.0
16/07/15,8641428.0,7.2,7.3,7.3,7.0
20/07/15,1492245.0,7.29,7.3,7.3,7.23
21/07/15,22011852.0,7.28,7.44,7.58,7.28
22/07/15,48271510.0,7.44,7.07,7.5,7.06
23/07/15,10948680.0,7.15,7.3,7.3,7.1
23/07/15,10948680.0,7.15,7.3,7.3,7.1
23/07/15,10948680.0,7.15,7.3,7.3,7.1
24/07/15,7920568.0,7.3,7.23,7.3,7.15
27/07/15,4249022.0,7.16,7.15,7.3,7.1
28/07/15,45616511.0,7.15,7.23,7.23,7.02
29/07/15,17051900.0,7.24,7.15,7.24,7.0
30/07/15,18254427.0,7.1,7.2,7.28,7.1
31/07/15,11091859.0,7.21,7.21,7.29,7.11
03/08/15,12230005.0,7.28,7.18,7.28,7.03
04/08/15,55396505.0,7.15,7.14,7.15,7.02
05/08/15,11845592.0,7.14,7.3,7.3,7.12
06/08/15,4855775.0,7.22,7.2,7.24,7.13
07/08/15,9057361.0,7.15,7.15,7.15,7.03
10/08/15,5636214.0,7.03,7.15,7.15,7.03
11/08/15,17227706.0,7.1,7.14,7.34,7.06
12/08/15,16081301.0,7.14,6.99,7.14,6.99
13/08/15,21179489.0,7.08,6.95,7.15,6.94
14/08/15,5691103.0,6.95,6.95,7.02,6.92
17/08/15,11135053.0,6.91,6.87,6.93,6.82
18/08/15,14566355.0,6.87,6.83,6.9,6.64
19/08/15,16444667.0,6.65,6.8,6.95,6.65
20/08/15,14982454.0,6.89,6.63,6.89,6.61
24/08/15,42598633.0,6.58,5.9,6.58,5.9
25/08/15,9422723.0,5.8,5.14,6.05,5.14
26/08/15,21274555.0,5.64,5.9,5.94,5.6
27/08/15,12159115.0,6.0,6.05,6.2,5.91
28/08/15,35357562.0,6.2,6.76,6.88,6.2
01/09/15,15995420.0,6.74,6.71,6.74,6.58
02/09/15,17945718.0,6.35,6.74,6.74,6.24
03/09/15,12970605.0,6.6,6.8,6.8,6.6
04/09/15,12220020.0,6.6,6.69,6.76,6.42
07/09/15,7221163.0,6.43,6.55,6.58,6.39
08/09/15,4565910.0,6.36,6.48,6.5,6.36
09/09/15,18672696.0,6.51,6.47,6.65,6.39
10/09/15,17791645.0,6.47,6.47,6.69,6.32
11/09/15,42121664.0,6.36,6.4,6.54,6.29
14/09/15,82481151.0,6.28,6.4,6.41,6.22
15/09/15,13879908.0,6.25,6.37,6.46,6.25
15/09/15,13879908.0,6.25,6.37,6.46,6.25
15/09/15,13879908.0,6.25,6.37,6.46,6.25
16/09/15,14342557.0,6.38,6.32,6.38,6.27
17/09/15,12113176.0,6.3,6.35,6.44,6.28
18/09/15,19270801.0,6.35,6.27,6.37,6.25
21/09/15,4503687.0,6.27,6.23,6.27,6.19
22/09/15,10270058.0,6.23,6.1,6.23,6.08
23/09/15,3521210.0,6.06,6.05,6.09,6.05
24/09/15,14922116.0,6.05,5.95,6.06,5.8
28/09/15,14613891.0,5.78,5.8,5.9,5.67
29/09/15,3384279.0,5.8,5.86,5.86,5.65
30/09/15,41682530.0,5.87,5.86,5.87,5.61
01/10/15,15795997.0,5.65,5.59,5.85,5.58
02/10/15,20694541.0,5.65,5.54,5.65,5.52
05/10/15,19011708.0,5.54,5.5,5.6,5.5
06/10/15,57867799.0,5.61,5.8,5.82,5.61
07/10/15,38540969.0,5.79,5.56,5.86,5.54
08/10/15,26885607.0,5.58,5.65,5.7,5.58
09/10/15,55585031.0,5.73,5.95,6.0,5.67
12/10/15,26642888.0,6.02,6.2,6.23,6.0
13/10/15,7680709.0,6.2,6.2,6.22,5.99
14/10/15,10548155.0,6.22,6.2,6.22,6.02
15/10/15,10957193.0,6.03,6.2,6.2,6.02
16/10/15,16663457.0,6.19,6.16,6.26,6.05
19/10/15,2252203.0,6.17,6.28,6.28,6.12
20/10/15,19185017.0,6.28,6.39,6.4,6.21
21/10/15,19883625.0,6.39,6.48,6.54,6.39
22/10/15,18026086.0,6.54,6.63,6.63,6.44
23/10/15,31723868.0,6.64,6.89,6.91,6.64
26/10/15,34853508.0,6.92,7.1,7.2,6.92
27/10/15,18321140.0,7.04,7.07,7.15,6.94
28/10/15,57976964.0,7.07,7.0,7.07,6.78
29/10/15,7212573.0,6.87,6.92,7.03,6.79
30/10/15,16240055.0,6.81,6.78,6.81,6.66
02/11/15,16905329.0,6.85,7.05,7.05,6.85
03/11/15,46479294.0,7.09,7.25,7.43,7.08
04/11/15,111964671.0,7.28,7.5,7.5,7.14
05/11/15,46451313.0,7.2,7.57,7.65,7.2
06/11/15,41113601.0,7.27,7.65,7.65,7.27
09/11/15,34998507.0,7.6,7.39,7.6,7.1
10/11/15,19627758.0,7.1,7.31,7.42,7.1
11/11/15,14686783.0,7.1,7.27,7.3,7.1
12/11/15,31084933.0,7.1,7.35,7.4,7.1
13/11/15,9937472.0,7.15,7.3,7.3,7.14
16/11/15,43214646.0,7.1,7.3,7.3,7.0
17/11/15,24933736.0,7.3,7.6,7.6,7.29
