Date,Value,Open,Close,High,Low
15/07/15,55650.0,1.27,1.26,1.28,1.16
20/07/15,9600.0,1.2,1.2,1.2,1.2
21/07/15,2400.0,1.2,1.2,1.2,1.2
24/07/15,111610.0,1.18,1.27,1.31,1.18
29/07/15,26160.0,1.24,1.27,1.27,1.24
30/07/15,8820.0,1.27,1.2,1.27,1.2
07/08/15,18000.0,1.2,1.2,1.2,1.2
11/08/15,10330.0,1.3,1.29,1.3,1.29
14/08/15,1200.0,1.2,1.2,1.2,1.2
17/08/15,3600.0,1.2,1.2,1.2,1.2
24/08/15,12050.0,1.21,1.2,1.21,1.2
27/08/15,25450.0,1.19,1.27,1.27,1.14
01/09/15,8890.0,1.27,1.27,1.27,1.27
02/09/15,13720.0,1.14,1.16,1.16,1.14
04/09/15,7150.0,1.25,1.18,1.25,1.18
07/09/15,11760.0,1.18,1.14,1.18,1.14
08/09/15,17360.0,1.24,1.24,1.24,1.24
11/09/15,6150.0,1.23,1.23,1.23,1.23
18/09/15,5750.0,1.15,1.15,1.15,1.15
28/09/15,20930.0,1.17,1.16,1.17,1.16
29/09/15,3479.9999999999995,1.16,1.16,1.16,1.16
30/09/15,16240.0,1.16,1.16,1.16,1.16
02/10/15,9120.0,1.14,1.14,1.14,1.14
07/10/15,9120.0,1.14,1.14,1.14,1.14
12/10/15,3540.0,1.18,1.18,1.18,1.18
15/10/15,3720.0,1.24,1.24,1.24,1.24
16/10/15,40770.0,1.24,1.25,1.25,1.18
19/10/15,36160.0,1.25,1.31,1.33,1.25
21/10/15,3540.0,1.18,1.18,1.18,1.18
22/10/15,2520.0,1.26,1.26,1.26,1.26
23/10/15,5000.0,1.25,1.25,1.25,1.25
26/10/15,55340.0,1.22,1.19,1.31,1.15
30/10/15,1150.0,1.15,1.15,1.15,1.15
05/11/15,23160.0,1.17,1.15,1.17,1.15
09/11/15,8049.999999999999,1.15,1.15,1.15,1.15
10/11/15,14950.0,1.15,1.15,1.15,1.15
12/11/15,11500.0,1.15,1.15,1.15,1.15
27/11/15,4600.0,1.15,1.15,1.15,1.15
01/12/15,1150.0,1.15,1.15,1.15,1.15
02/12/15,5900.0,1.16,1.2,1.2,1.16
04/12/15,4650.0,1.14,1.23,1.23,1.14
07/12/15,27080.0,1.2,1.24,1.24,1.2
08/12/15,2460.0,1.23,1.23,1.23,1.23
09/12/15,7340.0,1.22,1.24,1.24,1.22
11/12/15,2450.0,1.21,1.24,1.24,1.21
14/12/15,63840.0,1.16,1.11,1.2,1.11
17/12/15,7770.0,1.11,1.11,1.11,1.11
21/12/15,52170.00000000001,1.11,1.11,1.11,1.11
23/12/15,66000.0,1.1,1.1,1.1,1.1
29/12/15,21600.0,1.08,1.08,1.08,1.08
06/01/16,10800.0,1.08,1.08,1.08,1.08
13/01/16,6300.0,1.05,1.05,1.05,1.05
28/01/16,2460.0,1.23,1.23,1.23,1.23
29/01/16,1210.0,1.21,1.21,1.21,1.21
02/02/16,1210.0,1.21,1.21,1.21,1.21
09/02/16,3360.0000000000005,1.12,1.12,1.12,1.12
15/02/16,7410.0,1.02,1.04,1.09,1.02
16/02/16,22830.0,1.05,1.03,1.05,1.03
17/02/16,3120.0,1.04,1.04,1.04,1.04
22/02/16,37810.0,1.11,1.1,1.12,1.1
24/02/16,5200.0,1.04,1.04,1.04,1.04
29/02/16,14260.0,1.09,1.1,1.1,1.09
02/03/16,3300.0,1.1,1.1,1.1,1.1
04/03/16,10080.0,1.12,1.12,1.12,1.12
09/03/16,44180.0,1.05,1.13,1.13,1.05
11/03/16,64810.0,1.07,1.23,1.3,1.07
14/03/16,2460.0,1.23,1.23,1.23,1.23
17/03/16,929030.0,1.11,1.3,1.34,1.11
18/03/16,392830.0,1.35,1.29,1.35,1.17
21/03/16,7560.0,1.26,1.26,1.26,1.26
22/03/16,21260.0,1.15,1.23,1.23,1.15
23/03/16,15830.0,1.25,1.18,1.25,1.18
28/03/16,1260.0,1.26,1.26,1.26,1.26
29/03/16,1250.0,1.25,1.25,1.25,1.25
30/03/16,15380.0,1.26,1.34,1.34,1.26
31/03/16,1330.0,1.33,1.33,1.33,1.33
08/04/16,31540.0,1.3,1.26,1.3,1.26
11/04/16,12890.0,1.26,1.29,1.34,1.26
12/04/16,7380.0,1.23,1.23,1.23,1.23
14/04/16,11900.0,1.19,1.19,1.19,1.19
21/04/16,235170.0,1.17,1.17,1.17,1.17
26/04/16,11120.0,1.17,1.1,1.17,1.1
02/05/16,44640.0,1.13,1.15,1.15,1.1
03/05/16,4560.0,1.14,1.14,1.14,1.14
06/05/16,22400.0,1.12,1.12,1.12,1.12
06/05/16,22400.0,1.12,1.12,1.12,1.12
10/05/16,3360.0,1.12,1.12,1.12,1.12
13/05/16,10240.0,1.28,1.28,1.28,1.28
16/05/16,10000.0,1.28,1.16,1.28,1.16
17/05/16,58470.0,1.13,1.19,1.2,1.12
25/05/16,7830.0,1.11,1.12,1.12,1.11
30/05/16,24120.0,1.12,1.15,1.15,1.12
03/06/16,17930.0,1.12,1.13,1.13,1.12
08/06/16,9990.0,1.11,1.11,1.11,1.11
09/06/16,34650.0,1.11,1.01,1.11,1.01
15/06/16,1080.0,1.08,1.08,1.08,1.08
16/06/16,10430.0,1.07,1.04,1.07,1.04
27/06/16,25080.0,1.14,1.14,1.14,1.14
29/06/16,4300.0,1.05,1.14,1.14,1.05
12/07/16,1050.0,1.05,1.05,1.05,1.05
13/07/16,1180.0,1.18,1.18,1.18,1.18
