Date,Value,Open,Close,High,Low
15/07/15,54100.0,0.415,0.42,0.42,0.415
20/07/15,16600.0,0.415,0.415,0.415,0.415
21/07/15,185550.0,0.425,0.415,0.44,0.415
22/07/15,8500.0,0.425,0.425,0.425,0.425
23/07/15,4200.0,0.42,0.42,0.42,0.42
23/07/15,4200.0,0.42,0.42,0.42,0.42
23/07/15,4200.0,0.42,0.42,0.42,0.42
24/07/15,4150.0,0.415,0.415,0.415,0.415
27/07/15,102550.0,0.415,0.41,0.415,0.41
28/07/15,52150.0,0.405,0.4,0.405,0.4
29/07/15,288550.0,0.41,0.395,0.41,0.395
30/07/15,20000.0,0.4,0.4,0.4,0.4
31/07/15,7900.0,0.395,0.395,0.395,0.395
04/08/15,510450.0,0.395,0.435,0.435,0.39
05/08/15,29200.0,0.415,0.43,0.43,0.415
07/08/15,65750.0,0.41,0.425,0.425,0.41
10/08/15,249550.0,0.415,0.415,0.415,0.4
11/08/15,359600.0,0.405,0.415,0.425,0.4
14/08/15,116150.0,0.405,0.4,0.405,0.395
17/08/15,74650.0,0.4,0.395,0.4,0.39
19/08/15,70150.0,0.39,0.385,0.39,0.385
20/08/15,3850.0,0.385,0.385,0.385,0.385
24/08/15,101550.0,0.385,0.375,0.385,0.375
25/08/15,14000.0,0.35,0.35,0.35,0.35
27/08/15,21300.0,0.355,0.355,0.355,0.355
28/08/15,19650.0,0.37,0.405,0.405,0.37
02/09/15,19250.0,0.385,0.385,0.385,0.385
03/09/15,31200.0,0.39,0.39,0.39,0.39
09/09/15,39700.0,0.37,0.36,0.37,0.36
10/09/15,1209900.0,0.37,0.42,0.43,0.37
11/09/15,1047050.0,0.425,0.42,0.46,0.42
14/09/15,106750.0,0.43,0.425,0.43,0.425
15/09/15,694350.0,0.42,0.44,0.455,0.42
15/09/15,694350.0,0.42,0.44,0.455,0.42
15/09/15,694350.0,0.42,0.44,0.455,0.42
16/09/15,558700.0,0.43,0.45,0.45,0.425
17/09/15,27573000.0,0.46,0.67,0.67,0.46
18/09/15,23875630.0,0.69,0.61,0.73,0.59
21/09/15,6846150.0,0.57,0.59,0.6,0.53
22/09/15,90157920.0,0.61,0.69,0.88,0.59
23/09/15,18943930.0,0.7,0.68,0.75,0.64
24/09/15,6237360.0,0.69,0.65,0.7,0.64
28/09/15,20893410.0,0.65,0.7,0.77,0.63
29/09/15,38127740.0,0.7,0.73,0.84,0.7
30/09/15,15282780.0,0.75,0.68,0.79,0.68
01/10/15,6011440.0,0.72,0.65,0.72,0.65
02/10/15,6674890.0,0.65,0.63,0.71,0.63
05/10/15,2557330.0,0.63,0.63,0.66,0.63
06/10/15,2538950.0,0.64,0.59,0.64,0.59
07/10/15,1655980.0,0.59,0.6,0.64,0.59
08/10/15,3045170.0,0.62,0.61,0.65,0.6
09/10/15,5140420.0,0.61,0.63,0.66,0.6
12/10/15,9946660.0,0.63,0.65,0.73,0.62
13/10/15,5067610.0,0.68,0.67,0.72,0.66
14/10/15,2331630.0,0.68,0.65,0.71,0.65
15/10/15,3044950.0,0.65,0.64,0.67,0.63
16/10/15,1035800.0,0.65,0.63,0.67,0.63
19/10/15,1494950.0,0.64,0.63,0.67,0.63
20/10/15,4098080.0,0.63,0.6,0.67,0.6
21/10/15,818160.0,0.61,0.61,0.64,0.6
22/10/15,554000.0,0.62,0.6,0.63,0.6
23/10/15,316020.0,0.6,0.6,0.62,0.6
26/10/15,387650.0,0.6,0.62,0.62,0.6
27/10/15,1335300.0,0.62,0.59,0.62,0.58
28/10/15,322860.0,0.57,0.57,0.6,0.57
29/10/15,1089640.0,0.58,0.57,0.61,0.57
30/10/15,190620.0,0.57,0.57,0.58,0.56
02/11/15,922780.0000000001,0.56,0.56,0.56,0.55
03/11/15,309940.0,0.55,0.58,0.59,0.55
04/11/15,1310120.0,0.59,0.6,0.62,0.57
05/11/15,332390.0,0.61,0.58,0.61,0.57
06/11/15,341220.0,0.56,0.56,0.59,0.56
09/11/15,825720.0,0.57,0.54,0.59,0.54
10/11/15,369360.0,0.54,0.53,0.54,0.51
11/11/15,522670.0,0.52,0.5,0.52,0.5
12/11/15,340860.0,0.5,0.5,0.53,0.5
13/11/15,241245.0,0.49,0.495,0.5,0.475
16/11/15,40100.0,0.41,0.495,0.495,0.41
17/11/15,114350.0,0.46,0.48,0.485,0.46
20/11/15,123150.0,0.49,0.49,0.495,0.49
23/11/15,386550.0,0.51,0.47,0.51,0.47
24/11/15,218700.0,0.455,0.455,0.47,0.45
25/11/15,82800.0,0.46,0.46,0.46,0.46
26/11/15,4600.0,0.46,0.46,0.46,0.46
27/11/15,265500.0,0.46,0.46,0.47,0.46
01/12/15,213850.0,0.455,0.455,0.455,0.455
02/12/15,31300.0,0.445,0.46,0.46,0.445
03/12/15,9700.0,0.485,0.485,0.485,0.485
04/12/15,1650000.0,0.47,0.52,0.55,0.47
07/12/15,3586250.0,0.52,0.58,0.62,0.52
08/12/15,2785540.0,0.6,0.56,0.63,0.55
09/12/15,870120.0,0.54,0.56,0.58,0.54
10/12/15,413210.0,0.56,0.55,0.56,0.55
11/12/15,702900.0,0.54,0.51,0.55,0.51
14/12/15,210840.0,0.5,0.49,0.51,0.49
15/12/15,90100.0,0.53,0.53,0.53,0.53
16/12/15,754310.0,0.49,0.52,0.57,0.49
17/12/15,57820.0,0.53,0.53,0.55,0.52
18/12/15,194160.0,0.53,0.54,0.55,0.51
21/12/15,68445.0,0.52,0.5,0.53,0.465
22/12/15,90500.0,0.51,0.51,0.54,0.5
23/12/15,751085.0,0.5,0.51,0.51,0.47
28/12/15,149710.0,0.51,0.52,0.52,0.51
29/12/15,217240.0,0.5,0.49,0.52,0.485
04/01/16,140600.0,0.48,0.485,0.485,0.48
05/01/16,30000.0,0.5,0.5,0.5,0.5
06/01/16,3000.0,0.51,0.48,0.51,0.48
08/01/16,31800.0,0.44,0.46,0.46,0.44
11/01/16,310550.0,0.44,0.4,0.44,0.4
13/01/16,39600.0,0.44,0.44,0.44,0.44
14/01/16,24400.0,0.4,0.44,0.44,0.4
15/01/16,105800.0,0.4,0.43,0.43,0.4
18/01/16,8600.0,0.43,0.43,0.43,0.43
19/01/16,260250.0,0.41,0.44,0.44,0.4
20/01/16,17600.0,0.44,0.44,0.44,0.44
21/01/16,20850.0,0.41,0.445,0.445,0.41
22/01/16,80050.0,0.415,0.435,0.435,0.415
25/01/16,30000.0,0.44,0.425,0.44,0.415
26/01/16,16800.0,0.42,0.42,0.42,0.42
27/01/16,569400.0,0.425,0.41,0.435,0.405
28/01/16,1477750.0,0.41,0.47,0.5,0.41
29/01/16,104200.0,0.46,0.45,0.46,0.45
01/02/16,18000.0,0.45,0.45,0.45,0.45
02/02/16,102350.0,0.445,0.445,0.445,0.445
03/02/16,584900.0,0.48,0.45,0.5,0.45
04/02/16,52300.0,0.44,0.435,0.44,0.435
