Date,Value,Open,Close,High,Low
24/07/15,31500.0,3.15,3.15,3.15,3.15
27/07/15,3740.0,3.74,3.74,3.74,3.74
29/07/15,34200.0,3.8,3.8,3.8,3.8
03/08/15,10800.0,3.6,3.6,3.6,3.6
06/08/15,10800.0,3.6,3.6,3.6,3.6
14/08/15,46830.0,3.61,3.6,3.61,3.6
18/08/15,10830.0,3.61,3.61,3.61,3.61
26/08/15,10500.0,3.5,3.5,3.5,3.5
02/09/15,35000.0,3.5,3.5,3.5,3.5
03/09/15,21750.0,3.5,4.25,4.25,3.5
15/09/15,63450.00000000001,4.23,4.23,4.23,4.23
15/09/15,63450.00000000001,4.23,4.23,4.23,4.23
15/09/15,63450.00000000001,4.23,4.23,4.23,4.23
13/10/15,7800.0,2.6,2.6,2.6,2.6
19/10/15,2810.0,2.81,2.81,2.81,2.81
22/10/15,11370.0,3.79,3.79,3.79,3.79
28/10/15,8400.0,2.8,2.8,2.8,2.8
06/11/15,9030.0,3.01,3.01,3.01,3.01
10/11/15,9030.0,3.01,3.01,3.01,3.01
17/11/15,15000.0,3.0,3.0,3.0,3.0
03/12/15,6600.0,3.2,3.4,3.4,3.2
14/12/15,51820.0,3.01,3.79,3.79,3.0
23/12/15,3000.0,3.0,3.0,3.0,3.0
29/12/15,52500.0,3.5,3.5,3.5,3.5
06/01/16,27940.0,3.49,3.5,3.5,3.49
22/01/16,3000.0,3.0,3.0,3.0,3.0
03/03/16,2300.0,2.3,2.3,2.3,2.3
29/03/16,13760.0,3.44,3.44,3.44,3.44
30/03/16,587160.0,3.5,4.35,4.57,3.5
31/03/16,62550.0,4.0,4.0,4.0,3.7
01/04/16,56310.0,2.87,3.46,3.46,2.86
04/04/16,27600.0,3.45,3.45,3.45,3.45
05/04/16,17110.0,3.42,3.43,3.43,3.42
06/04/16,74910.0,3.43,3.4,3.43,3.4
07/04/16,160690.0,3.4,3.6,4.1,3.38
08/04/16,17230.0,3.45,3.44,3.45,3.44
12/04/16,108650.0,3.45,3.68,3.7,3.45
13/04/16,34400.0,3.44,3.44,3.44,3.44
14/04/16,17250.0,3.45,3.45,3.45,3.45
19/04/16,17000.0,3.4,3.4,3.4,3.4
21/04/16,34000.0,3.4,3.4,3.4,3.4
22/04/16,43940.0,3.38,3.38,3.38,3.38
25/04/16,40200.0,3.35,3.35,3.35,3.35
26/04/16,36750.0,3.35,3.34,3.35,3.34
28/04/16,33200.0,3.32,3.32,3.32,3.32
04/05/16,72970.0,3.01,2.88,3.01,2.86
11/05/16,13730.0,3.69,3.49,3.69,2.86
13/05/16,62010.0,2.88,3.39,3.39,2.85
16/05/16,2860.0,2.86,2.86,2.86,2.86
17/05/16,29540.0,3.35,3.34,3.35,3.2
18/05/16,3340.0,3.34,3.34,3.34,3.34
19/05/16,34870.0,3.34,3.69,4.1,3.34
23/05/16,33820.0,4.1,3.49,4.1,3.49
24/05/16,7470.0,4.08,3.39,4.08,3.39
25/05/16,46820.0,4.07,3.8,4.07,3.4
26/05/16,91500.0,4.0,3.5,4.0,3.5
27/05/16,17000.0,3.4,3.4,3.4,3.4
31/05/16,14670.0,2.86,2.95,2.96,2.86
01/06/16,10400.0,3.6,3.4,3.6,3.4
10/06/16,11140.0,3.78,3.58,3.78,3.58
14/06/16,3570.0,3.57,3.57,3.57,3.57
15/06/16,79100.0,3.11,3.2,3.2,3.11
16/06/16,31040.0,3.5,3.3,3.75,3.3
24/06/16,18570.0,3.1,3.09,3.1,3.09
30/06/16,19620.0,3.21,3.3,3.3,3.21
01/07/16,30100.0,3.3,3.1,3.6,3.1
04/07/16,15500.0,3.1,3.1,3.1,3.1
05/07/16,61360.0,3.4,3.39,3.6,3.39
08/07/16,19320.0,3.11,3.33,3.33,3.11
11/07/16,24750.0,3.1,3.09,3.1,3.09
12/07/16,31510.0,3.12,3.12,3.3,3.12
13/07/16,3300.0,3.3,3.3,3.3,3.3
14/07/16,33100.0,3.31,3.31,3.31,3.31
