Date,Value,Open,Close,High,Low
15/07/15,159280.0,0.107,0.107,0.11,0.103
16/07/15,12800.0,0.11,0.106,0.11,0.106
20/07/15,207490.0,0.11,0.11,0.115,0.105
21/07/15,7770.0,0.114,0.113,0.114,0.11
22/07/15,1140.0,0.114,0.114,0.114,0.114
23/07/15,37760.0,0.105,0.113,0.113,0.104
23/07/15,37760.0,0.105,0.113,0.113,0.104
23/07/15,37760.0,0.105,0.113,0.113,0.104
24/07/15,108190.0,0.106,0.106,0.113,0.106
27/07/15,312780.0,0.105,0.104,0.105,0.104
28/07/15,49440.0,0.103,0.103,0.103,0.103
29/07/15,1050.0,0.105,0.105,0.105,0.105
30/07/15,132910.0,0.104,0.11,0.11,0.102
31/07/15,21520.0,0.11,0.103,0.11,0.102
03/08/15,248000.0,0.109,0.102,0.109,0.101
04/08/15,187110.0,0.101,0.102,0.102,0.1
05/08/15,36330.0,0.107,0.107,0.107,0.102
06/08/15,116470.0,0.103,0.102,0.108,0.102
07/08/15,359140.0,0.107,0.102,0.107,0.102
10/08/15,6000.0,0.1,0.1,0.1,0.1
11/08/15,771340.0,0.101,0.099,0.101,0.098
12/08/15,262350.0,0.099,0.099,0.099,0.099
13/08/15,45170.0,0.099,0.099,0.099,0.098
14/08/15,980.0,0.098,0.098,0.098,0.098
17/08/15,40760.0,0.098,0.1,0.1,0.098
18/08/15,174330.0,0.097,0.1,0.1,0.094
19/08/15,244420.0,0.096,0.092,0.096,0.092
20/08/15,194560.0,0.095,0.092,0.103,0.092
24/08/15,40170.0,0.092,0.091,0.092,0.091
25/08/15,96860.0,0.089,0.088,0.089,0.088
26/08/15,174100.0,0.088,0.09,0.09,0.08
27/08/15,226110.0,0.098,0.081,0.098,0.081
28/08/15,214350.0,0.083,0.083,0.09,0.083
01/09/15,4150.0,0.083,0.083,0.083,0.083
02/09/15,830.0,0.083,0.083,0.083,0.083
03/09/15,623420.0,0.085,0.089,0.089,0.076
04/09/15,655550.0,0.089,0.085,0.089,0.083
07/09/15,12600.0,0.084,0.084,0.084,0.084
08/09/15,251700.0,0.084,0.078,0.084,0.078
09/09/15,83960.0,0.082,0.078,0.082,0.078
10/09/15,84290.0,0.078,0.08,0.084,0.077
11/09/15,4920.0,0.082,0.082,0.082,0.082
14/09/15,32010.0,0.084,0.078,0.084,0.078
15/09/15,1620.0,0.084,0.078,0.084,0.078
15/09/15,1620.0,0.084,0.078,0.084,0.078
15/09/15,1620.0,0.084,0.078,0.084,0.078
16/09/15,98560.0,0.08,0.08,0.083,0.079
17/09/15,644090.0,0.081,0.092,0.094,0.081
18/09/15,60910.0,0.094,0.091,0.094,0.084
21/09/15,187260.0,0.094,0.102,0.102,0.084
22/09/15,122710.0,0.105,0.098,0.105,0.092
23/09/15,99220.0,0.092,0.092,0.1,0.092
24/09/15,19260.0,0.092,0.092,0.092,0.091
28/09/15,82170.0,0.092,0.092,0.102,0.092
29/09/15,47320.0,0.091,0.091,0.091,0.091
30/09/15,68320.0,0.092,0.09,0.092,0.09
01/10/15,45040.0,0.096,0.09,0.096,0.089
02/10/15,233810.0,0.089,0.087,0.089,0.086
05/10/15,148630.0,0.086,0.089,0.089,0.084
06/10/15,125490.0,0.089,0.089,0.089,0.089
07/10/15,5090.0,0.084,0.085,0.085,0.084
