Date,Value,Open,Close,High,Low
15/07/15,319200.0,0.6,0.6,0.6,0.57
16/07/15,347820.0,0.59,0.6,0.62,0.59
20/07/15,170350.0,0.59,0.57,0.59,0.57
21/07/15,770069.9999999999,0.57,0.57,0.57,0.57
22/07/15,66200.0,0.59,0.58,0.59,0.57
23/07/15,45000.0,0.59,0.6,0.6,0.59
23/07/15,45000.0,0.59,0.6,0.6,0.59
23/07/15,45000.0,0.59,0.6,0.6,0.59
27/07/15,5700.0,0.57,0.57,0.57,0.57
28/07/15,1288800.0,0.58,0.6,0.6,0.57
29/07/15,4020.0,0.6,0.56,0.6,0.56
31/07/15,1507680.0,0.56,0.56,0.6,0.56
03/08/15,216760.0,0.56,0.6,0.6,0.56
04/08/15,41310.0,0.59,0.6,0.6,0.59
05/08/15,74100.0,0.57,0.57,0.57,0.57
06/08/15,58139.99999999999,0.57,0.57,0.57,0.57
07/08/15,142499.99999999997,0.57,0.57,0.57,0.57
10/08/15,343980.0,0.56,0.56,0.58,0.56
11/08/15,39630.0,0.56,0.6,0.6,0.56
12/08/15,11399.999999999998,0.57,0.57,0.57,0.57
13/08/15,57000.0,0.57,0.57,0.57,0.57
14/08/15,1371000.0,0.56,0.59,0.59,0.56
17/08/15,700320.0,0.56,0.54,0.56,0.54
18/08/15,11979.999999999998,0.57,0.58,0.58,0.57
19/08/15,52800.00000000001,0.55,0.55,0.55,0.55
20/08/15,560.0,0.56,0.56,0.56,0.56
24/08/15,172250.0,0.53,0.53,0.53,0.53
26/08/15,807400.0,0.53,0.55,0.55,0.47
28/08/15,302400.0,0.56,0.56,0.56,0.56
01/09/15,77050.0,0.56,0.55,0.56,0.55
02/09/15,11000.0,0.55,0.55,0.55,0.55
03/09/15,1061250.0,0.57,0.58,0.59,0.57
04/09/15,57000.0,0.57,0.57,0.57,0.57
07/09/15,183400.0,0.54,0.54,0.55,0.53
08/09/15,43200.0,0.54,0.54,0.54,0.54
09/09/15,45050.0,0.53,0.53,0.53,0.53
10/09/15,86500.0,0.55,0.54,0.55,0.54
11/09/15,27000.0,0.54,0.54,0.54,0.54
15/09/15,268680.0,0.56,0.54,0.56,0.53
15/09/15,268680.0,0.56,0.54,0.56,0.53
15/09/15,268680.0,0.56,0.54,0.56,0.53
16/09/15,313760.0,0.53,0.53,0.53,0.53
17/09/15,232420.0,0.53,0.53,0.54,0.53
18/09/15,14560.0,0.52,0.52,0.52,0.52
22/09/15,89720.0,0.53,0.54,0.54,0.53
23/09/15,1075120.0,0.53,0.56,0.56,0.52
28/09/15,58860.00000000001,0.54,0.54,0.54,0.54
29/09/15,1127200.0,0.52,0.56,0.56,0.51
30/09/15,1060400.0,0.51,0.56,0.56,0.51
01/10/15,11000.0,0.55,0.55,0.55,0.55
06/10/15,10600.0,0.53,0.53,0.53,0.53
07/10/15,18200.0,0.52,0.52,0.52,0.52
12/10/15,21600.0,0.54,0.54,0.54,0.54
15/10/15,39000.0,0.55,0.56,0.56,0.55
16/10/15,267380.00000000006,0.55,0.56,0.56,0.55
19/10/15,132530.0,0.53,0.53,0.54,0.53
20/10/15,172490.0,0.53,0.53,0.54,0.53
