Date,Value,Open,Close,High,Low
21/07/15,7590.0,2.53,2.53,2.53,2.53
22/07/15,2530.0,2.53,2.53,2.53,2.53
24/07/15,192740.0,2.9,2.57,3.09,2.57
27/07/15,31200.0,2.6,2.6,2.6,2.6
28/07/15,5200.0,2.6,2.6,2.6,2.6
30/07/15,10400.0,2.6,2.6,2.6,2.6
03/08/15,35510.0,2.54,2.53,2.54,2.53
04/08/15,555810.0,2.53,2.48,2.53,2.48
06/08/15,696960.0,2.05,2.1,2.3,2.0
07/08/15,698600.0,2.05,2.0,2.27,2.0
10/08/15,419990.0,2.09,1.9,2.09,1.88
11/08/15,336750.0,1.9,1.8,1.9,1.72
12/08/15,291220.0,1.78,1.8,1.8,1.73
13/08/15,3460.0,1.73,1.73,1.73,1.73
14/08/15,120070.0,1.73,1.74,1.8,1.73
17/08/15,49300.0,1.7,1.7,1.7,1.7
18/08/15,5100.0,1.7,1.7,1.7,1.7
19/08/15,15300.0,1.7,1.7,1.7,1.7
26/08/15,246500.0,1.7,1.7,1.7,1.7
27/08/15,112200.0,1.7,1.7,1.7,1.7
28/08/15,108620.0,1.7,1.7,1.7,1.64
01/09/15,96900.0,1.7,1.7,1.7,1.7
02/09/15,28830.0,1.63,1.7,1.7,1.63
03/09/15,6800.0,1.7,1.7,1.7,1.7
09/09/15,42450.0,1.52,1.61,1.61,1.52
10/09/15,3220.0,1.61,1.61,1.61,1.61
11/09/15,5250.0,1.75,1.75,1.75,1.75
14/09/15,135970.0,2.01,1.9,2.09,1.78
15/09/15,1394150.0,2.09,2.17,2.46,1.83
15/09/15,1394150.0,2.09,2.17,2.46,1.83
15/09/15,1394150.0,2.09,2.17,2.46,1.83
16/09/15,154180.0,2.4,2.06,2.4,2.02
17/09/15,3365720.0,2.25,3.09,3.09,2.25
18/09/15,4006940.0,3.36,4.63,4.63,3.35
21/09/15,14271040.0,5.98,6.0,6.94,4.63
22/09/15,4229544.0,6.1,5.05,6.5,5.05
23/09/15,1276945.0,5.2,4.39,5.2,4.03
24/09/15,1431540.0,4.39,5.34,5.98,4.39
28/09/15,568694.0,5.37,5.3,5.4,4.7
29/09/15,515529.0,5.3,5.09,5.3,4.82
30/09/15,426115.0,5.06,4.48,5.06,4.48
01/10/15,368390.0,4.6,4.5,4.85,4.5
02/10/15,321700.0,4.48,4.1,4.48,4.1
05/10/15,267430.0,4.07,3.9,4.07,3.8
06/10/15,217840.0,3.8,3.99,4.0,3.56
07/10/15,19760.0,3.95,3.95,3.96,3.95
08/10/15,34200.0,3.8,3.8,3.8,3.8
09/10/15,101840.0,3.5,3.05,3.5,3.0
12/10/15,93620.0,3.08,3.09,3.5,3.08
13/10/15,67700.0,3.06,3.08,3.1,3.06
14/10/15,541580.0,3.11,3.68,4.0,3.11
15/10/15,865410.0,3.56,4.2,4.8,3.56
