Date,Value,Open,Close,High,Low
15/07/15,157831.0,52.2,55.45,55.45,52.05
16/07/15,579.0,57.9,57.9,57.9,57.9
27/07/15,45185.0,51.2,56.95,56.95,51.2
28/07/15,1402603.5,51.8,55.0,56.5,51.35
29/07/15,6000.0,53.0,56.4,56.4,53.0
30/07/15,7977.5,52.05,55.45,55.45,52.05
31/07/15,556769.5,52.0,53.95,54.95,51.7
05/08/15,563.5,56.35,56.35,56.35,56.35
07/08/15,376441.5,51.3,55.9,55.95,51.25
11/08/15,1209819.5,51.25,52.95,53.95,50.05
13/08/15,2261089.5,50.05,52.9,52.95,50.0
17/08/15,510000.0,51.0,51.0,51.0,51.0
19/08/15,328440.0,51.0,51.0,51.0,51.0
20/08/15,126957.0,51.0,52.0,52.2,50.5
24/08/15,59575.5,51.5,51.45,51.5,49.0
26/08/15,3468327.0,50.8,50.0,50.85,48.0
27/08/15,8232.0,51.45,51.45,51.45,51.45
28/08/15,4640628.0,50.95,49.9,50.95,48.0
01/09/15,396700.0,49.9,48.0,50.0,48.0
02/09/15,1328960.0,48.0,50.0,50.0,48.0
03/09/15,15280.0,51.0,50.9,51.0,50.9
04/09/15,1623367.0,51.05,51.1,51.15,51.05
08/09/15,1321196.5,46.35,50.15,50.45,46.35
11/09/15,591133.0,46.95,47.0,47.1,46.9
16/09/15,102990.0,45.0,45.9,46.0,44.2
17/09/15,4685.0,46.85,46.85,46.85,46.85
18/09/15,234690.0,46.9,46.95,46.95,46.9
21/09/15,14085.0,46.95,46.95,46.95,46.95
22/09/15,14085.0,46.95,46.95,46.95,46.95
23/09/15,84425.0,46.95,46.9,46.95,46.9
05/10/15,28140.0,46.9,46.9,46.9,46.9
06/10/15,52870.0,44.0,46.85,46.85,43.0
12/10/15,1013075.0,46.0,45.0,47.0,45.0
13/10/15,9330.0,46.65,46.65,46.65,46.65
14/10/15,93010.0,42.55,42.0,42.55,42.0
15/10/15,18570.0,46.45,46.4,46.45,46.4
19/10/15,166700.0,42.0,46.25,46.25,42.0
20/10/15,328205.0,42.05,44.9,44.9,42.0
22/10/15,231500.0,41.8,44.7,44.7,41.8
23/10/15,917670.0,41.9,41.5,43.9,41.0
26/10/15,888825.0,41.5,40.4,41.5,40.0
27/10/15,20325.0,41.45,41.4,41.45,37.5
29/10/15,32000.0,40.0,40.0,40.0,40.0
05/11/15,46990.0,39.0,39.95,39.95,39.0
09/11/15,119990.0,39.95,40.0,40.0,39.95
10/11/15,80230.0,40.0,41.15,41.15,40.0
11/11/15,8215.0,41.15,41.0,41.15,41.0
16/11/15,199470.0,35.05,41.0,41.0,35.0
23/11/15,42770.0,37.2,40.9,40.9,37.2
18/12/15,77815.0,37.55,41.35,41.35,37.0
05/01/16,47400.0,37.05,40.0,40.0,37.05
11/01/16,135290.0,35.7,38.95,38.95,35.7
12/01/16,115365.0,38.45,38.5,38.5,38.45
13/01/16,7980.0,39.9,39.9,39.9,39.9
14/01/16,373335.0,35.8,38.95,38.95,35.8
15/01/16,47385.0,35.7,38.95,38.95,35.7
18/01/16,4125.0,41.25,41.25,41.25,41.25
19/01/16,380815.0,35.75,40.65,40.95,35.0
28/01/16,757450.0,36.0,39.35,39.5,36.0
01/02/16,7480.0,35.85,38.95,38.95,35.85
02/02/16,27265.000000000004,38.95,38.95,38.95,38.95
03/02/16,33830.0,37.0,39.65,39.65,37.0
04/02/16,108120.0,35.8,39.0,39.0,33.05
05/02/16,7870.0,39.35,39.35,39.35,39.35
17/02/16,988125.0,38.75,38.75,38.75,38.75
22/02/16,107120.0,38.7,38.7,38.7,35.8
29/02/16,43510.0,35.05,37.95,37.95,35.05
01/03/16,3785.0,37.85,37.85,37.85,37.85
03/03/16,126325.0,35.1,37.75,37.75,35.0
04/03/16,169425.0,36.0,37.45,37.95,35.0
07/03/16,237100.0,35.25,36.3,36.95,35.1
08/03/16,195670.0,35.9,37.4,37.4,35.9
04/04/16,63360.0,34.55,37.4,37.45,34.55
11/04/16,203430.0,37.35,41.2,41.35,37.35
12/04/16,41100.0,41.1,41.1,41.1,41.1
13/04/16,137700.0,40.5,40.5,40.5,40.5
14/04/16,24300.0,40.9,41.0,41.0,39.6
15/04/16,130760.0,36.05,39.3,39.5,36.05
26/04/16,3219120.0,39.3,40.0,49.0,38.0
27/04/16,350545.0,41.45,38.0,41.5,38.0
28/04/16,152590.0,38.0,40.0,40.0,38.0
29/04/16,196465.0,39.0,38.0,39.0,38.0
02/05/16,214080.0,38.0,38.0,39.45,37.0
03/05/16,1080735.0,36.0,36.6,37.4,32.0
05/05/16,252720.0,34.0,35.3,35.3,34.0
06/05/16,387815.0,34.0,35.5,35.75,34.0
06/05/16,387815.0,34.0,35.5,35.75,34.0
11/05/16,36200.0,36.9,36.9,36.9,35.5
12/05/16,97150.0,34.05,36.9,36.9,34.0
