Date,Value,Open,Close,High,Low
15/07/15,254000.0,2.0,2.0,2.0,2.0
16/07/15,2000.0,2.0,2.0,2.0,2.0
20/07/15,171280.0,2.15,2.35,2.35,2.15
21/07/15,119630.0,2.38,2.4,2.4,2.38
22/07/15,9600.0,2.4,2.4,2.4,2.4
23/07/15,35410.0,2.2,2.2,2.23,2.2
23/07/15,35410.0,2.2,2.2,2.23,2.2
23/07/15,35410.0,2.2,2.2,2.23,2.2
24/07/15,483610.0,2.35,2.35,2.49,2.35
27/07/15,3216210.0,2.5,2.15,2.5,2.0
28/07/15,182600.0,2.06,2.2,2.2,2.06
29/07/15,831830.0,2.2,2.19,2.21,2.12
30/07/15,97690.0,2.18,2.17,2.18,2.15
31/07/15,10500.0,2.1,2.1,2.1,2.1
03/08/15,10500.0,2.1,2.1,2.1,2.1
05/08/15,69050.0,2.1,2.08,2.11,2.08
06/08/15,84480.0,2.06,2.15,2.15,2.04
07/08/15,27140.0,2.18,2.08,2.18,2.08
10/08/15,72520.0,2.18,2.1,2.18,2.1
11/08/15,120940.0,2.03,2.23,2.24,2.03
12/08/15,2476270.0,2.05,2.18,2.18,2.05
13/08/15,220850.0,2.2,2.06,2.22,2.06
14/08/15,143520.0,2.08,2.08,2.08,2.08
17/08/15,104220.0,2.1,2.1,2.1,2.07
19/08/15,20500.0,2.05,2.05,2.05,2.05
24/08/15,502500.0,2.0,1.8,2.0,1.8
26/08/15,75640.0,2.0,2.0,2.0,1.97
27/08/15,156910.0,2.0,2.1,2.1,1.99
28/08/15,10500.0,2.1,2.1,2.1,2.1
03/09/15,24200.0,2.0,2.1,2.1,2.0
04/09/15,10200.0,2.0,2.1,2.1,2.0
09/09/15,132100.0,2.1,2.01,2.2,2.01
11/09/15,4260.0,2.13,2.13,2.13,2.13
15/09/15,44440.0,2.15,2.12,2.15,2.1
15/09/15,44440.0,2.15,2.12,2.15,2.1
15/09/15,44440.0,2.15,2.12,2.15,2.1
16/09/15,175630.0,2.14,2.14,2.15,2.08
17/09/15,34480.0,2.14,2.19,2.19,2.14
18/09/15,67860.0,2.17,2.2,2.2,2.15
21/09/15,35940.0,2.1,2.2,2.2,2.1
24/09/15,164350.0,2.15,2.26,2.27,2.15
28/09/15,81780.0,2.26,2.24,2.26,2.2
29/09/15,69400.0,2.25,2.16,2.25,2.15
30/09/15,35710.0,2.1,2.1,2.11,2.1
02/10/15,10450.0,2.09,2.09,2.09,2.09
05/10/15,10850.0,2.17,2.17,2.17,2.17
06/10/15,2200.0,2.2,2.2,2.2,2.2
07/10/15,22020.0,2.19,2.25,2.25,2.19
08/10/15,11270.0,2.25,2.26,2.26,2.25
14/10/15,22520.0,2.26,2.18,2.26,2.18
15/10/15,2180.0,2.18,2.18,2.18,2.18
16/10/15,78840.0,2.18,2.3,2.3,2.18
03/11/15,38030.0,2.2,2.29,2.29,2.2
06/11/15,254480.0,2.2,2.3,2.3,2.2
09/11/15,90680.0,2.06,2.19,2.19,2.0
10/11/15,21920.0,2.19,2.2,2.2,2.19
12/11/15,41900.0,2.2,2.3,2.3,2.2
13/11/15,112700.0,2.3,2.3,2.3,2.3
17/11/15,11620.0,2.3,2.34,2.34,2.3
20/11/15,54820.0,2.34,2.4,2.4,2.2
01/12/15,241250.0,2.05,2.15,2.18,2.05
02/12/15,203680.0,2.15,2.25,2.25,2.15
03/12/15,60900.0,2.1,2.1,2.1,2.1
