Date,Value,Open,Close,High,Low
21/07/15,3780.0,6.0,6.9,6.9,6.0
22/07/15,685.0,6.85,6.85,6.85,6.85
23/07/15,13015.0,6.85,6.85,6.85,6.85
23/07/15,13015.0,6.85,6.85,6.85,6.85
23/07/15,13015.0,6.85,6.85,6.85,6.85
27/07/15,2590.0,6.35,6.85,6.85,6.35
29/07/15,4450.0,6.3,6.5,6.5,6.3
03/08/15,8170.0,6.3,6.3,6.3,6.2
04/08/15,17170.0,6.3,6.3,6.3,5.5
05/08/15,620.0,6.2,6.2,6.2,6.2
07/08/15,1860.0,6.2,6.2,6.2,6.2
10/08/15,3720.0,6.2,6.2,6.2,6.2
12/08/15,5240.0,6.6,6.2,6.6,6.2
13/08/15,5581.0,5.01,5.11,5.11,5.01
17/08/15,22395.0,6.0,6.2,6.2,6.0
19/08/15,11038.0,6.6,6.43,6.6,6.43
20/08/15,1024.0,5.12,5.12,5.12,5.12
25/08/15,15000.0,5.0,5.0,5.0,5.0
26/08/15,72420.0,5.0,5.5,6.2,5.0
27/08/15,1650.0,5.5,5.5,5.5,5.5
28/08/15,47389.0,5.5,4.51,5.5,4.51
01/09/15,45000.0,4.5,4.5,4.5,4.5
02/09/15,4500.0,4.5,4.5,4.5,4.5
03/09/15,10980.0,5.49,5.49,5.49,5.49
04/09/15,45350.0,5.0,4.6,5.0,4.5
07/09/15,9250.0,4.65,4.6,4.65,4.6
08/09/15,22960.0,4.61,4.6,4.61,4.55
09/09/15,27000.0,4.5,4.5,4.5,4.5
11/09/15,1519510.0,3.13,3.6,4.17,3.13
14/09/15,123980.0,3.61,3.3,3.61,3.21
15/09/15,110530.0,3.3,3.41,3.42,3.23
15/09/15,110530.0,3.3,3.41,3.42,3.23
15/09/15,110530.0,3.3,3.41,3.42,3.23
16/09/15,3380.0,3.38,3.38,3.38,3.38
17/09/15,52350.0,3.26,3.28,3.28,3.26
18/09/15,317090.0,3.28,3.42,3.5,3.28
21/09/15,117130.0,3.28,3.25,3.28,3.25
22/09/15,166960.0,3.59,3.28,3.59,3.28
23/09/15,25050.0,3.55,3.58,3.59,3.55
24/09/15,45220.0,3.5,3.48,3.5,3.37
28/09/15,20240.0,3.36,3.36,3.4,3.36
29/09/15,3310.0,3.31,3.31,3.31,3.31
01/10/15,88990.0,3.21,3.15,3.21,3.15
05/10/15,6320.0,3.16,3.16,3.16,3.16
06/10/15,12700.0,3.15,3.2,3.2,3.15
07/10/15,12800.0,3.2,3.2,3.2,3.2
09/10/15,195300.0,3.22,3.22,3.22,3.2
12/10/15,197580.0,3.2,3.15,3.2,3.15
13/10/15,44220.0,3.15,3.17,3.19,3.15
14/10/15,24830.0,3.11,3.1,3.11,3.1
15/10/15,135940.0,3.1,3.0,3.1,3.0
16/10/15,118130.0,3.09,3.09,3.1,2.9
19/10/15,461380.0,2.97,2.85,3.09,2.85
20/10/15,192760.0,2.9,2.8,2.9,2.8
21/10/15,223200.0,2.81,2.8,3.0,2.8
22/10/15,32490.0,2.98,2.95,2.98,2.95
23/10/15,213490.0,3.0,2.97,3.0,2.8
26/10/15,447900.0,2.85,2.78,2.85,2.78
27/10/15,169460.0,2.9,2.8,2.9,2.75
28/10/15,243300.0,2.9,2.8,2.9,2.78
29/10/15,75480.0,2.96,2.8,2.96,2.78
30/10/15,397020.0,2.79,2.8,2.8,2.79
02/11/15,37240.0,3.16,2.78,3.16,2.78
03/11/15,1269070.0,2.8,2.79,2.85,2.79
04/11/15,159980.0,2.8,2.85,2.85,2.79
05/11/15,6000.0,3.1,2.9,3.1,2.9
06/11/15,95140.0,2.8,2.78,2.8,2.78
09/11/15,82700.0,2.77,2.75,2.77,2.75
10/11/15,43370.0,2.74,2.75,2.75,2.68
12/11/15,43020.0,2.75,2.68,2.75,2.68
13/11/15,8200.0,2.68,2.84,2.84,2.68
16/11/15,2820.0,2.82,2.82,2.82,2.82
17/11/15,28400.0,2.84,2.84,2.84,2.84
24/11/15,10930.0,2.7,2.83,2.83,2.7
27/11/15,153670.0,2.66,2.63,2.78,2.57
02/12/15,10520.0,2.63,2.63,2.63,2.63
03/12/15,13500.0,2.7,2.7,2.7,2.7
07/12/15,5140.0,2.57,2.57,2.57,2.57
08/12/15,5400.0,2.7,2.7,2.7,2.7
09/12/15,31920.0,2.7,2.7,2.7,2.57
